	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_19	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_112	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fmn2	0.01	8.29	0.0	41.59	15.62	1.39	5.49	6.28	2.63	3.19	0.0	0.0	122.85	0.0	36.18	0.13	0.0	0.0	0.14	0.0	5.23	0.0	15.4	2.26	0.1	0.0	0.0	0.0	0.0	0.0	0.25	8.81	5.43	9.53	37.67	34.6	37.41
Gde1	0.25	53.66	0.0	21.06	7.86	54.2	103.95	19.95	43.08	0.0	4.62	5.79	68.01	7.86	4.57	5.57	6.32	0.0	6.45	10.92	17.03	37.85	57.43	55.28	7.02	0.0	10.88	6.47	6.24	0.53	0.0	51.71	54.95	65.85	304.34	337.74	326.45
Gm16532	7.09	0.0	0.0	6.74	0.17	0.0	15.65	30.69	12.29	0.0	0.0	0.0	195.76	0.24	11.72	0.0	0.0	0.12	22.49	0.0	0.0	0.59	0.81	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.63	1.59	12.2	13.16	11.54
Golga5	0.0	0.0	0.0	49.56	0.28	4.66	0.0	33.96	0.0	0.0	0.18	0.0	52.35	0.0	0.0	0.0	0.0	5.54	21.85	62.03	0.0	25.66	13.85	2.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.88	7.34	5.72	25.49	30.03	28.82
Gpr176	0.0	0.0	5.55	0.1	0.0	0.0	0.0	7.49	0.05	15.87	44.19	0.0	261.46	0.0	70.83	0.0	0.0	41.55	0.38	0.0	44.06	47.95	0.0	5.3	0.0	0.0	0.0	0.0	0.0	66.37	0.61	4.19	2.62	1.85	8.75	8.71	8.84
Hapln4	0.05	0.0	0.0	0.05	0.0	10.28	0.0	0.0	0.0	0.0	0.0	0.0	8.64	0.0	0.0	0.0	3.91	0.0	1.18	0.0	0.1	8.99	26.35	8.86	0.0	0.0	0.0	2.18	0.14	0.0	0.0	4.67	5.17	4.83	79.51	87.78	92.43
Herc4	0.05	1.22	0.0	0.05	0.0	2.24	0.0	0.0	0.0	0.0	0.12	0.0	40.99	0.0	0.0	0.0	0.0	0.0	9.64	0.0	0.0	2.0	8.38	25.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.49	9.55	13.05	27.03	23.66	24.25
Hist1h2ac	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.29	0.87
Jph3	0.1	0.0	0.0	1.95	0.0	1.83	0.0	1.44	2.16	0.0	0.0	0.0	3.37	0.0	0.0	0.0	0.0	0.0	0.62	0.0	2.08	0.16	0.22	10.68	0.0	0.0	5.24	0.0	0.0	0.0	0.0	5.27	4.91	7.34	145.11	164.46	159.09
Jrk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	5.11	1.55	4.21	4.41	4.72
Kcnc1	14.0	65.1	27.7	34.6	0.04	6.54	4.37	8.47	29.69	3.76	17.35	1.73	73.43	0.0	22.42	0.06	0.17	1.93	12.37	0.0	0.61	8.74	17.4	5.2	0.0	11.94	14.52	48.86	0.08	6.08	0.11	2.22	4.02	3.45	96.03	98.54	104.01
Kdelc1	0.0	171.63	0.0	0.0	0.0	7.82	30.57	30.05	0.08	0.0	0.0	0.0	195.8	0.0	0.0	0.0	0.0	26.96	0.0	0.0	0.0	35.6	18.07	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	5.2	7.2	9.24	8.72	8.48
Klc2	0.0	0.0	1.61	0.0	0.0	17.73	0.14	3.33	0.93	0.0	0.0	0.22	66.77	0.0	0.43	0.0	0.0	0.09	0.0	0.9	0.0	18.5	11.36	9.94	6.57	0.5	0.0	0.0	0.0	0.0	0.0	15.18	4.55	6.43	196.16	207.95	205.42
Lmo4	0.14	20.44	0.0	1.36	72.34	26.07	0.0	0.0	0.0	0.0	6.07	0.0	190.66	0.0	0.0	0.0	0.0	75.97	1.96	0.0	0.52	0.0	31.44	76.55	0.0	0.0	0.0	0.0	0.0	25.6	0.0	136.62	112.08	83.24	298.47	316.98	286.88
Man1b1	0.0	0.0	0.16	4.58	0.0	0.8	0.0	0.0	0.0	0.14	6.45	0.18	67.04	0.0	1.04	0.0	0.0	0.0	4.66	0.0	17.37	6.87	2.57	1.58	0.0	0.0	0.0	0.0	0.0	6.41	0.0	4.86	5.94	5.17	50.02	53.2	50.77
Mars2	0.0	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24	38.15	5.34	5.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65	1.67	4.45	11.21	10.76	12.6
Mbtd1	0.0	8.61	0.0	0.0	43.81	3.71	0.0	7.63	5.6	0.0	0.0	2.66	61.67	0.0	0.0	0.25	42.6	0.0	0.0	0.0	0.0	0.0	3.17	22.2	0.0	0.0	0.0	0.0	8.18	18.48	0.0	7.6	6.25	8.41	14.17	13.57	13.68
Mtap7d1	0.06	29.19	0.0	12.72	22.34	12.57	0.0	5.57	2.37	3.44	14.34	12.74	132.41	0.0	0.0	12.22	32.32	45.35	4.85	0.0	2.46	14.54	21.47	21.42	0.0	0.0	2.43	16.07	0.0	30.95	44.17	17.11	16.78	28.18	184.55	212.08	197.8
Nfrkb	0.0	18.23	0.0	18.58	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.16	0.0	25.83	0.0	0.0	0.0	13.57	0.0	11.04	4.83	7.35	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	2.18	5.79	17.74	18.32	19.21
Nnat	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	7.24	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	263.05	306.83	281.49
Nuak1	0.0	0.0	0.0	8.98	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	11.84	0.0	0.0	0.0	0.0	0.0	5.85	0.0	0.0	3.89	0.09	2.81	0.0	0.0	0.0	0.0	0.0	13.37	0.0	1.95	2.11	3.32	42.03	41.11	41.92
Otx1	0.0	0.0	0.0	0.2	0.0	0.13	0.15	0.0	0.07	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	3.59	0.98	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	4.21	3.07	5.06	5.76	5.71
Ovol2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.16	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.06	3.5	6.47	9.35	12.26	7.86
Pak2	0.0	0.0	0.0	3.67	0.0	0.0	0.0	0.06	0.05	0.0	0.0	0.0	44.98	0.0	0.0	0.0	0.0	0.0	23.44	0.0	0.69	0.0	3.09	5.27	28.86	0.0	0.0	34.66	0.0	0.0	0.0	5.3	6.92	4.37	30.29	29.99	29.34
Peg13	31.66	96.12	6.37	32.59	80.46	13.76	6.52	47.32	52.5	98.29	42.3	39.45	333.73	39.47	93.43	75.79	124.82	0.11	94.13	111.44	119.93	90.09	33.81	46.33	202.65	0.0	0.06	125.86	129.33	121.86	39.75	84.72	83.59	76.33	183.32	183.44	176.4
Phgdh	0.0	0.0	0.0	0.61	0.0	64.54	0.0	112.13	50.42	0.28	0.0	0.0	479.58	0.0	114.35	0.0	0.0	0.0	0.0	0.42	71.95	257.41	51.6	0.0	0.0	0.0	0.0	0.0	0.0	143.11	0.0	0.0	0.74	6.19	78.48	87.44	88.17
Pigt	0.0	0.53	0.0	0.15	0.0	5.91	0.0	3.56	0.3	0.0	0.0	0.0	34.99	0.0	107.54	0.0	0.0	0.0	0.12	48.37	7.52	10.09	3.57	9.26	23.87	0.0	0.0	0.76	0.61	0.31	0.21	7.05	4.04	2.18	72.19	79.62	79.03
Prkcdbp	0.0	0.0	0.0	0.0	0.0	43.09	0.0	0.0	0.0	0.0	0.0	0.0	56.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.94	10.24	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.04	2.11	25.79	33.75	36.78
Rab3il1	0.0	0.0	0.0	0.0	0.0	35.25	0.0	0.0	0.0	0.0	0.0	0.0	102.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.6	9.21	10.96	10.39
Ranbp9	0.06	0.0	0.0	0.0	0.0	0.98	0.0	11.97	0.0	0.0	9.12	0.0	55.19	7.09	0.0	0.0	58.16	0.0	40.72	0.0	9.26	1.16	32.09	23.83	0.0	0.0	0.0	0.0	0.0	32.53	0.0	34.38	19.88	14.97	65.58	64.59	60.61
Rbm33	0.0	0.0	0.0	7.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.84	0.0	0.0	0.0	0.0	0.0	0.06	30.78	0.52	6.67	12.56	4.57	0.0	11.54	0.0	0.0	108.62	0.0	0.0	4.41	3.93	4.32	31.73	30.47	35.36
Rhobtb2	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	11.74	0.0	8.47	0.0	0.0	0.1	0.06	0.0	0.0	0.0	3.83	4.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	6.38	5.32	60.65	60.9	53.86
Scaf1	3.87	1.07	0.0	0.0	0.0	0.0	3.28	2.45	0.31	11.8	0.0	6.77	30.86	0.0	0.0	1.15	0.0	7.62	0.43	0.0	7.01	2.92	2.72	1.35	0.0	0.0	0.0	0.0	0.0	4.13	0.13	2.21	2.52	2.56	82.36	94.79	90.63
Sfrp2	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.67	0.0	0.0	0.0	0.0	276.7	0.0	1.18	5.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.87	1.44	2.1	1.79
Sh3bp5l	0.0	3.28	0.0	63.73	0.0	0.0	0.0	0.0	7.74	0.0	20.79	78.52	127.59	0.0	4.22	0.73	0.0	2.32	0.0	0.0	0.0	0.0	3.36	9.55	0.0	0.0	0.0	0.0	0.0	0.65	0.53	3.08	3.65	10.7	37.93	42.11	39.34
Slc37a3	0.05	0.0	0.0	74.46	23.55	0.0	0.53	50.51	0.0	0.0	0.0	0.0	194.14	0.0	0.0	4.52	0.0	12.03	0.0	2.0	58.44	27.25	6.56	20.12	16.68	0.0	0.13	11.65	0.0	0.0	0.0	17.81	34.98	30.04	37.22	34.54	35.28
Slc7a5	0.0	0.0	0.0	57.13	2.3	14.96	10.39	28.34	0.64	0.0	0.0	26.36	103.85	0.0	36.11	0.0	0.0	0.08	30.93	0.0	1.61	20.6	4.99	7.34	0.18	0.0	0.0	34.47	0.44	80.4	0.15	5.95	1.07	2.75	49.64	51.38	45.15
Snx5	0.39	0.0	0.0	71.74	0.0	50.83	0.0	17.43	0.0	0.0	0.21	17.63	382.0	0.0	1.63	0.0	14.22	122.61	0.0	1.62	0.0	37.27	44.75	33.29	0.0	26.55	0.0	0.0	206.08	0.0	0.0	15.18	18.98	14.4	82.55	87.13	83.93
Stk32c	1.12	0.72	0.0	50.29	1.79	28.46	0.0	1.32	0.5	0.0	0.0	9.69	94.71	0.0	0.53	0.47	0.0	73.14	17.84	0.0	1.14	1.62	10.39	0.56	0.0	0.0	0.0	0.26	0.0	0.42	0.0	9.33	3.14	0.37	169.36	171.66	158.34
Syne2	0.0	0.0	0.0	0.0	0.0	4.12	0.49	0.0	0.0	6.08	0.0	0.0	10.58	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	1.59	0.56	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.6	2.37	4.39	3.88	4.57
Synpo	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.22	0.0	11.0	0.0	0.0	0.0	0.0	73.26	0.0	0.0	13.55	19.74	0.0	0.0	0.06	0.0	0.0	0.09	0.0	10.96	12.12	17.75	115.12	119.16	107.25
Tlk1	0.05	0.22	0.0	0.05	0.19	18.3	0.0	0.24	0.0	0.0	0.0	0.0	88.35	1.84	0.0	0.0	0.0	0.0	0.15	0.0	47.2	29.62	30.38	14.8	0.0	0.0	0.0	0.0	0.0	0.0	2.76	55.9	31.79	34.56	73.53	68.48	65.5
Tmem180	0.33	31.36	0.0	0.08	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	65.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.18	4.46	9.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.22	3.33	7.19	23.52	25.51	26.07
Trim45	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	1.57	5.54	6.69	6.48
Trio	0.0	27.34	0.0	0.05	0.0	3.42	0.0	4.19	6.75	6.68	8.18	2.15	33.84	0.16	0.0	1.06	19.76	0.0	0.34	7.8	3.5	0.11	9.31	12.22	0.0	2.28	12.47	9.95	0.0	0.41	0.28	6.93	3.09	2.65	50.68	46.93	49.68
Ttyh1	7.56	3.92	0.55	1.77	0.42	4.32	3.9	1.65	1.11	20.39	0.49	4.5	47.88	1.63	10.76	0.0	13.91	11.02	13.78	2.06	0.0	4.71	96.2	34.11	0.0	2.1	1.17	37.95	0.65	0.08	0.57	15.55	18.18	21.32	290.25	308.4	320.21
Utp15	0.13	0.0	0.07	0.23	0.0	39.56	8.75	2.94	21.45	0.0	0.0	52.42	75.65	0.4	47.37	0.0	26.14	48.23	40.57	0.0	0.08	0.47	20.95	17.81	0.0	0.0	0.07	29.2	0.0	0.0	0.0	6.07	9.09	13.3	20.29	20.09	18.04
Zfp518a	0.03	0.0	0.0	0.0	48.76	0.05	0.44	0.0	0.0	0.0	42.27	0.0	134.08	0.0	65.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	3.51	7.97	0.0	20.07	0.0	0.0	0.0	0.0	2.42	3.18	4.06	4.85	3.17	4.97
