	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ptgds	48907.82	54843.26	56522.07	60719.49	40932.13	47873.29	36019.29	55284.07	53160.05	295.67	1497.69	1644.65	1231.28
Pxk	0.0	0.0	0.93	0.0	411.09	0.0	0.0	0.0	0.0	7.42	29.67	27.75	29.94
Rasd1	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	9.57	13.05	7.12
Rchy1	2.86	8.52	10.9	3.44	69.3	1.71	0.79	1.12	0.0	26.79	35.69	36.47	35.08
Rgs5	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	7.76	48.99	47.14	53.36
Rhbdd1	0.0	0.0	0.0	0.0	128.25	0.0	0.0	0.0	0.51	1.38	4.54	5.49	5.06
Rnf41	2.13	0.0	0.0	0.0	177.97	0.0	0.0	0.32	0.32	25.58	39.3	42.32	38.94
Rpusd4	0.0	0.0	0.0	0.0	484.03	0.0	0.0	0.0	0.0	8.01	9.01	9.53	8.73
Rusc1	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	37.44	119.11	132.83	118.88
Sgms1	0.0	0.18	0.89	0.0	25.54	0.0	0.0	1.42	0.0	6.47	25.38	23.06	23.72
Slc12a8	0.93	6.16	0.55	2.48	234.33	3.73	1.2	1.66	0.0	0.7	1.7	1.43	1.24
Slc22a6	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	4.78	5.29	3.85
Slc6a20b	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.31	0.0	0.11	0.12	0.02	0.09
Solh	0.0	0.0	0.0	0.0	31.28	0.0	0.0	0.0	0.0	0.42	29.12	31.21	32.67
Sp4	0.0	0.0	0.0	0.0	78.83	0.0	0.0	0.0	0.0	6.84	14.63	12.36	13.61
Spef1	0.0	0.0	0.11	0.0	0.28	0.0	0.16	0.0	0.0	1.39	8.16	8.52	7.13
Spg21	0.0	0.0	0.09	0.0	8.37	0.0	0.0	0.0	0.0	3.49	25.57	26.44	23.71
Spry1	0.0	0.0	0.0	0.0	184.43	0.0	0.0	0.0	0.0	0.0	6.63	8.63	8.4
Stx2	0.0	0.0	0.0	0.0	14.95	0.0	0.0	0.0	0.0	1.42	16.58	16.28	17.15
Taz	0.0	0.0	0.0	0.0	415.57	0.0	0.0	0.0	0.0	18.01	48.03	48.91	47.98
Tcea2	0.0	0.0	0.0	0.0	61.93	0.0	0.0	0.0	0.0	14.15	48.87	51.26	50.92
Tcerg1	0.11	0.0	0.0	0.0	42.51	0.0	0.0	0.0	0.0	12.58	46.44	44.13	44.95
Tmem138	0.0	0.0	0.0	0.0	557.08	0.0	0.0	0.0	0.0	58.09	17.11	15.82	15.4
Tmem5	0.0	0.0	0.35	0.18	335.42	0.0	0.0	0.0	17.44	11.84	34.77	36.92	33.19
Tmem80	0.0	0.0	0.0	0.0	645.74	0.0	0.0	0.0	0.0	10.39	37.13	31.79	35.08
Tomm5	0.0	0.0	77.72	0.0	514.3	0.0	0.0	0.0	0.0	228.33	66.29	68.73	59.13
Trappc10	0.0	1.18	0.0	0.0	29.83	0.0	4.62	0.0	0.14	1.29	53.83	56.97	56.18
Trim43a	0.0	0.0	0.55	0.0	13.65	0.38	0.0	0.0	0.0	0.58	1.43	1.01	1.06
Trim60	0.0	0.0	0.1	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.03
Trpt1	0.0	0.0	2.79	0.0	442.4	0.0	0.0	0.0	0.0	13.97	16.8	14.99	14.89
Ubxn2b	0.17	0.0	0.0	0.0	157.16	0.0	0.0	0.0	0.0	19.99	23.69	19.84	22.76
Wdr5	0.0	0.0	0.0	0.08	164.41	0.0	0.0	0.0	0.0	7.29	24.86	23.99	21.86
Xrcc5	0.0	0.0	0.0	0.0	170.73	0.0	0.0	0.0	0.0	10.34	17.82	16.53	17.67
Zdhhc12	0.0	6.91	0.0	0.0	492.46	0.0	0.0	0.0	0.0	18.02	8.28	9.12	7.57
Zfat	0.0	0.0	0.0	0.0	103.52	0.59	0.0	0.0	0.0	1.48	3.74	3.31	3.68
Zfp119a	0.51	0.0	0.14	0.0	384.89	0.53	0.0	0.0	0.0	24.7	3.76	3.45	4.52
Zfp28	0.0	0.0	0.0	0.0	201.06	0.0	0.0	0.0	0.0	1.5	5.99	6.63	6.11
Zfp345	1.0	0.71	1.33	0.44	18.24	1.4	0.2	0.47	0.0	1.32	0.74	0.86	0.95
Zfp449	0.0	0.0	0.0	0.0	123.67	0.0	0.0	0.0	0.0	6.74	3.11	3.37	2.82
Zfp566	0.0	54.13	0.57	0.0	161.32	0.0	0.0	0.31	0.0	17.06	5.59	6.43	5.89
Zfp874a	0.0	0.0	0.0	0.0	173.91	0.0	0.0	0.0	0.0	24.75	12.24	11.29	9.9
Zfp934	0.5	0.0	0.11	0.0	24.84	0.0	0.0	0.0	0.0	16.07	2.3	2.07	2.14
c16_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	262.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c1_SSU-rRNA_Hsa	0.0	0.0	0.0	0.78	111.77	0.0	0.0	0.0	0.0	1.26	3.26	0.0	0.73
c5_SSU-rRNA_Hsa	0.0	0.0	0.0	0.87	4.2	0.0	0.93	0.0	0.0	0.0	1.37	0.0	0.0
c7_tRNA-Thr-ACG_	0.0	0.0	0.0	0.0	39.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
