	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70
Fdft1	0.6	0.44	0.26	212.11	338.75	0.0	0.0	0.0	102.18	62.91	71.39	64.58	344.88	336.88	563.14	62.95	0.0	0.0	698.05	79.34	213.72	162.96	364.12	0.62	79.74	0.0	0.0	0.0	0.0	218.38	1.29	14.53	0.0	0.18	150.82	9.24	478.03
Flrt1	0.04	40.41	37.41	93.7	43.43	0.07	0.0	0.0	19.49	25.16	35.83	53.1	59.78	0.05	51.83	15.22	0.0	81.7	137.0	140.84	102.7	12.79	27.28	92.06	48.94	0.0	0.0	0.0	0.0	12.67	0.0	0.0	0.0	56.83	12.32	34.96	95.57
Fto	6.0	0.62	0.16	269.02	324.98	0.0	0.0	0.0	199.92	204.82	0.12	243.77	181.29	454.63	278.74	366.07	0.0	173.76	416.03	113.13	398.24	198.17	204.48	188.85	92.29	0.0	0.0	0.0	0.0	227.86	0.0	267.57	19.65	29.6	252.18	123.03	597.82
Gabrb1	0.09	13.28	76.09	0.0	16.27	0.0	0.0	0.0	57.97	50.39	112.98	16.96	0.0	72.13	0.0	187.44	39.54	0.0	416.4	24.41	0.0	96.57	10.07	63.51	7.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	415.09	0.0	0.0	0.0	280.95
Gm14430	39.83	0.0	48.94	1.01	38.86	0.0	0.0	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	28.18	56.93	0.0	0.19	9.16	11.59	0.17	0.0	0.03	0.0	0.0	0.45	0.0	7.83	39.65	0.0	22.08	3.76	2.33
Gm14434	39.83	0.0	48.94	1.01	38.86	0.0	0.0	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	28.18	56.93	0.0	0.19	9.16	11.59	0.17	0.0	0.03	0.0	0.0	0.45	0.0	7.83	39.65	0.0	22.08	3.76	2.33
Gm4724	39.83	0.0	48.94	1.01	38.86	0.0	0.0	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	28.18	56.93	0.0	0.19	9.16	11.59	0.17	0.0	0.03	0.0	0.0	0.45	0.0	7.83	39.65	0.0	22.08	3.76	2.33
Gm5086	1.21	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	1.25	0.69	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.38	0.0	1.21
Hcfc1r1	210.14	329.22	134.99	192.0	157.06	14.53	0.0	0.0	149.89	226.92	383.49	280.83	309.18	237.86	37.27	277.3	109.17	172.14	365.71	3.48	210.4	247.09	189.94	231.65	318.13	0.0	0.0	0.0	0.0	0.0	0.56	317.41	137.9	244.12	269.47	126.78	645.6
Htt	0.79	1.96	2.17	4.43	13.39	0.0	0.0	0.0	5.8	0.39	0.87	1.94	2.44	8.92	5.9	7.8	0.35	14.28	18.8	7.22	0.09	1.02	4.57	0.21	5.15	0.0	0.0	0.0	0.0	2.84	0.0	3.5	0.0	30.03	0.11	0.0	16.09
Kcnk1	88.74	0.18	101.35	42.37	6.85	0.0	0.0	0.0	36.82	0.0	0.19	31.57	0.08	126.36	1.08	0.0	0.0	0.14	228.56	15.15	0.0	0.0	29.36	35.13	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	1.0	216.23	0.0	132.29	82.2
Kifap3	160.66	0.41	16.4	38.04	18.02	0.0	0.0	0.0	32.77	104.16	455.47	85.57	90.62	63.96	4.54	222.32	15.74	80.62	202.04	141.8	5.11	193.99	127.67	85.59	90.83	0.0	0.0	0.0	0.0	278.63	0.17	81.26	0.0	77.32	108.78	229.28	345.1
Kpnb1	34.42	32.12	1.59	0.3	59.69	0.0	0.0	0.0	0.0	25.04	97.25	12.38	47.75	0.09	0.0	30.12	0.0	0.93	193.35	0.0	0.0	134.14	2.48	22.24	36.07	0.0	0.0	0.0	0.0	178.8	0.0	0.0	0.0	5.61	17.42	62.43	101.05
Mfsd5	1.21	0.0	0.0	2.36	4.14	0.0	0.0	0.0	0.0	22.56	6.02	4.83	0.44	0.0	0.58	1.17	6.33	7.93	22.42	0.0	0.0	30.48	0.53	2.07	3.01	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	22.24	3.85	0.0	0.0
Miat	0.22	1.23	0.58	0.05	5.67	0.0	0.0	0.0	15.11	7.5	43.15	0.0	17.14	0.0	0.22	5.64	0.14	18.11	82.11	0.1	5.13	52.84	1.02	11.01	0.07	0.0	0.0	0.0	0.0	0.0	0.0	14.53	0.0	1.63	23.18	0.0	77.38
Mrpl35	18.29	11.56	159.1	94.43	12.17	4.0	2.56	6.12	42.5	110.96	217.65	67.92	72.27	7.86	75.18	52.41	107.47	2.27	115.59	176.08	4.24	43.47	93.79	161.38	65.68	2.22	9.21	1.15	0.0	2.62	3.51	58.61	6.58	38.87	143.42	29.16	137.58
Mrps10	339.76	0.21	0.0	44.91	76.54	0.0	0.0	0.0	397.12	91.88	44.04	147.84	124.76	329.55	68.11	8.54	0.0	234.31	366.05	0.0	0.0	16.58	54.46	115.35	147.69	0.0	0.0	0.0	0.0	0.0	0.0	39.21	0.0	0.54	61.51	239.59	594.0
Nol8	0.04	0.0	29.57	0.0	0.0	0.0	0.0	0.0	0.0	15.43	0.3	18.62	19.74	0.0	80.93	0.0	40.9	38.54	201.3	0.0	0.0	10.67	8.44	0.0	8.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26	0.0	0.0	228.31
Osbpl6	37.13	0.05	2.98	19.36	0.02	0.0	0.0	0.0	0.0	7.77	0.0	10.52	0.51	81.34	0.0	0.0	0.0	12.98	162.16	0.0	11.29	2.31	0.0	0.0	6.66	0.0	0.0	0.0	0.0	87.47	0.0	0.0	0.0	0.0	0.0	73.59	133.65
Pja1	725.72	480.05	0.88	472.36	316.15	0.0	0.0	0.19	363.46	615.19	194.36	646.25	548.68	687.23	348.17	403.49	272.27	1187.94	1243.76	1349.48	97.77	758.49	693.99	995.2	432.37	0.0	0.0	0.0	0.0	162.8	0.0	3.19	1147.52	778.1	921.51	762.93	962.61
Preb	18.08	0.0	0.0	0.0	34.5	0.0	0.0	0.0	0.0	0.2	0.0	13.03	63.25	82.44	0.0	37.19	0.12	0.0	120.86	49.83	9.06	0.0	0.0	7.5	29.44	0.0	128.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.44
Prpf19	15.19	3.11	2.35	17.13	16.4	0.0	0.0	0.0	2.07	19.6	13.14	2.08	27.79	0.27	13.11	8.53	0.0	0.06	17.69	26.56	0.0	0.96	8.15	0.23	11.87	0.0	0.0	0.0	0.0	26.88	0.0	0.0	0.11	48.68	9.98	30.69	57.82
Ptpra	1.16	0.17	206.87	5.51	20.23	0.0	0.0	0.0	1.57	8.25	31.16	8.23	2.25	3.36	18.6	6.18	0.0	0.09	267.96	145.19	4.23	1.95	25.95	21.49	22.53	0.0	0.0	0.0	0.0	10.98	3.4	0.0	1.15	239.06	34.17	37.3	73.57
Rimklb	67.5	37.65	0.05	0.89	267.48	0.0	0.0	0.0	194.73	1.77	86.54	21.82	71.89	61.15	84.46	51.72	17.46	7.35	210.9	83.6	1.63	142.66	92.22	5.18	6.55	0.0	0.0	0.0	0.0	91.41	0.0	0.0	0.0	84.5	16.36	10.72	185.43
Slc12a6	8.9	126.02	77.56	54.68	134.35	0.0	0.0	0.07	5.87	77.91	102.25	47.0	50.56	0.09	116.68	4.32	80.84	36.97	171.44	42.06	0.07	0.23	84.39	40.9	150.31	0.0	0.0	0.0	0.0	4.89	17.09	73.57	5.43	48.2	60.88	0.99	149.83
Slc35a1	0.17	1.84	0.19	114.57	156.23	0.0	0.0	0.0	0.0	0.0	0.0	75.81	94.0	0.0	0.0	94.1	0.19	79.81	404.93	117.58	0.0	0.4	67.39	78.27	103.12	0.22	0.0	0.0	0.0	0.32	0.0	0.6	0.73	386.75	0.24	131.94	0.35
Stip1	160.71	195.64	510.03	306.93	384.3	0.0	0.0	0.0	430.45	598.82	279.41	324.02	601.53	673.33	691.62	768.28	99.47	560.86	1190.1	407.36	694.89	455.86	386.53	344.42	591.2	0.21	0.0	0.0	0.0	639.43	0.0	492.0	45.85	720.26	845.06	439.98	376.77
Taf9b	127.63	200.64	0.3	0.0	0.22	0.65	13.22	0.0	0.0	69.99	0.0	91.62	65.74	0.0	122.91	131.01	0.0	132.49	398.57	0.0	0.0	60.72	83.28	8.47	99.81	0.0	0.0	0.0	0.0	338.66	0.0	151.13	0.0	0.0	112.53	56.06	382.55
Tceal5	119.3	93.06	65.02	35.71	69.11	0.0	0.0	0.0	87.09	16.96	83.8	42.07	195.33	65.38	120.65	141.31	123.63	116.46	199.42	18.65	0.42	105.58	82.99	35.53	41.42	0.0	0.0	0.0	0.0	142.23	0.0	17.71	39.74	27.69	72.84	51.05	339.83
Zfp35	142.26	0.0	0.99	143.81	0.06	0.0	0.0	0.0	0.0	40.57	0.0	76.1	0.06	0.31	0.0	108.25	0.0	0.1	327.45	0.14	0.28	146.48	63.98	0.0	44.35	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.09	165.38	0.0	231.37
Zfp445	73.87	0.0	0.0	62.09	5.82	0.13	0.0	0.0	87.35	39.01	53.47	37.72	69.77	28.76	110.14	85.92	0.0	48.37	458.39	208.06	6.46	28.79	21.68	33.82	26.89	0.0	80.32	0.0	0.0	190.94	0.0	11.99	0.12	43.02	1.71	98.46	17.5
Zfp942	0.07	0.0	0.0	36.92	0.06	0.0	0.2	0.12	0.0	51.61	56.41	0.0	36.98	0.0	99.36	0.0	0.0	0.0	383.43	268.78	0.0	0.0	1.38	48.36	20.9	0.0	0.0	12.2	0.0	0.0	0.0	0.0	0.0	160.07	51.67	0.0	289.38
Zfp951	2.07	0.24	0.3	0.75	34.65	0.0	0.0	0.0	1.43	25.16	0.15	20.29	0.78	100.42	30.35	1.29	70.19	0.11	199.89	68.22	0.0	69.81	0.85	0.0	23.99	1.65	6.36	0.0	0.0	0.0	0.0	5.12	36.26	61.25	3.17	0.18	0.0
Zhx1	116.23	18.9	0.04	85.35	79.98	0.0	0.0	0.0	0.0	72.39	52.6	30.43	0.07	0.0	12.74	46.13	0.06	0.0	351.26	81.93	133.39	96.16	27.79	21.59	41.91	0.0	0.0	0.0	0.0	0.6	0.0	23.56	0.0	0.31	5.68	1.0	148.93
Znf512b	15.92	59.11	0.14	143.43	174.8	286.61	0.06	0.0	287.29	85.03	155.5	104.9	93.61	0.0	78.96	68.86	23.49	172.78	460.99	134.78	0.0	192.16	155.95	11.39	121.45	256.27	0.0	0.0	0.0	116.92	0.13	283.83	0.0	55.71	71.27	79.08	381.01
c2_5S	96.55	5.38	0.0	28.88	18.64	0.0	0.0	0.0	0.0	0.0	0.0	8.12	0.0	0.0	0.0	0.0	0.0	0.0	212.32	0.0	0.0	0.0	0.0	0.0	26.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.17
