	Cux2_tdTnegative_cell_6	Nr5a1_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ckmt2	0.0	0.0	0.63	0.0	0.14
Clcnka	0.0	0.0	0.08	0.0	0.04
Cldn7	0.0	0.0	0.2	0.0	0.32
Clec12b	0.0	0.0	0.07	0.0	0.07
Ctla4	0.0	0.0	0.15	0.0	0.11
Ctrb1	0.0	0.0	0.11	0.0	0.12
Cxcr3	0.0	0.0	0.12	0.0	0.06
Cyp2c55	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.06	0.0	0.06
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.11	0.1	0.11
Emr4	0.0	0.0	0.11	0.0	0.03
Esrp2	0.0	0.0	0.11	0.0	0.08
Fmo4	0.0	0.0	0.06	0.0	0.06
Ftmt	0.0	0.0	0.13	0.0	0.07
Fxyd4	0.0	0.0	0.22	0.0	0.2
Fzd2	0.0	0.0	7.59	8.83	7.59
Gckr	0.0	0.0	0.1	0.0	0.25
Gja5	0.0	0.07	0.21	0.34	0.29
Glipr1l1	0.0	0.0	0.23	0.0	0.23
Gm11437	0.0	0.0	0.16	0.0	0.08
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm13277	0.0	0.0	0.15	0.0	0.12
Gm13710	0.0	0.0	0.98	1.14	1.27
Gm14496	0.0	0.0	0.04	0.0	0.08
Gm1587	0.0	0.0	0.07	0.0	0.08
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.08	0.0	0.08
Gm4759	0.0	0.0	0.08	0.0	0.11
Gm4981	0.26	0.0	0.11	0.0	0.06
Gm5544	0.0	0.0	0.11	0.0	0.12
Gm6377	0.0	0.0	0.07	0.0	0.04
Gprc5d	0.0	0.0	0.23	0.0	0.16
Gsta2	0.0	0.0	0.59	0.0	0.49
Gzma	0.0	0.0	0.12	0.0	0.12
H2afy2	0.0	0.0	22.65	23.18	22.58
Hal	0.0	0.0	0.04	0.0	0.04
Heatr7b1	0.0	0.0	0.05	0.0	0.02
Hist1h2ad	0.0	0.0	1.93	0.0	3.06
Hist1h3d	0.0	0.0	1.02	0.0	2.47
Hist2h2ac	0.0	0.0	0.45	0.0	0.44
Hormad2	0.0	0.0	0.07	0.0	0.08
Hsd3b2	0.0	0.0	0.12	0.0	0.27
Ibsp	0.0	0.0	0.2	0.0	0.26
Ifi202b	0.0	0.0	0.06	0.0	0.11
Igsf1	0.0	0.0	2.85	4.08	4.1
Il6	0.0	0.0	0.09	0.0	0.19
Iqcf5	0.0	0.0	0.58	0.0	0.4
Jmjd4	1.43	7.92	24.5	22.54	23.79
Junb	0.51	0.0	196.13	175.03	93.13
Kcnk7	0.0	0.0	0.18	0.0	0.09
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Krt25	0.0	0.0	0.24	0.0	0.06
Krt40	0.0	0.0	0.15	0.0	0.16
Lect2	0.0	0.0	0.12	0.0	0.12
Lgals2	0.0	0.0	0.18	0.0	0.36
Lipm	0.0	0.0	0.11	0.1	0.11
Lrr1	0.0	0.0	0.13	0.0	0.27
Lrrc10	0.0	0.0	0.07	0.0	0.14
Lrriq4	0.0	0.0	0.04	0.0	0.02
Mageb3	0.0	0.0	0.09	0.0	0.18
Mgst2	0.0	0.0	0.35	0.0	0.18
Mir1892	0.0	0.0	6.35	0.0	0.63
Mtmr14	0.0	0.16	15.6	13.83	12.34
Muc4	0.0	0.0	0.02	0.0	0.02
Muc5ac	0.0	0.0	0.02	0.0	0.01
Mucl1	0.0	0.0	0.12	0.0	0.13
Ncr1	0.0	0.0	0.07	0.0	0.07
Nespas	0.0	0.0	0.13	0.0	0.09
Nox4	0.0	0.0	0.06	0.0	0.06
Oaz3	0.0	3.31	5.76	5.93	5.94
Olfr111	0.0	0.0	0.47	0.0	0.5
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Olfr53	0.0	0.0	0.27	0.0	0.19
Olfr550	0.0	0.0	0.19	0.0	0.4
Olfr691	0.0	0.0	0.1	0.0	0.22
Ostn	0.0	0.0	0.32	0.0	0.16
Otc	0.0	0.0	0.04	0.0	0.09
Otx2os1	0.0	0.0	0.14	0.0	0.14
Pax8	0.0	0.0	0.08	0.0	0.04
Pla2g10	0.0	0.0	0.3	0.0	0.31
Ppyr1	0.24	0.0	0.0	0.0	0.05
Prps1l1	0.0	0.0	0.06	0.0	0.06
Rab17	0.0	0.0	0.06	0.0	0.13
Rab3ip	0.0	16.37	30.77	29.14	28.1
Rad54l	0.0	0.12	0.62	0.4	0.49
Raet1d	0.0	0.0	0.16	0.0	0.16
Rbak	5.48	6.48	10.16	9.94	10.23
Rbp3	0.0	0.0	0.04	0.0	0.06
Rbp7	0.0	0.0	0.17	0.0	0.36
Rhou	0.0	0.32	32.02	36.28	32.18
Rnf180	0.0	0.0	7.0	6.12	6.03
Rnu73b	0.0	0.0	2.86	0.0	5.91
Saa1	0.0	0.0	0.17	0.0	0.35
Samd7	0.11	0.0	0.23	0.0	0.12
Siglec15	0.0	0.0	0.2	0.0	0.1
Slc34a2	0.0	0.0	0.05	0.0	0.05
Slc3a1	0.0	0.0	0.11	0.0	0.12
Slc5a10	0.0	0.0	0.09	0.0	0.14
Slc6a11	0.0	12.22	91.39	91.42	98.55
Slco1a5	0.0	0.0	0.08	0.0	0.13
Slfn1	0.0	0.0	0.05	0.0	0.06
Slfnl1	0.0	0.0	0.06	0.0	0.06
Snora20	0.0	0.0	4.06	0.0	8.37
Snord19	0.0	0.0	11.45	0.0	5.91
Snord37	0.0	0.0	6.08	0.0	12.56
Snord38a	0.0	0.0	4.42	0.0	4.57
Snord49a	0.0	0.0	3.89	0.0	4.02
Spatc1	0.0	0.0	0.06	0.0	0.13
Speer4e	0.0	0.0	0.33	0.0	0.16
Ssxb2	0.0	0.0	0.11	0.0	0.28
Tcstv1	0.0	0.0	0.12	0.0	0.12
Tex12	234.87	0.0	0.34	0.0	0.52
Tfdp2	0.0	0.03	17.23	15.54	16.2
Tgm1	0.0	0.0	0.25	0.0	0.11
Tor1aip1	0.0	0.0	22.99	21.69	21.05
Tspan10	0.0	0.0	0.05	0.0	0.1
Tulp2	0.0	0.0	0.06	0.0	0.11
Usp26	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn2r37	0.0	0.0	0.1	0.0	0.08
Wdr64	0.0	0.0	0.03	0.0	0.05
Xcl1	0.0	0.0	0.21	0.0	0.22
c10_tRNA-Thr-ACA	0.0	0.0	3.41	0.0	3.92
c1_SSU-rRNA_Hsa	0.0	0.0	3.26	0.0	0.73
c5_tRNA-Met	0.0	0.0	2.78	0.0	5.74
mt_AK131586	7.36	0.31	25813.35	24091.17	24561.45
mt_AK166684	0.0	19.39	18796.57	17507.83	18655.33
mt_BC104337	0.0	6.56	9032.87	8417.95	8583.15
