	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ints3	0.0	0.0	0.0	40.59	40.97	41.35
Kcnt1	0.0	0.0	25.01	77.78	78.9	85.59
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kifap3	0.0	0.0	6.09	227.83	218.82	209.65
L1cam	0.0	0.0	0.0	86.35	85.24	89.45
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lss	0.31	0.0	0.0	18.59	20.62	23.66
Mgat5	0.0	0.0	0.0	35.1	31.66	38.04
Nt5dc3	3.14	0.74	12.08	67.85	65.67	69.07
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr56	0.0	0.0	0.0	0.1	0.05	0.05
Pdlim5	0.0	0.0	0.0	15.21	14.9	16.72
Phf20	0.0	0.0	18.78	38.64	38.91	38.79
Pln	0.18	0.0	0.0	1.17	1.27	1.73
Polr3gl	4.0	2.17	3.72	24.42	25.97	26.68
Pou2f2	0.0	0.0	0.28	4.68	3.6	5.8
Ppard	0.0	0.0	0.0	16.82	16.03	16.36
Prpsap1	0.0	0.0	9.77	40.51	43.83	42.81
Slc8a2	0.0	0.0	0.0	196.02	207.87	203.44
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
St8sia2	0.0	0.0	0.0	2.35	2.2	2.64
Ston1	0.0	0.0	0.0	3.37	2.93	2.74
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfcp2l1	0.09	0.0	0.22	2.51	2.46	2.58
Tgoln1	1.71	0.0	37.02	87.0	88.94	86.31
Thrap3	0.0	0.0	70.34	80.29	76.35	78.28
Tmco7	0.0	0.0	0.0	3.87	3.82	4.09
Tmod2	0.13	0.15	57.02	147.06	135.01	149.73
Tpd52	0.0	0.0	11.82	74.98	75.6	75.45
Treh	0.0	0.0	0.0	0.1	0.05	0.05
Trim2	0.13	0.0	47.26	107.53	98.64	106.4
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttl	0.0	0.0	5.01	54.87	53.68	53.04
Ube4a	1.48	0.0	3.9	36.49	35.63	34.35
Urb1	0.0	0.0	0.0	6.88	7.37	7.51
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vhl	0.0	0.0	0.0	43.35	44.91	42.76
Vti1a	0.0	0.0	0.0	45.2	40.67	39.75
Wdr26	89.17	1.5	15.24	56.0	53.04	55.65
Wdr54	0.0	0.38	0.0	18.99	22.21	18.71
Zbtb33	0.0	0.0	0.0	19.54	17.59	17.1
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK131586	6370.03	3744.02	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
