	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_16	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_65	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_5	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_35	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_53	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Klc1	2.17	105.99	0.0	0.0	0.0	0.0	3.71	284.66	0.0	0.0	0.74	0.0	0.17	0.0	0.0	0.0	0.0	1.09	0.0	15.52	0.0	78.45	80.46	31.64	7.96	19.68	33.9	21.36	34.11	42.48	75.57	58.76	41.2	0.0	0.14	0.12	0.0	240.07	4.64	2.86	0.0	0.27	0.0	0.0	0.0	0.33	15.3	187.79	19.96	37.81	0.0	15.62	0.07	215.81	0.0
Mir690	24444.4	19614.13	11289.26	26828.41	12459.42	16968.11	14334.52	25738.25	9673.58	18854.32	15049.77	16214.59	16795.17	18365.55	7826.53	15562.4	14106.8	30464.78	15214.15	17811.71	13213.5	30528.33	39867.27	42000.18	28765.87	28695.45	15669.95	18562.5	37370.15	37614.4	24336.09	23271.48	32522.04	17241.06	27509.93	22371.82	44948.68	18757.58	42282.55	13709.43	27759.51	24726.6	17671.81	35532.88	23237.11	16696.03	14928.07	18562.04	10997.04	48007.3	26597.61	15605.4	17318.28	23496.94	26521.64
Ndufa6	180.51	333.13	427.29	0.0	429.74	31.52	471.58	786.92	0.0	0.0	202.09	296.48	577.31	0.0	0.6	0.0	0.58	723.73	1.16	430.17	12.3	803.03	788.25	746.99	829.15	1118.42	276.35	612.38	793.13	914.34	982.19	689.37	1157.58	451.83	995.43	2.87	770.22	616.64	3.0	1.41	2.77	851.5	529.32	286.95	2.7	593.44	496.79	295.36	885.27	853.62	270.17	794.21	1.38	803.61	0.0
Ogfrl1	7.2	29.51	0.0	0.0	0.0	0.0	34.67	60.02	0.0	0.0	0.0	0.0	168.09	0.0	0.0	0.0	0.0	0.53	0.12	8.01	0.23	10.78	37.93	66.71	1.45	15.41	0.17	8.41	2.99	46.9	63.0	8.13	12.46	120.47	0.13	0.06	0.3	53.66	0.0	0.0	0.0	18.17	0.0	0.0	0.0	44.42	0.0	220.14	153.14	5.99	0.0	2.18	0.0	100.41	0.0
Olfm1	1.76	187.28	0.0	0.0	0.0	0.0	298.34	831.24	0.0	0.0	189.96	300.16	0.41	0.0	0.0	0.0	0.0	691.6	0.0	444.01	8.25	38.99	128.01	117.36	493.15	302.4	32.22	399.94	573.35	490.9	962.74	232.1	425.78	0.7	0.12	0.33	1.63	1981.35	0.29	0.27	0.0	0.9	0.0	0.0	0.0	89.1	155.17	1626.84	368.41	363.75	1.2	685.69	0.38	1199.15	0.0
Osbpl8	2.04	0.76	0.77	1.46	1.11	92.78	2.64	2.83	0.0	2.88	6.2	1.44	4.29	2.9	0.05	0.89	2.3	2.3	1.73	36.82	3.22	93.13	52.3	48.72	46.9	57.14	95.75	25.44	70.43	97.03	79.63	34.19	1.91	1.5	2.28	37.89	3.92	120.76	2.46	0.83	20.23	1.94	2.84	6.59	80.13	71.73	1.85	23.19	130.08	64.44	5.14	37.19	3.32	78.08	2.71
Pgam5	0.0	0.08	0.0	0.0	0.0	0.0	15.57	101.15	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.82	0.0	3.77	4.11	1.18	57.16	0.0	1.82	15.81	0.0	1.35	4.04	41.55	1.01	0.0	0.0	0.0	0.0	65.92	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	87.71	176.02	0.0	0.2	0.37	0.0	7.49	0.0
Ppp3cb	92.13	0.04	0.0	0.0	0.0	0.0	52.53	147.94	0.0	0.0	0.11	5.63	0.11	0.0	0.0	0.0	0.0	1.99	0.0	87.01	1.88	148.74	180.11	30.07	57.15	86.06	146.16	161.95	51.92	89.93	169.69	133.83	139.92	0.0	0.0	0.0	0.19	135.62	0.0	0.0	113.18	0.0	0.0	0.0	0.0	65.89	4.56	202.44	9.71	163.98	0.43	45.96	0.14	303.84	0.0
Prkacb	206.04	72.26	0.0	0.0	41.23	0.0	311.04	510.17	0.0	0.0	6.03	33.51	219.57	0.0	0.0	0.0	0.0	161.16	0.0	167.25	1.99	333.99	417.2	287.28	36.51	158.78	533.18	864.27	145.77	70.36	378.02	159.1	86.37	0.48	0.23	0.28	0.69	444.43	0.18	0.0	0.0	0.46	0.33	0.0	0.0	203.81	283.96	377.64	134.61	267.86	1.38	510.3	22.8	604.54	0.0
Prrt2	115.72	0.56	0.0	0.0	0.0	0.0	145.93	20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	231.77	0.0	11.45	32.21	31.59	71.45	58.62	2.26	107.04	40.79	79.64	35.07	19.87	7.76	0.27	0.0	0.0	0.29	21.41	0.0	0.15	0.0	0.0	0.14	0.0	0.0	6.97	47.38	127.86	301.29	30.93	0.33	131.68	0.36	94.56	0.33
Rab6b	2.56	141.16	0.0	0.0	0.0	0.0	270.95	428.55	0.0	0.0	4.87	7.92	38.72	0.0	0.0	0.0	0.0	125.15	0.0	83.93	0.88	148.03	124.59	71.58	54.47	73.8	113.59	50.57	128.23	36.48	531.76	45.66	14.61	0.57	0.0	0.19	0.76	880.05	0.16	0.0	0.0	0.0	37.52	0.13	0.0	93.57	34.29	299.95	94.25	34.61	0.61	188.34	0.19	276.96	0.0
Rmnd5a	0.0	0.0	0.0	13.01	0.0	0.67	87.92	13.21	0.0	0.0	1.39	0.05	0.07	1.61	0.0	0.0	5.25	0.0	0.0	5.25	77.98	15.81	0.0	15.46	1.77	0.0	0.03	1.02	0.0	1.23	44.61	27.2	10.14	0.0	0.05	0.19	0.0	79.42	0.0	0.0	0.0	0.1	0.17	0.0	0.0	0.06	0.06	199.28	169.7	0.35	0.0	56.74	0.06	146.79	0.0
Syn2	66.91	8.46	0.0	0.0	0.0	0.0	105.75	320.41	0.0	0.0	0.13	0.09	7.35	0.0	0.0	0.0	0.0	68.82	0.0	182.68	2.17	40.87	21.48	41.39	61.21	77.04	112.57	206.86	43.95	43.85	141.38	90.5	56.76	0.2	0.08	0.08	0.19	253.06	0.2	0.47	0.0	0.5	0.0	0.0	0.14	52.52	0.1	358.72	77.94	82.83	0.23	105.68	1.7	476.17	2.15
Txndc15	0.0	0.12	1.21	0.0	0.0	0.0	27.21	91.23	0.0	0.0	0.0	0.0	249.63	0.0	0.0	0.36	0.0	199.19	0.0	0.61	53.89	6.29	43.21	6.69	87.76	18.31	0.14	40.73	7.02	5.1	58.02	66.84	0.9	0.0	0.0	0.0	0.0	90.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587.25	0.11	0.28	8.16	0.0	0.0	0.0
Ubl4	0.93	31.91	0.0	0.0	0.0	0.0	0.61	257.38	0.0	0.0	0.0	0.14	0.19	0.0	0.0	0.0	0.13	301.4	0.0	125.55	4.78	79.14	44.71	122.75	19.78	0.19	105.63	28.98	58.71	249.95	0.48	43.76	121.81	0.31	0.15	0.0	0.66	89.25	0.7	0.0	0.0	0.59	0.0	0.0	0.0	78.69	99.11	349.04	642.96	136.54	0.0	164.09	0.4	3.62	0.0
Wasf1	90.0	136.07	0.0	0.0	0.0	0.0	128.45	417.94	0.0	0.0	62.65	0.86	275.88	0.0	0.0	0.0	0.0	144.5	0.0	436.9	3.3	208.12	248.78	314.73	475.59	226.56	240.58	54.46	344.33	291.29	410.58	505.02	420.06	0.0	0.25	0.0	0.29	559.86	0.3	123.7	0.0	0.25	0.28	0.0	0.0	81.64	298.41	442.27	108.31	270.48	0.98	180.7	105.29	589.92	0.0
Zdhhc17	172.57	121.41	0.0	0.0	0.0	0.0	3.07	0.0	0.0	2.64	0.1	7.83	0.0	0.0	0.0	0.0	0.0	0.56	0.0	144.2	0.46	80.55	118.23	39.91	0.6	39.03	95.05	59.0	55.53	33.61	12.84	28.95	3.25	2.08	0.0	11.87	0.0	74.2	0.17	0.0	0.0	0.28	0.0	0.13	179.4	0.0	2.11	27.61	141.12	0.0	0.27	86.3	0.27	0.0	0.0
Zfp433	0.0	288.89	0.15	0.0	0.72	0.0	6.09	7.87	0.0	1.02	19.7	3.61	0.92	0.0	1.46	0.0	0.0	9.47	2.0	0.4	0.0	60.94	31.39	0.32	2.32	3.41	127.4	3.58	12.11	135.61	6.57	42.68	2.55	0.0	0.59	1.59	0.39	0.35	0.0	7.45	0.0	0.0	0.0	0.0	0.37	49.98	1.34	0.56	512.79	6.71	44.58	13.34	0.08	1.81	43.71
