	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_22
Ldhb	7486.96	6607.22	8970.97	5274.92	8550.52	10118.08	10894.4	10165.1	9602.81	11261.44	10004.69	8757.21	13571.31	6655.09	12546.17	9755.78	7095.61	11010.48	8671.45	10182.84	7891.81	7928.56	11746.38	0.0
Man2c1	0.0	0.75	0.0	0.0	0.0	4.93	3.7	0.0	0.0	0.0	37.13	0.0	1.47	1.33	21.11	36.25	0.0	0.17	1.92	0.0	64.28	66.3	0.0	0.0
March6	0.0	2.61	8.82	0.0	63.78	85.72	1.59	54.53	32.48	0.24	26.75	23.62	1.41	98.01	16.15	48.65	29.65	5.13	40.45	42.88	120.22	16.91	2.28	0.0
Mdga2	39.8	1.29	0.1	0.0	26.75	0.02	1.11	0.31	11.69	14.9	5.23	12.59	2.86	28.66	21.59	0.29	1.39	0.92	23.18	0.27	4.35	21.48	2.37	0.07
Mid1ip1	468.67	0.0	0.0	0.0	0.0	0.0	6.09	1.59	5.17	4.75	47.81	0.0	0.0	0.0	39.82	0.0	0.0	1.85	0.0	0.22	34.71	5.93	36.67	0.0
Mrps31	0.0	43.51	95.46	0.0	115.82	46.16	37.02	77.8	111.44	6.91	29.36	12.45	88.3	103.01	77.14	143.58	49.71	26.78	81.01	47.57	198.06	53.59	61.85	0.0
Mtap7d2	14.26	33.64	45.31	0.0	149.65	68.33	102.4	136.45	129.61	42.87	58.56	40.54	149.62	181.71	49.93	96.35	92.38	59.11	64.54	25.63	197.17	291.08	164.5	0.0
Mysm1	6.95	14.0	0.16	0.0	17.23	0.0	9.37	53.07	0.32	51.29	18.79	30.55	24.46	24.83	36.99	82.22	14.43	71.74	48.89	27.86	130.17	56.81	46.21	0.0
Nfrkb	0.0	0.02	0.0	0.0	0.0	14.51	0.0	0.0	0.0	14.01	16.71	0.0	3.41	0.0	0.0	7.6	1.89	15.52	0.0	0.09	15.61	25.41	0.15	0.0
Nos1ap	0.0	0.0	0.0	0.0	42.64	0.0	0.0	10.46	34.85	36.16	9.22	4.0	19.93	70.77	0.27	44.0	24.99	43.77	0.0	0.0	48.19	0.0	4.89	0.0
Opa1	0.0	0.0	0.0	0.0	0.0	10.84	34.31	78.56	14.33	60.71	13.39	51.25	71.65	17.08	35.02	18.09	3.29	52.77	28.28	55.49	114.11	3.64	41.42	0.0
Phospho2	0.0	0.0	0.0	0.0	0.0	0.24	7.77	2.48	103.76	0.0	95.73	13.41	14.88	160.53	124.66	5.52	59.43	49.02	45.86	62.03	114.75	3.55	23.72	0.17
Ppp3r1	0.0	28.33	17.92	0.0	210.18	38.25	106.31	144.26	26.8	81.96	83.37	84.9	86.69	124.71	8.22	28.61	39.6	33.91	44.1	10.06	139.29	57.59	84.96	15.87
Pvalb	0.0	0.28	0.0	0.0	2914.72	1319.97	2144.98	1316.24	1724.33	1740.57	1769.21	1277.26	1408.27	1444.32	1731.8	1974.07	1010.05	1295.74	1759.25	1914.29	2248.99	2567.22	3516.69	0.0
Rab18	0.0	99.08	119.96	153.67	330.64	273.36	169.09	356.29	160.03	443.64	489.2	81.39	354.21	224.25	329.97	375.23	178.32	135.73	121.9	462.5	467.99	303.88	264.31	79.96
Rab27a	0.39	0.14	0.0	0.12	0.81	0.16	2.43	16.68	4.43	0.84	15.64	0.83	16.18	16.12	13.5	1.8	0.2	4.02	1.42	15.21	34.06	27.54	10.01	0.0
Rbm26	90.65	0.0	5.56	2.94	68.01	32.4	18.61	65.91	57.99	20.99	24.8	19.55	29.2	18.28	26.21	49.99	36.26	27.78	55.83	26.68	226.81	81.96	37.52	0.0
Reln	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	5.46	0.0	0.0	0.05	0.0	24.35	0.2	0.0	0.0
Selm	0.0	364.81	428.24	0.0	594.7	445.22	366.42	269.16	373.66	183.23	471.65	493.1	527.63	837.99	582.33	395.61	292.95	276.62	329.91	201.52	531.23	453.61	312.57	0.0
Sept11	0.09	234.68	214.35	0.0	213.35	354.68	153.57	144.58	248.85	226.45	176.71	155.84	190.25	295.71	202.39	171.78	184.65	254.4	170.97	177.07	231.35	490.71	134.62	0.07
Sept6	0.0	63.19	0.0	0.0	93.21	64.05	28.83	22.68	36.25	0.0	0.0	0.86	69.07	52.74	44.08	67.39	17.58	46.72	72.77	110.68	168.24	165.21	50.11	0.0
Skint3	0.08	0.26	0.0	0.0	0.0	0.0	0.09	0.15	0.0	0.36	0.25	0.0	0.23	0.39	0.0	0.24	0.0	0.3	0.51	0.25	0.15	0.64	0.18	0.0
Slc1a6	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.36	0.0	0.42	0.0	0.0	0.0	0.0	76.57	0.0	1.5	0.0
Slc25a27	0.0	0.0	0.0	0.14	0.12	2.96	0.0	0.97	0.0	2.1	30.29	0.13	0.0	89.23	4.73	7.97	5.3	20.73	16.58	3.37	80.4	81.99	8.63	0.0
Slc25a32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.43	3.26	0.0	18.94	0.0	0.0	16.44	5.68	0.0	0.0	0.0	1.47	0.0	34.17	0.0	0.0	0.0
Slc6a18	6.72	0.35	0.75	0.34	6.97	0.0	2.19	2.98	3.62	5.58	1.23	2.73	1.63	4.06	2.95	5.13	1.57	4.38	4.7	4.4	7.72	5.4	5.22	0.09
Smek2	0.0	0.0	0.0	0.0	12.78	0.0	0.0	30.84	25.26	42.95	3.15	10.34	1.02	0.0	19.48	26.59	7.81	22.06	55.5	33.54	49.86	35.3	18.53	27.69
Snrpg	1.38	0.71	0.0	0.0	169.07	304.5	93.4	28.39	101.66	151.16	171.31	24.33	159.8	201.46	111.91	52.07	71.81	157.07	191.98	84.41	44.98	93.41	169.86	0.0
Spna2	0.0	15.62	27.23	0.06	27.04	13.98	69.83	24.82	44.9	102.52	61.02	68.87	34.11	100.26	48.15	35.37	36.67	54.22	105.38	15.28	114.26	76.49	78.86	0.0
Sspn	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0
Taf8	0.0	0.18	0.0	0.0	0.0	0.0	0.0	19.38	0.0	19.31	0.0	0.0	0.0	11.79	15.28	15.98	15.56	0.0	0.0	0.0	27.39	44.28	0.35	0.0
Tatdn1	0.35	31.4	0.0	0.0	73.3	6.52	82.9	30.6	1.72	0.0	44.1	49.61	0.21	0.33	5.5	0.0	30.41	26.22	0.0	0.0	37.87	104.22	33.74	0.0
Tdrd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.15	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0
Tfcp2l1	0.76	0.04	0.16	0.0	0.45	0.17	0.2	0.16	0.65	0.24	0.42	0.11	0.03	0.29	0.15	0.69	0.68	0.14	0.94	0.22	0.53	0.61	0.45	0.0
Tm2d1	0.0	0.0	0.52	0.0	0.0	0.0	0.0	13.69	0.0	0.0	0.0	0.0	44.53	0.0	0.0	37.18	0.0	61.95	0.0	144.83	39.92	101.34	0.0	0.0
Tmem194b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	0.0	25.11	0.0	0.0	21.39	0.0	61.67	11.7	0.0	0.0	2.82	32.47	21.4	0.0	0.0
Tmem62	0.0	0.0	0.0	0.0	0.0	0.0	70.96	36.44	0.0	5.79	68.15	0.0	50.16	22.96	0.0	42.35	4.91	4.7	0.0	22.05	82.38	3.95	0.61	0.0
Tnip2	0.0	0.0	0.0	0.0	0.16	0.13	39.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.96	0.0	11.77	0.0
Trnp1	0.0	0.07	51.49	0.0	101.28	62.9	4.69	33.06	31.78	2.74	145.72	17.61	111.77	0.78	31.56	96.66	4.82	196.42	73.47	3.88	8.91	14.14	30.39	0.0
Ttc3	23.63	252.55	248.69	93.72	448.81	320.47	306.27	306.26	353.04	355.23	374.19	247.11	315.46	425.66	337.04	351.61	395.71	341.99	361.55	415.61	364.82	484.55	284.74	0.0
Unc80	0.0	3.44	4.11	0.0	50.87	12.71	31.63	56.57	14.79	17.14	20.37	44.61	36.45	69.38	22.86	23.19	12.9	15.24	27.52	11.05	32.15	25.65	39.04	0.0
Usp8	0.0	44.73	0.0	0.0	52.76	0.71	16.01	70.98	19.29	7.44	40.69	86.05	83.58	4.83	44.43	91.55	8.18	12.69	96.53	4.94	154.89	2.32	45.21	0.0
Wdfy3	0.0	0.45	1.47	0.03	28.99	0.0	9.21	21.19	25.58	16.26	19.95	0.02	11.21	11.65	11.93	7.74	8.61	2.34	7.27	6.56	26.96	26.02	21.12	0.0
Wdr45l	0.0	0.0	0.0	0.0	0.0	2.95	5.93	0.56	1.18	0.0	69.25	0.0	0.95	178.27	102.66	0.19	67.08	0.0	114.34	76.6	211.99	86.34	58.78	0.0
Wdr76	13.81	0.0	0.0	2.93	0.29	0.0	1.79	6.83	0.21	0.57	0.0	0.32	0.9	7.0	4.97	0.1	3.14	33.53	27.45	10.14	24.28	0.0	0.44	0.0
Zc3h15	140.97	0.13	4.28	0.0	117.35	166.39	159.2	114.8	149.69	63.23	128.58	78.89	197.79	138.35	40.94	29.1	78.35	55.16	45.89	81.52	212.9	147.21	55.57	0.0
Zfp235	0.0	0.07	0.0	0.1	8.78	0.0	38.17	11.7	0.0	0.0	0.17	29.67	3.61	66.56	0.0	46.72	24.72	43.89	0.0	16.33	94.69	71.63	30.59	0.0
Zfp266	139.35	3.01	1.85	0.0	1.73	14.31	37.25	63.53	37.14	31.88	19.93	62.88	38.24	78.42	81.59	96.09	26.95	21.41	0.0	41.77	122.14	140.36	40.33	0.0
c5_5S	0.0	7.13	0.0	0.0	14.82	0.0	0.0	14.64	0.0	11.31	0.0	0.0	8.19	0.0	0.0	10.72	66.72	0.0	18.81	0.0	32.65	76.63	0.0	0.0
