	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_74	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Abcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	1.55	1.2
Ablim1	0.0	0.0	0.0	80.67	24.53	37.38	22.16	50.53	15.19	23.71	2.89	9.56	38.94	51.32	24.44	1.8	1.11	6.09	62.02	5.16	0.51	9.6	93.6	9.31	8.59	2.82	6.79	7.11	5.43	21.52	9.53	80.23	6.12	33.59	81.92	23.05	23.32	20.49	22.59	19.13	61.87	57.92	60.01
Adamts5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.69	0.9
Agpat6	0.0	21.61	0.0	0.58	44.05	21.8	20.83	0.0	40.45	37.06	55.21	103.88	45.44	65.15	57.51	30.61	89.92	14.45	52.34	16.71	0.0	8.73	167.69	11.66	89.67	1.51	36.56	0.63	0.0	16.26	99.5	107.17	36.03	117.55	52.41	61.82	23.61	101.94	30.84	25.27	59.42	61.46	58.92
Amigo1	0.0	1.02	0.0	0.0	3.71	0.0	0.14	0.0	44.52	23.82	0.0	5.29	23.4	20.91	0.16	8.17	0.0	5.21	34.63	0.0	0.0	14.02	142.17	0.0	0.31	0.0	13.18	37.73	2.15	26.48	21.51	11.14	0.0	0.0	16.55	0.11	14.39	32.76	47.73	6.44	58.86	60.1	60.6
Arhgap23	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.05	5.81	2.94	0.0	0.0	0.0	0.0	0.0	0.09	0.6	0.0	0.0	0.0	0.88	7.05	21.38	0.0	0.0	0.0	0.09	0.1	0.0	1.19	0.0	0.23	0.53	0.0	0.0	1.95	5.85	8.61	0.0	15.34	59.14	63.67	65.13
Btnl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0
C2cd2l	0.0	0.0	0.0	0.0	0.0	11.53	0.0	1.6	0.0	0.0	0.0	6.36	13.89	12.8	0.0	0.0	0.13	0.0	1.34	0.0	0.0	0.0	30.46	0.0	0.0	0.0	0.0	0.06	0.0	2.15	10.53	0.0	0.09	0.18	0.0	0.99	2.2	5.99	1.14	0.0	101.81	111.13	100.46
Caprin1	0.0	0.25	0.0	95.75	37.23	40.45	17.63	13.25	22.88	32.79	21.31	22.34	61.41	30.25	29.59	24.56	58.76	47.99	46.27	0.75	32.13	58.49	133.46	5.62	101.05	43.96	53.36	56.58	69.78	42.29	36.44	50.75	53.0	87.31	4.85	103.9	19.35	92.66	52.2	49.99	140.83	135.83	136.58
Casp2	0.0	0.07	0.0	0.0	0.0	24.54	0.0	0.0	0.0	0.0	0.0	21.92	0.96	0.0	0.0	0.0	4.59	0.0	0.0	0.0	0.0	0.0	73.83	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.77	9.37	10.73
Ccl27b	0.0	0.54	0.0	9.27	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	1.16	0.0	0.0	0.0	24.17	0.0	3.31	2.97	0.0	3.28	0.0	0.0	11.61	2.62	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	9.34	30.63	28.29	22.96
Cdc40	2.1	0.0	0.0	54.9	20.98	13.33	63.27	0.07	10.18	0.0	43.76	7.42	13.29	0.19	30.4	67.28	15.37	33.25	28.44	0.0	0.36	2.94	121.37	0.0	99.3	0.0	12.06	15.29	44.86	28.05	3.11	5.19	57.68	0.0	0.0	0.32	0.0	0.0	13.51	0.0	38.12	37.83	36.56
Cdk6	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.45	0.0	0.26	0.0	0.0	0.0	1.66	0.0	0.85	0.0	1.16	0.0	0.94	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.79	1.45
Cngb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
Cntn2	0.05	2.93	0.0	2.87	4.6	7.17	0.18	0.0	0.0	6.65	7.45	0.28	0.27	1.05	1.79	4.46	0.28	0.65	3.66	9.6	0.07	7.79	40.49	10.8	0.01	0.24	5.83	0.02	4.19	15.95	0.0	0.44	0.42	1.87	1.1	1.43	0.0	0.54	0.51	1.35	41.44	42.63	43.21
Col11a1	0.0	0.0	0.0	0.0	0.0	0.24	7.22	0.0	0.78	8.57	0.0	0.22	0.0	10.0	0.0	3.97	6.97	0.0	0.79	2.3	0.0	6.23	45.0	23.35	0.0	18.78	0.0	9.81	0.0	0.06	10.51	0.0	0.22	3.73	0.06	0.73	0.0	0.0	0.0	11.92	7.67	6.41	8.47
Col9a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.55	0.0	0.0	0.0	3.93	0.0	0.0	0.0	0.0	4.6	6.26	5.34
Cox5a	0.0	35.03	0.0	47.08	94.5	66.73	33.53	179.82	96.47	72.43	29.66	98.36	101.33	115.8	102.54	49.46	82.54	36.44	121.15	73.84	29.0	69.37	189.8	31.57	52.24	36.41	79.47	197.66	71.58	57.02	91.96	42.99	25.6	165.82	5.63	19.12	163.18	130.76	45.35	63.72	317.86	343.95	311.57
Csnk2a1	0.0	0.12	0.0	8.27	18.12	19.57	14.89	25.98	33.17	24.36	11.32	2.06	55.16	48.91	22.38	19.85	9.52	7.2	48.38	6.01	0.14	23.66	41.45	9.49	10.53	5.85	10.79	15.82	39.43	38.67	14.76	14.83	9.1	33.74	11.85	12.35	13.03	26.4	29.87	4.18	77.48	76.29	75.41
Dapp1	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	4.44	4.03	3.57
Dazap1	0.0	0.0	0.0	0.0	6.33	0.86	0.0	0.24	2.32	0.37	0.55	11.35	0.81	2.16	2.68	0.53	9.63	0.0	3.46	0.0	4.11	4.17	18.96	0.59	3.93	1.45	0.69	0.67	0.0	0.0	0.24	3.59	2.81	4.53	0.88	0.0	0.0	3.43	0.0	6.59	39.7	40.38	40.89
Dctn1	0.0	0.36	2.82	30.33	16.0	21.46	8.79	1.44	9.57	41.61	0.0	14.25	18.71	12.5	17.34	18.32	24.95	15.87	10.31	0.34	5.98	24.33	39.47	4.81	23.27	1.63	6.73	6.27	1.12	0.48	3.02	5.36	27.8	7.92	8.43	8.91	22.64	8.69	5.12	16.26	236.1	267.0	252.09
Dedd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.72	0.0	0.0	0.0	0.0	18.87	22.78	18.79
Dnahc11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.37	0.34
Dse	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0	5.43	0.0	11.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	5.83	0.0	11.92	0.0	0.0	4.21	3.9	3.69
Dync1i2	0.0	88.28	31.6	186.69	73.23	119.29	107.26	155.2	27.15	159.15	120.61	53.89	123.81	179.3	92.58	79.28	97.28	41.21	108.66	256.61	88.91	23.77	238.48	53.2	147.86	22.21	177.22	106.62	65.27	51.9	131.76	207.88	6.93	129.04	129.03	10.07	96.95	59.98	153.48	196.82	142.0	137.08	138.77
E030011O05Rik	0.0	0.0	0.0	10.49	0.0	0.0	0.0	0.69	0.0	0.0	0.0	8.32	3.46	7.95	0.0	0.0	17.49	0.0	0.0	8.57	0.0	1.81	20.94	2.25	7.11	9.96	1.99	0.0	0.0	0.0	0.69	12.52	0.0	0.0	0.0	3.74	0.0	1.51	0.0	7.16	1.09	1.41	2.23
Eef1d	0.0	126.52	0.0	0.34	24.43	25.03	19.61	49.65	6.83	22.01	34.99	0.0	14.85	58.66	16.0	26.28	26.97	0.0	0.0	29.39	0.0	0.0	124.71	34.48	0.94	0.0	8.53	4.13	42.81	10.21	61.02	2.33	0.0	0.24	0.0	38.84	67.54	63.96	30.97	1.97	49.44	51.76	46.26
Egf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.61	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.96
Ercc8	0.0	0.0	0.0	0.0	94.96	32.27	0.0	0.0	0.0	51.14	88.06	0.0	0.0	0.0	0.0	103.16	0.0	0.0	40.93	0.0	0.0	66.58	101.13	43.63	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	0.0	55.57	0.0	0.69	0.0	0.0	0.09	10.86	11.03	11.1
Ermp1	0.13	0.0	0.0	2.51	0.62	27.74	14.8	0.0	12.45	14.42	2.94	1.4	41.64	17.98	1.74	18.68	2.42	0.33	59.44	0.72	0.54	17.23	79.36	0.44	6.53	4.93	22.55	1.11	0.4	2.62	3.48	7.11	6.54	6.52	1.0	1.58	21.05	0.82	0.16	39.65	31.44	31.72	32.7
Exosc1	0.32	0.0	0.0	24.81	80.57	1.21	1.9	0.0	1.62	40.0	30.78	0.0	66.11	29.81	1.98	64.18	0.38	0.0	41.0	0.0	0.41	12.25	202.93	80.96	17.44	2.91	25.5	54.33	29.61	118.95	0.0	23.16	0.0	0.0	67.65	0.0	27.75	59.04	28.84	62.03	16.12	16.21	15.15
Fam40a	0.0	0.15	0.0	0.0	3.62	1.28	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.19	0.0	0.0	0.24	0.0	0.0	79.8	0.0	0.0	0.0	18.75	0.0	0.0	0.0	0.0	0.0	0.13	0.0	40.53	0.0	0.0	23.22	0.0	0.12	57.82	60.7	56.9
Fbxl22	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.2	0.0	0.0	0.0	0.0	0.24	0.5	0.3
Fbxo8	0.0	0.0	0.0	2.11	9.47	10.37	0.0	0.0	34.92	38.04	0.0	9.53	5.86	0.0	50.78	23.27	43.19	6.41	53.5	0.0	18.15	0.0	75.73	0.0	35.31	60.84	28.65	0.0	63.05	0.0	0.0	37.35	0.23	19.77	56.65	0.0	22.38	18.62	0.0	6.53	13.94	14.42	15.26
Fcnb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0
Fdft1	0.0	163.48	0.0	42.42	26.8	37.96	0.0	0.0	37.4	0.0	0.0	27.76	32.34	0.48	23.13	102.01	0.0	34.85	31.27	0.0	0.21	41.8	172.09	79.68	7.71	0.41	0.0	0.1	0.0	76.35	28.8	35.86	0.15	35.57	0.0	15.86	0.0	0.19	34.21	5.57	66.74	70.72	64.69
Fn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	13.13	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	21.05	18.19	18.24
Foxk2	0.0	0.0	28.31	0.0	12.46	11.78	10.48	17.4	3.95	0.15	43.36	9.11	0.0	1.13	7.62	5.66	0.86	0.0	11.12	0.0	0.0	18.69	48.84	2.16	13.97	0.22	26.31	24.93	0.0	0.48	0.1	0.0	20.24	0.08	0.9	0.0	0.0	29.52	5.33	0.0	56.9	56.88	57.47
Gk5	0.0	0.0	0.0	0.21	0.0	0.22	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	26.6	0.14	0.73	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.18	0.02	0.16	0.05	2.47	2.24	2.14
Gm10432	0.0	0.0	0.0	0.0	0.35	0.0	0.3	0.0	0.1	0.0	0.13	0.12	0.02	0.0	0.0	0.0	0.12	0.0	0.35	0.0	0.14	0.0	0.35	0.0	0.12	0.0	0.0	0.12	0.25	0.1	0.11	0.19	0.13	0.12	0.16	0.0	0.0	0.15	0.09	0.01	1.81	2.27	2.05
Gm13306	0.0	0.54	0.0	9.27	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	1.16	0.0	0.0	0.0	24.17	0.0	3.31	2.97	0.0	3.28	0.0	0.0	11.61	2.62	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	9.34	30.63	28.29	22.96
Gm14151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04
Gm2506	0.0	0.54	0.0	9.27	1.67	0.0	0.92	0.0	6.15	8.29	0.0	0.77	0.0	0.0	0.0	1.08	1.16	0.0	0.0	0.0	24.17	0.0	3.31	2.97	0.0	3.28	0.0	0.0	11.61	2.62	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	9.34	30.63	28.29	22.96
Gm3279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.52	0.67
Gm3696	0.0	0.0	0.0	55.48	82.46	0.0	31.62	57.58	0.0	0.0	0.0	0.0	0.0	64.83	30.39	52.76	16.29	45.81	0.0	0.0	31.76	4.43	190.66	1.72	58.68	2.58	19.35	12.88	4.86	0.22	7.05	6.84	81.14	0.0	92.44	0.0	23.87	54.25	5.83	15.08	8.77	8.4	8.13
Gm608	0.0	0.0	0.0	0.0	9.42	5.27	4.26	0.0	11.71	0.0	0.0	0.0	0.06	0.45	0.0	16.27	9.74	0.37	18.37	0.06	0.0	0.0	19.66	0.0	0.0	0.0	0.73	0.0	0.66	4.37	0.7	1.05	0.55	0.0	0.0	26.05	0.11	0.0	0.0	0.0	21.07	18.69	21.54
Gm7538	0.0	0.0	0.31	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.74	0.21	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.67	0.29	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.13
Gm9047	0.0	30.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
