	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_11	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Gm14434	0.0	0.0	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	0.84	12.83	3.07	11.03	13.57	4.08	11.25	0.0	0.32	3.81	9.13	0.54	0.0	8.34	13.81	2.38	0.0	0.0	8.24
Gm4724	0.0	0.0	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	0.84	12.83	3.07	11.03	13.57	4.08	11.25	0.0	0.32	3.81	9.13	0.54	0.0	8.34	13.81	2.38	0.0	0.0	8.24
Grsf1	39.61	0.51	0.0	0.0	178.12	242.8	171.0	92.62	74.03	118.04	157.81	41.86	137.78	210.8	115.75	135.17	145.98	98.42	0.25	343.82	317.35	37.25	127.5	142.29	183.38	106.87	55.41	154.19	102.86	212.89	52.22	160.37	80.65	215.48	0.22	0.0	274.69
Heatr7a	0.1	0.04	0.0	0.08	0.0	53.49	24.95	0.65	20.58	0.59	39.49	21.43	27.37	0.83	13.15	21.03	20.53	0.98	0.32	20.06	18.63	68.64	33.45	34.46	70.83	19.73	0.41	35.36	10.38	5.17	5.03	5.76	11.89	14.03	0.21	0.0	0.57
Ldhb	7486.96	8970.97	4317.46	4107.23	5600.23	8798.32	8750.45	10118.08	10894.4	8892.3	8583.06	8517.89	9220.91	9343.6	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	11261.44	10004.69	13571.31	12546.17	9106.97	8513.41	9755.78	7935.39	8904.1	11010.48	8671.45	10182.84	9082.37	11746.38	3292.59	5577.5	7324.1
Mdp1	1.41	4.01	0.0	0.47	4.35	181.91	88.79	158.71	251.11	116.11	154.49	96.51	13.0	42.63	1.09	97.63	132.5	144.71	0.91	52.26	93.76	70.19	56.94	25.19	142.04	228.55	0.0	284.03	73.19	63.91	34.21	218.84	119.67	53.51	2.37	1.76	112.16
Mrpl10	0.63	1.76	9.89	4.69	4.93	68.91	113.35	66.62	15.61	26.24	140.76	111.88	110.32	86.48	8.25	118.1	4.18	1.8	54.11	124.28	168.3	166.9	56.85	41.62	90.79	22.89	1.31	51.05	74.08	23.9	185.77	108.01	18.41	215.5	11.13	12.04	4.75
Nefh	0.0	14.03	0.0	0.0	0.0	78.02	65.6	8.49	90.01	48.3	68.27	96.45	89.63	70.19	39.74	92.34	90.31	0.39	0.0	32.52	16.51	44.52	233.76	107.74	99.21	88.26	28.61	35.6	21.77	61.11	75.57	133.09	51.63	116.26	0.0	0.0	16.25
Nsg1	242.6	796.3	0.0	0.0	0.0	423.5	443.34	233.48	195.0	93.74	334.39	364.27	613.65	524.95	317.65	473.63	839.86	378.27	391.12	191.22	373.94	893.69	441.26	486.15	323.26	573.83	351.75	606.86	364.32	728.45	67.24	805.8	321.61	626.27	0.5	0.0	153.81
Pkp4	0.0	21.41	0.0	0.0	0.0	50.94	30.87	54.22	52.47	22.31	47.87	94.34	45.82	80.3	40.72	86.54	79.91	31.89	3.89	27.18	51.02	60.59	47.39	90.84	104.13	130.31	50.52	54.35	47.3	143.85	29.94	85.05	65.42	55.25	0.12	0.0	66.73
R3hdm2	0.0	0.0	0.0	0.0	0.12	6.57	4.32	0.0	23.0	4.94	23.97	2.66	2.14	19.25	13.35	12.17	13.78	0.0	0.0	20.76	58.42	1.51	19.18	18.3	10.63	43.73	5.15	2.91	10.22	71.92	18.52	10.97	2.28	3.64	0.0	0.0	1.28
Spock2	0.0	0.0	0.0	1.27	2.07	25.72	45.66	0.57	21.51	19.29	25.12	6.31	2.09	14.8	3.97	17.47	25.72	8.21	0.75	9.66	0.7	31.3	13.67	2.91	39.93	32.03	30.02	20.88	1.99	23.92	1.38	27.13	17.06	10.33	0.19	0.0	2.43
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.03	0.2	0.11	0.12	0.09	0.0	0.08	0.0	0.5	0.09	0.0	0.0	0.0	0.6	0.23	0.2	0.0	0.27	0.14	0.42	0.3	0.29	0.3	0.0	0.13	0.03	0.03	0.0	0.0	0.0
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.03	0.2	0.11	0.12	0.09	0.0	0.08	0.0	0.5	0.09	0.0	0.0	0.0	0.6	0.23	0.2	0.0	0.27	0.14	0.42	0.3	0.29	0.3	0.0	0.13	0.03	0.03	0.0	0.0	0.0
Ubash3b	0.0	0.0	0.0	0.0	0.0	87.44	34.34	105.45	63.3	14.91	97.19	76.56	85.17	21.34	50.6	23.87	91.39	45.28	1.12	30.16	104.04	93.47	4.27	19.21	66.64	65.0	13.65	88.72	148.35	0.5	66.2	132.45	99.19	9.36	0.16	545.74	0.0
Zfp365	0.0	0.0	0.0	0.0	0.0	23.9	98.03	0.99	18.5	59.27	26.95	115.99	29.1	44.01	48.58	6.86	113.22	0.0	0.0	3.96	54.51	52.11	60.76	53.99	55.36	19.93	56.75	67.0	115.22	44.84	5.21	104.05	35.5	52.74	0.0	0.0	19.92
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	0.04	0.05	0.0	0.08	0.19	0.15	7.2	0.21	0.04	0.09	0.0	0.0	0.0	0.15	0.15	7.33	0.0	5.9	8.08	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	0.04	0.05	0.0	0.08	0.19	0.15	7.2	0.21	0.04	0.09	0.0	0.0	0.0	0.15	0.15	7.33	0.0	5.9	8.08	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	0.04	0.05	0.0	0.08	0.19	0.15	7.2	0.21	0.04	0.09	0.0	0.0	0.0	0.15	0.15	7.33	0.0	5.9	8.08	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.2	0.04	0.05	0.0	0.08	0.19	0.15	7.2	0.21	0.04	0.09	0.0	0.0	0.0	0.15	0.15	7.33	0.0	5.9	8.08	0.04	0.0	0.06	0.0	0.0	0.0	0.0	0.0
