	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Col20a1	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.56	3.07
Cox11	0.41	15.48	6.55	1.56	0.0	0.0	4.7	27.74	0.51	0.0	15.02	11.09	0.7	0.0	49.87	18.35	0.0	0.0	11.44	0.0	38.18	0.32	1.11	6.46	2.72	0.74	21.12	1.94	10.98	1.42	37.73	15.59	16.68	56.66	19.79	20.71	20.94
Creld2	0.0	5.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	0.0	28.54	0.0	0.0	0.0	0.0	0.0	21.51	0.0	0.0	0.0	0.0	0.0	0.0	23.16	0.0	0.0	0.0	0.0	0.0	7.57	19.36	19.49	16.81
Crh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	7.93	9.71
D330028D13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	1.34	1.32
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dbf4	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.17	0.0	0.0	0.0	0.0	0.0	1.54	1.3	1.75
Dph2	0.73	21.79	0.0	1.11	17.77	0.0	0.14	0.0	56.81	0.0	17.72	0.0	0.0	0.0	79.22	47.83	0.12	2.41	0.0	0.0	1.85	9.92	4.08	6.63	0.0	0.0	0.0	0.0	13.65	0.16	0.0	0.0	0.0	0.0	10.25	10.5	10.98
Drp2	1.41	3.63	6.46	0.0	6.33	8.45	3.62	5.35	5.4	16.12	1.31	2.7	2.46	0.1	0.0	0.0	0.0	1.18	0.0	0.0	0.07	2.46	1.61	11.2	0.06	1.1	0.0	17.97	2.4	2.26	0.0	0.31	2.24	0.03	42.72	39.93	41.18
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Efhd2	89.98	23.15	17.95	10.94	17.41	0.0	54.79	41.54	9.79	30.31	89.52	6.31	23.64	2.79	14.77	17.0	2.69	0.0	0.0	0.0	0.21	84.96	48.73	55.73	19.83	66.18	14.12	40.73	81.66	73.31	63.15	137.53	38.07	5.41	252.09	258.98	262.64
Epha10	0.53	0.88	1.02	2.27	0.0	0.18	22.76	0.88	0.0	36.57	0.52	0.0	0.0	0.9	90.83	0.0	0.0	1.88	0.36	0.1	0.0	8.59	0.0	1.11	35.47	0.21	0.0	8.68	0.0	3.72	3.22	35.29	10.43	1.94	28.54	28.94	31.14
Frmpd4	0.0	0.0	0.0	2.17	0.0	0.89	0.04	0.0	0.91	0.0	13.41	0.0	0.0	13.6	32.26	5.88	0.0	0.52	0.04	0.0	1.54	18.5	0.1	0.0	0.0	0.39	2.35	0.15	6.98	0.0	0.0	0.0	0.57	0.0	28.93	27.95	30.43
Fubp3	4.76	16.95	5.67	14.16	0.0	0.0	16.88	27.44	44.16	14.43	23.9	19.89	6.09	3.32	59.25	12.56	13.55	0.0	13.77	27.4	21.26	19.58	10.86	12.95	27.15	11.95	17.41	9.26	9.26	12.6	28.38	24.95	0.0	34.96	25.78	26.76	27.35
Fzd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	31.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	6.79	4.19
G0s2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.46	200.89	53.72	75.25	0.0	0.0	0.0	0.0	0.89	37.4	10.87	0.0	0.0	33.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.64	7.51	7.11
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	8.03	6.67
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm10280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
Gm16367	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.29	0.34
Gm20110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.1
Gm20125	0.21	0.0	0.0	0.21	0.0	0.58	0.1	0.22	0.09	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.17	0.11	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.16	0.12	0.24	0.12	0.0	0.0	0.0	1.2	0.75	0.33	0.66
Gm3414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.54	6.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.96	0.86	0.52	0.91
Gm4961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.18	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.4	0.38
Gnai2	0.0	0.19	7.39	0.0	0.11	1.99	17.5	0.0	16.87	0.0	0.25	21.12	0.73	0.25	0.0	0.0	0.0	0.0	0.0	0.24	2.38	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.74	0.0	15.44	0.0	0.0	159.13	172.93	169.97
Gnb2	34.6	25.4	32.07	0.0	0.0	0.0	8.58	0.0	0.37	7.46	1.05	1.61	1.02	15.39	65.48	0.0	58.77	0.0	0.48	0.0	0.64	2.3	0.0	2.34	0.26	44.88	6.44	10.38	0.27	18.21	0.59	0.0	5.53	0.25	343.57	367.63	357.07
Golga2	12.63	6.01	20.76	0.0	0.0	23.15	8.84	0.69	0.26	40.63	5.08	0.0	18.32	15.3	3.3	2.3	0.33	0.0	2.91	0.6	0.78	24.23	4.84	0.99	0.0	0.58	0.11	7.03	0.0	14.76	0.0	0.12	16.44	0.22	59.22	61.56	61.7
Hist1h2ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.29	0.87
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Iglon5	0.0	0.0	0.94	0.27	0.0	0.0	3.97	0.3	0.0	0.24	0.0	0.0	0.0	0.0	27.58	0.89	0.0	0.0	0.28	1.85	0.08	0.0	0.78	0.27	0.0	0.31	0.39	0.33	0.0	0.32	0.18	0.0	0.0	0.28	30.9	32.03	32.69
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif2c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.28	0.42
Ksr2	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	1.76	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.06	13.16	12.08	15.64
LOC626082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	3.83	2.43	2.59
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lax1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.37	0.22
Ldhb	6819.53	8752.31	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	9220.91	9343.6	5652.61	9602.81	7343.35	7167.6	11261.44	8285.69	7259.91	9074.03	13571.31	7287.29	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	10182.84	11746.38	737.58	774.98	752.92
Lrp1b	0.04	2.4	1.07	2.43	1.31	6.34	0.71	0.51	5.48	11.95	22.7	0.0	5.84	7.22	17.29	3.79	5.86	6.06	16.95	0.77	9.43	7.7	0.22	13.95	0.03	8.89	2.1	0.17	7.82	11.32	0.91	2.88	2.5	7.27	11.15	8.89	11.56
Ltk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.14	26.59	29.49
Mark1	0.87	0.0	7.98	26.94	0.05	5.4	8.3	0.0	35.21	0.0	1.06	15.71	0.0	34.05	27.55	0.0	0.0	0.0	0.08	5.37	3.41	1.55	0.24	1.42	13.49	29.89	0.87	24.12	0.0	0.0	0.0	1.64	0.2	0.17	67.25	66.74	67.46
Mcc	0.34	0.52	0.7	0.1	0.06	0.4	0.73	0.68	0.66	5.12	11.84	12.24	0.78	12.5	19.27	0.16	0.9	0.89	0.64	17.0	9.06	4.31	5.53	0.36	0.56	0.67	5.47	1.36	0.8	0.68	0.55	0.45	0.96	12.72	6.31	6.03	6.25
Miat	6.24	0.38	0.0	0.0	0.0	0.05	0.0	0.05	0.05	0.0	4.68	3.76	0.63	13.55	0.0	0.0	0.0	0.04	0.13	0.0	0.0	5.09	0.0	6.49	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.15	0.02	196.73	185.46	213.96
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Myl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.18	2.63	0.0	0.0
Ncor2	0.3	2.56	0.07	0.0	0.0	0.0	0.0	0.0	0.62	0.07	0.0	0.1	0.63	1.04	6.53	0.0	1.83	0.37	0.0	0.06	0.0	0.35	0.0	0.09	0.4	1.27	0.42	4.43	1.0	0.83	0.0	5.55	1.26	0.0	47.65	50.12	57.88
Ndst1	0.0	4.63	10.03	0.0	0.0	0.0	0.32	0.0	5.11	0.0	13.3	0.0	0.0	0.0	10.38	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	0.0	12.56	5.53	0.0	6.07	5.57	0.0	0.0	0.0	14.92	47.6	45.85	47.01
Npr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	6.38	5.5	6.24
Nr1i3	0.0	9.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.56	0.58
Ogdhl	4.1	1.45	9.41	0.0	0.0	0.0	2.17	0.0	0.16	1.58	0.16	0.0	1.82	10.65	10.52	13.11	0.08	2.19	0.0	0.0	4.96	9.7	0.16	1.89	0.0	45.62	8.95	0.88	1.32	2.3	0.0	1.09	1.7	5.33	73.51	75.56	72.3
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Parp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	0.0	2.24	1.97	2.25
Pcdhga9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.68	10.47	10.54
Pih1d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	2.1	1.82
Pnpla2	0.0	0.0	21.61	21.3	0.0	0.0	0.0	0.0	0.0	37.51	0.22	0.0	0.0	0.0	54.04	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	24.84	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.22	0.0	0.08	13.47	16.31	13.59
