	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gtf2f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.54	53.75	89.56	0.0	23.36	61.68	49.09	32.31	105.64	46.98	35.82	92.51	428.36	0.45	109.27	239.53	0.0	106.63	66.27	225.9	18.95	27.32	199.27	93.51	117.69	221.33	0.0	44.43	0.0	120.19	0.0	74.3	83.63	73.08
Hdac10	0.0	0.0	54.39	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	42.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	21.8	25.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.95	14.64	14.35
Hdgfrp2	0.0	0.0	9.05	0.0	0.0	0.0	0.0	1.31	7.14	10.32	0.0	0.0	19.59	48.14	0.0	3.17	0.0	4.52	4.64	76.4	4.13	0.0	9.62	4.66	0.0	0.0	2.88	0.64	4.59	26.07	19.39	18.07	0.0	0.0	0.0	0.0	0.0	0.0	69.64	80.22	74.92
Hgs	0.0	0.0	0.44	0.0	0.0	0.0	0.0	8.07	11.21	0.0	0.26	0.16	66.93	5.07	27.7	0.0	0.19	12.2	5.36	116.28	0.53	0.0	7.57	1.67	0.14	0.0	1.47	21.58	0.0	0.56	0.77	0.0	10.13	0.36	0.0	0.69	0.0	0.0	56.35	60.21	59.89
Hspbap1	0.0	0.0	0.38	0.0	0.76	0.0	0.47	0.09	0.94	0.75	0.16	0.51	0.5	0.35	0.18	0.17	0.23	0.09	20.69	39.67	1.33	0.39	0.19	0.24	0.35	0.34	0.07	0.31	0.18	0.73	0.32	0.27	0.43	10.1	0.3	0.89	0.62	0.15	3.29	3.31	3.79
Igsf8	0.0	0.0	0.57	0.0	0.0	0.0	0.0	9.63	9.07	6.0	22.86	10.81	5.38	18.4	13.47	6.76	17.59	21.44	2.05	72.09	0.0	0.82	23.12	5.17	18.46	6.39	9.53	22.53	2.38	30.62	14.33	10.39	1.25	23.79	15.66	1.67	19.87	0.0	177.56	211.72	181.99
Ing2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.32	0.0	0.0	0.0	7.12	25.36	0.0	0.0	33.15	0.0	4.15	60.82	0.0	0.0	0.0	0.0	2.02	0.0	0.11	0.0	5.53	0.0	45.64	1.86	0.0	0.0	26.64	0.0	0.0	0.0	25.32	25.33	21.64
Kazn	0.0	0.0	129.82	0.0	0.0	0.0	0.0	62.98	63.01	70.23	0.68	38.31	6.27	29.91	77.03	32.12	46.79	55.8	23.76	98.63	0.0	17.43	30.77	39.33	26.77	62.47	28.35	42.37	22.51	49.25	47.32	35.16	40.82	168.45	23.49	0.39	54.02	0.0	63.32	59.17	62.47
Kcnh2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.14	5.93	0.0	0.0	0.36	0.9	0.0	0.35	0.0	0.0	0.0	18.5	0.0	2.14	0.97	0.0	0.0	0.0	0.0	0.0	5.29	0.0	0.0	0.0	0.0	0.0	5.52	0.09	1.14	0.0	19.62	22.17	23.49
Kctd3	0.0	0.15	0.0	0.0	0.0	1.04	292.23	0.23	15.92	59.47	24.07	1.41	33.93	0.15	2.46	1.49	45.45	2.18	2.79	64.88	0.41	0.0	41.01	0.0	0.0	0.0	2.64	0.0	27.75	34.12	1.21	0.0	21.71	8.55	0.0	85.31	0.0	0.0	61.48	65.8	60.9
Kdelc1	0.0	2.23	0.0	0.0	0.0	0.0	0.0	20.47	0.0	36.33	0.0	0.0	28.61	0.0	0.0	8.19	31.64	4.16	0.0	88.55	0.0	0.0	0.0	157.3	0.0	0.0	48.92	13.9	0.0	0.0	24.59	49.65	0.0	27.72	13.86	0.0	0.0	0.0	9.24	8.72	8.48
LOC100504703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.96	0.0	0.0	0.0	0.0	47.21	0.0	0.0	0.0	0.0	0.0	39.89	0.0	0.0	0.0	0.0	10.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	4.71	4.47
Ldhb	7486.96	4317.46	9309.63	3693.02	2376.05	5876.73	5600.23	8752.31	8798.32	8750.45	10118.08	10894.4	8892.3	8217.62	8583.06	9220.91	9343.6	8808.99	10165.1	5594.14	9166.61	7814.88	9602.81	11261.44	7829.53	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8390.99	11010.48	10182.84	8330.83	11746.38	5577.5	737.58	774.98	752.92
Lin7b	0.0	0.0	52.76	0.0	0.0	0.0	0.0	0.0	68.71	162.57	24.06	22.02	21.71	99.63	176.73	32.93	100.15	35.42	115.77	254.35	0.0	0.0	141.78	0.0	0.0	53.19	62.41	47.86	122.18	78.92	154.23	7.77	157.44	21.63	59.16	171.03	35.76	0.0	120.36	132.27	124.9
Map2k3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	4.65	35.67	0.0	0.0	0.0	0.0	0.0	97.42	0.0	0.0	0.0	0.0	2.64	0.0	0.0	0.33	0.0	0.0	0.87	0.0	0.0	1.75	24.33	0.0	0.0	0.0	14.58	15.72	12.6
Mapk9	0.0	0.0	126.34	0.0	0.0	0.0	236.56	33.83	40.82	25.51	111.94	58.54	43.27	30.78	32.38	61.05	99.9	54.66	113.93	191.94	5.23	0.13	48.3	3.48	26.41	40.61	72.38	64.85	65.94	41.4	132.64	77.89	38.62	24.35	47.87	103.99	110.38	0.0	154.54	146.91	148.44
Masp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.34	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	1.57	1.47
Mcrs1	0.0	0.0	24.63	0.0	0.0	0.0	0.0	30.47	0.33	11.45	22.03	27.72	0.43	0.31	37.45	0.0	48.31	13.35	0.37	144.58	110.78	0.68	0.0	0.0	32.7	0.0	0.0	26.58	0.16	7.13	4.43	0.0	33.77	44.03	74.49	0.0	0.66	0.0	78.31	89.12	79.62
Megf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	5.98	0.02	0.94	0.0	3.47	0.0	0.46	0.59	1.14	5.92	14.15	0.0	0.0	5.71	0.04	1.91	0.0	0.03	2.8	0.54	5.93	0.0	0.98	2.73	0.05	4.3	4.04	3.7	0.0	58.28	58.89	62.16
Mfn1	0.0	0.21	18.05	1.62	0.45	0.73	0.63	2.6	15.96	0.11	0.0	8.16	0.0	32.72	5.09	35.44	10.33	3.33	9.24	144.55	1.69	31.96	25.79	13.62	6.13	0.92	9.21	16.27	14.94	38.53	45.14	45.27	0.43	0.83	0.33	0.22	17.09	0.0	44.53	43.92	43.99
Mpp3	0.0	0.2	0.0	0.0	0.0	66.48	0.0	18.4	6.66	35.42	0.44	28.85	4.06	4.59	0.0	0.0	6.09	7.83	4.79	58.87	0.0	0.0	1.61	12.71	0.0	1.11	3.12	0.25	35.29	33.54	2.1	0.0	0.14	31.75	0.0	1.78	0.61	0.0	42.99	45.77	47.83
Mrps2	0.0	0.0	0.32	0.08	0.0	0.0	0.0	0.0	18.31	0.0	0.0	7.62	1.15	70.71	41.02	59.85	59.91	32.33	71.37	131.05	0.0	18.13	0.23	2.04	0.0	46.91	116.06	0.36	0.0	0.2	29.02	0.65	49.21	135.28	27.35	0.0	2.33	0.0	31.24	29.95	29.57
Mtor	0.05	0.0	17.38	0.0	0.0	0.03	0.05	8.27	1.56	26.52	14.59	12.49	15.99	3.69	0.86	0.0	7.1	23.68	3.87	27.66	0.09	0.0	10.73	0.0	0.0	0.66	12.67	15.25	17.52	3.7	23.69	12.83	13.7	0.62	3.63	4.11	0.02	0.0	40.15	39.6	41.09
Myh10	0.0	0.0	44.19	0.0	0.0	0.0	0.0	37.09	28.3	13.94	33.03	9.57	45.97	41.37	27.71	31.89	20.25	33.7	34.42	45.14	37.05	0.0	26.89	27.72	8.64	9.26	7.31	41.49	24.09	18.48	30.23	35.91	22.3	33.08	37.37	26.3	10.43	0.0	136.61	130.54	138.14
Myo1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	11.21	0.0	0.0	0.0	0.0	0.0	0.79	26.85	8.51	0.0	47.06	21.21	4.61	20.18	9.73	1.3	20.6	0.0	0.0	10.66	1.14	0.0	30.39	0.0	0.0	0.0	75.88	19.38	186.55	27.48	25.26	24.93
Nat14	0.0	0.0	0.41	0.0	0.0	0.28	0.0	24.16	0.4	0.86	0.0	11.35	8.88	2.3	3.52	0.11	30.76	0.0	0.0	90.02	0.0	0.0	0.0	0.65	0.0	11.43	0.0	0.0	0.14	26.96	41.78	0.0	0.41	30.47	0.0	0.54	0.0	2.57	76.22	84.72	80.82
