	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rtp1	0.0	0.0	0.0	0.16	0.33	0.16
Sbk2	0.0	0.0	0.0	0.18	0.25	0.09
Slc10a5	0.0	0.0	0.0	0.08	0.07	0.08
Slc10a6	0.0	0.0	0.0	0.05	0.04	0.05
Slc22a14	0.0	0.0	0.0	0.05	0.04	0.05
Slc34a1	0.0	0.0	0.0	0.1	0.06	0.1
Slc34a3	0.0	0.0	0.0	0.05	0.32	0.05
Slc4a5	0.0	0.0	0.0	0.04	0.13	0.04
Slc8a2	0.0	0.0	0.0	196.02	207.87	203.44
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Stx11	0.0	0.0	0.0	0.14	0.09	0.14
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbx5	0.0	0.0	0.0	0.06	0.02	0.04
Tg	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.08	0.11	0.08
Tmem221	0.0	0.0	0.0	0.26	0.24	0.13
Treml1	0.0	0.0	0.0	0.16	0.31	0.08
Trim75	0.0	0.0	0.0	0.2	0.19	0.2
Tssk3	0.0	0.0	0.0	0.2	0.55	0.2
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.22	0.2
Tubb1	0.0	0.0	0.0	0.07	0.2	0.07
Txndc2	0.0	0.0	0.0	0.12	0.11	0.12
Ush1c	0.0	0.0	0.0	0.1	0.14	0.1
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vcan	0.0	0.0	0.0	7.15	6.63	7.15
Vgll2	0.0	0.0	0.0	0.07	0.26	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vrk2	0.0	0.0	0.0	2.24	2.2	2.24
Zfp957	0.0	0.0	0.0	0.07	0.1	0.07
Zp2	0.0	0.0	0.0	0.18	0.08	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.03	0.04
mt_AK166684	4.38	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	9.1	9032.87	8417.95	8583.15
