	PvalbF.Gad2_tdTpositive_cell_15	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tcstv1	0.0	0.0	0.12	0.0	0.12
Thbs1	0.0	0.0	1.69	2.0	1.2
Tpm3	68.83	0.0	168.51	173.67	164.24
Tspan10	0.0	0.0	0.05	0.0	0.1
Ttc39d	0.0	0.0	0.05	0.05	0.05
Usf1	0.0	0.0	54.86	61.25	51.92
Usp26	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Zfp354a	0.0	0.0	6.07	5.51	5.1
Zp3r	0.0	0.0	0.05	0.05	0.05
c18_tRNA-Gly-GGG	0.0	0.0	25.49	15.42	46.86
mt_AK131586	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	3.24	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	9032.87	8417.95	8583.15
