	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Trib2_CTX_250ng_1
Cacna1e	0.0	0.0	0.0	0.0	0.0	49.6	24.03	26.54	30.29	8.39	108.97	45.18	3.56	0.06	0.54	0.03	0.0	28.38	84.4
Camk2b	0.0	0.0	0.0	0.0	0.0	95.06	91.36	186.06	45.44	53.37	249.52	57.05	93.98	0.0	0.19	0.18	0.0	68.0	545.35
Ccl27b	0.0	0.0	0.0	0.0	0.0	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.0	0.0	0.0	0.0	150.8	22.96
Celf5	0.0	0.0	0.0	0.27	0.0	21.58	24.53	33.11	34.39	16.72	80.52	36.48	16.06	0.17	1.29	0.15	0.0	7.75	172.09
Clcn4-2	0.0	0.0	0.0	0.0	0.0	161.6	139.76	69.3	14.32	185.24	375.57	23.72	12.36	0.79	1005.55	0.38	0.0	56.94	116.42
Clip3	0.0	0.0	0.0	0.0	0.0	79.11	125.2	125.11	63.71	54.43	529.62	40.16	26.93	0.44	10.5	0.32	0.0	119.98	328.71
Cox15	0.0	0.07	0.22	0.0	0.0	16.07	2.43	0.35	0.62	1.08	97.89	1.26	8.37	1.46	0.75	0.0	0.0	6.61	12.96
Cwf19l2	0.0	5.38	0.0	0.0	0.0	2.21	3.79	0.09	37.99	21.48	109.17	2.24	10.86	291.38	0.0	0.0	0.0	0.0	9.08
Dkk3	0.0	0.0	0.0	0.0	0.0	138.19	0.0	76.63	161.92	21.47	732.82	2.65	33.29	1.08	0.0	0.83	0.0	77.7	229.09
Dtymk	0.0	0.0	0.0	0.0	0.0	85.03	28.23	105.07	61.5	75.36	202.72	0.84	85.75	730.56	0.0	0.36	0.0	168.31	49.68
Fam174a	0.0	0.0	0.0	0.0	0.0	26.6	21.8	1.16	0.0	0.0	154.88	26.73	5.99	0.0	0.0	0.0	0.0	6.98	53.4
Fam177a	2.63	2.8	0.82	8.99	6.26	12.91	9.76	3.15	14.27	5.76	53.44	7.18	19.37	429.48	17.14	0.4	1.39	26.7	17.92
Fxyd7	0.0	0.0	0.0	0.0	0.0	0.0	45.2	91.82	2.48	250.81	557.05	252.95	286.43	0.0	0.0	0.55	0.0	75.42	149.7
Gbf1	0.0	0.0	0.0	0.0	0.05	8.45	28.04	32.69	0.91	1.24	69.19	14.9	0.0	0.11	0.0	0.38	0.0	0.0	44.25
Gm11127	0.0	0.0	0.0	1.1	1.73	34.5	37.67	14.59	50.35	45.13	113.3	80.48	19.38	0.0	79.02	0.27	0.0	29.77	18.34
Gm13306	0.0	0.0	0.0	0.0	0.0	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.0	0.0	0.0	0.0	150.8	22.96
Gm1976	1.3	0.0	0.54	0.17	0.05	110.47	137.56	129.98	51.93	61.41	371.92	26.86	47.03	2.06	3.76	1.05	0.33	2.66	31.76
Gm2506	0.0	0.0	0.0	0.0	0.0	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.0	0.0	0.0	0.0	150.8	22.96
Gna13	0.38	0.0	0.0	0.17	0.0	0.0	0.45	0.15	0.07	0.08	156.69	0.42	0.0	0.37	0.35	0.09	0.0	0.0	25.3
Gnl2	0.0	0.0	0.0	0.0	0.14	71.07	54.02	77.42	24.04	72.61	138.88	30.47	64.86	0.0	881.85	0.15	0.0	259.33	50.36
Gnl3l	205.93	220.78	255.85	4.11	1.61	117.75	245.05	301.17	239.86	264.42	303.14	206.43	260.51	7.7	172.34	3.67	9.52	225.06	121.77
Gosr2	0.0	0.0	0.0	0.0	0.0	0.0	7.78	0.67	29.6	31.96	439.94	0.26	0.0	223.97	0.5	0.0	0.0	48.98	72.2
Gpcpd1	0.11	450.41	43.8	53.02	75.29	15.6	1.14	14.91	142.52	1.82	234.91	150.2	3.56	0.39	0.0	0.0	0.0	36.98	89.45
Hspbp1	0.0	0.0	0.0	0.0	0.0	0.0	61.16	99.5	54.4	1.16	92.66	9.43	46.71	0.0	0.0	0.0	0.0	172.0	97.85
Kifap3	0.0	0.0	0.0	0.0	0.0	184.34	204.67	177.16	195.89	68.1	324.69	66.84	21.8	0.37	54.26	0.18	0.15	159.53	209.65
Lig1	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.55	107.72	0.0	9.89	0.0	0.0	0.0	0.0	0.0	7.18
Mir690	26828.41	14983.6	16968.11	18365.55	19376.41	30528.33	39867.27	42000.18	28765.87	28695.45	17099.63	37370.15	37614.4	44948.68	42282.55	17671.81	35532.88	48007.3	0.95
Mpdu1	0.0	0.0	0.0	0.0	0.0	15.24	46.17	60.22	0.0	0.0	218.69	0.0	0.0	0.0	0.6	0.0	0.0	0.13	58.07
Nenf	0.0	0.0	0.0	0.0	0.0	0.55	46.82	3.95	0.0	34.59	65.65	0.0	48.76	0.0	295.11	0.0	0.0	0.0	102.4
Nfix	0.1	0.0	0.0	0.0	0.0	122.29	147.95	121.54	15.51	49.6	266.59	9.17	52.84	1.02	0.3	0.13	0.0	161.27	113.44
Ogfod2	0.0	0.0	0.0	0.0	0.0	0.0	4.63	55.88	0.0	28.35	134.72	1.6	0.0	0.0	0.0	0.0	0.0	63.53	33.59
Pcmtd1	17.33	0.0	10.65	0.0	70.23	1.09	67.42	40.21	12.51	48.2	42.85	109.34	134.23	0.14	0.0	0.2	0.0	36.68	70.51
Pdap1	0.0	0.0	0.0	0.0	34.11	55.3	62.25	33.61	7.72	6.57	48.51	5.18	0.0	0.0	16.14	0.0	0.0	47.76	74.29
Ppdpf	0.0	0.0	0.0	0.0	0.0	64.63	55.36	36.69	49.45	57.13	159.72	0.0	58.95	0.0	656.24	0.0	0.0	0.0	88.75
Prkaca	0.0	0.14	0.0	0.0	0.0	56.92	70.06	137.99	118.94	55.78	203.16	76.35	97.33	0.0	0.0	0.0	0.0	127.03	179.22
Prkce	0.0	0.0	0.0	0.0	0.0	46.49	79.07	99.42	39.09	73.56	125.42	13.21	8.84	0.12	9.06	0.11	0.16	42.77	207.81
Ranbp2	0.0	0.0	152.54	0.0	0.0	2.35	37.65	21.84	3.32	17.05	63.63	32.03	10.65	0.08	15.25	0.0	0.0	0.0	44.52
Rasgrp1	0.06	1.03	0.34	0.16	0.0	137.6	135.72	147.5	111.02	25.16	203.76	63.62	102.26	0.29	0.64	0.96	0.59	67.16	284.95
Rufy3	0.0	0.0	0.0	0.0	0.0	132.92	260.06	127.21	20.06	260.38	567.49	127.01	87.92	1.45	0.39	0.42	0.28	165.43	134.76
Saal1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.52	0.09	122.45	0.0	0.0	0.0	466.28	0.07	0.0	0.0	5.19
Sbsn	0.0	0.0	0.0	0.0	0.0	39.57	0.0	33.93	27.42	0.0	71.21	0.0	8.08	0.0	0.0	0.0	0.0	0.0	13.09
Sept14	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.63	0.0	0.0	0.33	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.12
Sept3	0.0	0.0	0.0	0.31	0.0	41.64	8.83	48.16	1.63	87.15	259.96	11.49	20.7	184.07	0.38	0.34	0.26	22.76	265.53
Sepx1	0.0	0.0	0.0	0.0	0.0	15.92	0.0	11.05	51.12	16.0	58.07	0.0	13.98	0.0	0.91	0.0	0.0	17.82	30.65
Slc25a44	0.0	0.0	0.0	0.0	0.0	66.55	41.03	41.04	1.02	12.96	189.33	1.4	39.79	13.34	0.0	0.2	0.0	2.06	71.35
Slc39a3	0.0	0.0	0.0	0.0	0.0	11.85	13.26	0.0	15.96	0.0	106.48	0.0	0.0	0.0	0.0	0.08	0.0	0.0	64.04
Slc4a9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17
Snx30	0.05	0.47	0.98	0.11	0.0	0.09	2.52	8.58	0.1	0.39	80.15	0.19	19.28	1.15	0.5	0.71	0.05	3.94	19.6
Sprr2a1	0.0	0.0	0.0	0.05	0.05	0.34	0.36	0.88	0.86	0.07	0.38	1.29	0.1	1.82	0.0	0.0	0.0	0.09	0.13
Sprr2a2	0.0	0.0	0.0	0.05	0.05	0.34	0.36	0.88	0.86	0.07	0.38	1.29	0.1	1.82	0.0	0.0	0.0	0.09	0.13
Tdrd3	0.0	0.0	0.0	0.0	0.0	5.15	79.3	2.2	0.0	0.0	121.82	1.19	1.54	0.0	0.28	0.0	0.0	0.31	16.58
Timp2	0.0	0.0	0.0	0.0	0.0	100.79	32.54	62.33	26.27	106.83	130.39	55.48	0.57	0.2	0.64	0.19	0.0	21.17	254.53
Tipin	0.0	0.0	0.0	0.0	0.0	114.33	0.0	95.01	0.0	45.25	304.37	0.0	119.96	937.74	0.0	0.0	0.0	0.0	18.06
Tppp	0.0	0.0	0.0	0.0	0.0	179.52	128.9	68.09	12.1	21.74	194.24	6.31	29.73	2.42	1.96	0.75	0.0	48.22	324.15
Tubal3	0.0	0.0	0.0	0.0	0.07	0.0	0.16	0.0	0.15	0.43	0.72	0.27	0.0	0.0	0.47	0.0	0.27	0.06	0.0
Vdac1	0.0	0.0	0.0	0.0	0.0	500.78	384.14	426.61	365.99	226.24	929.14	213.72	66.66	81.56	0.0	0.4	338.32	699.38	565.66
Zfp426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.21	0.0	0.41	0.0	0.23	0.0	0.17	0.0	15.2
Zfp449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.35	0.22	0.0	0.0	0.0	0.0	0.0	0.04	2.82
Zfp799	4.31	2.36	10.19	0.43	1.89	3.25	4.45	1.92	4.56	27.34	132.23	14.27	11.58	7.11	10.08	10.49	34.44	5.37	17.74
Zfp87	0.0	0.0	0.0	0.0	0.12	56.66	50.61	4.09	1.29	0.63	281.32	12.58	0.26	0.0	0.0	0.26	0.0	0.0	10.12
Zfp935	5.09	0.52	4.39	27.56	12.37	11.82	62.21	8.74	45.07	13.13	244.74	73.98	89.79	4.58	24.14	14.04	20.74	21.8	9.34
Zik1	0.0	0.0	0.12	0.25	0.08	0.32	0.06	32.83	27.09	0.55	141.85	51.19	1.06	0.71	1.05	0.0	0.0	0.3	11.39
c18_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.93	0.0	129.46	0.0	0.0	0.0	0.0	0.0	0.0	8.27	2.14
