	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_11	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12
Eif3j	0.0	0.0	0.0	101.73	0.7	25.54	0.61	25.03	38.53	61.94	60.75	0.0	42.77	0.0	58.75	0.2	10.92	205.1	6.9	20.81	0.41	0.18	0.0
Etnk1	23.55	0.0	269.24	90.14	19.04	0.84	22.97	58.43	62.31	39.95	91.77	78.69	73.88	32.26	93.91	135.68	84.31	229.55	174.26	2.7	85.94	0.32	0.0
Fam55c	0.0	0.0	0.07	3.53	0.0	0.08	0.0	0.05	21.18	0.46	2.4	2.93	56.61	0.0	21.05	0.3	13.83	34.0	35.63	0.0	0.09	0.37	0.0
Fmo5	0.0	0.0	0.0	0.16	0.0	0.0	0.09	0.06	0.0	0.0	0.0	0.0	0.22	0.04	0.1	0.0	0.0	0.55	0.46	0.19	0.39	0.0	0.0
Gm13306	0.0	0.0	0.0	10.4	0.77	0.0	6.15	2.68	0.0	3.31	0.76	0.0	2.62	1.92	8.14	1.21	0.0	4.16	13.22	22.84	9.34	0.46	0.0
Gm14325	0.0	0.18	0.84	15.79	7.9	8.47	3.04	29.68	44.38	12.04	64.41	17.35	20.18	12.43	36.99	13.25	7.66	16.81	44.51	53.13	8.82	0.0	0.0
Gm14430	0.0	0.0	0.0	14.66	3.6	0.0	14.72	31.75	13.46	3.07	11.03	13.57	4.08	11.25	0.54	6.88	8.34	18.59	11.12	41.52	2.38	0.24	0.0
Gm14434	0.0	0.0	0.0	14.66	3.6	0.0	14.72	31.75	13.46	3.07	11.03	13.57	4.08	11.25	0.54	6.88	8.34	18.59	11.12	41.52	2.38	0.24	0.0
Gm15663	0.18	0.0	0.06	1.15	0.09	0.07	0.59	1.02	0.81	1.62	2.19	17.82	0.64	0.93	1.04	1.07	0.73	1.79	3.16	2.58	1.34	0.46	0.0
Gm2506	0.0	0.0	0.0	10.4	0.77	0.0	6.15	2.68	0.0	3.31	0.76	0.0	2.62	1.92	8.14	1.21	0.0	4.16	13.22	22.84	9.34	0.46	0.0
Gm4724	0.0	0.0	0.0	14.66	3.6	0.0	14.72	31.75	13.46	3.07	11.03	13.57	4.08	11.25	0.54	6.88	8.34	18.59	11.12	41.52	2.38	0.24	0.0
Grhpr	0.0	0.0	0.0	144.86	60.7	9.39	22.02	96.35	62.0	69.95	81.28	46.09	50.64	95.08	0.0	47.13	0.0	280.18	179.58	0.0	44.27	0.0	0.57
Hemgn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.16	0.18	0.0	0.0	0.0	0.0
Hmgxb4	0.0	0.0	0.0	6.98	0.0	0.0	0.0	4.32	0.0	0.0	18.64	10.34	0.63	0.0	19.24	0.37	0.0	71.21	17.98	27.0	0.0	43.6	0.0
Ldhb	4317.46	4107.23	5600.23	7723.1	6455.58	10118.08	10894.4	8525.9	10165.1	11261.44	10004.69	13571.31	12546.17	9106.97	11010.48	8275.76	10182.84	7352.41	7844.79	8330.83	11746.38	5217.81	5577.5
Mll5	1.33	0.0	4.59	18.02	0.5	0.89	11.45	29.9	26.36	12.11	17.04	7.81	23.68	23.25	21.5	46.15	27.87	36.2	93.59	40.41	12.67	0.06	0.0
Myo5a	0.0	0.08	0.0	56.03	23.26	11.11	69.14	40.3	65.61	41.79	55.97	55.96	9.71	57.57	36.2	38.36	73.22	103.35	141.99	95.3	42.52	0.11	0.0
Nap1l2	0.0	0.0	0.0	199.04	167.33	222.06	150.53	393.46	200.02	97.23	379.39	443.52	150.0	252.35	164.08	172.3	140.99	575.25	145.29	187.57	308.97	1.12	0.0
Prkce	0.0	0.0	0.0	55.98	6.69	2.92	36.24	26.9	24.63	37.4	69.04	12.17	15.45	29.69	34.59	27.33	27.51	103.09	39.46	77.93	31.32	0.29	0.39
Purb	1.87	0.0	0.0	100.74	36.69	123.18	67.06	78.59	83.34	65.7	97.22	57.36	38.19	30.31	100.53	69.4	46.64	108.41	118.49	167.12	30.67	0.58	0.0
Setx	0.0	0.0	0.0	1.47	2.09	0.0	4.97	12.25	8.85	20.1	14.15	5.28	0.04	7.66	14.71	11.3	0.08	40.83	1.39	4.18	0.33	0.04	0.0
Slc41a2	0.0	0.0	0.0	27.74	0.0	0.0	0.0	3.09	24.52	0.0	64.08	0.06	5.08	0.0	24.89	0.08	0.0	94.19	0.0	28.51	0.0	0.0	0.0
Snord116	0.0	0.0	0.0	0.0	2.93	0.0	8.69	9.26	0.0	3.39	5.67	7.64	3.68	3.4	9.68	4.39	0.0	3.36	11.1	4.05	1.69	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	2.93	0.0	8.69	9.26	0.0	3.39	5.67	7.64	3.68	3.4	9.68	4.39	0.0	3.36	11.1	4.05	1.69	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	2.93	0.0	8.69	9.26	0.0	3.39	5.67	7.64	3.68	3.4	9.68	4.39	0.0	3.36	11.1	4.05	1.69	0.0	0.0
Timm8a1	0.0	0.0	0.0	171.72	106.37	601.47	385.31	296.52	236.01	97.27	59.14	205.91	50.79	267.78	377.97	214.53	248.77	700.9	355.7	338.81	55.93	0.0	0.0
Tmem132a	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	1.91	0.0	0.0	0.23	0.32	0.0	1.92	0.0	8.4	10.91	0.0	0.0	0.0	0.0
Tmem41a	0.0	0.0	0.0	48.47	0.0	0.0	0.0	0.0	80.89	0.0	0.0	0.0	0.0	7.99	67.73	0.0	30.45	78.68	119.72	17.0	50.43	0.0	0.0
Tppp	0.0	0.0	0.0	133.63	23.93	40.45	23.8	10.03	2.91	103.77	40.81	4.65	28.13	134.79	36.94	25.62	11.86	174.06	151.26	45.89	32.44	0.81	0.0
Ubr3	0.0	0.0	0.0	38.66	0.88	2.05	3.27	14.27	31.45	0.14	11.39	24.79	21.16	16.19	31.97	22.96	27.59	95.17	37.8	26.67	11.72	2.58	0.0
Ugcg	0.0	0.0	0.0	81.82	36.96	2.86	8.14	70.13	59.25	51.59	41.87	61.68	73.51	69.1	40.02	37.96	2.51	113.52	101.22	63.71	85.21	0.24	0.17
Zfp260	0.0	0.0	0.0	98.28	46.44	74.48	60.61	79.8	130.65	225.23	134.51	136.63	149.89	159.59	216.5	115.01	33.85	286.06	287.42	128.44	198.45	0.33	0.18
Zfp7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	22.16	0.0	0.0	0.0	0.0	0.0	114.94	0.0	0.49	65.24	64.67	81.09	0.0	0.0	0.0
