	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hmga1	18.15	0.0	24.49	27.31	33.51	45.49
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Hsd11b2	0.0	0.0	0.0	0.16	0.05	0.06
Il31ra	0.0	0.0	0.0	0.13	0.1	0.19
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Kcna10	0.0	0.0	0.0	0.22	0.1	0.06
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif20b	0.0	0.0	0.0	0.35	0.2	0.42
Kif2c	0.0	0.0	0.0	0.28	0.28	0.42
Krt1	0.0	0.0	0.0	3.32	3.2	2.92
Lactbl1	0.0	0.0	0.0	0.05	0.05	0.16
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lass3	0.0	0.0	0.0	0.42	0.2	0.22
Lgals3	0.0	0.0	0.0	0.58	0.8	0.67
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Ltb4r2	0.0	0.0	0.0	0.49	0.39	0.43
Ltbp2	0.0	0.0	0.0	0.3	0.2	0.3
Macc1	0.0	0.0	0.0	0.1	0.1	0.19
Mip	0.0	0.0	0.0	0.09	0.09	0.24
Mirlet7c-2	0.0	0.0	0.0	3.94	3.16	6.93
Mmp21	0.0	0.0	0.0	0.32	0.2	0.22
Mpo	0.0	0.0	0.0	0.12	0.04	0.08
Ms4a8a	0.0	0.0	0.0	0.09	0.09	0.1
Msr1	0.0	0.0	0.0	0.19	0.05	0.17
Nanos3	0.0	0.0	0.0	1.12	0.53	1.16
Nkx6-1	0.0	0.0	0.0	0.17	0.1	0.17
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Npc2	0.0	0.35	0.0	33.26	36.59	36.98
Nxf7	0.0	0.0	0.0	1.94	1.56	1.43
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr61	0.0	0.0	0.0	0.11	0.1	0.22
Pabpc1l	0.0	0.0	0.0	0.34	0.2	0.39
Pcdhgc3	0.0	0.0	0.0	60.91	59.52	67.87
Pdcd2	0.0	14.59	0.0	18.85	20.59	19.58
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pex12	4.12	0.0	0.0	7.86	8.02	9.36
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Pole2	0.0	0.0	0.0	0.82	0.39	0.91
Pou4f1	0.0	0.0	0.0	0.08	0.05	0.05
Prr14	0.0	0.0	0.0	23.5	23.12	23.09
Prrg1	0.0	0.0	0.0	3.5	3.2	4.32
Rab39	0.0	0.0	0.0	1.33	1.56	1.34
Ripk3	0.0	0.0	0.0	0.32	0.2	0.57
S100a9	0.0	0.0	0.0	0.65	0.2	0.22
Sall3	0.0	0.0	0.0	2.49	3.16	2.21
Scel	0.0	0.0	0.0	2.03	1.58	1.97
Serpina12	0.0	0.0	0.0	0.08	0.1	0.17
Serpina3h	0.0	0.0	0.0	0.06	0.05	0.05
Slc16a5	0.0	0.0	0.0	1.37	0.8	1.48
Slc26a9	0.0	0.0	0.0	0.05	0.05	0.08
Slc36a2	0.0	0.0	0.0	0.42	0.2	0.26
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smagp	0.0	0.0	0.0	2.23	1.6	1.89
Snora44	0.0	0.0	0.0	6.08	8.02	7.54
Spint1	0.0	0.0	0.0	2.31	3.2	3.46
Sytl3	0.0	0.0	0.0	0.26	0.2	0.27
Tarm1	0.0	0.0	0.0	0.32	0.2	0.11
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbx6	0.0	0.0	0.0	1.45	1.58	0.9
Tdgf1	0.0	0.0	0.0	0.57	0.39	0.8
Tmem154	0.0	0.0	0.0	0.38	0.39	0.27
Tnni3k	0.0	0.0	0.0	0.29	0.4	0.37
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Trdn	0.0	0.0	0.0	0.19	0.1	0.18
Trh	0.0	0.0	0.0	5.72	5.87	6.5
Trim69	0.0	0.0	0.0	0.11	0.05	0.06
Tsga13	0.0	0.0	0.0	0.09	0.09	0.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttn	0.0	0.0	0.0	0.14	0.05	0.08
Ugt1a6b	0.0	0.0	0.0	1.03	0.39	0.6
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r206	0.0	0.0	0.0	0.65	0.2	0.3
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r28	0.0	0.0	0.0	0.04	0.05	0.07
Vsig2	0.0	0.0	0.0	12.86	11.9	11.71
Ybx2	0.0	0.0	0.0	5.29	5.34	6.38
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp36l3	0.0	0.0	0.0	0.04	0.04	0.12
Zfp449	0.0	1.32	0.0	3.11	3.37	2.82
Zfp572	0.0	0.0	0.0	0.09	0.09	0.19
Zfp957	0.0	0.0	0.0	0.07	0.1	0.07
Zic4	0.0	0.0	0.0	1.68	1.6	1.39
Zic5	0.0	0.0	0.0	1.62	1.6	1.5
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c5_tRNA-Asp-GAY	0.0	0.0	0.0	6.71	6.32	3.46
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	26.94	18796.57	17507.83	18655.33
