	Calb2_tdTpositive_cell_38	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_27	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_56	Gad2_tdTpositive_cell_59	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_76	Htr3a_tdTpositive_cell_8	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_28	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_60	Htr3a_tdTpositive_cell_61	Ndnf_tdTpositive_cell_14	Ndnf_tdTpositive_cell_18	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_12	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_41	Nos1_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_80	Vip_tdTpositive_cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccdc17	0.0	0.0	0.0	50.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	2.02	2.49
Ccl24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.73	1.13	0.13	0.0	0.38	0.61	0.0	0.2	50.3	0.48	0.59	0.0	0.0	0.0	0.61	0.9	0.35	0.56	0.0	0.36	0.3	0.0	0.49	0.08	0.29
Cdkn2aip	0.0	0.0	16.37	1.68	0.33	0.0	0.0	0.0	0.0	0.0	118.0	3.1	0.0	79.3	21.9	0.0	0.0	6.09	0.0	0.0	0.0	3.66	0.08	65.39	66.95	0.0	4.06	8.97	6.29	0.0	11.69	61.81	1.86	0.12	16.64	16.4	14.16
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cks1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.43	0.0	0.0	125.43	0.0	5.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	3.05	2.78
Coq10b	0.0	0.0	0.0	0.42	98.39	0.0	0.55	0.46	0.0	302.2	1.21	9.86	0.0	0.0	193.48	0.0	0.0	0.0	0.0	0.0	283.06	101.09	0.0	0.0	12.8	0.0	0.0	0.0	0.0	52.67	15.19	0.0	4.69	0.0	42.44	40.39	28.01
Coro2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	51.54	0.0	0.0	0.0	0.0	0.0	12.0	0.0	21.88	0.0	0.0	68.66	0.0	33.85	0.0	0.0	0.0	45.61	0.0	19.0	0.07	2.98	42.9	4.45	0.11	118.73	124.35	130.21
Cspg5	0.0	3.87	0.0	37.87	0.0	0.0	0.0	5.59	16.9	0.0	38.53	0.0	9.03	9.56	4.18	0.0	52.51	80.2	13.47	0.0	64.11	2.92	4.35	0.66	14.77	0.0	3.93	5.41	0.11	3.93	39.12	2.63	14.72	0.0	163.54	180.07	172.69
Dnajb3	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	24.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	2.81	2.15
Dtx3	0.0	94.14	0.0	148.07	6.45	0.0	0.0	3.14	0.0	31.21	172.8	32.61	84.36	0.0	9.71	0.0	56.15	0.23	33.97	0.0	261.26	0.0	178.77	0.26	0.46	0.0	155.44	49.95	0.0	43.02	102.49	35.3	76.56	0.0	217.24	238.78	229.0
E2f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	2.74	0.0	31.91	32.55	28.45
Ehd3	106.91	122.3	0.0	0.78	273.44	10.95	0.0	46.21	0.0	0.0	0.15	0.0	0.0	57.96	117.31	0.0	0.0	155.82	0.0	0.0	190.54	47.47	2.38	0.0	16.12	0.0	91.29	135.05	76.48	0.07	168.55	0.0	65.38	100.46	66.6	66.44	70.45
Ehmt2	0.0	0.0	0.0	68.07	0.68	0.0	0.0	0.66	24.98	81.65	4.15	3.55	0.28	0.02	0.0	1.18	0.13	0.0	18.59	0.24	98.15	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	22.68	0.16	0.24	0.0	0.0	122.32	131.91	129.43
Eml4	0.56	0.71	0.42	0.25	0.55	0.14	0.33	0.28	3.0	7.86	0.24	0.29	0.47	0.8	1.08	1.03	0.65	12.1	1.63	0.43	80.98	0.92	0.0	4.76	1.63	0.0	0.38	27.42	2.2	0.8	2.16	2.8	55.81	0.08	21.41	19.76	22.34
Fam40b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.55	0.0	29.59	29.35	28.23
Gad1	6134.62	4937.76	3474.3	5531.38	4579.1	2563.57	6465.39	3012.73	1918.09	7625.79	6140.35	6656.17	2203.07	2741.18	3209.82	5118.59	5381.0	3651.87	4652.07	5832.34	5108.92	3271.28	3075.57	3974.61	3568.13	0.0	3413.81	4820.81	6773.75	5027.54	7754.27	4027.67	5000.8	5407.6	276.59	300.28	292.68
Gck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	1.2	0.82
Gclc	0.0	0.21	0.0	3.5	0.87	0.0	0.0	7.33	0.0	0.0	7.09	0.0	0.0	0.0	80.6	0.0	0.0	34.6	0.0	0.0	106.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.13	32.59	0.27	0.0	0.0	0.0	48.12	46.3	44.89
Gemin4	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	15.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	192.32	0.0	0.0	0.0	0.0	0.0	26.51	0.0	0.0	0.0	0.0	0.0	31.86	0.0	14.72	15.19	15.31
Gm10649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.37	0.47
Gmeb1	14.88	7.86	0.94	0.91	4.32	3.28	97.39	4.94	6.79	11.77	2.34	5.78	4.92	5.72	3.52	0.5	7.91	12.83	9.31	16.04	90.82	4.76	4.98	4.7	4.81	0.0	13.47	1.92	3.76	14.66	5.08	2.26	11.37	11.98	9.63	7.72	9.84
Heca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.02	0.64	59.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.02	17.53	17.71
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hps6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	6.08	5.86	6.42
Irf2bp2	0.56	0.48	9.26	0.0	6.85	0.15	0.0	32.28	5.15	0.75	5.57	5.31	0.53	0.36	26.22	14.78	1.3	35.72	105.41	0.0	5.89	15.61	0.58	3.84	59.12	0.0	6.81	28.83	24.88	2.49	54.36	6.39	5.15	0.0	23.41	22.51	17.78
Kcna2	6.59	27.87	0.32	0.39	0.15	0.37	20.15	85.69	50.17	25.35	19.3	20.75	0.47	69.87	29.1	43.49	8.77	58.55	19.61	0.76	67.57	44.53	27.89	32.07	2.61	0.0	0.25	33.36	22.62	25.16	4.49	37.49	148.99	0.29	82.83	70.58	84.29
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lag3	1.52	0.18	0.36	0.0	0.42	0.0	1.05	0.82	0.0	1.05	0.0	1.46	0.19	0.92	0.0	0.0	0.68	0.0	1.58	0.7	59.75	0.88	0.08	0.0	1.09	0.0	0.0	0.0	0.69	0.31	0.0	0.69	0.59	0.24	6.77	7.49	11.34
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Maml3	0.0	0.0	0.0	0.0	11.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71	0.57	0.0	0.0	27.21	3.69	3.6	0.0	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	0.03	0.0	4.07	3.96	3.88
Miip	0.0	155.85	144.93	0.49	0.0	0.0	0.0	113.42	0.0	0.0	0.0	32.87	0.0	0.0	165.61	71.02	13.29	220.92	0.0	0.0	138.58	49.19	1.93	110.39	4.7	0.0	63.74	94.52	0.0	68.12	0.0	67.72	0.11	0.0	14.69	16.12	17.37
Mrgpre	7.76	5.53	12.29	46.11	3.61	9.59	4.65	3.12	2.55	13.68	7.87	7.33	5.42	4.83	105.66	3.87	5.77	4.11	77.07	10.1	142.04	4.34	6.57	81.34	2.16	0.0	2.3	2.8	1.87	58.2	73.42	14.79	4.09	5.1	8.13	8.61	8.35
Mxd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.59	54.35	59.83
Ncapg2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	78.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.15	0.0	8.16	2.76	2.23	2.75
Ncoa2	1.14	10.54	2.76	0.03	0.0	0.0	8.53	0.0	16.25	2.58	0.0	0.0	0.0	24.76	83.27	0.0	0.0	24.82	61.54	0.0	48.48	0.04	0.0	29.51	41.56	0.0	0.0	0.92	78.14	10.63	69.4	0.5	43.48	0.0	41.1	39.57	43.52
Nelf	0.0	0.0	0.0	0.31	0.0	0.0	0.0	9.27	0.0	177.53	0.66	0.0	8.73	6.71	77.24	0.0	0.0	111.4	0.16	0.0	76.6	0.0	0.09	0.0	0.0	0.0	1.8	11.29	0.1	0.36	0.0	8.84	9.76	0.0	364.64	385.29	388.0
Nlgn2	41.56	0.0	1.42	0.17	0.17	0.83	73.74	0.07	0.25	6.85	0.5	1.04	0.0	34.12	24.11	1.99	36.24	0.0	21.1	0.09	46.25	35.31	23.53	0.3	20.91	0.0	34.89	45.01	4.46	19.5	42.19	45.01	23.02	7.55	132.5	135.21	131.05
Nmnat3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	3.15	2.18
Nol3	3.27	3.96	2.84	18.41	2.74	4.21	1.8	4.12	0.0	5.67	11.96	3.66	3.43	8.5	6.27	0.0	5.12	16.26	3.27	4.08	58.69	3.21	5.7	1.39	6.0	0.0	1.21	5.61	4.29	17.1	46.3	5.48	0.2	0.27	19.53	20.57	21.09
Nrxn2	0.0	0.0	2.06	1.39	2.45	1.4	0.0	0.0	0.0	2.17	8.16	0.0	0.06	5.54	0.65	0.58	1.71	3.63	0.5	0.07	61.8	3.09	2.65	0.0	0.72	0.0	0.0	0.93	0.38	0.46	2.75	0.6	19.99	0.13	132.61	136.52	147.18
Pcdhgb4	0.0	67.73	0.0	1.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	6.68	6.6	6.17
Pld5	0.27	8.77	2.86	79.56	0.26	0.0	0.0	0.11	18.56	67.52	0.0	53.82	0.13	163.99	42.29	70.19	100.29	56.06	3.89	0.42	28.25	0.14	0.29	51.96	134.88	0.0	0.16	87.69	0.13	1.06	0.1	145.73	0.0	0.13	6.64	5.61	7.19
Ppfia3	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	5.82	0.31	6.68	0.0	0.0	2.1	0.0	0.37	14.48	0.0	0.0	0.0	0.09	0.0	0.08	0.0	0.0	0.0	1.04	1.86	0.04	0.0	109.04	115.42	111.21
Ppm1b	14.25	35.82	0.0	0.07	39.67	0.0	0.0	0.0	0.0	16.48	0.0	2.23	15.26	76.16	0.0	0.09	0.0	0.0	187.11	0.0	118.21	45.53	8.71	35.94	41.07	0.0	0.0	137.4	0.04	2.63	0.87	0.0	75.25	205.93	107.35	104.81	105.18
Ptpn23	0.0	0.55	0.0	19.73	0.0	0.0	7.78	0.0	0.0	0.08	0.0	0.0	0.0	2.15	0.0	0.0	0.0	0.0	45.93	0.0	55.0	0.0	41.46	0.0	1.07	0.0	0.0	0.32	0.0	33.76	2.12	6.01	2.92	123.53	35.24	34.31	36.57
Rbms2	0.11	0.14	0.0	0.08	0.03	0.0	0.0	0.34	0.13	0.0	0.0	0.21	0.0	0.0	0.6	0.0	0.14	0.14	0.09	0.09	31.97	0.0	0.95	0.25	0.2	0.0	0.25	0.11	0.2	0.05	0.09	0.0	0.14	0.0	6.08	6.95	5.89
Rer1	0.0	283.72	120.18	140.53	236.07	114.5	1.15	92.26	0.0	119.75	134.29	0.0	0.0	191.07	317.19	0.0	0.0	198.58	122.14	0.0	192.15	169.42	18.75	4.03	172.08	0.0	55.48	0.0	0.0	0.0	0.21	9.18	88.34	0.0	71.44	77.51	72.93
Rhbdd3	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.44	122.68	176.45	0.0	0.0	0.0	70.89	122.09	0.16	0.0	108.05	0.0	0.0	0.0	20.41	19.75	19.49
Rln1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.42	0.91
Rps15a-ps4	3.6	27.47	6.32	18.52	22.66	32.78	54.69	10.9	36.91	0.0	8.38	2.61	39.54	38.02	0.0	38.76	18.02	0.0	9.19	0.0	116.3	5.31	8.21	3.48	19.7	37.47	8.2	35.42	11.43	10.76	7.61	18.7	0.0	0.0	23.06	19.89	20.9
Ryr2	0.0	0.0	3.76	5.58	9.07	0.04	0.1	3.55	11.0	21.0	4.8	2.2	3.81	44.06	6.6	0.71	27.23	42.46	33.31	1.47	28.8	0.77	1.86	0.15	4.23	0.0	2.16	0.0	0.64	1.61	19.45	0.09	15.07	0.0	51.84	45.32	51.46
Sec31a	0.0	77.72	0.0	0.0	0.0	0.0	46.43	13.43	0.0	26.66	0.0	25.81	0.08	163.66	61.29	162.47	20.14	2.87	71.09	0.0	27.64	16.42	0.0	59.35	0.0	15.86	0.0	46.1	58.98	19.21	53.08	0.0	9.99	0.1	59.39	56.09	57.46
Sema6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.99	16.94	16.69
Sept10	0.0	0.0	0.0	13.03	0.0	0.0	0.0	6.31	0.0	0.0	0.0	0.0	16.3	0.0	22.76	0.0	0.0	0.0	16.92	0.0	110.2	0.0	7.88	14.63	24.35	2.96	18.34	14.0	0.29	0.0	0.0	0.0	5.99	0.0	4.67	5.31	5.54
Siah1b	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.79	0.0	0.0	0.0	0.0	5.94	5.08	4.44
Slc9a8	0.14	0.0	0.0	48.51	0.0	0.0	0.0	1.11	0.0	1.6	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.53	116.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.48	0.0	23.52	25.29	23.82
Slco3a1	58.25	0.0	0.92	0.0	0.3	0.0	0.0	0.0	0.0	100.81	0.0	0.1	0.0	78.06	0.0	33.75	0.0	0.0	0.0	0.0	115.01	0.0	0.0	0.0	0.0	437.17	26.19	0.0	0.0	0.0	0.0	0.0	6.98	0.0	22.47	22.01	24.84
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snrnp25	0.0	0.0	189.64	0.0	0.0	0.0	284.2	0.45	0.0	0.0	17.43	0.0	0.0	0.0	143.37	0.0	0.0	0.0	0.0	0.0	255.53	0.0	0.0	0.0	0.56	0.0	0.0	0.0	136.62	0.65	228.79	0.0	83.3	0.0	22.53	23.53	20.35
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Top1	146.38	118.52	177.24	18.89	58.48	69.52	219.96	26.18	119.59	27.27	96.85	0.0	87.3	64.99	24.99	3.06	61.27	253.54	8.8	38.95	238.15	7.07	39.31	18.55	34.49	0.0	103.07	36.98	119.15	14.95	62.37	8.73	82.61	35.71	55.19	44.95	49.5
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Umps	0.0	92.48	0.0	0.07	0.0	0.0	0.0	0.0	0.0	9.24	0.0	0.0	0.0	0.0	43.5	106.75	0.3	155.9	0.0	0.0	187.88	0.0	0.0	52.3	0.0	0.0	0.0	66.32	0.0	0.07	0.0	0.0	0.0	0.0	11.47	11.9	11.84
Usp32	51.15	8.41	0.0	0.09	0.06	17.87	0.0	59.03	4.59	63.35	12.75	10.87	2.16	99.04	0.23	100.54	5.64	40.62	43.38	1.66	36.8	41.36	2.47	9.5	0.0	0.0	8.48	66.86	0.12	65.56	36.89	0.0	99.09	0.0	69.08	61.44	68.37
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Zfp704	0.08	0.28	0.03	0.1	0.81	0.1	0.06	0.49	0.09	0.44	0.15	4.15	0.09	0.1	0.41	0.0	0.25	0.54	6.44	0.0	37.11	0.28	24.32	0.11	0.66	0.0	0.09	0.29	14.79	8.37	0.36	0.16	5.04	0.68	20.21	18.49	20.35
Zfp839	1.91	1.51	1.4	0.5	0.53	3.77	2.47	1.62	4.33	1.36	3.55	1.12	1.33	0.92	1.64	0.17	0.15	2.27	1.24	3.63	103.74	1.05	1.76	1.62	1.77	0.0	3.31	4.03	0.13	1.13	0.74	56.68	5.71	0.99	8.11	8.6	8.5
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
