	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_109	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTpos_100cell_2
A830009L08Rik	0.0	0.16	0.0	0.0	0.0	0.0	0.0	2.94
AI662270	4.23	60.93	0.0	0.0	0.0	0.0	0.0	5.99
AU022793	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0
AW549542	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.09
Abcf1	130.32	197.87	0.87	20.85	102.27	14.3	0.76	39.98
Accs	0.0	164.04	0.0	0.0	0.0	0.0	0.0	0.0
Acnat1	18.66	35.2	25.01	24.01	18.73	13.55	4.97	11.33
Acpp	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.08
Airn	0.25	2.11	1.6	2.92	0.0	0.3	1.96	0.9
Aldoa	13597.95	7042.43	12694.2	13515.12	14715.13	13848.9	12605.63	10997.44
Ankrd39	0.0	76.32	0.0	0.0	0.0	0.0	0.0	3.31
Arhgef17	0.0	23.82	1.45	13.44	0.49	0.69	0.0	2.48
Arhgef18	0.0	29.56	0.0	0.0	1.02	0.0	0.0	1.8
Arntl2	0.0	28.15	0.0	0.0	3.91	0.0	0.0	0.8
Atp1b3	0.0	100.1	164.39	92.14	30.89	0.0	3.59	21.09
Atp6v0d2	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0
Aven	0.0	20.24	0.0	0.0	0.0	0.0	0.0	1.97
B4galt5	1.92	38.88	0.0	0.9	1.08	0.08	0.0	2.11
BC030500	0.0	35.18	0.0	0.0	0.0	0.0	0.0	1.09
BC060267	0.0	24.33	0.0	0.0	0.0	0.0	0.0	2.03
Bag2	0.0	162.47	0.0	0.0	0.0	0.0	0.0	7.86
Bambi-ps1	16.46	82.38	66.65	8.69	11.89	25.34	17.41	27.91
Barx2	0.0	14.3	0.0	0.0	0.0	0.0	0.0	0.0
Bcl2l12	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0
Bhlha9	0.0	37.73	0.0	0.0	0.0	0.0	0.0	1.17
Blvrb	0.0	168.69	0.0	89.91	0.0	0.0	0.0	29.21
Btn2a2	0.0	97.49	0.0	0.0	0.0	0.0	0.0	0.0
C4a	0.0	3.84	0.0	0.0	0.0	0.0	0.0	0.51
Cacnb4	48.77	217.17	122.48	149.14	46.25	27.19	48.01	105.68
Cad	0.0	0.06	0.0	0.0	0.0	0.0	0.0	2.34
Car11	0.0	115.25	0.97	40.15	0.0	0.24	47.03	15.84
Cd74	0.0	121.28	0.0	0.0	0.0	0.0	0.0	0.0
Cd83	0.0	38.18	0.0	0.0	0.0	0.0	0.0	2.1
Cdc25a	0.0	38.21	0.0	0.0	0.0	0.0	0.0	0.09
Chrnd	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Cirh1a	142.35	359.43	8.39	46.69	0.12	101.51	90.72	105.0
Col5a2	0.0	7.17	0.0	0.0	0.0	0.0	0.0	0.0
Col8a1	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0
Crbn	51.59	357.01	0.71	81.04	81.01	100.53	107.71	174.96
Creb5	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
Cstf1	0.0	155.73	0.0	1.23	0.15	0.0	18.47	62.89
Ctnnd1	14.03	48.47	0.0	0.0	0.0	0.07	0.0	9.88
Cwc15	137.11	542.13	406.98	247.13	497.59	321.66	257.68	203.47
Cyb5r2	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.25
Cybb	0.0	0.46	0.37	0.0	0.01	0.15	0.0	0.0
Cyp39a1	0.0	162.32	0.0	0.0	0.0	0.0	0.0	0.0
D630003M21Rik	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
D630042F21Rik	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0
Dapp1	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Dazl	0.0	107.93	0.0	0.0	0.0	0.0	0.0	2.69
Dmgdh	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.12
Dnajc14	49.15	127.05	51.18	0.0	0.0	64.93	0.0	16.18
Dnd1	0.0	0.32	0.0	0.0	0.0	0.0	0.0	1.19
Dock4	0.0	38.52	0.0	0.0	12.08	0.33	0.0	1.98
Dsg3	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Dusp18	54.0	189.65	10.67	29.41	0.0	0.07	43.37	3.47
Edf1	186.42	323.13	22.01	136.54	97.49	193.3	201.87	84.85
Etv6	0.0	36.8	0.0	0.06	0.0	0.0	0.0	0.0
Exosc3	54.98	172.16	0.0	0.0	0.0	0.0	0.0	4.49
Fam123c	0.0	81.3	0.0	4.33	50.65	0.0	0.0	6.27
Fam177a	3.28	35.61	1.32	11.32	9.49	1.75	24.95	14.19
Fam76b	73.04	35.9	0.0	0.0	0.0	0.09	0.0	4.93
Fdx1	0.0	14.31	0.0	0.0	0.0	0.0	0.0	2.94
Fhit	0.0	101.37	0.0	0.0	0.0	0.0	0.0	17.04
Flnb	0.24	28.7	1.47	0.0	0.0	0.04	7.06	0.45
Foxf2	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.15
Fsbp	0.0	16.52	0.0	0.0	0.0	0.0	0.0	0.0
Gcnt4	0.0	41.88	0.0	0.0	0.0	0.0	0.0	0.81
Glrp1	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0
Gm10336	11.37	8.47	0.0	0.0	0.0	0.0	0.0	2.27
Gm10466	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0
Gm11194	0.12	0.12	0.0	0.0	0.0	0.0	0.0	0.0
Gm11944	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Gm14169	0.0	0.09	0.0	0.0	0.0	0.0	0.0	2.0
Gm16119	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.17
Gm17751	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0
Gm19897	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0
Gm20063	0.0	93.51	0.0	0.0	0.0	0.0	0.0	0.0
Gm20110	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0
Gm2176	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Gm4301	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Gm4312	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Gm6567	0.43	1.55	0.0	0.3	0.26	0.0	0.0	0.51
Gm7173	0.0	56.82	0.0	0.0	0.0	0.0	0.0	0.0
Gm7334	150.37	160.63	0.0	0.0	0.0	0.0	60.78	18.91
Gm7904	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0
Gng10	227.62	218.65	213.64	88.42	188.69	84.17	89.83	103.05
Grap2	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0
Grin2d	0.0	15.97	0.0	0.0	0.0	0.0	0.0	0.0
Grm6	0.1	0.31	0.0	0.0	0.03	0.0	0.0	0.11
H2afy3	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0
Hmgb2	0.84	41.85	0.34	0.03	0.0	0.13	0.0	1.54
Hspa1a	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0
Htra4	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.32
Ilvbl	0.0	137.62	0.0	0.0	0.0	0.0	0.0	2.37
Iqcg	0.0	15.86	0.0	0.0	0.0	0.0	0.0	5.97
Itga3	0.0	0.37	0.0	0.0	0.0	0.0	0.0	1.48
Kcnh5	0.0	36.07	0.0	0.0	0.0	0.0	0.0	1.77
Klf2	0.0	82.82	0.0	0.0	0.0	0.0	0.0	0.0
Krt25	0.0	17.63	0.0	0.0	2.58	0.0	0.0	0.0
LOC329427	0.0	0.17	0.0	0.0	0.0	0.0	0.0	1.44
LOC545691	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
LOC626904	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0
Lancl1	53.91	74.18	6.32	13.04	4.26	0.0	68.41	35.82
Lepr	12.5	16.04	6.6	6.92	5.47	7.08	1.9	11.46
Limch1	0.0	62.81	0.0	0.0	0.0	0.0	2.38	0.55
Lmbr1	0.18	71.6	0.06	0.57	0.0	0.14	42.52	6.77
Lnx2	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.35
Ltv1	1.03	151.19	0.0	0.0	0.15	0.0	0.0	26.59
Lypd6	0.0	164.01	0.0	0.0	0.0	0.0	0.0	0.0
Med11	0.53	118.62	0.0	0.0	17.71	0.0	0.0	21.07
Meis1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0
Mir3064	59.05	96.46	0.0	0.0	0.0	0.0	0.0	0.0
Mir5113	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Mmd	31.77	255.3	126.48	15.12	0.0	0.13	74.21	35.59
Mme	0.0	14.4	0.0	0.0	0.0	0.0	0.0	0.0
Morn1	0.0	25.67	0.0	0.0	0.0	0.0	0.0	4.83
Mrpl10	3.67	240.48	296.72	65.73	116.71	1.29	0.3	69.89
Mrpl22	0.0	411.6	69.81	191.84	272.11	341.37	303.48	104.87
Mrps30	0.0	5.49	0.0	0.0	0.0	0.0	0.0	5.5
Mslnl	0.0	124.38	0.0	0.0	0.0	0.0	0.0	0.0
Mvk	0.0	37.04	0.0	0.0	0.33	0.0	0.0	8.41
Myadm	0.3	133.93	18.56	62.94	31.87	96.8	17.29	102.35
Mycs	0.0	15.56	0.0	0.0	0.0	0.0	0.0	0.0
Myo3b	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0
Nckap5l	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0
Nfx1	47.22	186.47	68.08	55.56	33.55	26.35	55.22	45.53
Nipa2	59.59	88.44	0.0	0.0	56.57	0.0	0.0	4.45
Npy1r	209.61	43.43	6.15	2.17	1.48	29.96	140.73	19.6
Oca2	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0
Olfr701	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0
Otoa	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
Otogl	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0
Otol1	0.0	0.63	0.0	0.0	0.0	0.14	0.0	0.0
Pcca	0.52	111.37	0.18	0.0	0.21	1.84	0.0	8.6
Pcdhb19	0.0	3.99	0.0	0.0	0.0	0.0	0.0	5.29
Pdss1	0.0	33.04	0.0	0.0	0.0	0.0	0.0	1.3
Pfkfb4	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.61
Phyh	435.23	920.14	28.19	209.96	138.08	0.24	291.25	206.45
Pisd-ps1	220.3	247.1	272.75	142.03	38.02	115.86	1.34	62.14
Pisd-ps2	58.41	80.05	39.79	29.75	3.8	18.23	0.0	20.66
Pla2g12a	0.0	0.3	0.0	0.0	0.0	0.0	0.0	7.36
Pla2g3	0.0	70.58	0.0	0.0	0.0	0.0	0.0	0.0
Pla2g6	0.0	0.25	0.0	0.0	0.0	0.0	0.0	4.14
Plagl1	0.0	22.66	0.0	0.0	0.0	0.0	0.0	2.53
Plxnd1	0.0	37.83	0.0	0.0	0.0	0.0	0.0	0.15
Pno1	2.92	120.55	0.0	66.74	0.0	0.0	67.42	17.01
Polr1a	0.0	33.45	0.0	0.0	4.53	0.0	41.98	2.95
Ppa2	0.0	247.05	165.54	143.59	135.97	0.29	12.57	44.39
Ppp1r10	43.82	110.37	15.39	12.79	55.35	0.0	14.97	5.82
Ppp1r3a	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r3f	0.0	40.35	0.0	0.0	0.0	0.0	0.0	2.16
Ppp2r5d	56.45	241.89	0.0	0.0	0.37	42.32	0.17	24.42
Prokr1	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Psg27	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0
Rad9	68.8	161.53	0.7	0.0	0.14	0.0	0.0	8.9
Raph1	2.54	80.2	6.73	8.76	2.21	8.54	35.05	14.36
Rbm41	0.36	58.67	0.67	16.28	0.67	1.9	0.43	5.56
Rftn2	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.47
Rhou	0.0	67.58	0.0	4.06	34.1	0.0	5.09	6.82
Rhov	0.0	3.04	0.0	0.0	0.0	0.0	0.0	1.05
Rpsa	245.44	540.29	172.85	197.21	284.79	143.78	285.83	214.26
Rtcd1	0.0	117.84	0.0	47.06	0.18	5.57	75.63	18.16
Samm50	0.0	181.74	0.56	0.0	0.0	43.96	0.0	7.09
Sez6l2	79.96	192.65	9.7	23.94	0.96	0.09	74.25	25.24
Sh3rf2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Sip1	0.0	130.82	0.0	9.47	0.0	0.0	0.0	33.43
Slc16a14	0.0	0.18	0.0	0.0	0.0	0.0	0.41	3.97
Slc22a5	0.0	4.65	0.0	0.0	0.0	0.0	0.0	4.75
Slc28a3	2.13	2.7	3.93	1.6	1.26	1.18	0.88	0.66
Slc30a3	67.01	225.95	0.0	0.0	0.0	0.0	119.23	0.0
Slc30a9	0.0	119.87	0.13	0.74	1.1	35.07	63.32	14.17
Slc9a6	26.26	44.85	2.68	8.35	5.97	2.9	0.0	10.12
Snora26	0.0	54.36	0.0	0.0	0.0	0.0	0.0	0.0
Snord52	0.0	48.26	0.0	0.0	0.0	0.0	0.0	0.0
Spata2l	45.66	61.58	0.0	0.0	0.0	0.43	11.88	5.8
Sphkap	16.5	122.5	0.07	0.0	8.6	4.15	5.51	5.64
Srsf1	34.47	54.83	3.94	0.0	0.0	18.51	0.09	11.77
Ssx9	0.0	3.64	0.0	0.0	0.0	0.0	0.0	0.0
Ssxb10	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0
Ssxb8	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0
Stac3	0.0	4.34	0.0	0.0	0.0	0.0	0.0	0.0
Ston2	0.33	1.66	0.27	0.5	0.23	0.39	0.21	0.29
Suz12	0.0	58.2	0.0	0.15	0.0	0.0	0.0	4.44
Syt15	3.17	4.1	5.31	1.95	1.45	2.33	0.35	2.46
Tbc1d30	3.75	16.72	0.8	0.0	0.05	0.0	0.25	2.21
Tbc1d8	1.68	36.19	1.54	0.0	0.0	0.0	0.0	2.17
Tbx15	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0
Tgm7	0.0	1.93	0.0	0.0	0.0	0.0	0.0	0.0
Thbs3	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.11
Tlcd2	4.56	5.61	0.72	0.0	0.49	0.34	0.0	1.68
Tlk1	0.55	164.41	105.2	0.08	0.0	80.61	69.11	31.79
Tmem104	0.0	13.66	0.0	0.0	0.0	0.0	0.0	2.84
Tmem175	64.75	220.36	0.0	248.73	66.2	3.69	101.8	59.1
Tmem93	0.0	37.58	0.0	0.0	0.0	0.0	0.0	4.68
Tnfaip6	73.33	1.5	0.3	0.36	0.37	0.22	0.59	0.54
Tnfrsf12a	0.0	279.82	0.0	0.0	0.0	0.0	0.0	3.35
Tpd52l2	30.33	272.75	199.68	96.11	143.76	93.03	208.24	96.34
Tph2	0.0	74.13	0.0	0.0	0.0	0.0	0.0	0.0
Trank1	5.63	63.98	64.09	26.72	18.05	37.37	1.75	13.36
Treml2	0.1	0.5	0.2	0.0	0.39	0.21	0.0	0.15
U2af1	0.0	1.04	0.0	0.0	0.0	0.0	0.0	21.82
U90926	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0
Ubap2	0.31	11.3	0.21	6.18	0.0	0.0	0.0	2.19
Ube1y1	10.56	24.07	16.15	6.78	14.6	11.93	5.13	10.58
Uhrf1	0.0	60.38	0.0	0.0	0.0	0.0	0.0	0.1
Ung	0.41	0.76	0.25	0.0	0.0	0.0	0.0	0.18
Vmn2r31	0.0	9.6	0.0	0.0	0.0	0.0	0.07	0.0
Vmn2r33	0.0	10.35	0.0	0.0	0.0	0.0	0.0	0.0
Wbscr16	0.0	35.97	0.0	0.0	0.0	0.0	0.0	4.04
Wdr54	0.0	323.07	0.37	0.0	0.0	0.83	1.98	68.55
Wdr55	21.99	129.36	170.96	0.0	0.0	0.23	0.0	35.78
Wdr59	0.46	24.23	0.0	0.0	21.21	0.15	0.0	2.21
Wfdc13	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0
Xirp2	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0
Xrcc4	0.0	76.67	0.0	6.45	0.0	0.0	25.75	28.41
Zfp14	0.0	105.94	0.0	0.0	20.73	0.1	11.8	14.9
Zfp462	0.25	5.77	0.0	0.0	0.0	0.0	0.0	0.71
Zfp493	0.0	0.34	0.0	0.0	0.0	0.0	0.0	8.83
Zfp618	0.16	0.13	0.0	0.0	0.0	0.0	0.0	0.0
Zfp747	0.0	0.15	0.0	0.0	0.0	0.0	0.0	1.15
c16_tRNA-Ala-GCY_	0.0	21.46	0.0	0.0	0.0	0.0	0.0	0.0
c1_tRNA-Ala-GCG	0.0	58.39	0.0	0.0	0.0	0.0	0.0	0.0
