	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64
C130074G19Rik	0.0	0.0	0.17	0.27	0.0	0.0	0.69	0.0	0.0	23.24	0.05	0.0	0.0	0.0	0.01	0.0	0.0	58.19	0.15	40.82	0.0	0.0	0.0	0.0	60.71	0.0	53.91	0.25	0.33	4.92	0.0	0.0	0.18
C530028O21Rik	57.62	0.0	37.4	0.0	0.0	101.16	193.45	88.71	0.0	233.13	72.72	0.0	0.0	0.0	44.86	0.0	0.0	29.27	0.0	0.0	95.63	9.87	0.0	0.0	0.0	12.61	57.15	273.95	0.47	4.71	1.87	15.73	0.0
Calr	306.28	40.56	219.02	0.0	295.59	398.21	0.0	328.76	436.96	251.57	356.33	506.67	0.22	164.33	31.41	347.69	584.87	673.86	561.09	428.58	503.79	416.4	543.81	533.34	214.5	395.04	433.68	592.21	271.75	164.32	201.35	535.65	301.16
Camk4	35.94	40.18	1.61	48.32	66.3	1.16	67.85	31.62	27.18	34.14	50.99	1.27	1.86	2.33	0.72	1.65	74.75	243.41	167.87	171.7	53.77	94.19	124.92	286.23	216.35	85.71	151.81	183.55	117.67	30.97	21.09	1.33	1.18
Camkk2	0.0	1.06	0.0	0.0	0.0	0.0	1.28	0.4	15.07	14.41	1.1	7.91	0.0	0.0	0.0	0.0	3.73	2.14	13.1	36.56	26.11	35.2	15.24	38.11	16.58	6.42	68.37	26.24	0.06	3.02	0.0	0.0	0.0
Car4	0.0	0.0	0.0	5.91	182.21	0.0	2.47	162.94	0.41	78.68	4.36	0.0	0.0	0.0	0.0	0.0	435.09	710.27	4.13	129.6	0.0	293.65	7.05	120.53	682.7	65.54	135.32	383.88	281.51	338.66	0.0	795.76	301.42
Ccdc36	292.28	326.07	151.93	105.81	248.4	111.17	2.09	236.28	152.23	171.73	78.97	0.97	4.61	0.91	2.01	14.63	99.97	303.34	301.91	120.23	144.55	474.74	326.44	483.84	516.28	206.72	269.57	411.97	5.84	98.88	199.28	194.4	3.5
Ccdc51	0.06	0.0	0.0	0.0	0.0	0.0	0.0	4.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	123.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccdc77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.2	0.0	0.0	0.1	7.91	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	110.97	0.0	128.6	0.0	0.0	0.0	0.0	1.11	0.0	0.0
Ccl27a	282.13	635.08	648.89	371.41	443.43	116.47	910.7	217.28	325.91	247.17	137.63	223.32	504.26	0.0	138.26	0.0	539.34	1438.66	753.9	1211.66	1048.38	1469.56	1298.67	1283.87	873.72	542.99	939.86	1274.51	1188.76	198.41	267.24	52.84	0.0
Cd302	0.12	0.0	0.0	0.0	0.0	0.0	290.35	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	118.92	109.94	473.21	0.36	109.69	171.21	90.11	59.32	0.0	2.27	360.39	0.89	0.0	0.0	0.0	0.0
Cdr1	72.1	3.08	25.68	4.52	4.34	3.02	101.79	10.94	0.0	3.2	31.39	26.92	0.18	0.0	32.98	0.0	38.56	8.27	4.25	130.61	30.39	60.33	7.84	1.01	84.46	51.61	49.58	123.71	76.87	58.66	66.42	27.52	3.07
Clip3	100.83	1.36	9.15	129.31	343.85	110.97	229.1	96.95	94.82	135.93	171.32	81.01	222.62	8.15	3.77	0.0	106.13	0.0	103.07	336.08	64.54	116.3	21.02	72.52	390.7	249.88	337.08	241.49	43.56	194.66	296.82	91.63	519.47
Csnk2a1	85.04	0.61	120.75	0.27	10.01	0.5	35.09	55.82	25.61	46.45	4.85	4.78	0.5	35.8	4.96	0.0	2.06	37.65	18.51	35.93	19.55	18.29	17.37	85.85	8.98	18.73	0.87	90.3	15.43	103.23	19.81	1.69	5.6
Cyhr1	169.93	0.57	0.0	0.0	5.57	219.51	0.0	45.09	0.0	0.0	0.11	193.15	19.31	2.34	54.77	0.0	176.23	4.91	0.31	290.2	241.34	0.0	168.51	159.87	0.0	202.11	340.93	211.63	2.16	23.81	116.25	0.0	478.21
Dap3	43.65	1.36	210.5	5.17	0.0	0.12	135.08	53.68	21.35	93.47	37.53	55.9	147.63	16.25	1.4	0.0	71.16	55.97	1.64	34.61	75.65	8.65	23.83	98.36	29.83	3.24	47.73	139.94	2.97	31.64	0.0	208.71	71.5
Dcaf13	192.25	0.0	0.0	0.0	265.24	0.0	36.65	34.54	166.17	256.17	119.52	214.26	0.0	0.0	243.85	0.0	236.36	194.22	1.62	237.14	296.86	34.28	145.46	248.02	0.0	0.71	74.14	520.25	14.01	216.87	7.94	0.0	312.44
Dnajb14	0.0	0.0	0.0	0.0	0.0	0.0	2.99	2.47	0.0	0.0	0.0	35.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.56	0.0	51.2	0.0	0.0	0.0
Dpp6	147.98	31.09	392.12	0.0	20.96	43.72	102.89	43.4	64.41	52.39	59.71	149.02	0.0	0.0	69.56	0.0	153.32	17.31	12.11	131.18	26.31	33.12	0.07	66.4	129.49	1.41	60.78	7.57	36.85	19.79	203.66	30.33	0.11
Entpd4	0.15	0.0	0.0	0.0	2.22	3.28	0.0	9.19	0.0	0.0	11.33	0.0	0.0	0.0	42.04	0.0	0.0	0.0	25.89	66.36	0.0	7.54	0.11	0.0	83.94	0.0	126.18	44.58	2.51	0.0	4.23	0.0	0.0
Faim	0.15	0.0	0.0	0.0	0.0	4.36	0.0	0.0	0.0	0.0	56.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	130.27	0.0	119.79	0.0	0.28	17.33	0.0	0.0	0.0
Fam63a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.63	0.0	51.58	0.0	0.0	0.0	138.49	0.0	0.0
Fam96b	112.2	125.87	73.8	0.0	0.0	0.0	297.7	63.05	54.73	132.84	98.87	81.68	0.0	0.0	62.94	0.0	83.65	156.12	214.75	103.88	0.0	0.0	193.3	209.09	127.4	177.39	108.42	379.77	3.43	113.81	137.39	0.0	371.18
Fam98c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.89	0.0	76.14	0.0	0.0	0.0	0.0	0.0	0.0
Fancm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	5.87	0.0	0.0	34.02	23.77	0.0	0.0	0.0	0.1	0.0	4.58	0.0	0.0
Fbxo45	0.0	0.0	0.0	0.0	7.25	0.0	0.0	96.72	7.9	1.37	0.04	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.11	0.0	4.37	103.46	9.51	2.02	57.45	2.59	0.4	3.44	0.13	0.09	0.0
Fbxo9	0.0	34.08	120.3	0.0	0.0	2.06	0.0	69.2	2.0	0.0	1.19	101.0	0.0	0.0	1.92	0.0	0.0	6.28	13.62	72.39	22.0	0.0	0.0	26.31	114.23	3.53	31.87	1.57	4.8	0.0	52.26	6.63	201.56
Fstl1	0.0	0.0	0.0	0.0	0.0	0.0	1.08	69.63	1.15	59.87	0.0	0.0	0.0	0.0	0.28	0.0	28.26	89.13	0.1	0.58	0.0	94.9	70.37	178.46	0.0	115.15	36.23	85.52	35.5	0.61	0.0	108.11	0.0
Galt	23.71	0.0	0.0	121.73	75.93	0.0	111.58	1.63	98.83	130.89	24.01	41.02	0.0	0.0	0.25	0.0	15.72	16.37	136.89	0.0	51.25	189.84	190.57	396.26	220.64	142.69	132.21	263.17	103.73	44.66	0.0	0.0	0.0
Gm1673	0.0	0.0	0.0	0.0	0.0	0.0	30.92	0.0	0.0	0.0	19.18	2.32	0.0	0.0	9.23	0.0	0.0	0.83	0.0	8.92	34.71	0.0	0.0	30.63	0.0	0.0	24.42	24.89	0.36	29.21	32.14	51.55	34.52
Gm5797	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	1.33	0.0	0.0	1.46	1.61	0.0	0.0
Gpatch1	0.0	0.0	0.0	89.17	0.0	0.0	0.0	0.0	0.68	38.96	73.8	0.0	0.0	0.0	0.0	0.0	31.46	0.0	0.0	75.81	0.0	0.0	173.23	0.0	151.31	0.0	157.29	0.0	0.0	0.0	0.0	0.0	1.15
Gpr123	15.06	0.13	0.0	0.0	0.0	22.53	20.21	8.87	13.27	9.64	1.25	163.04	77.42	0.0	66.22	0.0	63.75	23.85	0.06	93.25	2.11	23.59	94.88	97.44	53.43	69.54	108.78	69.11	9.9	26.0	48.82	0.0	168.55
Gpr158	0.04	0.0	0.0	0.0	3.35	0.0	155.14	26.33	20.23	0.0	34.67	3.16	0.0	0.0	0.0	0.0	31.47	24.72	38.63	47.17	1.22	103.08	181.54	86.59	85.65	96.58	270.46	138.32	27.16	16.94	45.15	0.0	0.0
Grik2	0.19	23.0	0.1	0.0	4.58	0.0	28.11	76.78	0.43	40.62	42.98	30.88	0.0	0.0	1.95	0.0	0.15	0.0	0.0	0.0	0.0	2.56	0.0	132.48	0.0	0.0	50.88	0.0	0.0	75.09	215.66	0.16	70.27
Hdlbp	0.17	0.0	78.73	0.0	0.0	0.0	0.0	20.16	0.16	33.28	43.33	13.86	0.0	0.54	1.58	0.0	2.47	43.48	0.0	40.22	60.69	6.38	0.0	91.93	27.37	29.64	29.87	55.46	2.18	3.51	145.27	0.0	0.0
Hlf	21.21	1.71	0.0	0.0	52.88	0.0	130.82	59.99	33.35	39.6	50.49	0.0	0.0	0.0	0.17	0.0	43.05	28.07	0.06	97.46	61.13	4.2	49.24	168.13	107.05	91.81	83.36	172.0	0.5	50.53	0.0	0.0	0.0
Homer1	59.94	20.84	0.0	12.78	158.6	143.72	229.98	86.15	57.1	157.04	163.5	0.11	0.0	0.0	13.58	0.0	114.86	11.3	91.6	452.57	103.95	61.2	285.7	119.95	212.57	161.42	316.61	302.7	85.16	120.82	1.19	0.0	3.53
Hsd17b7	39.51	0.32	0.11	0.0	46.72	0.0	0.17	0.0	0.0	11.04	0.03	0.1	0.09	0.0	0.0	0.0	0.0	0.16	0.0	47.97	0.25	0.16	71.18	0.0	76.74	0.0	59.6	0.0	0.03	0.48	0.12	0.0	0.77
Hspa8	22360.42	16682.87	24473.49	20649.84	17816.59	26297.86	19684.06	18093.3	17407.32	17791.57	22558.28	23643.2	20789.46	11409.87	20908.03	12999.96	16911.04	22280.51	21295.16	17461.51	17242.33	17844.94	16771.57	12170.23	12321.09	17775.73	14484.12	13514.6	18967.67	21156.27	21948.63	20378.92	21321.96
Ints10	0.0	0.0	100.71	0.24	396.8	0.0	166.02	190.44	0.43	317.82	0.14	14.28	0.0	0.0	84.26	0.0	138.05	25.77	318.91	154.51	0.18	188.66	321.65	0.0	222.92	8.02	373.6	0.0	223.31	11.99	14.6	743.15	18.28
Jakmip1	0.0	0.0	0.0	0.0	0.22	0.0	0.0	61.49	0.0	5.31	6.1	0.0	0.0	0.0	1.9	0.0	0.3	0.0	0.0	2.52	0.0	3.01	0.0	95.83	0.0	68.42	0.0	12.52	1.03	33.9	2.76	0.0	0.0
Kcnb1	20.51	31.65	34.69	0.0	100.26	0.05	37.2	18.41	42.29	7.21	40.49	22.66	81.79	0.0	7.95	0.0	22.55	5.93	28.23	98.29	17.94	46.67	60.11	52.59	111.33	67.8	87.94	115.14	63.83	65.88	9.32	0.0	0.0
Kdsr	3.37	42.42	0.0	0.12	163.76	18.54	0.0	11.59	15.1	18.19	7.48	62.35	144.52	1.22	0.51	0.45	15.46	4.34	45.07	0.07	64.36	76.93	20.8	232.5	0.24	46.24	16.9	236.44	19.27	103.96	0.27	131.59	55.79
Krt12	0.0	65.44	0.0	26.7	164.25	19.05	83.55	15.49	13.86	36.9	1.74	0.0	0.0	0.0	16.08	0.0	166.73	144.14	112.73	160.79	138.06	116.08	38.83	221.29	163.92	131.52	216.82	100.19	49.7	4.02	0.0	0.0	0.0
Leng9	0.0	0.0	0.0	0.0	8.53	0.0	0.0	0.0	0.0	0.0	31.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.2	0.0	0.0	167.97	0.0	122.25	160.37	0.16	0.0	0.0	0.0	0.0
Lhfpl4	0.48	2.74	0.92	6.54	99.35	1.88	84.62	7.53	15.35	52.57	19.08	1.28	0.58	0.0	0.65	1.01	3.44	62.54	3.96	7.2	2.29	1.95	1.9	1.35	81.92	7.99	95.66	0.11	31.8	1.36	0.79	0.2	7.65
Lsmd1	62.21	0.0	0.0	0.0	289.64	151.65	74.5	2.16	80.62	111.17	33.7	53.3	0.0	351.73	146.05	0.0	189.03	316.94	73.94	104.31	122.2	359.39	93.99	243.26	79.48	72.0	313.42	273.44	105.0	0.0	104.29	116.06	184.99
Lynx1	80.89	2.6	15.12	0.0	0.0	8.6	0.0	0.0	0.0	0.0	0.0	6.76	39.19	0.0	15.83	0.0	3.09	119.84	12.67	156.44	17.05	0.0	21.83	42.73	72.54	4.14	42.38	0.39	100.7	0.0	4.26	0.0	0.0
Manf	57.0	50.6	0.0	0.0	21.36	0.0	12.48	0.0	4.02	2.86	82.11	1.2	0.0	0.17	0.23	0.0	76.54	15.48	0.64	95.57	2.01	62.15	44.04	92.46	104.72	46.04	111.08	46.94	24.81	28.94	0.0	0.0	0.0
Map3k2	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	15.58	0.0	1.2	0.0	0.0	0.0	0.0	0.1	0.0	0.61	0.0	0.93	0.0	42.66	0.0	72.65	49.68	0.0	17.07	0.0	3.58	0.0	0.0	0.0	0.0
Morc2a	0.07	0.0	0.55	0.0	0.59	0.0	0.0	0.15	0.0	0.0	0.11	37.93	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	131.08	7.61	0.0	0.0	0.0	0.0
Mtch1	0.4	0.0	0.0	0.0	0.0	0.0	11.53	252.95	10.93	110.21	143.37	75.46	0.22	0.0	166.23	0.0	249.26	110.78	0.74	13.6	0.0	16.4	57.9	301.76	133.57	30.62	135.06	260.6	140.68	54.41	32.8	323.34	0.0
Mtch2	183.82	130.83	296.19	232.42	197.78	0.0	327.4	133.32	170.8	245.31	134.33	168.97	0.17	0.0	235.55	0.0	0.1	217.67	217.89	470.9	159.64	369.0	173.98	730.82	169.84	98.39	125.45	446.3	231.55	190.05	96.1	0.0	141.0
Mtpn	0.86	50.07	46.73	0.0	478.61	0.0	34.6	158.89	191.1	66.58	183.92	58.58	0.1	0.0	98.44	0.0	376.66	39.6	2.68	250.35	136.41	319.54	98.65	650.3	344.01	75.41	99.83	141.79	38.28	43.01	0.13	0.19	33.72
Napb	687.63	457.8	111.27	659.93	631.39	122.14	487.65	698.29	141.97	159.62	368.98	90.86	0.34	0.0	238.5	0.0	620.09	919.71	141.82	541.25	580.43	278.98	36.74	968.51	356.15	519.69	881.27	225.9	167.88	94.61	182.2	84.51	149.99
Nat8l	0.0	0.0	27.97	0.0	0.08	0.0	0.0	0.81	0.08	1.71	7.2	0.0	0.0	0.0	32.91	0.0	31.13	23.02	0.79	81.42	3.0	0.49	4.68	33.77	81.14	16.9	36.05	72.9	0.39	52.29	14.16	0.0	30.1
Ndfip1	78.57	0.0	0.0	7.54	116.68	0.0	34.83	96.42	37.57	0.78	39.75	59.76	0.47	0.0	35.63	0.0	6.31	13.42	20.24	460.54	0.0	172.68	68.61	85.09	46.66	107.29	257.75	170.92	15.3	7.4	209.29	0.0	0.0
Npcd	0.08	3.33	0.0	0.49	109.62	0.0	3.73	36.04	80.39	40.46	198.87	3.02	0.09	0.16	0.11	0.0	49.09	91.59	242.49	26.16	197.53	54.68	214.2	113.41	165.06	77.87	103.85	120.45	121.75	50.5	5.55	0.0	26.19
Nrxn1	819.84	864.04	683.74	830.16	1939.37	357.6	1800.1	661.28	743.42	737.82	863.63	264.27	747.82	0.04	239.01	0.0	1255.77	1069.84	1210.91	1356.75	956.97	1315.13	1520.75	1392.28	2055.08	1125.46	1204.9	1808.35	1092.95	458.96	348.46	463.28	482.26
Ogt	173.15	21.12	182.4	92.62	280.11	42.41	20.13	218.45	55.37	188.19	149.47	98.39	0.23	0.0	80.02	0.0	420.56	104.22	141.25	136.51	357.21	220.18	115.07	736.98	179.37	95.81	510.55	24.61	9.39	171.58	183.72	0.62	223.61
Osbpl1a	131.79	525.83	0.0	345.25	751.79	154.83	526.12	706.69	581.84	954.31	1190.5	54.99	0.0	0.0	96.89	0.15	943.84	1012.17	537.62	923.71	695.58	1393.15	1049.34	1128.23	1808.97	1016.04	1485.41	1676.26	977.51	834.75	0.43	0.0	100.02
Pcbp2	0.09	7.65	1.08	0.21	271.33	0.0	24.99	65.93	3.37	116.38	113.33	88.92	0.0	0.0	47.07	0.0	34.14	175.77	1.03	98.95	152.68	169.75	68.05	178.96	65.77	26.0	238.37	42.17	74.58	14.61	0.0	0.0	1.41
Pde2a	78.04	4.11	101.35	5.93	18.33	111.82	0.19	96.72	50.49	22.06	143.99	78.79	0.1	0.0	5.02	0.0	64.46	43.48	237.0	124.63	122.68	172.48	208.92	239.25	176.76	80.49	312.87	124.78	89.63	58.99	221.93	0.0	0.0
Pdss1	0.19	0.0	0.31	0.0	52.71	0.0	0.0	0.0	46.74	0.0	22.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	82.98	0.0	0.0	0.0	93.75	0.63	0.0	0.0	0.0	0.0
Pkd2l2	0.0	0.0	0.0	0.0	9.3	11.43	0.0	0.0	0.24	11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	0.0	16.34	0.0	0.0	0.0	8.83	0.06	0.0	0.22	0.0	0.0
Pla2g4e	0.0	0.0	0.0	3.96	20.07	0.0	0.0	0.0	7.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	24.49	12.1	0.0	0.0	0.0	0.0	11.79	45.66	0.0	0.0	0.0	0.24	0.65	0.0	6.62	0.0
Polr2e	168.8	230.72	426.48	242.29	42.32	286.84	0.0	163.1	357.81	131.64	239.41	143.67	426.53	0.0	373.98	0.0	177.82	0.98	286.39	140.93	0.0	242.7	277.57	354.11	340.21	0.0	289.65	185.36	324.02	246.44	0.0	0.0	0.52
Ppp1ca	582.62	232.79	0.0	683.94	272.96	0.0	1413.68	708.48	481.21	1093.3	251.14	170.57	0.32	0.0	117.64	1977.16	467.94	932.46	370.72	1120.35	754.48	586.7	655.72	829.02	429.69	395.43	600.8	1470.25	694.02	902.15	617.63	770.84	349.79
Prpf3	0.06	0.0	0.0	0.0	0.0	163.93	0.0	0.0	7.98	0.0	0.04	0.0	480.26	0.0	0.37	0.0	0.0	0.0	0.0	0.0	22.08	125.77	115.99	221.98	0.61	220.34	0.0	147.8	0.15	79.48	0.0	0.0	0.37
Ptn	0.51	114.85	0.0	55.74	440.74	0.0	535.24	506.3	535.78	313.68	242.28	0.28	149.29	179.89	1.0	0.21	238.2	664.14	359.48	574.84	220.69	290.85	446.75	1038.53	873.87	539.53	516.97	798.82	549.97	572.1	0.0	0.0	0.25
Pum2	0.26	0.0	0.16	0.0	0.1	0.0	0.13	45.86	0.61	55.55	36.98	45.39	110.88	0.06	3.2	0.64	18.16	37.45	0.0	95.15	8.74	0.0	0.0	128.98	95.23	0.54	184.58	1.04	2.68	39.02	43.99	0.0	0.0
Rab11a	6.81	1.67	0.0	0.0	4.76	0.46	0.0	76.72	2.68	0.0	155.77	0.0	0.0	0.0	108.41	0.0	2.65	39.62	0.0	268.78	168.78	44.12	180.94	26.19	210.54	5.59	57.93	190.09	0.53	25.77	0.71	0.0	0.22
Rab3ip	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.76	0.0	0.48	0.98	0.0	0.0	0.0	0.0	0.09	0.0	1.04	0.0	3.28	0.0	0.0	81.4	0.0	0.0	2.24	144.67	108.69	50.26	0.0	0.0	0.0
Rbm28	12.24	26.39	8.66	32.96	85.52	113.53	16.05	89.8	11.27	37.77	51.19	52.28	9.12	6.7	15.45	430.11	17.89	19.96	26.37	96.1	102.1	86.45	8.92	149.7	62.48	23.86	47.44	8.91	135.63	63.19	39.99	11.88	9.52
Rgs17	0.13	13.42	1.72	37.73	94.8	0.39	46.07	14.77	71.08	79.73	168.52	162.18	0.05	0.0	37.39	0.0	92.71	118.13	37.08	222.88	0.07	48.27	108.05	130.46	55.14	121.81	174.33	106.49	233.67	29.15	0.0	41.56	19.87
Rgs4	0.36	3228.45	0.0	4969.56	2451.16	15.38	1297.65	1419.73	4201.26	991.83	2227.32	991.37	555.48	0.13	717.62	0.0	628.47	4470.78	3484.83	3593.95	3462.02	3617.88	6274.8	3036.8	3732.04	2898.03	2617.58	1519.58	3769.97	1751.44	0.56	334.97	0.34
