	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_46	Sst_tdTpositive_cell_71	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Slc4a9	0.0	0.0	0.0	0.17	0.17
Slc7a2	0.0	0.63	0.51	13.05	13.08
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
Smok3a	0.0	0.0	0.0	0.11	0.11
Speer6-ps1	0.0	0.0	0.0	0.21	0.21
Tac4	0.0	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tg	0.0	0.0	0.0	0.08	0.08
Thnsl2	0.0	0.0	0.0	2.99	2.99
Tktl1	0.0	0.0	0.0	0.08	0.08
Upk1a	0.0	0.0	0.0	1.0	0.47
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.09
Vmo1	0.0	0.0	0.0	0.15	0.16
Wdr38	0.0	0.0	0.0	0.17	0.17
Zfp957	0.0	0.0	0.0	0.07	0.07
Zscan10	0.0	0.0	0.0	0.04	0.04
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8583.15
