	Cux2_tdTpositive_cell_121	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ghr	0.03	0.0	116.75	9.18	7.76	5.47	9.9
Gm10814	0.0	0.0	36.48	0.0	1.57	1.25	1.18
Gm12409	0.0	0.0	0.4	0.0	0.0	0.0	0.0
Gm13285	0.0	0.0	0.55	0.0	0.0	0.0	0.0
Gm13286	0.0	0.0	0.06	0.0	0.0	0.0	0.0
Gm13287	0.0	0.0	0.11	0.0	0.0	0.0	0.0
Gm5577	0.18	0.0	71.9	0.24	18.15	13.4	18.24
Gm7694	0.0	0.0	44.54	0.0	3.05	2.63	3.26
Haus1	0.0	0.0	101.69	80.73	13.37	13.28	12.37
Hist2h2bb	0.0	0.0	102.2	0.0	2.35	2.01	2.86
Hist2h3b	0.0	0.0	7.74	0.0	5.97	3.1	5.01
Hist2h3c2	0.0	0.0	6.25	0.0	6.32	7.92	5.65
Hoxc8	0.0	0.0	0.19	0.0	0.04	0.04	0.09
Hp1bp3	10.57	2.41	289.7	3.27	192.47	198.49	176.78
Htr6	0.0	0.0	67.66	0.0	6.9	7.2	6.67
Irgq	0.21	0.0	73.86	41.41	67.22	66.07	66.39
Kcnc1	7.25	0.0	31.57	0.04	96.03	98.54	104.01
Lpar3	0.01	0.0	0.62	0.3	0.36	0.26	0.46
Mageb16	0.0	0.0	57.16	0.0	0.0	0.0	0.12
Mecom	0.0	0.0	0.09	0.0	1.64	0.98	1.5
Mif4gd	0.0	0.0	69.01	0.0	14.51	16.26	15.98
Mlph	1.3	0.0	1.99	0.24	1.67	1.61	1.82
Mmp19	0.0	0.0	4.97	0.11	0.89	0.61	0.37
Mrgpre	2.59	0.0	94.54	1.34	8.13	8.61	8.35
Mrgprh	0.0	0.0	0.22	0.0	0.11	0.26	0.17
Mtmr2	11.53	44.69	178.44	13.49	42.48	41.76	39.44
Nos1	0.0	0.0	17.4	0.0	17.56	14.84	17.09
Olfr494	0.0	0.0	0.43	0.0	0.0	0.0	0.0
Optn	0.0	0.0	81.57	0.0	13.56	14.66	14.72
Pde6a	0.0	0.0	2.85	0.0	0.17	0.08	0.19
Pdgfb	0.04	0.0	169.44	0.0	22.86	26.58	25.28
Pex7	0.0	0.0	33.32	0.0	31.55	31.4	30.73
Phactr4	0.0	0.0	0.26	0.0	5.79	5.68	5.96
Plagl2	0.0	0.0	43.45	0.0	5.55	5.21	5.26
Plcl1	0.04	0.0	35.75	0.01	13.26	10.77	14.66
Pole3	138.05	0.0	144.69	0.0	27.93	28.71	27.35
Prdm9	0.09	0.0	19.24	0.0	2.41	3.04	2.37
Ptplad2	0.02	0.0	7.49	0.0	3.23	2.55	2.61
Ptpn23	3.7	0.0	34.74	0.0	35.24	34.31	36.57
Pycr2	0.02	0.0	85.4	0.0	29.29	31.46	30.59
Rasa3	0.02	0.0	144.67	14.92	49.53	50.53	51.14
Rcor3	0.04	0.0	106.72	0.0	14.75	14.31	15.23
Rnf157	35.99	0.0	136.3	0.9	165.94	162.23	173.95
Rxfp2	0.0	0.0	32.92	0.0	0.82	0.85	0.57
Rxrg	0.0	0.0	108.15	0.0	24.34	26.63	23.94
Sall1	0.0	0.0	0.07	0.0	12.24	12.82	13.17
Sipa1l3	0.0	0.0	8.55	0.0	22.22	21.93	21.96
Slc20a1	167.94	0.0	500.8	32.04	138.28	132.09	138.7
Slc26a11	0.0	0.0	86.65	0.0	4.77	5.28	4.35
Slc6a18	1.33	0.0	5.45	1.32	2.57	1.94	3.66
Smchd1	4.48	0.0	66.39	0.0	17.6	16.14	16.17
Snai2	0.19	0.0	54.97	0.54	1.33	1.01	1.82
Sobp	22.54	0.0	26.12	3.43	43.99	46.81	48.08
Spag5	0.0	0.0	34.57	0.0	10.75	9.88	10.8
Speer4d	0.0	0.0	0.35	0.0	0.0	0.0	0.0
Speer7-ps1	0.0	0.0	16.69	0.0	2.05	1.33	1.74
Tlcd2	0.27	0.0	4.66	0.0	9.03	7.47	11.19
Tmc6	0.0	0.0	3.47	0.0	3.56	3.65	4.05
Tpte	0.0	0.0	10.08	0.0	0.04	0.04	0.16
Treml2	0.03	0.0	24.7	0.0	0.35	0.38	0.4
Trim2	0.17	1.3	69.45	22.4	107.53	98.64	106.4
Trrap	21.38	0.0	29.94	11.53	48.39	44.3	50.87
Vcam1	0.0	0.0	157.63	0.0	20.71	18.36	18.51
Vmac	0.0	0.0	89.67	0.0	8.64	10.91	11.02
Vmn2r37	0.12	0.0	0.13	0.0	0.1	0.0	0.08
Wtip	0.0	0.0	7.82	0.0	5.53	7.12	6.08
Zfat	0.0	0.0	19.65	0.0	3.74	3.31	3.68
Zfp212	0.0	0.0	81.56	0.0	11.57	13.4	12.35
Zfp346	0.0	0.0	159.5	0.0	27.07	27.52	27.69
Zfp668	0.0	0.0	48.66	0.0	9.21	9.71	10.33
Zfp775	0.83	0.0	53.4	0.0	4.38	5.09	5.44
Zfp949	0.26	0.0	105.07	0.72	14.39	14.86	13.32
Zkscan2	0.01	0.0	13.98	0.0	16.42	15.07	16.88
c5_tRNA-Lys-AAG	0.0	0.0	14.1	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
