	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_68	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Dlg1	0.0	14.76	76.77	162.08	9.14	247.03	46.19	189.77	133.36	11.47	0.6	195.89	62.56	228.7	205.44	63.41	210.37	273.65	274.13	143.42	28.84	7.75	96.19	65.79	49.15	16.51
Dtx4	0.0	26.4	0.0	64.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.7	0.0	7.84	16.63	0.69	46.99	38.47	0.12	0.0	0.0	0.04	0.0	0.16	0.0
Eif4g2	72.27	91.35	156.55	54.13	83.93	178.25	31.59	251.13	71.39	17.86	289.6	45.72	137.11	94.28	268.91	158.62	209.78	188.64	324.85	170.96	61.37	54.12	14.52	66.1	60.2	55.54
Elmo1	0.0	155.81	215.96	369.02	2.61	0.0	109.62	251.5	72.08	0.0	32.26	241.44	118.9	0.28	326.64	102.99	196.21	169.46	310.29	72.33	0.0	174.1	49.75	107.1	173.63	130.17
Eml5	0.0	1.15	32.83	34.05	4.69	0.0	37.61	32.53	14.58	0.0	0.0	29.04	0.04	0.05	42.94	53.57	66.48	113.35	53.44	14.84	6.88	31.74	4.6	0.85	4.33	15.13
Epha4	0.0	42.17	142.76	213.73	72.79	0.0	140.1	78.77	0.11	0.0	0.0	273.08	0.2	0.18	124.77	438.47	186.24	190.53	254.37	137.72	0.0	0.27	22.87	59.12	4.04	0.11
Gm2002	0.0	0.13	0.0	0.24	0.0	0.0	0.0	0.16	18.81	0.0	0.0	0.0	0.16	0.66	0.26	0.03	1.9	4.67	0.26	12.09	0.0	0.17	0.0	0.0	0.36	0.28
Herc3	0.0	9.15	21.92	62.9	0.0	0.53	31.01	3.12	40.69	0.0	0.0	6.26	0.0	0.0	49.14	221.55	132.42	96.34	161.4	0.14	6.61	0.06	0.05	0.06	36.63	0.25
Homer1	0.0	43.54	41.71	128.85	50.61	0.0	3.51	78.9	84.9	0.0	0.0	257.08	0.0	0.09	59.64	19.17	122.17	122.4	272.25	0.82	64.3	49.23	19.2	108.1	21.58	61.79
Hsd11b1	0.0	0.0	306.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	418.48	0.39	626.46	122.5	0.0	0.0	0.0	0.0	0.0	0.0
Il11ra2	0.0	0.13	0.0	0.24	0.0	0.0	0.0	0.16	18.81	0.0	0.0	0.0	0.16	0.66	0.26	0.03	1.9	4.67	0.26	12.09	0.0	0.17	0.0	0.0	0.36	0.28
Lingo1	0.19	7.65	18.52	55.78	2.48	0.0	2.47	123.78	2.33	0.0	0.0	147.73	11.33	0.23	0.68	66.15	37.69	54.4	131.61	40.64	0.0	0.6	0.07	0.25	27.03	9.29
Lnp	1.16	34.37	123.94	182.56	89.79	136.53	35.42	128.84	34.53	0.0	0.04	114.74	46.97	97.11	41.95	44.83	132.43	69.95	83.01	102.9	0.01	28.09	10.15	26.43	33.22	5.36
Nlk	0.0	59.42	154.24	148.59	30.81	65.87	0.0	127.34	22.11	0.0	0.08	60.58	24.3	6.56	62.03	159.3	194.49	211.95	64.29	97.95	13.28	0.82	0.11	21.29	0.27	0.0
Npcd	0.0	69.47	66.8	19.57	9.4	0.0	51.59	110.3	37.69	0.0	0.16	8.44	0.0	1.57	20.29	93.83	182.98	52.74	158.58	92.39	0.0	0.0	8.64	38.19	0.0	0.57
Odf2l	0.0	0.0	42.27	49.41	34.67	0.0	0.0	20.95	54.85	0.0	0.0	124.98	0.0	36.96	23.3	0.0	40.57	27.6	26.17	4.48	0.0	0.0	13.39	0.0	2.8	0.0
Pdp1	0.0	6.56	61.03	419.36	46.44	0.0	69.89	24.65	98.63	0.0	0.0	300.11	3.94	0.0	8.89	0.58	296.72	479.72	472.63	510.72	122.95	189.28	10.99	0.07	8.87	14.82
Ppm1h	181.78	94.61	574.64	415.36	363.74	404.03	219.87	491.99	136.37	77.69	0.13	740.44	306.85	281.28	68.77	130.67	548.95	456.66	425.22	530.65	237.02	37.94	4.76	81.29	5.84	89.11
Ptprs	310.55	365.9	227.73	381.6	164.23	217.75	192.67	269.52	208.96	28.2	102.89	249.76	198.75	186.1	135.67	165.03	338.63	209.66	283.07	230.25	132.03	97.6	54.95	123.88	85.14	144.77
Pvrl1	1.01	0.0	2.37	0.0	0.0	0.0	0.0	1.99	0.48	9.66	0.0	5.07	0.0	0.07	0.0	8.17	27.88	15.44	71.33	42.45	0.0	0.0	0.0	0.0	0.06	0.0
Rab2b	0.0	53.94	143.16	335.01	10.84	0.0	1.42	105.88	0.0	1.04	0.0	0.0	0.15	233.31	136.06	154.63	65.5	102.49	167.72	54.53	0.0	4.85	152.3	29.22	61.77	2.21
Rgs17	0.0	31.85	0.0	82.48	0.12	0.0	8.32	118.06	37.93	0.0	0.0	16.96	16.97	16.9	11.31	41.12	160.38	125.2	117.97	73.08	0.0	12.53	89.96	28.22	10.85	60.46
Rorb	0.07	42.89	141.42	315.7	0.01	0.0	0.0	206.69	7.6	0.06	0.01	236.51	0.04	0.44	0.07	233.04	161.14	224.61	208.96	263.13	0.0	0.0	0.05	0.0	0.0	0.08
S100a10	0.0	0.0	799.01	496.96	0.0	0.0	1.18	387.41	0.0	0.0	0.0	0.0	0.0	0.0	0.53	381.57	425.85	43.18	240.05	453.08	0.0	0.47	0.0	0.0	0.0	0.0
Sncb	0.0	110.48	367.19	231.46	120.61	64.98	56.82	240.08	63.33	0.0	0.0	130.05	119.55	198.78	123.33	245.72	285.12	267.49	269.81	234.56	170.04	26.65	15.73	12.74	12.36	31.6
Sorl1	0.0	27.8	33.17	136.61	0.0	0.36	24.54	133.44	35.3	0.0	0.0	102.86	43.13	37.93	132.99	132.01	87.44	147.23	217.8	80.89	0.0	37.05	86.93	63.79	33.42	23.09
Spock3	0.0	0.0	0.0	269.85	0.0	222.38	62.33	467.64	97.23	0.0	0.12	290.05	0.12	192.46	1.35	268.57	354.51	214.0	276.34	218.25	113.66	0.0	55.02	0.0	0.0	44.98
Stmn1	10414.48	10587.49	9820.07	7264.32	11391.73	10788.4	10862.63	9729.87	12096.72	6105.52	10015.46	8905.33	13005.25	11961.92	8724.02	10665.83	7602.16	5826.31	6205.95	8054.62	10788.95	10789.21	12161.23	10051.01	11287.74	9866.46
Thsd7a	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.1	0.03	0.03	0.03	51.92	12.65	2.29	53.92	4.38	0.0	0.0	0.02	0.0	0.0	0.0
Tmem90b	0.0	286.68	85.88	134.69	0.0	0.0	0.35	203.18	338.48	0.0	0.0	8.84	0.0	0.0	247.83	0.0	20.38	48.98	114.61	101.17	223.6	0.0	0.0	0.0	67.06	0.12
Tnpo2	0.0	2.87	12.26	1.96	0.0	11.8	7.88	8.45	7.42	0.0	0.0	11.63	1.75	4.8	33.85	23.4	6.66	10.44	10.56	13.02	0.0	0.17	0.44	1.51	6.99	0.39
