	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Edc4	6.7	34.78	0.0	0.0	0.0	25.43	107.37	0.0	0.0	0.0	28.06	16.85	3.69	0.0	0.46	0.0	0.73	2.24	6.71	33.28	29.3	0.0	0.0	0.0	0.0	4.2	0.0	55.95	0.0	0.0	0.62	5.04	0.56	0.06	0.0	0.05	22.33	0.0	0.0	0.0	0.0	17.43	0.0	0.0	0.0	0.0	24.93	15.85	6.89	14.42	39.35	42.06	41.29
Eef1a2	6.3	34.1	54.79	0.0	0.0	20.37	55.16	29.24	0.0	0.0	3.77	10.01	28.73	8.93	27.24	12.51	0.15	14.38	12.41	10.77	18.57	1.27	9.7	3.67	0.72	9.37	0.32	0.52	76.8	0.88	27.01	42.16	1.15	43.37	11.82	0.61	24.47	0.0	0.0	0.0	0.0	2.26	12.39	1.62	0.87	47.72	10.07	23.21	32.48	29.9	919.63	958.3	943.69
Efr3a	34.55	0.0	15.05	0.0	0.0	110.33	125.79	59.3	0.0	0.0	7.53	4.33	82.87	62.18	0.02	16.92	38.11	0.05	49.66	30.85	17.71	20.04	5.18	50.0	38.22	61.02	0.0	51.61	59.93	24.26	0.24	44.02	0.94	12.11	39.91	0.0	67.25	0.0	0.0	209.26	0.0	2.99	19.74	0.11	12.39	9.46	16.87	94.69	77.85	264.61	87.66	80.09	83.79
Epb4.1l1	53.5	22.4	2.11	0.0	0.0	17.66	10.14	8.48	0.0	0.0	14.81	22.37	33.49	4.25	13.65	17.31	1.28	19.57	35.25	22.24	25.97	3.49	4.5	24.08	2.79	3.25	23.56	7.93	27.1	10.83	4.64	37.08	19.86	14.33	1.96	8.97	9.05	0.0	0.0	0.0	0.0	2.37	12.07	19.63	62.05	31.41	19.49	13.27	12.03	40.19	226.35	219.82	236.74
Gm13306	0.0	0.0	8.68	0.0	0.0	11.32	0.0	17.1	0.0	0.0	1.46	0.03	0.0	1.74	0.0	0.0	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	8.48	4.31	40.26	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	61.27	71.98	61.12	30.63	28.29	22.96
Gm2506	0.0	0.0	8.68	0.0	0.0	11.32	0.0	17.1	0.0	0.0	1.46	0.03	0.0	1.74	0.0	0.0	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	8.48	4.31	40.26	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	61.27	71.98	61.12	30.63	28.29	22.96
Gns	23.77	56.82	0.0	0.0	0.51	50.37	100.65	0.0	0.0	0.0	0.94	1.53	0.06	2.27	0.05	27.38	0.0	9.31	0.0	0.0	23.07	2.5	0.0	0.26	56.98	26.45	0.0	0.0	0.0	0.0	0.0	0.07	16.32	7.69	0.3	0.7	6.94	0.25	0.0	0.0	0.16	19.87	0.0	0.0	8.09	0.0	1.61	7.77	9.94	31.86	70.53	71.42	68.64
Gpr137c	9.19	0.0	7.3	0.0	0.0	120.97	75.48	22.72	0.0	0.0	3.76	0.03	0.05	7.03	0.13	9.56	32.04	8.7	0.0	3.49	7.55	6.98	0.0	0.0	0.0	5.69	0.0	0.0	0.0	0.0	0.09	6.72	0.0	0.0	0.0	6.58	15.93	0.0	0.0	0.0	0.0	0.0	3.57	31.65	0.0	2.12	0.0	4.16	6.98	0.0	22.29	21.41	20.62
Hdgfrp2	22.57	0.61	1.42	0.0	0.0	0.0	29.33	30.78	0.0	0.0	6.54	0.0	32.12	47.06	23.8	0.05	7.47	0.0	0.52	0.0	2.02	1.35	0.0	0.11	0.91	0.0	26.68	0.0	15.65	1.14	0.0	0.0	0.0	1.46	0.0	3.41	7.74	0.0	0.0	0.0	0.0	0.0	11.23	0.0	0.1	0.81	0.4	4.93	12.71	11.95	69.64	80.22	74.92
Htatsf1	55.06	8.87	0.0	0.0	0.0	21.77	203.12	176.62	0.0	0.0	86.11	28.64	80.32	0.06	7.81	5.43	2.79	0.89	96.48	59.18	75.88	53.68	41.41	36.67	19.77	157.55	27.11	126.23	18.72	51.9	35.28	13.8	20.51	116.44	0.0	78.41	31.31	0.0	0.0	0.0	0.0	17.94	32.11	20.05	27.92	40.23	36.4	39.1	37.49	44.01	63.51	58.4	59.81
Il1rapl1	13.39	0.0	2.33	0.0	0.0	25.08	121.31	57.88	0.0	0.0	55.57	57.41	55.56	5.34	2.36	0.77	46.62	0.8	68.68	29.72	61.92	1.02	28.25	2.54	78.79	6.24	28.29	24.85	3.69	10.98	2.82	27.8	8.96	35.66	0.59	0.7	44.58	0.0	0.0	0.28	0.0	1.15	19.13	1.07	20.01	29.72	6.32	9.8	16.35	20.13	6.2	6.07	7.59
Kcnq2	27.37	2.25	18.29	0.0	0.0	37.18	127.34	102.5	0.0	0.0	9.1	1.46	26.2	1.23	20.5	0.32	7.16	6.57	5.33	13.0	5.56	0.0	11.41	16.86	41.57	0.0	16.85	47.91	0.0	45.99	15.95	4.23	12.01	0.9	16.03	10.14	29.53	0.0	0.0	0.0	0.0	1.77	2.45	24.27	13.54	35.09	19.55	36.35	26.79	92.0	188.68	176.82	211.93
Lancl1	31.6	23.19	0.0	0.0	0.0	82.33	38.49	81.01	0.0	0.0	0.82	8.97	1.33	1.71	1.77	9.71	19.36	0.39	7.07	20.86	37.33	0.43	0.13	0.0	11.9	0.23	5.55	50.13	0.0	0.48	13.46	20.08	24.34	58.87	0.27	0.0	31.88	0.08	0.0	0.0	0.0	0.0	0.46	7.0	20.54	2.34	0.21	19.65	22.21	94.02	104.52	106.74	103.17
Madd	12.9	29.1	22.14	0.07	0.36	26.5	92.08	0.13	0.0	0.01	20.22	9.56	0.22	0.46	23.31	56.27	16.94	26.17	27.62	1.51	12.24	2.37	11.81	49.45	0.21	0.54	10.68	1.72	0.04	19.43	16.24	0.14	18.49	29.69	17.68	22.68	19.22	0.1	0.1	0.69	0.0	2.45	19.9	17.1	26.52	33.93	11.43	27.52	31.56	35.67	113.32	109.49	109.17
Myt1l	44.91	69.09	14.57	0.0	0.0	40.19	65.77	111.45	0.0	0.0	23.95	18.08	28.33	3.8	48.86	36.39	79.71	16.74	52.92	50.53	48.61	3.78	21.11	27.05	41.09	85.78	28.16	15.24	17.12	35.66	20.98	59.94	23.34	0.04	31.62	30.15	46.94	0.04	0.05	0.0	0.0	25.94	21.95	34.89	40.3	48.87	37.12	99.27	56.32	76.67	108.73	92.4	106.64
Ncan	54.0	0.1	38.5	0.96	0.48	69.09	56.15	57.3	0.39	0.65	8.85	16.66	36.73	4.04	27.47	11.25	31.47	27.37	37.34	22.76	26.0	29.9	18.21	16.05	20.78	12.51	40.88	30.41	1.11	19.46	19.09	27.74	24.81	14.39	49.53	25.75	63.35	1.06	0.65	0.28	0.55	12.12	25.21	4.77	36.59	14.17	3.93	269.87	197.17	68.84	87.88	87.21	94.46
Npy	138375.8	173305.25	115124.65	0.0	0.0	96206.73	65548.38	125016.83	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	101137.64	151963.58	985.16	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2	0.6	0.7	0.0	214.21	196.57	200.76
Pde4a	29.29	37.71	4.2	0.0	0.0	53.64	17.83	42.32	0.0	0.0	7.54	5.74	7.2	9.76	15.75	7.02	26.58	3.7	14.49	18.91	64.53	6.91	12.87	7.14	6.09	6.88	0.97	0.0	14.48	2.11	0.55	23.1	13.16	2.42	9.45	0.24	29.83	0.15	0.25	0.0	0.0	8.03	2.41	0.07	0.0	4.37	8.6	45.86	50.32	74.56	70.0	69.52	69.31
Phactr1	46.38	50.38	23.31	0.0	0.0	129.81	156.15	128.39	0.0	0.21	34.44	0.22	0.0	1.64	0.5	0.13	36.54	0.57	13.29	25.52	21.69	0.0	46.8	0.13	51.38	74.37	40.02	64.32	7.4	14.31	32.48	38.17	0.08	40.06	15.85	5.18	79.77	0.28	0.18	0.0	0.0	20.93	4.7	8.18	14.51	8.2	47.48	194.11	162.52	99.54	250.29	240.7	240.9
Pip5k1a	14.42	15.14	0.0	0.0	0.0	69.39	138.48	12.53	0.0	0.0	22.76	27.1	24.21	20.05	0.18	4.07	21.07	13.61	1.99	16.48	40.18	0.0	0.0	0.59	0.0	37.49	0.17	0.34	5.11	0.0	0.25	0.0	15.47	33.19	0.0	0.1	11.25	318.51	0.0	0.0	0.0	0.23	0.36	16.7	29.09	1.44	28.51	26.29	25.52	34.11	49.38	49.47	46.82
Psd3	33.92	5.53	35.63	0.0	0.0	0.0	48.91	0.07	0.0	0.0	3.58	35.94	25.29	29.96	15.57	45.87	20.23	24.28	0.49	33.01	4.78	4.86	0.39	0.07	11.17	15.4	10.69	0.0	4.31	0.0	33.09	16.94	18.68	14.98	33.52	2.81	48.59	0.07	0.3	0.08	0.0	0.09	11.4	0.46	41.52	14.76	30.93	48.78	41.08	151.14	186.39	161.39	187.14
Rab35	26.79	1.27	34.85	0.0	0.0	52.15	100.4	0.0	0.0	0.0	9.37	18.79	0.0	0.0	0.1	0.0	0.0	0.0	0.0	1.13	0.14	9.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.77	0.0	40.19	0.0	31.8	4.86	0.0	15.17	0.0	0.0	0.0	0.0	31.97	0.0	0.0	15.72	0.0	0.04	5.55	8.4	0.0	84.52	88.12	83.65
Rabgap1l	41.52	74.86	27.78	0.0	0.0	18.93	138.76	36.02	0.0	0.0	10.36	36.2	42.07	19.89	0.03	41.68	17.97	15.82	5.14	70.56	18.48	0.0	9.56	40.24	45.21	33.79	23.71	9.33	57.94	0.08	17.91	57.21	11.11	25.87	1.2	3.5	65.21	0.0	0.0	0.0	0.0	25.95	23.18	32.85	22.36	15.72	19.19	44.54	27.18	60.29	71.6	60.68	67.73
Rc3h1	21.63	10.1	18.38	0.0	0.04	18.2	64.4	0.0	0.0	0.0	8.84	0.9	11.46	4.24	9.41	11.54	1.41	0.17	19.07	1.12	39.12	0.0	7.64	2.15	15.83	23.55	10.66	14.01	26.45	0.11	9.6	0.72	0.88	22.0	0.66	1.71	14.19	0.03	0.0	0.0	0.05	6.94	0.02	0.0	7.51	8.33	3.49	6.24	6.92	12.11	13.38	11.81	13.21
Rims1	50.5	7.31	7.18	0.0	0.0	1.35	80.78	26.52	0.0	0.0	4.21	8.98	53.32	8.12	11.3	9.93	1.5	4.51	50.63	66.54	13.73	76.56	0.45	13.79	44.84	4.74	21.56	19.34	0.0	93.75	29.25	0.38	51.52	34.75	10.64	12.16	9.14	0.0	0.0	0.0	0.0	2.51	20.87	11.86	5.34	38.31	1.41	23.16	12.63	65.84	204.32	173.43	223.79
Rpgr	0.69	0.0	0.0	0.0	0.0	83.62	163.81	80.84	0.0	0.0	2.2	86.32	0.0	43.45	0.0	0.49	38.79	9.17	37.92	15.55	28.64	18.44	0.0	0.0	59.68	29.24	15.19	100.5	0.0	0.0	28.61	0.0	0.12	0.1	0.0	0.0	34.84	0.0	0.0	0.0	0.0	0.0	0.0	36.62	35.65	0.0	9.65	35.77	17.48	42.58	21.16	18.18	22.29
Serbp1	65.41	49.08	25.28	0.0	0.0	63.46	194.89	39.11	0.0	0.0	37.21	5.8	72.88	9.35	38.2	27.23	71.09	14.56	61.02	31.35	17.55	33.99	57.09	20.27	44.52	16.64	19.12	15.39	44.36	6.44	32.29	60.22	74.81	66.29	3.19	12.73	56.11	0.05	0.26	0.0	5.94	49.72	61.72	40.67	8.39	42.79	71.23	61.76	36.79	42.22	81.23	79.09	77.25
Shisa9	64.95	9.19	0.0	0.0	0.0	0.22	138.04	43.37	0.0	0.0	0.0	20.2	105.25	0.03	0.02	0.0	43.42	0.0	2.24	0.0	0.75	27.8	0.0	1.08	1.81	3.07	0.04	25.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.49	0.07	0.0	0.0	0.0	17.64	15.44	0.0	3.01	8.03	0.86	2.65	6.31	6.94	37.8	37.88	36.34
Spag9	16.28	44.2	33.31	0.0	0.0	71.97	209.96	19.66	0.0	0.0	22.52	25.81	42.82	1.81	2.59	13.03	32.58	17.57	27.65	39.26	53.9	13.07	4.57	16.1	69.28	28.52	44.54	87.71	49.63	2.2	31.42	19.56	8.05	35.58	16.19	29.2	18.77	0.14	0.2	0.0	0.0	1.84	15.5	8.02	27.09	6.87	0.06	44.51	39.33	48.64	178.28	165.57	175.62
Ttyh1	37.95	10.97	5.75	0.99	0.0	77.49	85.08	14.5	0.0	2.26	14.38	1.11	0.26	13.06	3.75	22.54	2.88	8.54	0.55	1.31	4.59	0.67	29.61	14.67	4.01	11.27	33.28	3.3	21.05	4.53	4.21	0.75	20.2	3.96	5.81	3.29	34.11	2.81	1.47	0.22	0.0	15.03	28.35	27.57	33.27	14.3	3.54	18.8	21.32	66.14	290.25	308.4	320.21
Ubl4	176.75	0.0	13.13	0.0	0.0	16.23	509.56	95.1	0.0	0.0	122.5	82.41	0.11	39.85	66.32	56.12	113.75	9.07	29.07	55.8	208.54	82.26	111.18	10.45	20.74	72.7	5.92	76.75	30.68	15.46	162.57	11.44	60.04	109.86	76.14	0.11	77.6	0.15	0.0	0.0	998.05	131.96	52.08	129.4	7.95	23.56	0.0	164.77	155.57	77.92	75.96	75.24	72.21
Vps29	483.52	442.13	482.48	0.0	0.0	570.54	1294.04	979.87	0.0	0.0	521.46	853.13	743.52	407.75	389.42	729.06	336.93	965.05	596.63	559.07	462.73	506.02	645.64	512.85	594.8	1024.49	769.99	784.36	769.0	222.48	446.98	522.21	470.55	298.62	245.02	739.4	967.64	0.34	0.0	0.0	0.0	457.88	343.6	427.39	310.63	521.27	683.07	873.79	778.96	1063.38	155.53	163.81	156.19
mt_AK131577	2332.54	729.87	1075.15	1391.87	2188.6	1840.45	3014.14	1175.84	2894.04	1073.5	1434.28	1040.04	1263.81	1050.47	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1303.98	1216.13	2144.09	166.64	996.04	544.02	530.88	1016.28	1141.51	883.44	885.59	850.74	1499.9	1815.08	1570.81	2487.83	4857.0	4144.16	4779.18
mt_AK132015	2332.54	729.87	1075.15	1391.87	2188.6	1840.45	3014.14	1175.84	2894.04	1073.5	1434.28	1040.04	1263.81	1050.47	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1303.98	1216.13	2144.09	166.64	996.04	544.02	530.88	1016.28	1141.51	883.44	885.59	850.74	1499.9	1815.08	1570.81	2487.83	4857.0	4144.16	4779.18
mt_AK132098	2332.54	729.87	1075.15	1391.87	2188.6	1840.45	3014.14	1175.84	2894.04	1073.5	1434.28	1040.04	1263.81	1050.47	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1303.98	1216.13	2144.09	166.64	996.04	544.02	530.88	1016.28	1141.51	883.44	885.59	850.74	1499.9	1815.08	1570.81	2487.83	4857.0	4144.16	4779.18
mt_AK167037	2332.54	729.87	1075.15	1391.87	2188.6	1840.45	3014.14	1175.84	2894.04	1073.5	1434.28	1040.04	1263.81	1050.47	1746.06	1673.84	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	1113.29	594.69	1416.58	1099.33	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1303.98	1216.13	2144.09	166.64	996.04	544.02	530.88	1016.28	1141.51	883.44	885.59	850.74	1499.9	1815.08	1570.81	2487.83	4857.0	4144.16	4779.18
