	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tac4	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tet1	0.65	0.49	1.38	0.0	0.03	3.75	3.32	4.28
Thpo	0.0	0.0	0.0	0.0	0.0	9.04	7.56	9.37
Tnfrsf12a	0.0	0.0	0.0	0.0	0.0	7.4	7.37	5.43
Tsfm	0.0	0.0	0.0	0.0	0.0	24.7	29.04	24.53
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ubxn2a	1.08	4.05	0.0	0.0	1.93	48.43	41.2	49.0
Usp26	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Usp46	0.0	0.0	0.2	0.0	0.0	93.37	85.42	85.54
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Zfp184	0.0	0.0	0.0	0.0	0.0	2.67	2.44	2.34
Zfp763	0.0	0.0	0.0	0.0	0.0	13.25	11.45	13.39
Zp3r	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.25	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	11.47	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	2.65	9032.87	8417.95	8583.15
