	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_13
Dmxl2	0.0	30.56	0.0	6.05	34.75	17.47	9.8	5.95	34.18	15.9	43.11	40.07	12.66	10.64	20.42	10.22	34.02	38.16	7.31	0.0
Dnajc6	0.0	12.2	0.0	48.8	51.87	53.05	0.15	23.03	52.01	62.44	91.72	70.47	54.9	25.59	34.17	26.02	30.19	36.68	29.94	0.27
Dzip1	0.0	2.72	0.0	0.61	6.67	6.97	5.98	35.77	43.3	14.12	12.37	35.66	18.05	3.39	23.17	19.68	19.92	22.33	34.57	0.0
Eif4e3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	55.32	0.0	23.76	2.28	0.0	0.24	0.0	2.57	0.18	0.08	0.0
Elavl2	0.0	0.07	0.0	117.01	78.41	96.69	66.15	68.27	152.51	72.29	126.85	175.63	227.52	139.49	136.31	97.06	55.08	124.76	148.59	0.0
Epb4.9	0.55	0.36	0.09	19.53	3.53	43.75	1.35	2.88	55.23	55.6	80.06	97.31	26.69	6.47	8.15	24.59	9.29	58.34	19.58	0.19
Fam179b	0.0	0.0	0.0	22.66	12.33	0.25	0.0	3.1	26.05	26.84	0.05	35.08	9.66	10.41	10.35	0.0	0.5	12.83	17.24	0.0
Fkbp4	0.0	0.0	0.0	10.92	64.31	99.72	0.36	62.36	219.92	84.59	98.57	238.04	58.07	84.32	46.63	0.0	74.84	48.43	88.25	0.0
Gm14430	0.0	0.0	0.0	0.0	14.72	13.5	3.22	12.83	42.59	3.07	11.03	54.41	18.55	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gm14431	0.26	0.0	0.0	0.74	0.0	2.26	0.3	0.76	0.7	1.79	1.31	10.41	1.04	2.52	4.65	1.51	1.58	0.36	1.92	0.0
Gm14434	0.0	0.0	0.0	0.0	14.72	13.5	3.22	12.83	42.59	3.07	11.03	54.41	18.55	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gm15910	1.36	0.0	0.0	0.08	0.0	0.72	0.23	0.0	35.52	1.18	0.36	0.33	0.64	13.44	0.15	0.0	0.61	0.0	0.16	0.0
Gm4724	0.0	0.0	0.0	0.0	14.72	13.5	3.22	12.83	42.59	3.07	11.03	54.41	18.55	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gm8898	0.26	0.0	0.0	0.74	0.0	2.26	0.3	0.76	0.7	1.79	1.31	10.41	1.04	2.52	4.65	1.51	1.58	0.36	1.92	0.0
Grk1	1.72	2.57	0.0	0.79	3.72	1.97	2.03	3.77	2.91	1.08	4.46	6.37	2.43	0.93	4.59	2.08	4.05	2.24	2.72	0.02
Ift81	0.0	14.18	0.0	0.0	0.0	55.27	40.99	0.0	142.94	0.0	13.92	145.04	41.38	5.17	20.6	0.0	30.3	7.03	75.87	0.0
Il22ra1	0.5	0.22	0.0	0.0	0.4	0.37	0.0	0.22	0.73	0.08	0.38	0.44	0.24	0.18	0.07	0.11	0.39	0.46	0.74	0.0
Ipmk	0.0	19.25	0.0	0.0	3.75	0.0	0.0	0.84	48.46	0.07	2.52	43.19	1.7	0.0	0.15	0.0	0.2	0.0	0.0	0.0
Ldhb	7486.96	8970.97	2593.67	10118.08	10894.4	9343.6	9166.61	9602.81	5915.04	11261.44	10004.69	5600.97	9074.03	13571.31	12546.17	9755.78	11010.48	10182.84	11746.38	470.95
Mbtd1	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	47.31	0.0	4.01	54.21	0.0	6.31	0.54	4.45	1.13	0.0	2.61	0.0
Ntm	295.7	70.08	0.0	218.45	173.45	105.62	52.64	24.57	839.79	149.05	397.97	592.56	163.56	335.3	311.07	87.78	120.71	186.51	240.68	0.0
Pla2g2d	1.41	2.87	0.59	0.11	0.0	1.12	0.93	1.36	4.37	2.52	1.31	4.14	0.8	1.4	1.67	0.8	1.39	0.89	1.98	0.91
Plekhb2	4.13	71.94	0.27	155.7	100.21	293.13	550.71	324.66	362.27	412.99	332.71	654.8	150.92	215.2	254.11	280.72	276.97	261.47	351.3	2.13
Prox2	0.53	0.92	0.0	0.0	0.0	0.1	0.0	0.0	4.02	0.5	0.15	4.98	0.0	2.21	0.33	0.0	0.41	0.0	0.07	0.0
Rbck1	0.0	145.27	0.0	0.0	0.0	1.79	0.0	4.32	6.98	19.92	0.83	58.29	3.21	6.36	0.0	12.94	0.48	0.0	2.71	0.0
Rchy1	1.66	4.38	0.0	66.31	85.81	143.6	1.68	10.9	119.23	92.61	51.81	155.05	88.31	28.98	2.04	33.06	82.34	107.8	56.13	0.98
Rdh14	0.0	0.0	0.0	75.99	138.91	0.0	0.0	0.0	216.59	67.85	0.0	78.79	36.63	39.42	0.0	75.34	0.0	2.5	0.13	0.0
Rpain	0.0	0.0	0.0	67.08	100.0	102.77	0.0	61.77	154.59	143.06	99.84	39.45	27.27	5.88	40.4	0.0	0.0	92.86	0.0	0.0
Rpl21	116.73	250.45	0.0	336.37	330.77	163.94	129.38	151.84	373.89	323.21	262.84	396.35	167.35	122.19	248.68	232.31	250.27	223.82	218.04	86.21
Spire1	0.0	0.0	0.0	14.72	38.3	15.86	11.72	4.02	109.54	78.34	18.5	50.94	17.61	49.67	7.74	77.35	55.69	27.83	16.85	0.0
Tmem181b-ps	1.69	5.11	0.0	20.23	14.44	28.5	5.03	14.57	48.07	31.59	58.73	53.76	18.83	36.41	16.5	15.07	39.63	16.05	11.8	0.0
Tomm20	0.0	20.55	0.0	47.29	45.18	34.48	9.5	7.83	57.96	55.89	11.7	67.92	39.2	17.5	23.29	24.39	21.11	30.24	7.61	0.0
Tro	0.29	14.28	0.0	45.04	136.04	33.6	20.71	16.09	157.77	81.55	62.36	130.86	26.91	106.31	65.93	39.99	63.85	40.8	15.03	0.0
Tubgcp5	0.0	12.78	0.0	0.0	13.3	45.43	0.0	11.27	54.79	77.95	30.84	129.85	39.41	31.97	2.54	0.35	44.28	6.96	0.05	0.0
Zmat4	0.0	0.0	0.0	3.23	3.86	35.05	0.0	6.97	87.85	41.53	46.21	93.87	23.1	100.3	2.33	41.58	122.87	19.32	15.85	0.0
Zranb2	187.48	84.74	80.83	80.59	217.96	176.59	174.16	104.58	383.8	395.04	247.74	187.6	218.03	151.31	99.68	160.46	232.39	272.79	233.93	0.0
