	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_92
Eprs	93.43	5.85	40.5	0.08	0.1	102.25	285.68	51.27	0.0	0.0	153.81	74.13	91.93	0.0	70.04	17.6	8.67	115.63	0.42	102.52	73.95	38.73	40.11	116.75	56.42	0.1	0.0	14.74	67.25	228.81	172.55	58.08	22.09
Fam198b	0.13	0.23	0.12	0.2	0.08	0.75	3.0	1.3	0.8	0.0	0.5	0.39	0.39	0.33	0.44	0.88	0.35	0.36	0.81	0.57	0.53	0.63	0.48	0.43	0.65	0.11	0.0	0.19	0.31	1.61	1.19	0.66	0.42
Fuca2	39.46	9.87	31.64	0.0	0.0	59.21	216.43	5.59	49.7	0.0	81.71	0.9	21.6	109.89	63.63	63.37	60.21	0.0	123.5	135.86	67.75	83.94	92.16	30.33	28.51	0.0	0.0	0.0	65.99	203.87	0.0	68.79	29.75
Gm14430	12.91	6.33	0.0	0.0	0.0	38.63	73.95	10.62	13.59	0.0	0.27	4.55	0.17	0.47	6.27	12.37	0.0	0.11	0.0	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	49.33	27.87	14.54	2.42
Gm14434	12.91	6.33	0.0	0.0	0.0	38.63	73.95	10.62	13.59	0.0	0.27	4.55	0.17	0.47	6.27	12.37	0.0	0.11	0.0	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	49.33	27.87	14.54	2.42
Gm4724	12.91	6.33	0.0	0.0	0.0	38.63	73.95	10.62	13.59	0.0	0.27	4.55	0.17	0.47	6.27	12.37	0.0	0.11	0.0	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	49.33	27.87	14.54	2.42
Gria2	100.63	107.6	38.54	0.0	0.0	764.43	1728.63	174.25	233.52	2.14	129.75	222.55	108.55	60.21	56.65	196.79	79.41	230.58	99.9	160.37	211.79	110.31	145.97	112.5	99.06	5.91	0.3	0.18	194.51	424.46	831.45	208.56	418.83
Hmgcr	51.73	40.46	27.42	0.0	0.0	57.56	132.48	90.18	81.71	0.0	178.4	56.24	139.51	15.3	8.81	19.48	38.03	4.16	34.07	21.21	33.78	28.67	63.91	109.32	17.62	0.0	0.0	0.0	29.0	188.3	26.5	19.75	36.01
Nudt10	146.75	3.4	3.69	0.0	0.0	251.79	107.72	239.73	60.71	0.0	97.14	6.97	23.74	37.51	22.02	23.43	0.0	1.09	0.29	0.32	63.52	43.49	14.9	27.65	62.64	0.0	0.0	0.0	193.24	98.8	102.9	194.9	77.63
Pi15	10.88	1.67	1.26	1.38	0.75	20.8	60.11	23.52	15.58	0.0	16.19	9.99	8.81	12.49	10.7	10.32	10.66	12.48	11.34	10.51	13.46	8.3	7.87	9.23	9.91	7.64	0.44	3.5	8.08	19.14	36.81	64.3	13.47
Ppargc1a	0.06	6.51	50.83	0.0	0.0	58.52	1.92	17.78	0.0	0.0	0.05	2.58	1.14	0.0	0.0	0.04	0.07	0.07	0.0	3.06	5.33	12.84	4.64	0.0	6.33	0.0	0.0	0.0	13.33	94.75	0.17	14.93	15.48
Psg29	0.4	0.05	0.15	0.0	0.09	0.35	1.54	0.79	0.07	0.0	0.09	0.12	0.22	0.59	0.1	0.16	0.15	0.41	0.19	0.08	0.24	0.06	0.07	0.09	0.04	0.0	0.0	0.0	0.19	2.44	0.93	0.54	0.7
Rabgap1	39.55	12.01	7.39	0.09	274.64	54.56	51.16	66.87	46.56	20.97	21.4	48.16	23.6	83.89	11.45	15.69	10.6	19.11	33.09	44.39	35.79	21.14	31.84	42.96	22.18	0.11	0.0	1.93	40.13	186.6	65.97	26.81	74.63
Skil	37.09	11.3	15.91	0.0	0.07	33.57	0.0	68.1	66.91	0.0	55.26	53.68	48.74	34.8	26.43	37.03	0.4	69.86	28.07	53.35	25.61	83.91	44.94	24.56	14.1	0.0	0.0	325.63	44.12	112.83	0.65	75.75	65.71
Skint4	3.53	2.19	0.48	1.14	2.03	5.48	29.95	9.91	8.13	0.0	8.6	2.93	4.85	3.12	3.67	5.25	2.1	8.39	4.05	4.92	4.32	4.84	2.66	2.74	4.5	0.39	0.36	2.35	3.35	9.22	8.33	4.57	5.51
Slc4a10	151.92	12.96	14.65	0.0	0.0	71.17	318.59	189.14	82.9	0.0	71.54	57.9	44.4	80.7	57.92	83.69	11.85	16.0	60.72	74.47	81.16	28.18	53.82	37.72	46.95	0.0	0.0	0.23	40.11	228.32	221.96	152.51	139.17
Sst	110572.87	92299.24	48476.57	0.0	0.0	72114.03	41248.39	79456.04	80147.45	0.0	53894.31	56866.87	57147.69	68952.67	63593.53	54941.04	65451.11	55479.93	53524.63	54018.45	54281.29	59257.22	56460.73	63808.17	57846.93	0.0	0.0	0.0	78404.02	16869.71	70180.73	40569.83	60686.4
Strbp	19.79	23.08	13.95	0.32	0.27	159.92	369.7	135.58	142.54	0.0	45.24	29.52	67.87	42.23	28.34	37.57	19.54	30.12	90.93	33.68	90.46	110.31	64.97	25.57	70.52	0.0	0.09	0.21	45.65	156.23	58.7	109.79	186.84
Thoc1	39.09	0.04	26.27	0.0	0.0	51.16	148.97	17.48	143.17	23.23	67.02	17.65	21.09	0.7	56.66	6.86	92.43	164.71	39.83	0.0	91.58	23.46	35.01	49.88	11.08	0.0	0.0	0.0	28.76	142.39	3.74	187.49	50.55
Vstm2a	255.63	56.61	46.12	0.0	0.0	928.42	1782.57	484.4	249.1	0.0	205.2	22.93	111.13	145.42	52.7	196.96	32.35	0.0	101.07	38.62	0.08	70.5	114.95	50.27	178.55	0.0	0.0	0.0	436.33	639.69	823.91	394.67	265.85
