	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19
Gm14434	0.0	0.0	0.0	0.0	17.66	21.67	3.32	31.03	36.04	0.0	14.72	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	0.84	12.83	12.31	3.07	20.8	2.82	11.03	18.55	13.57	19.8	1.28	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	14.82	8.34	17.48	0.0	13.81	40.89	2.38	0.12	0.24	0.0	0.08
Gm4724	0.0	0.0	0.0	0.0	17.66	21.67	3.32	31.03	36.04	0.0	14.72	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	0.84	12.83	12.31	3.07	20.8	2.82	11.03	18.55	13.57	19.8	1.28	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	14.82	8.34	17.48	0.0	13.81	40.89	2.38	0.12	0.24	0.0	0.08
Gm6710	0.0	0.0	0.0	0.25	54.98	23.46	3.78	20.65	39.36	1.51	5.8	59.57	18.24	23.83	9.23	2.82	7.42	20.3	1.55	0.0	5.35	28.58	6.42	17.97	1.48	11.52	8.07	6.26	25.91	2.03	10.19	12.93	2.3	7.75	34.62	3.14	20.6	2.54	14.18	13.35	32.02	7.57	23.51	17.26	0.13	0.0	0.0	1.42	0.0
Gm8898	0.26	1.5	0.0	0.0	1.03	20.17	0.76	1.71	0.62	0.74	0.0	0.18	3.35	3.96	2.26	5.03	0.0	5.1	0.3	0.29	0.76	2.49	1.79	0.61	2.4	1.31	1.04	2.52	1.77	0.56	4.65	0.0	1.51	0.0	1.48	1.3	1.58	0.43	1.56	0.36	5.46	0.1	1.93	0.47	1.92	0.0	0.0	0.0	0.0
Gtf3c3	0.0	6.96	0.0	0.0	0.0	146.3	2.65	4.53	22.35	0.5	0.0	4.97	19.63	41.98	62.17	21.38	11.01	13.59	0.0	7.05	50.11	0.0	7.92	12.92	30.56	1.02	2.85	18.55	39.83	0.0	0.14	1.99	8.68	3.99	1.72	102.25	5.73	13.25	71.55	8.4	50.4	0.0	5.06	111.25	1.23	0.0	0.83	0.0	0.0
Hspa4l	0.0	1.46	0.0	0.0	273.95	113.79	52.3	67.8	205.21	82.02	49.38	160.56	92.43	102.96	64.02	153.45	166.82	94.61	30.63	59.19	87.67	102.41	84.41	42.11	89.26	92.6	68.79	201.73	62.39	45.39	45.7	73.33	273.53	39.85	93.76	98.84	44.09	61.57	41.49	67.62	98.48	54.31	78.92	40.09	106.97	0.1	0.0	0.1	0.0
Kcna1	0.0	49.93	0.0	0.05	219.47	129.7	109.21	218.51	203.62	67.88	155.4	231.33	194.23	255.22	281.96	237.12	245.4	455.33	33.81	55.56	151.11	167.48	159.56	126.88	28.07	158.39	254.23	229.92	210.97	28.71	186.92	175.67	275.53	173.91	195.32	61.55	140.07	97.29	124.46	83.12	169.27	73.74	139.69	186.72	247.3	0.08	0.0	0.2	0.04
Kcnab1	0.0	0.12	0.0	0.0	362.65	377.04	475.12	388.75	424.77	342.74	312.96	684.16	669.3	724.18	595.28	679.62	310.32	504.97	132.29	82.71	51.64	447.24	416.28	356.8	255.64	447.83	426.89	439.02	439.2	263.62	387.08	570.81	457.26	487.23	629.94	94.1	133.06	229.99	680.63	416.82	797.38	138.65	584.31	425.44	490.77	0.0	0.28	0.12	0.0
Kcnc3	0.0	0.14	0.0	0.0	0.0	2.59	7.36	10.1	6.18	1.96	7.5	12.39	12.47	9.13	2.87	7.84	1.74	8.77	1.36	0.0	0.0	6.09	6.75	0.08	1.34	15.04	5.05	18.42	4.27	10.45	9.2	19.58	7.27	0.89	1.88	1.87	19.57	0.09	13.46	2.21	5.64	0.83	1.07	0.46	8.74	0.0	0.0	0.0	0.0
Klhl7	1.0	4.72	14.69	0.0	63.73	228.01	51.98	27.53	63.91	42.3	39.74	67.89	57.95	103.26	161.53	81.29	43.84	104.68	2.58	3.21	37.75	68.23	117.91	170.88	63.03	105.39	76.33	41.04	103.82	8.1	55.49	52.57	158.68	46.76	68.08	115.62	34.25	9.78	136.36	80.69	34.38	1.54	28.98	0.62	76.98	5.65	3.8	5.94	9.39
Larp4	0.0	0.5	9.59	0.0	50.06	94.87	28.48	57.92	19.92	6.33	18.87	23.77	44.4	71.56	74.32	37.67	48.14	38.5	85.63	13.3	22.27	24.32	31.69	50.68	21.63	9.05	46.65	18.31	44.62	33.92	35.14	21.87	33.92	56.48	43.12	9.18	101.58	35.7	41.99	36.15	34.26	1.52	42.4	11.88	64.41	0.0	34.74	0.33	1.05
Ldhb	7486.96	6607.22	8970.97	5274.92	9309.63	7692.96	8752.31	8798.32	8750.45	10118.08	10894.4	8583.06	8517.89	9220.91	9343.6	8808.99	8223.21	10165.1	9166.61	7814.88	9602.81	7785.08	11261.44	7829.53	8285.69	10004.69	9074.03	13571.31	7287.29	7093.74	12546.17	9106.97	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	7724.63	10182.84	6673.69	6251.75	9082.37	7928.56	11746.38	2798.49	5217.81	5873.38	3719.56
Mansc1	0.0	0.0	35.36	0.0	65.59	8.0	54.19	27.28	55.64	0.84	35.92	28.08	2.15	37.37	3.21	45.8	33.6	26.04	0.0	9.47	10.26	36.57	6.61	32.91	2.49	155.13	27.78	44.46	33.76	9.14	2.76	20.4	2.39	3.15	0.0	0.0	0.0	0.0	34.31	15.07	39.94	0.0	38.84	5.28	55.26	0.0	48.48	0.0	0.0
Mapk9	0.0	0.03	21.77	0.0	126.34	124.71	33.83	40.82	25.51	111.94	58.54	32.38	125.78	61.05	99.9	54.66	46.49	113.93	5.23	0.13	48.3	51.54	3.48	26.41	40.61	72.38	64.85	65.94	55.32	19.83	41.4	132.64	77.89	23.38	38.62	75.34	24.35	82.21	108.64	47.87	105.13	82.76	111.14	145.15	110.38	0.07	0.0	0.0	0.0
Prune2	0.0	1.09	20.75	1.62	201.64	216.6	249.24	226.77	166.43	130.57	55.6	137.04	282.87	220.32	293.82	168.01	149.3	221.57	283.44	112.37	109.55	220.22	104.21	116.38	29.63	140.49	210.79	123.11	209.94	114.33	153.66	93.3	225.09	94.84	183.97	148.17	71.62	71.63	159.62	140.87	234.99	74.38	162.03	136.08	158.93	104.92	0.33	0.55	0.16
Purb	0.0	1.8	77.23	0.05	98.19	92.5	99.21	116.39	81.4	123.18	67.06	114.64	128.65	101.73	111.86	59.97	42.72	83.34	49.95	69.03	27.21	94.94	65.7	62.48	42.51	97.22	89.02	57.36	90.4	76.24	38.19	30.31	79.64	132.42	46.02	127.49	100.53	69.4	136.68	46.64	121.88	58.55	57.26	53.85	30.67	131.02	0.58	0.3	20.19
Pvalb	0.0	0.28	0.0	0.0	2506.7	1946.93	3332.67	1987.37	1559.12	1319.97	2144.98	1292.73	1298.9	1590.34	1199.86	1414.35	1662.23	1316.24	1251.83	538.76	1724.33	1917.82	1740.57	1346.22	1202.67	1769.21	1815.89	1408.27	1665.81	700.9	1731.8	1698.2	1974.07	1237.21	1344.6	1735.34	1295.74	1797.97	1472.89	1914.29	1144.03	959.22	1681.17	2567.22	3516.69	0.0	0.0	0.43	0.0
Scn8a	3.32	18.91	32.03	0.0	85.11	20.57	27.19	60.36	56.0	37.8	24.16	79.76	96.35	99.5	115.41	60.77	73.98	103.08	13.92	39.53	28.69	97.65	68.89	108.22	70.42	48.67	69.2	65.33	42.13	68.22	74.65	88.97	40.27	34.15	65.37	70.51	11.47	52.31	81.6	57.61	76.88	27.13	88.43	45.47	81.71	0.06	0.15	1.33	0.0
Sec24a	0.0	0.35	0.0	0.0	0.0	18.26	0.12	7.84	7.23	6.51	11.8	5.92	5.44	11.24	22.52	6.4	7.95	40.17	0.56	0.0	6.39	20.88	1.46	1.88	0.84	9.98	9.14	17.23	26.24	8.09	1.07	7.34	29.7	1.39	0.58	0.99	32.84	0.0	26.64	8.33	32.21	5.6	2.07	0.34	21.52	0.05	0.12	0.11	0.0
Slc25a12	0.49	44.28	15.23	0.0	283.43	255.76	116.82	117.61	282.92	184.5	87.32	161.56	252.9	126.82	129.14	327.78	223.05	339.32	148.85	513.65	123.49	174.17	193.21	326.94	81.22	396.41	258.36	188.43	140.23	303.96	261.43	300.72	181.44	131.23	142.24	320.25	59.31	29.72	121.08	86.56	227.2	142.02	24.45	211.29	416.19	0.12	0.16	0.82	0.0
Strn3	2.31	28.13	90.67	1.23	14.49	23.77	28.33	67.62	52.89	0.0	57.53	58.67	18.33	52.76	35.53	38.49	22.44	46.08	37.22	0.0	2.39	64.49	0.0	47.33	64.38	78.96	17.07	96.27	98.38	6.29	117.42	14.17	42.69	15.8	40.76	68.07	37.26	62.03	38.51	104.15	80.52	17.44	42.02	65.89	26.21	10.97	0.3	0.47	0.0
Tmem108	0.0	0.0	0.0	0.0	4.95	27.53	3.16	1.76	19.07	0.87	4.11	8.06	14.89	10.64	4.38	24.98	77.78	18.71	0.21	0.65	1.36	13.15	6.33	21.43	6.36	12.56	19.64	3.29	6.66	0.0	2.2	3.13	18.3	7.14	0.0	3.69	1.16	5.44	3.67	24.46	1.01	1.42	31.04	12.95	4.66	0.0	0.0	0.2	0.0
Tmem14a	0.0	183.74	97.64	0.0	135.34	204.45	88.78	81.42	190.66	21.03	51.02	134.29	233.24	320.75	49.39	117.64	124.61	262.74	0.0	0.0	0.0	174.5	64.02	141.75	133.32	275.29	121.51	68.87	24.97	0.0	54.97	249.74	200.49	58.52	166.7	65.2	60.06	36.6	229.03	99.84	109.64	78.34	81.45	0.0	189.49	0.33	0.77	0.0	0.0
Trnp1	0.0	0.07	51.49	0.0	18.6	37.7	8.74	35.25	13.75	62.9	4.69	5.1	81.09	52.82	38.94	35.43	64.03	33.06	3.31	0.0	31.78	91.23	2.74	40.08	62.89	145.72	62.56	111.77	53.04	8.06	31.56	33.53	96.66	52.64	25.83	0.28	196.42	67.8	7.38	3.88	73.4	30.09	12.42	14.14	30.39	0.0	0.0	0.23	0.0
Tspan12	12.77	13.18	22.56	0.0	444.74	443.8	17.39	143.12	188.42	73.14	229.45	65.58	364.27	272.19	418.37	268.85	163.22	376.79	205.22	195.29	50.76	232.98	166.97	144.43	222.43	132.04	166.04	466.12	83.95	141.9	213.77	126.47	258.5	48.56	102.4	227.12	198.56	79.14	346.15	151.46	292.04	104.05	322.0	162.79	226.73	0.0	0.17	1.19	0.16
Wdr12	0.0	41.59	44.54	0.16	45.99	253.44	59.07	93.23	76.02	0.0	58.22	188.8	139.16	55.34	116.19	145.2	122.89	81.26	1.9	93.52	32.69	104.67	102.76	73.8	131.99	95.33	47.69	23.08	52.84	95.2	122.45	41.01	85.25	66.75	147.47	117.91	2.03	41.65	40.84	100.05	77.7	0.0	138.19	42.17	67.53	0.0	0.28	0.13	0.29
Zfp61	0.0	0.05	0.0	0.0	63.71	128.94	17.75	34.21	32.67	0.0	0.0	9.95	46.48	3.04	0.0	44.21	51.74	0.0	0.0	0.0	0.0	4.91	0.0	55.73	0.0	42.13	16.51	1.19	0.0	0.0	28.64	42.6	40.4	0.71	81.38	72.37	41.74	5.95	12.83	0.0	31.07	0.0	0.0	50.97	0.0	0.0	0.53	0.16	0.0
Zfyve20	0.09	1.62	0.05	0.57	15.29	16.22	1.1	14.44	4.12	0.83	35.5	12.43	54.49	38.5	18.61	10.09	48.04	4.43	7.68	4.26	0.09	47.24	6.95	8.16	3.19	1.56	6.48	20.86	31.02	7.82	38.2	36.04	9.02	0.31	21.31	7.01	0.0	7.21	41.18	8.4	15.72	0.32	15.96	6.82	0.89	0.12	0.54	0.72	29.55
