	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_85	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_37	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Ednrb	0.0	0.1	0.11	0.0	0.0	0.0	0.26	0.0	0.04	0.12	0.28	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.32	0.0	0.0	0.0	3.6	2.45	0.53	3.11	0.0	34.48	32.38
Epyc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.51	0.0	0.0	0.0	0.0	2.46	0.0	0.2	0.0	1.92	1.6
Fam174a	0.0	2.63	0.0	0.0	0.0	0.0	43.67	0.78	52.37	36.58	0.0	8.69	9.99	0.3	32.36	13.22	8.46	0.0	0.0	0.0	0.0	21.77	0.0	0.0	7.05	42.01	0.0	0.0	4.23	0.1	65.94	50.46	0.0	0.0	109.38	10.89	14.25	10.68	7.63	30.32	53.03	55.28
Fhl1	0.0	0.06	0.22	0.17	0.0	0.0	0.0	0.0	0.07	117.36	0.23	0.0	0.18	0.0	73.96	45.21	0.0	0.12	0.0	0.06	0.0	0.0	0.0	0.0	0.22	6.94	0.0	49.45	0.06	0.0	0.1	133.92	0.0	31.19	0.0	0.0	0.32	1.49	4.44	0.0	89.26	89.86
Foxk1	0.0	0.0	6.08	0.02	0.0	0.01	0.07	0.0	0.28	0.76	0.0	0.0	0.0	0.0	0.01	2.46	0.0	0.0	0.0	0.03	0.0	0.0	0.11	0.07	0.07	0.28	0.0	0.01	0.02	0.21	0.0	1.49	0.34	0.0	3.24	1.63	0.67	0.64	0.6	0.0	23.74	24.68
Gemin6	204.89	0.0	0.0	0.0	0.0	0.0	104.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	204.08	0.0	67.55	0.0	0.0	0.0	0.1	102.06	138.15	0.0	0.0	0.0	16.57	30.7	48.48	32.07	201.89	8.72	7.95
Gm10635	0.2	0.04	296.63	0.68	0.08	0.11	0.56	0.16	0.15	0.67	0.12	0.0	0.0	0.17	0.02	0.31	0.17	0.0	0.11	0.39	0.0	0.0	0.43	0.0	0.14	0.12	0.16	0.26	0.03	0.07	0.03	0.32	0.0	0.0	0.08	0.25	2.79	0.54	1.48	0.09	2.45	1.99
Gm14431	0.0	1.32	0.98	0.15	0.9	0.41	2.43	0.32	2.68	0.0	0.55	0.95	1.39	2.98	0.95	9.52	0.16	0.0	1.31	0.0	0.0	6.83	0.0	0.32	0.16	7.93	0.0	0.5	0.0	0.21	0.17	53.7	0.0	1.69	1.95	0.51	0.99	0.9	1.65	0.17	8.87	7.17
Gm15760	0.0	0.12	0.21	0.38	0.2	0.36	0.62	0.0	0.17	0.29	0.02	0.32	0.0	0.0	0.04	0.14	0.09	0.19	0.24	0.16	0.0	0.0	0.0	0.0	0.14	0.4	0.0	0.26	0.1	0.17	0.21	0.24	0.09	0.0	0.09	0.94	1.98	0.71	0.4	0.0	1.95	1.86
Gm20571	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06	4.94
Gm5860	4.38	5.24	10.51	0.0	0.0	12.22	20.54	4.26	0.26	0.57	0.0	3.6	0.0	5.98	5.98	2.88	0.0	0.0	4.96	6.68	2.36	12.73	2.76	0.0	1.38	0.0	0.0	3.42	1.48	1.83	2.53	19.91	2.25	0.0	0.0	2.52	2.28	2.18	5.31	4.77	4.56	3.46
Gm8898	0.0	1.32	0.98	0.15	0.9	0.41	2.43	0.32	2.68	0.0	0.55	0.95	1.39	2.98	0.95	9.52	0.16	0.0	1.31	0.0	0.0	6.83	0.0	0.32	0.16	7.93	0.0	0.5	0.0	0.21	0.17	53.7	0.0	1.69	1.95	0.51	0.99	0.9	1.65	0.17	8.87	7.17
Gnb4	0.29	0.0	0.15	0.06	0.0	0.35	1.33	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.34	0.09	0.11	0.0	0.04	10.43	0.0	0.0	5.63	0.11	4.17	3.63	6.44	0.0	33.1	34.22
Gpd2	2.02	0.0	2.11	0.0	80.71	0.07	43.26	0.0	0.0	0.03	0.0	49.4	0.0	76.79	31.44	0.06	48.89	6.42	5.52	30.04	20.75	62.54	27.65	60.69	0.35	32.83	0.0	0.71	0.04	50.65	0.02	92.53	11.87	114.96	12.71	33.3	65.97	55.71	55.37	24.38	64.41	62.83
Gpr17	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.98	29.65
Grb2	41.43	75.31	2.86	45.19	68.92	10.39	195.66	59.85	20.3	0.06	0.21	0.91	25.99	26.63	99.14	2.31	48.54	0.25	29.02	0.0	0.0	2.69	0.0	2.37	0.19	75.74	0.0	19.75	0.04	71.46	3.1	125.83	27.18	0.81	2.09	34.96	43.25	38.28	42.48	0.62	133.21	134.34
Grk6	0.0	0.07	5.11	2.4	0.22	1.09	22.05	1.09	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	84.31	0.0	0.0	37.7	6.62	0.0	0.0	0.0	0.53	0.0	28.96	4.56	0.51	0.0	10.99	5.07	6.94	2.89	0.11	61.43	63.59
Hist1h2bq	0.19	0.03	0.6	0.03	0.0	0.1	0.13	0.26	0.22	0.13	0.0	0.09	0.0	0.0	0.0	0.12	0.01	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.03	0.14	0.05	0.03	0.1	0.0	0.0	0.0	0.07	0.07	0.11	0.53	0.09	0.38	0.28
Hist1h2br	0.19	0.03	0.6	0.03	0.0	0.1	0.13	0.26	0.22	0.13	0.0	0.09	0.0	0.0	0.0	0.12	0.01	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.03	0.14	0.05	0.03	0.1	0.0	0.0	0.0	0.07	0.07	0.11	0.53	0.09	0.38	0.28
Llgl1	0.0	0.32	0.0	0.07	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.14	0.0	14.33	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.13	0.11	0.0	0.0	2.78	0.03	0.0	0.0	27.3	1.29	0.0	0.0	0.0	2.46	2.16	2.83	0.0	33.9	37.16
Mad1l1	0.0	37.53	96.05	0.0	0.0	128.97	0.0	0.0	0.0	19.13	0.0	0.15	0.32	0.0	0.0	0.0	50.05	0.0	0.0	34.59	20.07	0.0	0.0	0.0	0.0	1.12	42.75	0.0	0.0	0.0	0.0	121.4	0.0	21.74	0.0	26.49	19.11	12.92	30.67	0.0	13.39	14.3
Map3k1	0.0	0.02	0.06	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.29	0.0	0.0	3.26	1.53	3.52	1.17	1.13	0.0	4.39	4.42
Mfsd2a	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.39	18.4
Mmab	0.49	57.11	87.36	0.0	0.08	0.29	0.0	0.21	0.16	0.06	0.0	0.0	0.0	0.0	5.56	160.63	0.0	0.11	0.13	0.68	0.0	0.0	0.54	0.58	0.33	61.32	0.0	0.0	0.17	0.0	0.0	139.69	0.09	0.0	29.78	8.43	5.01	8.06	6.04	0.0	24.61	25.96
Mreg	0.62	8.18	0.17	0.08	0.0	0.0	0.0	2.64	1.82	0.0	0.0	0.0	2.23	0.0	0.0	0.07	9.06	0.0	0.0	35.37	0.0	0.0	0.0	21.94	28.45	0.0	0.0	15.08	0.05	0.0	0.0	86.09	69.39	0.0	0.0	2.41	3.6	2.07	4.89	0.0	4.99	5.12
Myo1c	0.58	0.67	1.63	1.39	0.69	0.54	2.07	2.08	1.03	0.92	0.43	0.68	0.91	0.23	0.7	1.11	0.74	0.76	0.39	1.49	0.0	0.83	0.61	1.07	5.94	0.81	1.93	1.03	0.51	1.58	0.33	1.5	1.12	3.83	0.5	3.62	1.31	2.97	2.72	0.25	11.94	10.43
Neu2	1.47	0.0	0.0	224.37	409.16	0.0	0.0	0.0	0.0	0.0	0.0	0.51	136.01	0.0	119.08	0.42	0.0	0.0	0.25	0.0	0.0	0.0	0.0	107.24	0.0	85.17	0.0	0.0	0.0	0.0	0.0	184.67	310.87	0.0	0.0	14.44	34.29	41.48	30.72	0.0	6.89	7.29
Nqo2	0.0	0.06	0.43	0.09	0.11	0.0	0.15	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.17	0.07	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.52	0.03	0.13	0.01	0.0	74.24	0.55	5.04	0.26	0.53	0.08	4.86	4.73
Nudt2	0.0	95.65	168.38	0.13	129.71	0.0	0.0	0.0	0.23	67.23	0.0	26.46	0.0	0.0	11.32	0.0	0.4	0.0	0.0	0.0	98.42	0.0	0.0	0.0	0.0	105.63	209.95	4.57	0.0	0.0	0.14	227.65	0.0	0.0	189.08	20.83	36.63	41.34	45.16	161.36	25.32	29.51
Nudt21	0.0	0.79	86.27	0.0	0.0	14.47	88.17	0.0	130.17	0.0	0.0	0.0	0.0	5.45	0.0	0.0	0.0	0.0	265.09	32.19	0.0	89.92	0.0	0.0	0.0	0.0	0.0	0.1	133.1	0.2	7.93	142.52	3.48	0.0	0.0	47.99	9.43	29.4	35.82	0.0	51.69	53.19
Pafah1b3	6.07	55.29	2.0	0.73	1.91	0.0	110.12	0.0	1.13	1.81	0.0	150.77	0.0	0.0	1.1	3.93	0.39	0.0	0.0	2.46	0.0	0.0	69.05	1.36	1.2	0.0	265.9	0.0	0.0	0.0	0.0	230.5	435.27	0.0	8.73	0.0	10.44	23.22	19.25	0.0	17.06	14.09
Pes1	125.39	54.07	82.32	0.49	12.22	177.13	75.84	0.0	93.95	6.31	0.19	64.31	17.69	0.21	0.14	0.17	0.0	0.0	23.27	11.06	0.0	14.67	0.0	0.19	0.0	40.33	0.0	46.63	108.07	0.04	121.33	373.55	89.85	27.33	0.0	58.96	29.27	25.62	42.05	103.36	34.44	32.67
Pnma2	0.0	41.29	40.93	91.43	0.0	36.76	58.58	0.0	180.24	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	51.18	0.0	21.73	70.75	27.08	0.0	28.27	7.22	39.83	0.0	24.71	0.0	0.0	0.02	199.56	19.32	0.0	22.55	21.26	13.03	17.98	21.64	34.01	42.38	41.15
Podxl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.44	0.0	0.0	0.0	0.0	0.45	0.17	0.18	0.0	126.83	155.0
Polr3gl	4.24	49.78	2.86	1.5	2.22	125.51	8.07	30.65	15.0	52.65	12.73	15.43	22.89	12.39	2.49	4.15	5.38	3.6	7.4	53.65	5.24	17.45	10.91	6.08	3.25	32.92	8.95	3.35	3.91	6.83	4.17	59.17	13.24	12.67	57.46	31.82	25.11	20.68	17.02	6.75	24.42	25.97
Prex1	0.0	18.07	57.85	0.0	31.82	12.91	51.34	0.0	0.03	0.0	0.0	0.0	0.0	19.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.55	0.0	0.0	0.0	2.72	0.09	1.67	0.74	0.0	62.45	62.93
Retn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13	90.04	0.0	0.0	0.0	0.0	5.02	0.0	0.0	6.02	0.97	0.76
Rgs7bp	3.07	61.09	67.23	21.63	1.03	103.81	36.3	2.54	51.18	73.55	3.7	39.48	32.71	19.5	10.67	25.93	9.14	12.83	9.12	17.2	20.12	85.59	4.19	18.68	16.63	43.7	1.41	22.15	24.62	1.47	24.24	44.32	40.67	4.22	9.76	51.29	38.42	44.7	51.79	42.47	124.57	101.66
Rlbp1	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.25	21.05
Rprd2	0.0	21.04	27.61	0.01	78.49	0.0	1.48	0.0	12.77	0.66	0.0	0.0	18.81	0.0	8.48	0.11	12.51	0.0	0.0	20.6	5.91	0.0	0.0	3.42	0.0	0.45	0.0	27.98	41.76	0.04	0.0	82.63	36.14	0.0	39.59	8.0	8.95	5.32	4.92	0.0	15.22	15.23
Rtp3	0.0	0.0	0.0	0.34	0.18	3.69	0.0	4.75	3.54	0.0	0.0	0.32	0.35	0.0	0.21	2.28	0.79	0.0	1.17	1.66	0.0	0.52	0.33	0.0	0.0	0.52	3.34	0.0	3.91	0.0	0.0	8.66	0.13	3.47	1.23	0.12	0.37	0.14	0.28	0.0	2.72	2.32
Sema5b	0.0	0.03	0.08	0.21	0.0	0.0	0.12	0.0	0.1	0.07	0.0	0.0	0.0	0.0	0.04	0.09	0.07	0.0	0.51	0.09	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.02	0.0	0.2	0.06	0.0	0.0	9.31	4.61	2.41	3.48	0.0	13.04	12.14
Slc10a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.06	0.0	0.0	15.5	0.0	0.0	0.0	1.4	0.0	0.09	0.0	0.0	2.57	2.86
Smurf2	0.0	0.0	0.0	56.27	0.0	0.0	0.1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	11.13	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	52.03	0.0	0.0	0.0	4.23	3.05	3.96	4.51	0.0	20.16	18.36
Snap25	26182.83	20995.4	20371.44	24880.43	23752.44	19564.24	19832.73	25194.29	24000.2	21827.11	20741.69	24648.02	22891.51	18204.99	21740.03	21459.53	21685.06	21261.82	23051.34	18985.93	17302.69	18436.62	18096.94	22845.02	21696.22	22039.64	25542.47	18796.65	18233.72	21954.45	22725.47	15981.93	20576.26	20672.41	21043.71	17485.78	20846.74	19146.26	18964.09	17498.21	2513.78	2278.43
Sox11	66.23	76.58	0.19	26.63	0.0	121.77	0.0	0.0	126.66	0.04	50.95	92.62	81.67	1.02	0.0	11.65	58.46	28.0	0.0	48.89	0.0	5.31	0.0	0.0	41.11	0.0	0.0	28.9	0.0	16.45	51.77	293.09	3.42	0.0	72.27	53.19	73.46	57.21	53.86	12.02	6.06	5.55
Srgap2	0.0	29.59	3.91	5.26	3.95	0.55	5.61	0.0	63.16	0.62	2.79	0.0	0.0	0.0	0.0	0.0	42.66	0.0	0.05	0.0	0.0	0.0	0.0	6.55	0.0	25.37	0.0	0.03	0.83	1.29	0.0	45.93	0.08	0.0	6.79	8.75	6.91	4.35	5.84	0.0	32.14	28.78
Tmem189	0.0	0.0	1.24	0.0	28.12	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	1.15	0.1	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	90.48	0.0	0.0	0.0	0.18	6.05	5.13	2.69	0.0	59.64	61.57
Tnc	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	1.95
