	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_18	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Edil3	22.73	244.89	5.23	6.55	0.0	0.0	0.0	0.0	0.0	0.0	151.34	112.44	59.73	61.65	328.02	0.0	0.0	0.0	69.92	54.31	25.08	35.61	6.38	39.3	73.36	0.95	0.06	58.59	65.4	18.76	106.96	187.45	30.07	0.21	20.43	71.82	13.47	66.01	193.03	176.48	89.42	344.45	202.88	85.01	170.24	237.43	99.89	88.26	14.94	23.39	19.79	0.0	24.26	0.0	3.3	23.54	0.0	8.03	0.18	0.0	0.0	0.0	0.0	119.66
Efna5	50.99	251.79	95.04	35.42	0.0	28.77	0.0	0.0	22.01	54.33	226.94	378.78	185.86	275.92	246.13	45.78	149.53	223.35	145.3	2.01	80.6	2.0	141.44	121.45	162.76	78.46	65.84	136.56	241.09	177.57	204.67	302.24	213.19	56.38	334.7	185.65	155.8	559.35	312.93	191.13	198.38	236.16	244.96	405.74	142.04	118.61	1.26	0.36	66.5	60.76	291.56	34.28	37.7	0.24	78.03	158.73	50.94	39.99	40.17	28.85	117.62	0.0	0.05	235.07
Epha4	48.61	59.57	42.17	21.98	26.61	0.0	20.28	0.05	0.0	0.0	24.77	128.25	58.49	14.95	87.89	0.0	20.36	0.06	55.62	44.75	29.68	0.08	17.48	2.46	145.12	0.17	0.16	0.3	22.79	0.66	63.58	11.44	92.52	90.88	2.31	2.15	332.68	41.16	97.58	65.75	21.43	198.85	140.03	114.68	74.04	0.44	2.83	0.0	14.83	20.75	16.13	0.21	0.37	0.0	0.18	23.71	55.28	54.93	22.87	59.12	17.74	4.04	0.11	81.53
Etv1	55.42	230.92	341.37	0.0	0.0	0.0	47.13	0.0	0.0	0.0	585.7	561.85	583.9	445.84	626.63	0.17	0.0	0.0	0.0	30.7	1.71	13.98	49.57	0.0	0.11	0.0	0.0	0.0	0.0	0.59	0.18	287.75	349.2	33.41	168.73	190.83	271.4	32.3	608.87	203.99	160.73	135.73	531.65	234.3	298.11	0.08	0.0	0.0	51.1	29.19	664.62	0.19	0.0	2.47	0.15	266.07	0.09	0.07	27.97	210.13	0.12	0.08	0.06	348.28
Fam19a2	108.77	46.99	64.31	0.0	0.0	0.0	59.37	0.0	0.0	0.0	81.19	59.51	130.47	0.08	31.25	0.08	0.0	0.0	0.09	0.0	0.0	1.03	27.67	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.16	36.21	31.84	73.24	71.26	84.17	3.92	74.39	44.76	28.95	9.92	28.43	56.0	10.57	15.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.06	0.07	0.0	0.07	80.9	0.0
Fam3c	131.87	121.43	246.4	7.76	6.34	273.65	103.04	19.01	13.35	184.08	360.7	74.44	205.51	271.59	282.41	0.0	38.39	49.12	4.44	96.77	0.09	0.2	1.13	1.16	0.0	0.25	23.95	11.56	40.07	74.15	7.04	375.35	309.93	501.95	195.73	461.47	114.03	409.64	533.78	338.84	387.65	224.3	360.98	305.3	265.89	16.18	5.54	177.5	18.37	14.44	17.32	11.66	20.19	109.02	45.99	12.75	23.2	0.21	0.26	14.38	0.0	48.84	0.09	12.47
Foxo1	58.94	0.0	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.52	24.47	72.53	17.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.11	4.72	86.58	17.64	105.33	42.49	0.79	8.23	33.21	117.43	40.86	0.0	9.99	33.2	59.88	36.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fras1	3.18	31.96	7.69	0.0	0.0	0.0	0.06	0.0	0.0	0.0	33.72	4.69	2.19	0.58	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	11.38	0.11	11.19	12.93	23.14	1.18	44.48	5.55	1.52	8.72	9.37	27.73	12.4	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.46	0.0	0.0	0.01	0.0
Gpr88	47.41	52.7	106.2	0.0	0.0	0.0	0.0	0.28	0.0	0.0	18.37	45.3	55.6	40.15	32.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.72	0.0	58.22	55.4	4.23	39.7	0.0	11.93	76.83	73.39	96.29	12.41	95.39	33.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hlf	64.22	27.48	86.34	27.44	2.75	0.06	45.43	59.86	45.86	0.0	87.7	94.15	196.36	100.84	154.36	0.0	31.9	20.44	0.27	70.7	0.09	5.22	9.23	29.47	0.23	30.95	52.39	73.15	5.05	22.24	141.39	45.26	257.33	108.23	59.68	114.17	74.68	161.48	123.37	56.98	121.29	80.57	209.9	61.7	80.18	53.02	57.31	0.08	28.37	27.09	23.61	0.0	57.46	8.4	0.0	31.59	0.0	58.92	36.08	0.05	46.33	0.0	2.01	20.44
Hspa2	19.38	61.2	38.03	39.35	10.0	0.0	213.59	2.04	52.47	0.0	203.15	104.91	171.18	100.59	107.38	0.0	0.0	19.47	0.16	0.0	0.0	0.0	7.67	0.0	59.17	0.14	0.38	0.17	22.99	0.83	35.8	77.0	83.33	79.69	13.49	164.48	39.45	131.78	114.48	29.92	70.25	121.4	53.08	174.46	122.2	0.0	86.08	0.1	9.46	8.71	50.76	17.99	0.14	0.26	0.0	17.19	10.93	41.56	0.0	6.59	0.0	0.0	0.0	21.4
Il1rapl2	0.0	38.8	62.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	40.53	123.26	12.21	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	67.78	0.26	186.49	187.18	0.0	29.99	182.4	108.38	0.0	48.95	64.97	18.05	27.29	4.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnq5	11.41	9.81	0.11	0.0	0.0	0.0	23.26	0.0	0.0	0.0	59.8	3.66	13.23	37.4	0.0	166.42	0.0	0.0	0.0	0.0	0.0	0.0	3.96	28.14	0.0	0.0	0.0	0.0	0.0	0.12	27.27	38.26	14.21	34.09	21.37	0.13	27.91	33.94	70.91	145.25	0.6	16.96	11.5	20.17	16.44	0.49	0.0	0.0	0.77	8.9	9.3	0.0	1.63	0.0	0.0	9.34	0.05	0.0	0.0	0.0	0.0	15.39	11.76	0.0
Kctd6	21.18	97.31	2.54	114.62	0.0	0.0	0.0	0.0	0.0	0.0	237.34	137.18	355.22	103.64	0.0	0.0	24.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.33	48.89	0.0	0.0	90.03	143.21	30.93	30.26	0.0	0.0	0.55	118.21	38.19	155.19	0.19	32.66	17.41	71.52	155.48	91.66	0.0	58.25	0.0	4.77	20.69	0.0	0.0	0.0	0.0	0.0	86.67	60.86	0.0	0.0	0.0	0.0	0.0	0.0	72.32
Lin7a	84.98	152.92	16.08	26.95	63.37	138.82	56.36	19.43	42.6	68.84	262.96	47.5	185.62	88.54	197.85	125.68	0.16	0.0	0.1	0.0	0.0	22.31	74.84	11.6	0.0	0.0	0.0	0.28	29.78	64.59	130.3	218.09	89.55	190.93	200.13	60.48	59.35	133.47	255.84	84.98	135.33	98.67	244.98	73.17	111.01	0.0	0.0	0.44	26.4	6.58	26.61	13.13	2.16	0.0	37.39	49.71	37.51	0.16	28.55	0.0	22.34	0.0	82.89	21.95
Npcd	1.96	96.34	69.47	0.0	0.0	2.66	7.59	0.0	0.0	0.0	3.75	53.02	27.95	5.63	22.33	20.21	0.0	0.59	39.57	0.06	35.29	6.53	0.47	0.0	0.0	3.16	0.07	14.33	45.65	0.12	1.06	61.43	8.62	7.7	72.37	8.45	64.83	52.15	28.9	141.2	36.7	103.26	67.69	6.15	77.45	26.75	14.92	0.09	1.66	4.59	0.0	0.0	0.0	3.55	0.0	3.59	0.0	0.0	8.64	38.19	2.86	0.0	0.57	20.09
Odz4	23.8	30.65	1.0	0.14	5.03	0.0	0.0	0.0	0.0	0.0	13.25	3.42	37.9	1.67	0.03	9.57	0.0	0.0	0.04	0.0	0.0	0.0	12.19	0.0	0.0	0.0	0.76	0.2	0.0	2.49	8.71	0.03	27.34	0.37	11.56	0.0	15.87	15.43	27.03	11.79	0.03	24.78	24.22	0.6	16.29	0.03	0.05	0.04	2.77	5.61	0.09	0.0	2.98	0.0	0.0	5.66	0.0	0.0	0.0	0.0	0.04	9.47	0.0	0.69
Pcp4	3060.11	2538.59	4955.04	4004.36	5130.46	3842.39	3670.93	5293.38	4052.0	3389.89	3040.49	2392.61	2566.02	2012.53	2799.24	7467.74	4785.11	5853.47	5178.03	6240.76	5498.56	5326.1	6808.32	7407.1	5341.11	3680.68	6583.41	5620.14	5456.32	5251.38	3276.12	3583.84	3758.52	3177.92	3472.73	5093.83	2429.01	3496.16	1520.81	3581.8	3038.74	2471.06	2064.8	3137.72	2725.23	5307.32	7030.52	5492.66	4928.48	5219.57	7638.97	4212.47	5242.95	5106.23	4255.66	4247.86	4439.21	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49
Rab3c	131.33	227.9	175.09	71.24	23.63	0.31	10.12	51.33	77.6	14.77	451.61	502.15	350.25	262.32	401.16	0.44	12.48	34.91	6.66	19.46	0.12	17.08	59.67	17.08	24.88	36.76	67.76	0.58	49.3	26.17	43.77	228.51	299.71	147.63	330.18	144.27	197.84	250.33	333.54	259.45	115.87	250.05	288.32	265.54	231.96	52.58	2.8	19.1	31.29	24.36	286.14	0.11	0.29	39.97	26.39	189.82	21.81	7.78	13.09	40.23	8.71	7.03	13.42	238.26
Rorb	33.87	121.23	42.89	0.0	0.0	0.12	0.06	0.05	0.02	0.04	101.48	51.8	49.71	50.56	20.34	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.05	68.51	118.04	79.59	82.51	63.13	85.6	69.71	91.93	121.23	170.29	115.93	94.55	139.14	95.79	76.17	0.0	0.0	0.5	0.15	1.02	0.84	0.0	0.0	0.0	0.02	2.41	0.05	0.06	0.05	0.0	0.0	0.0	0.08	0.06
Sh3rf1	24.82	43.94	50.25	20.42	0.0	0.0	13.92	6.69	7.93	12.17	109.88	64.95	64.31	33.33	145.31	62.4	24.62	15.21	0.0	22.86	0.0	25.72	6.19	4.84	5.66	23.8	14.5	11.95	41.17	6.91	1.11	13.01	37.95	31.1	47.01	56.6	10.44	53.5	24.11	25.1	56.44	46.46	18.13	17.9	29.74	11.69	19.98	0.09	15.48	14.48	23.34	43.23	0.07	27.51	11.84	5.73	17.86	0.05	2.53	0.06	2.69	5.56	3.95	31.97
Slc17a6	0.0	79.03	17.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.19	32.57	130.9	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.41	385.17	284.63	3.7	141.82	135.2	65.49	135.72	84.96	334.61	0.0	24.59	184.9	115.33	0.67	0.14	0.0	0.0	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc30a3	183.15	20.12	211.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.63	58.97	75.19	160.77	38.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.7	97.11	242.74	119.21	75.15	45.12	112.25	5.02	71.35	1.93	92.65	200.14	102.31	147.15	26.7	87.45	0.0	0.29	0.0	4.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
Sphkap	0.05	54.92	23.9	15.65	0.0	62.35	0.07	0.0	5.89	98.15	90.42	66.21	65.36	26.31	63.76	0.99	0.0	0.0	0.0	0.0	0.0	8.6	0.0	0.0	0.0	4.15	0.0	0.0	1.51	0.32	2.11	20.77	35.79	31.46	4.8	1.62	81.91	2.75	42.01	2.25	19.29	58.7	2.59	8.3	63.16	0.05	0.0	0.0	5.44	11.33	4.75	0.79	5.71	9.96	0.0	4.99	0.0	0.0	0.04	1.12	0.0	0.0	0.0	38.42
Srgap3	32.6	21.93	25.7	0.77	0.73	26.89	0.0	38.06	16.98	0.64	61.76	69.24	53.29	14.75	119.98	0.24	0.1	0.07	0.29	0.0	0.14	0.05	0.31	0.1	0.22	0.07	0.0	0.19	0.2	0.21	24.6	17.8	89.56	3.26	2.37	86.93	3.31	21.85	58.59	37.99	47.52	39.09	85.48	19.13	8.35	0.07	0.0	0.14	0.23	2.23	41.54	0.12	0.36	0.15	22.02	25.64	0.68	0.09	0.11	1.38	0.05	0.0	0.03	51.11
Stxbp6	6.74	159.38	29.62	2.12	0.73	0.82	3.5	1.4	1.26	0.55	11.67	11.23	173.74	73.72	100.24	3.52	0.16	0.41	0.56	0.23	0.43	0.77	29.07	0.74	1.8	1.0	1.67	2.0	2.8	1.04	4.27	233.66	77.1	45.48	20.95	74.34	66.54	64.73	36.04	62.57	21.41	47.22	14.12	21.61	84.38	1.98	1.36	1.98	2.71	0.32	1.56	0.61	2.16	1.08	0.92	17.25	2.49	0.69	0.29	1.12	0.21	1.21	0.09	62.25
Sulf2	183.36	193.33	34.3	73.19	0.17	41.98	0.0	0.0	0.0	6.65	54.02	79.06	37.87	42.22	122.9	0.0	0.69	0.0	0.0	0.0	0.0	16.25	0.0	0.09	0.0	0.0	2.15	0.0	0.0	0.64	53.86	122.37	108.1	206.34	13.99	185.84	202.37	202.71	21.45	155.41	68.03	148.82	109.35	32.88	27.6	0.0	0.0	0.12	9.33	3.71	3.64	0.0	1.45	54.38	0.0	0.0	1.43	0.0	0.0	60.88	0.0	68.28	0.06	27.01
Tmem47	0.35	51.37	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.93	15.67	36.93	42.67	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	79.85	0.04	235.85	164.66	44.28	54.64	67.91	80.52	113.79	24.07	84.65	14.39	36.57	65.03	80.29	0.0	0.0	78.92	1.26	4.71	14.85	0.0	0.08	0.04	0.14	10.88	0.0	0.09	0.06	0.08	0.0	0.0	0.0	30.57
Tox	140.73	349.08	124.02	0.52	0.0	10.44	138.88	0.23	0.16	80.35	329.49	253.0	63.88	333.83	170.81	0.35	39.54	0.0	0.0	0.0	15.15	55.16	36.55	0.0	3.25	0.0	53.29	0.0	0.51	0.12	0.45	147.33	326.01	175.57	92.84	303.05	417.09	196.6	452.5	219.9	169.41	163.41	427.61	398.62	207.64	0.22	0.0	0.37	104.27	63.93	250.85	0.13	72.79	0.32	0.1	95.87	139.03	0.0	0.17	41.4	0.0	0.11	3.87	510.84
Trib2	6.11	12.72	85.59	16.56	0.62	1.95	0.0	0.0	34.58	0.0	2.0	78.07	27.18	102.7	74.38	0.67	30.1	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.64	174.54	125.7	9.09	126.37	54.48	3.17	93.25	147.83	0.86	48.46	72.76	79.02	126.14	32.78	0.0	46.13	5.23	4.51	0.51	42.5	0.09	141.49	36.65	0.07	1.64	0.0	5.68	0.0	0.07	0.1	0.07	0.0	22.58
Utrn	10.24	21.55	29.08	0.0	0.34	0.0	0.0	0.43	0.07	0.0	11.22	6.26	33.75	10.23	27.38	36.99	0.03	0.0	6.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	45.35	28.65	47.8	6.29	24.56	1.81	36.83	28.2	52.78	3.94	6.26	22.59	70.28	41.96	9.47	2.26	0.0	0.0	1.7	0.0	20.6	0.0	0.0	0.0	0.0	7.29	0.0	0.0	0.0	0.0	0.03	0.0	0.0	4.26
Vstm2b	3.01	49.72	17.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.85	7.93	31.53	122.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	64.59	16.21	0.0	75.21	0.23	11.51	0.0	43.46	2.91	36.67	0.0	82.28	15.93	38.77	2.03	0.0	0.0	0.0	1.63	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
