	Ndnf_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ankib1	0.0	0.46	15.78	0.0	378.02	0.0	10.33	0.0	130.25	27.67	0.0	0.0	26.36	25.55	28.18
Anks1b	0.0	0.11	0.0	35.13	231.47	114.26	77.75	41.67	42.45	16.48	0.0	8.22	136.15	132.0	139.16
Aph1a	0.0	5.53	32.42	0.0	48.78	4.8	0.18	19.94	4.55	9.21	7.54	1.11	63.06	65.12	64.84
Arid4b	0.0	0.0	0.08	1.42	237.31	1.7	22.63	0.04	60.03	0.0	0.1	0.06	22.39	17.64	22.69
Atp2c1	0.0	1.08	0.1	0.0	496.91	0.0	31.15	0.0	0.05	0.0	0.0	5.47	105.3	100.31	105.18
Atp6v1a	0.0	0.13	0.75	0.91	575.15	0.19	377.08	0.36	1.87	166.12	0.0	0.0	381.45	378.98	359.4
Atrn	0.0	0.0	0.0	0.0	209.35	1.31	12.22	0.07	0.17	0.0	25.05	0.04	85.45	83.79	91.7
Bag6	0.0	0.0	0.0	0.0	50.6	32.2	3.17	0.0	0.07	0.0	0.0	0.0	120.96	127.78	125.96
Bckdhb	0.0	0.76	0.0	0.5	1.51	0.49	22.21	0.35	0.0	0.0	0.85	0.0	41.25	42.85	39.75
Bloc1s3	0.0	7.52	2.74	7.38	35.6	5.87	3.55	8.99	7.98	1.69	1.96	2.56	16.15	16.72	15.16
Btbd19	0.0	2.84	0.93	4.38	12.66	7.26	3.86	2.96	4.8	2.03	5.16	0.38	7.48	6.56	7.13
C030048B08Rik	0.0	0.0	0.0	0.0	698.02	0.0	20.68	0.0	0.0	0.0	0.0	0.0	8.26	7.95	9.22
Ccdc22	0.0	1.13	0.0	0.0	703.82	0.0	10.0	0.0	0.0	62.85	0.0	0.0	32.69	32.28	35.18
Ccdc50	0.0	119.2	0.0	65.14	228.41	0.16	18.32	0.46	0.25	0.06	3.15	0.0	28.5	25.95	28.87
Ccdc67	0.0	0.0	0.0	0.0	0.13	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.16	0.31
Ccnl1	0.0	0.0	0.0	0.0	227.35	333.97	13.84	0.11	5.89	0.0	0.0	0.17	37.31	39.19	35.37
Ccpg1	0.0	0.0	0.0	175.12	789.35	0.0	52.1	160.38	27.73	0.0	0.0	427.94	97.54	94.69	91.63
Cdadc1	0.0	0.0	0.26	305.51	945.3	8.44	118.14	0.13	0.32	27.88	0.0	0.0	58.06	52.09	54.59
Cdk16	0.0	0.0	45.3	0.0	121.89	0.0	14.3	0.0	0.16	0.0	0.0	0.0	206.47	218.5	219.97
Chst3	1.21	3.86	0.32	2.25	5.88	2.36	2.41	0.23	0.53	1.35	2.53	0.39	2.62	2.03	2.61
Crp	0.0	0.0	0.0	0.0	1.54	0.9	0.28	0.68	0.0	0.0	0.0	0.76	0.22	0.11	0.0
Dcun1d5	0.0	0.0	28.71	0.0	51.06	0.33	9.43	73.68	0.0	0.0	0.0	0.0	60.12	57.72	61.46
Ddx56	0.0	0.0	0.15	0.0	320.9	221.25	16.15	0.0	0.0	0.0	0.0	0.43	24.22	27.61	24.52
Dnajc24	0.0	0.0	0.0	0.0	563.6	0.0	20.21	0.0	1.39	0.0	0.0	0.0	11.8	10.72	12.0
Dzip1l	0.0	0.0	0.11	0.0	0.89	0.0	8.42	0.0	0.0	0.0	0.3	0.0	17.46	16.25	15.07
Efcab4a	0.0	0.0	1.23	0.75	6.22	0.99	1.61	0.0	1.53	1.24	0.67	1.5	3.64	5.46	3.71
Fam174b	0.0	0.0	0.18	0.0	0.28	0.0	2.96	0.0	0.0	0.0	0.13	0.0	29.93	31.42	29.22
Fam96a	6.14	0.0	1.22	1.49	616.98	0.8	109.99	0.85	1.45	0.8	0.0	0.36	28.85	27.42	28.14
Fbxo43	0.0	0.0	0.13	0.6	1.68	1.2	3.1	0.39	0.49	0.15	0.0	0.0	0.42	0.27	0.4
Gm10433	0.0	0.27	0.56	3.44	9.12	3.94	3.5	3.98	0.98	4.11	1.34	0.0	2.36	1.43	2.13
Gm16523	0.0	0.21	0.1	0.0	0.9	0.14	6.65	0.24	0.1	0.0	0.0	0.0	0.07	0.11	0.1
Gm4070	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	1.62	2.49
Gm4262	0.0	6.92	12.49	1.13	27.82	4.92	21.39	1.85	11.29	0.91	4.32	1.45	7.62	5.67	8.46
Gm5494	0.0	0.0	0.5	0.98	3.73	0.64	0.73	0.76	1.77	0.0	0.98	0.0	0.56	0.61	1.23
Gmppa	0.0	0.0	0.33	0.0	887.73	0.0	1.17	0.0	0.0	0.0	0.0	0.0	38.42	42.47	38.94
Gpbp1	0.0	27.4	0.0	0.0	475.48	0.0	98.05	188.95	105.12	95.82	0.0	0.0	65.89	57.48	61.59
Gpr37l1	0.0	0.0	0.22	0.27	0.49	0.0	109.16	0.21	0.0	0.0	0.27	0.0	166.73	179.09	183.06
Gtf2h3	0.0	0.0	7.81	16.3	477.89	304.08	25.4	0.05	0.1	0.0	0.67	0.0	11.71	11.49	11.95
Ints7	0.0	0.0	0.0	0.18	215.39	0.0	3.91	0.0	0.0	0.0	0.0	0.0	32.76	33.78	32.16
Irf9	0.0	1.41	0.45	0.0	762.24	0.85	3.99	0.0	0.29	0.0	0.74	0.0	13.97	12.58	10.7
Ivns1abp	2.21	0.0	0.0	214.41	682.01	0.0	43.61	0.72	0.88	0.0	0.18	0.1	161.93	154.95	147.82
Kcna6	0.0	0.09	0.0	0.0	328.6	0.46	7.46	0.08	0.12	4.59	1.42	1.29	50.12	47.07	51.34
Kit	0.0	0.0	0.0	0.0	504.24	0.0	6.58	0.26	0.0	0.0	0.0	12.03	26.97	27.58	27.96
Klc2	0.0	0.0	0.0	0.0	0.13	0.13	11.36	0.0	0.0	0.0	0.0	0.0	196.16	207.95	205.42
Mageb18	0.0	0.0	0.0	0.0	0.35	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.13	0.21
Mcam	0.0	5.67	0.34	0.0	509.27	0.0	4.91	1.73	0.0	0.35	0.21	284.88	19.18	18.95	22.56
Mkl2	0.89	0.77	1.51	0.9	103.49	1.75	151.36	44.0	0.66	0.57	0.83	26.38	89.28	82.44	89.75
Mrpl32	0.0	0.0	0.68	0.0	435.33	405.77	136.52	0.33	0.0	0.7	13.14	0.0	28.5	35.76	30.24
Mrpl43	6.74	4.03	0.0	3.01	791.32	0.0	52.77	0.2	347.23	0.11	3.82	3.14	52.68	56.62	52.58
Mrps36	11.2	17.24	216.4	10.68	649.18	0.0	272.08	1.06	0.0	0.0	0.0	0.0	62.58	58.38	54.62
Mtap6	0.0	0.0	0.0	5.18	523.45	1.34	8.82	0.0	0.2	0.0	0.0	0.0	99.94	103.63	104.04
Mthfd2	0.0	0.0	0.48	0.0	650.8	0.19	2.78	0.0	0.0	0.0	0.0	0.0	8.19	8.45	8.9
Nbea	0.0	0.0	0.09	0.0	189.87	0.14	15.23	0.48	8.51	0.05	0.0	0.0	86.62	79.29	87.87
Nckipsd	0.0	0.0	0.0	0.0	39.68	10.66	29.28	0.0	0.0	0.0	0.0	0.0	60.26	64.42	62.51
Ncoa4	0.0	0.0	0.0	0.0	681.35	65.08	49.07	223.83	143.52	0.0	0.0	0.1	68.37	68.18	66.04
Noa1	0.0	0.0	0.0	12.08	22.7	18.55	0.58	0.0	0.0	0.0	0.0	0.0	19.29	22.09	20.09
Numb	0.0	0.0	0.0	0.0	384.94	0.0	15.45	0.0	0.0	0.0	0.0	0.0	32.4	29.55	34.1
Obox3	0.0	0.0	0.0	0.0	2.3	0.0	0.32	0.0	0.58	0.0	0.02	0.0	0.45	0.52	1.06
Pa2g4	0.0	0.0	0.0	0.0	446.45	260.52	66.09	0.1	0.2	268.19	0.0	0.0	57.75	62.67	56.01
Pak1	0.0	0.0	0.48	0.0	765.26	39.17	483.74	7.86	40.82	3.33	23.17	0.0	422.11	398.57	412.06
Pak1ip1	0.0	0.0	0.0	0.0	765.14	2.85	83.66	0.41	0.14	0.0	0.0	0.0	44.53	46.49	39.57
Patl2	0.0	0.0	0.0	0.0	0.16	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.19	0.0
Pik3r2	0.0	0.0	0.0	0.0	0.72	0.36	2.09	0.0	0.07	0.0	0.0	0.0	97.28	109.77	104.18
Pnpla2	0.0	0.0	0.0	0.24	503.94	0.0	6.02	243.11	0.0	0.0	0.0	0.0	13.47	16.31	13.59
Prrg4	0.0	0.0	0.0	0.0	0.12	0.13	0.0	0.0	0.05	0.0	0.0	0.0	0.95	0.5	0.32
Pten	0.0	0.0	0.06	0.0	114.36	18.19	34.26	0.17	0.09	0.0	0.0	0.0	64.81	63.48	64.75
Ptgds	0.0	26584.93	48907.82	54843.26	26720.82	47452.67	92.27	56522.07	60719.49	36019.29	40457.23	53160.05	1497.69	1644.65	1231.28
Pydc3	0.0	0.0	0.14	0.35	8.75	0.46	1.22	0.1	0.0	0.0	0.0	0.0	2.16	1.79	1.75
Qpctl	0.0	0.0	0.24	0.0	0.18	0.0	18.57	0.0	0.0	0.0	0.0	0.0	17.65	19.73	18.89
Rnf187	0.0	0.0	0.0	0.0	173.57	324.37	47.89	0.12	0.12	4.79	0.0	0.0	373.18	417.68	414.67
Rnf26	0.0	0.0	0.0	0.0	21.82	0.0	6.82	0.0	0.0	0.0	0.0	0.0	29.58	32.83	33.78
Rpusd1	0.0	0.0	0.0	0.0	0.23	0.0	71.53	0.0	0.0	0.0	0.0	0.0	65.84	68.91	62.31
Rrm1	0.0	0.0	0.0	0.0	526.47	0.1	8.21	0.0	0.0	0.0	0.0	0.0	11.04	12.04	11.29
Rsph3b	0.0	0.0	0.0	37.32	158.66	0.0	34.1	0.15	0.6	0.0	0.0	0.0	22.1	23.98	25.84
Ruvbl2	0.0	0.0	0.0	392.34	566.87	0.0	5.6	0.0	0.29	0.0	0.0	0.0	29.48	32.97	30.18
S1pr1	7.42	0.0	0.0	0.0	0.25	0.0	49.77	0.08	0.0	0.0	0.0	0.0	116.4	110.54	115.49
Scmh1	0.0	0.0	0.0	0.0	70.11	0.13	8.66	0.08	0.08	0.0	0.0	0.0	33.8	33.61	32.81
Sdha	0.0	86.45	0.34	1033.77	1187.66	1009.7	436.57	669.61	2.49	11.62	0.0	0.0	332.37	336.84	328.07
Sec62	1.88	40.51	48.55	269.53	487.67	61.04	86.04	47.57	75.99	78.69	221.41	59.31	93.05	84.71	91.58
Shc2	0.0	0.13	0.0	1.02	4.18	1.06	1.15	1.0	0.15	0.0	0.23	0.0	33.75	38.41	36.5
Slc35e1	0.0	3.52	1.26	5.32	5.41	1.18	7.41	2.33	0.6	0.65	0.77	0.05	32.57	31.4	29.98
Slc37a3	0.0	0.0	0.0	0.0	77.71	9.43	6.56	0.17	0.13	0.0	0.0	0.0	37.22	34.54	35.28
Slc7a13	0.0	0.0	0.23	0.0	0.94	0.0	0.23	0.0	0.31	0.0	0.0	0.0	0.05	0.04	0.07
Slc9a9	0.0	0.0	0.0	0.0	272.45	212.99	29.5	0.0	0.0	270.4	0.0	0.0	12.35	12.82	15.3
Stk39	0.0	0.0	0.0	0.0	318.62	0.0	38.79	0.0	0.0	0.0	0.0	69.71	52.61	49.61	50.93
Stx17	0.0	0.0	41.74	0.0	109.54	0.03	8.99	44.93	0.04	0.0	0.01	0.0	14.63	13.6	14.28
Tbc1d19	0.0	0.0	0.0	0.0	664.18	0.0	57.69	0.0	5.82	0.0	306.07	0.0	30.03	28.6	30.63
Tgds	0.0	1.13	0.0	0.0	579.8	0.36	39.84	2.54	1.83	0.0	3.61	0.0	5.52	4.71	5.75
Tmem149	0.0	0.0	0.0	0.0	25.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.15	12.24	11.46
Tmem167	0.0	0.14	65.81	0.06	210.58	1.61	16.04	0.32	49.11	0.0	0.07	0.03	16.22	12.97	16.06
Tmem43	0.0	0.0	0.0	0.0	623.27	413.97	20.53	0.0	0.0	1.79	0.0	0.0	29.55	29.82	26.9
Tsc22d3	0.0	367.58	0.5	0.0	818.74	776.45	271.72	8.95	0.24	3.14	20.47	0.0	69.6	79.9	58.45
Utp15	0.0	0.0	0.0	0.14	302.74	0.0	20.95	0.02	0.07	0.12	0.15	0.09	20.29	20.09	18.04
Wdr11	0.0	0.0	0.0	0.0	143.59	0.0	10.08	0.0	0.0	2.45	0.0	66.44	35.59	34.95	35.38
Yif1a	0.0	0.0	396.55	0.0	688.02	318.07	60.38	0.16	0.0	0.0	0.0	0.0	13.7	15.93	14.63
Zbtb7a	0.0	0.0	0.0	5.22	39.61	0.07	9.73	5.65	0.04	0.0	0.0	0.0	55.37	53.85	57.0
Zdbf2	0.0	0.0	0.04	0.0	0.03	0.0	2.02	0.04	0.0	0.0	0.0	0.0	9.24	7.29	6.94
Zfp280d	0.0	0.0	0.11	0.0	275.66	0.0	27.55	0.0	0.0	5.7	0.0	0.0	23.88	21.43	25.89
Zfp444	0.0	0.0	0.0	0.14	289.86	0.44	15.53	0.9	0.45	0.0	0.15	0.08	16.62	18.72	17.47
Zfp830	0.0	0.12	1.72	0.0	217.24	1.34	0.38	0.17	40.04	0.32	0.19	0.0	9.6	8.15	8.84
Zfyve21	0.0	0.0	0.0	0.0	1097.69	0.0	45.09	0.0	491.0	505.23	0.0	0.0	19.72	20.37	19.42
c13_tRNA-Ala-GCY_	0.0	0.0	0.0	23.16	244.46	0.0	0.0	14.53	59.74	0.0	0.0	0.0	20.13	13.9	7.52
mt_AF357461	0.0	0.0	0.0	0.0	65.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.12	5.95
mt_AK153747	0.0	0.0	44.94	0.0	203.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	634.98	1067.91	1205.94
mt_AK153847	0.0	0.0	438.08	425.93	2390.64	481.73	878.14	493.25	143.52	1133.46	159.45	0.0	7244.76	6702.54	7355.06
mt_BC128309	62.78	0.0	0.0	0.0	143.83	306.03	0.0	0.0	0.0	12.2	0.0	0.0	574.0	521.54	621.05
