	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
Gm4724	0.0	0.0	7.02	0.0	3.32	0.0	0.0	0.0	36.04	0.0	14.72	13.5	14.04	16.5	13.46	12.83	3.07	11.03	18.55	13.57	4.08	0.32	3.81	0.54	6.88	8.34	13.98	17.65	13.81	11.12	30.75	15.88	2.38
Hdlbp	0.0	0.0	15.92	0.0	40.54	1.53	0.19	0.1	35.86	10.21	13.1	19.16	41.91	45.28	23.55	1.38	59.99	92.64	10.19	49.11	22.65	55.87	53.82	15.24	15.99	28.19	101.14	62.17	30.25	7.79	52.91	49.04	44.13
Hmgn2	0.0	0.93	47.53	0.0	40.84	0.79	0.49	0.0	80.29	89.04	100.09	68.4	17.42	118.32	115.78	79.92	68.86	128.6	40.38	70.02	89.21	0.0	123.61	9.26	84.07	142.33	71.66	207.33	57.89	59.9	86.7	231.95	86.8
Ldhb	7486.96	5274.92	8550.52	5600.23	8752.31	4568.2	6399.01	2911.44	8750.45	10118.08	10894.4	9343.6	8808.99	8574.79	10165.1	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9755.78	7935.39	11010.48	8275.76	10182.84	7750.55	7739.08	9082.37	7844.79	8351.44	8111.86	11746.38
Lin7a	0.23	0.0	25.2	0.33	0.07	0.16	0.51	0.1	27.09	6.44	28.25	38.78	98.91	80.65	21.3	28.73	54.53	76.7	34.68	63.84	62.97	112.36	33.11	34.69	0.89	51.49	41.2	90.32	13.01	48.68	32.14	77.03	72.3
Mtap1a	0.12	0.24	15.85	0.12	18.47	0.25	0.46	0.06	35.57	27.87	80.19	51.61	51.52	38.02	39.82	25.02	48.68	62.03	62.74	58.63	26.33	41.34	32.52	42.28	40.04	53.55	41.14	78.79	34.51	16.54	67.23	39.43	59.79
Nudcd1	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	34.83	23.39	33.4	17.88	0.76	22.65	24.19	1.76	30.93	41.82	19.72	37.92	52.04	4.37	33.8	0.63	0.14	29.6	0.73	145.19	20.62	0.0	79.48	106.64	93.36
Oprl1	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	44.0	0.0	16.47	0.0	3.11	17.94	0.0	0.0	57.86	46.24	7.32	0.0	0.0	0.0	55.96	0.0	0.0	0.92	0.0	74.81	17.14	0.0	0.0	3.03	63.5
Pik3c3	0.0	0.0	37.06	0.0	17.26	0.0	0.19	0.0	21.63	28.02	39.8	21.63	98.93	66.49	39.25	61.79	73.48	64.64	69.61	53.15	27.85	41.17	32.57	48.04	28.6	48.23	7.37	88.58	20.43	0.39	79.64	41.86	50.54
Slc30a9	0.0	0.0	0.18	0.0	45.15	0.0	0.0	2.13	1.84	1.38	34.74	15.04	19.09	59.59	25.4	1.2	29.93	31.1	40.31	68.37	20.99	3.81	91.79	0.31	8.14	19.26	47.78	63.99	91.37	1.66	58.74	57.65	44.58
Stx1b	0.0	0.0	0.0	0.0	6.77	0.0	0.0	0.0	0.89	30.38	22.83	52.07	6.87	18.13	9.22	0.0	0.0	25.36	0.46	40.66	26.89	0.0	62.39	0.0	7.45	17.5	0.0	38.76	46.46	29.67	3.65	65.56	0.0
Tiprl	0.54	0.33	24.11	1.31	49.04	0.67	1.69	0.75	34.53	39.43	63.4	42.33	114.15	46.49	13.06	30.99	48.12	96.18	71.99	69.19	64.3	40.22	83.65	38.26	15.26	80.26	35.91	84.05	47.35	63.0	29.22	39.95	22.99
Ube2k	0.0	0.0	4.41	0.76	19.81	0.0	0.24	0.0	122.42	27.12	89.61	93.87	105.46	111.57	50.5	43.6	139.75	81.53	53.13	58.31	22.88	63.92	113.94	48.05	18.0	126.84	39.11	78.08	53.01	64.4	47.13	81.82	55.61
Ubqln1	0.0	0.0	3.9	0.0	54.09	1.07	0.16	0.0	18.97	30.67	102.82	23.22	16.96	69.17	38.89	22.93	103.56	53.4	27.65	86.9	46.18	46.67	95.61	6.84	10.08	50.41	14.81	98.16	97.76	58.63	65.0	79.21	42.93
Upf3b	0.0	0.0	0.0	0.0	37.96	17.08	0.0	0.0	38.97	8.47	82.79	53.61	40.76	16.35	30.13	42.57	25.18	34.98	8.54	54.01	41.85	12.61	26.76	12.39	58.58	83.45	15.79	115.25	25.96	25.6	8.66	88.81	60.75
Zmat4	0.0	0.0	0.0	0.0	4.78	0.0	0.85	0.0	6.33	3.23	3.86	35.05	19.38	1.14	94.23	6.97	41.53	46.21	23.1	100.3	2.33	41.58	152.68	122.87	14.5	19.32	42.9	109.43	16.57	10.05	0.0	0.0	15.85
