	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_178	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnajc28	0.0	0.0	26.61	0.0	0.0	9.69	8.61	8.57
Doc2b	0.0	0.0	18.93	0.0	0.0	25.9	27.8	23.65
Dsg2	0.0	0.1	9.04	0.0	0.0	1.51	1.4	1.76
E2f5	0.0	0.0	11.44	0.24	0.0	12.39	13.28	11.86
Eda	0.0	0.0	1.71	0.0	0.0	3.4	3.5	3.14
Efhc1	0.0	0.0	1.71	0.0	0.0	1.52	1.14	1.57
Epgn	0.0	0.0	6.99	0.0	0.0	0.23	0.22	0.12
Ezr	0.0	0.0	9.48	0.0	0.0	41.2	43.08	45.6
Fam166b	0.0	0.0	1.07	0.0	0.0	1.12	1.2	0.69
Fam170b	0.0	0.0	0.3	0.0	0.0	0.12	0.06	0.12
Fam173b	0.0	0.0	90.52	0.0	0.0	8.62	9.91	10.68
Fam20a	0.0	0.0	39.51	0.0	0.44	9.75	9.41	10.43
Fat1	0.0	0.0	5.19	0.0	3.25	12.35	11.48	14.61
Fgf16	0.0	0.0	16.99	0.0	0.0	0.36	0.34	0.33
Fkbp14	0.0	0.0	30.28	0.0	0.0	9.41	8.23	8.59
Foxo6	0.0	0.0	1.31	0.0	0.0	12.66	15.57	11.13
Gas2l2	0.0	0.0	0.36	0.0	0.0	1.06	0.46	0.86
Gclm	0.0	0.0	44.66	0.0	0.0	39.26	42.49	40.25
Gla	4.38	8.38	26.55	2.46	0.65	9.91	11.13	8.43
Gm10790	0.0	0.0	2.81	0.0	0.0	2.11	2.87	1.94
Gm14151	0.0	0.0	1.94	0.0	0.0	0.0	0.07	0.04
Gm16119	0.0	0.0	0.47	0.0	0.0	4.65	3.21	3.69
Gm3219	0.0	0.0	14.67	0.0	0.0	6.42	4.27	5.67
Gm5480	0.0	0.0	1.47	0.0	0.0	0.0	0.28	0.0
Grp	0.0	0.0	78.82	0.0	0.0	18.15	18.87	15.33
Gstcd	0.0	0.0	23.48	0.0	0.0	4.83	4.58	4.2
Hap1	0.0	0.0	0.74	0.13	0.0	112.51	131.43	121.78
Harbi1	1.26	0.0	54.88	0.17	0.0	5.36	5.06	5.18
Has3	0.0	0.0	6.22	0.0	0.0	2.0	2.01	1.52
Hspb6	0.0	0.0	50.49	0.0	0.0	6.5	6.12	6.24
Ift140	0.0	0.0	42.19	0.39	0.09	14.92	14.63	14.55
Kcna7	0.0	0.0	0.13	0.0	0.0	0.0	0.1	0.06
Kctd7	0.0	0.0	39.86	0.0	0.0	9.0	9.62	9.0
Klhl21	0.0	0.0	16.97	1.1	0.0	15.22	15.42	12.53
Lce3c	0.0	0.0	11.79	0.0	0.0	0.0	0.17	0.0
Ldb3	0.0	0.0	14.08	3.15	0.46	5.58	4.94	5.38
Lhfpl5	0.0	0.0	2.71	0.0	0.0	4.83	5.68	4.82
Lrfn1	0.0	0.0	12.17	0.0	0.0	42.71	49.13	45.11
Lrrc14b	3.81	1.6	18.27	2.07	2.35	7.65	7.78	8.94
Maml1	0.0	0.0	9.31	0.0	0.0	6.35	6.72	5.79
Mapkapk3	0.0	0.0	28.06	0.0	0.0	2.34	2.47	2.22
Mfsd4	15.32	48.88	110.55	46.98	28.57	56.06	58.28	54.29
Mlf1	0.0	0.0	53.92	0.0	0.0	0.99	1.95	0.56
Mon1a	0.0	0.0	19.22	0.0	0.0	21.47	25.22	22.26
Mtl5	0.0	0.0	0.23	0.0	0.0	0.09	0.47	0.05
Nudt7	0.0	0.0	41.2	0.0	8.46	6.34	6.9	4.98
Ogdh	41.47	54.73	104.18	61.93	19.26	102.44	101.6	102.82
Olfr688	0.0	0.0	37.48	0.0	0.0	0.0	0.0	0.11
P2ry14	0.0	0.0	38.63	0.0	0.0	3.1	3.25	3.01
Pdgfc	0.0	0.0	32.55	0.0	0.0	5.57	5.3	5.15
Pdlim1	0.0	0.0	477.45	0.0	0.0	9.95	12.68	11.43
Pfkfb4	0.0	0.0	47.56	1.51	0.33	10.46	10.34	11.37
Polr1e	0.0	0.0	26.43	0.32	0.19	4.33	4.64	4.05
Ppfibp2	0.0	0.0	22.39	0.0	0.0	6.87	6.28	6.68
Prim2	0.0	0.0	50.87	0.0	5.49	7.53	6.42	6.08
Prss8	0.0	0.0	0.51	0.0	0.0	0.64	0.4	0.17
Qser1	0.0	0.0	11.89	1.03	0.08	7.33	6.0	6.65
Rarb	0.0	0.0	15.26	0.0	0.0	21.59	22.3	17.81
Retn	0.0	0.0	55.47	0.79	0.0	0.97	0.76	1.47
Rhof	0.0	0.0	81.5	22.05	0.0	41.96	41.45	42.32
Rmi1	0.29	0.0	29.21	0.0	4.12	12.7	10.42	11.6
Rnf25	0.0	0.0	42.51	0.29	0.0	47.16	51.39	46.62
Sag	0.0	0.0	18.86	0.0	0.0	1.91	2.29	2.03
Sdk2	0.0	0.0	0.99	0.0	0.0	8.94	6.94	9.41
Skap2	0.0	0.0	53.0	7.33	0.0	14.95	12.82	16.03
Slc43a3	0.0	0.35	4.18	0.0	0.0	0.51	0.71	0.84
Slco4c1	0.0	0.0	51.86	0.0	0.0	2.64	1.87	2.34
Snord42b	0.0	0.0	28.61	0.0	0.0	21.63	5.09	5.58
Spnb4	0.0	0.0	21.11	0.0	0.0	120.88	138.01	136.25
Spred2	0.0	0.0	54.51	0.0	0.0	61.42	58.66	58.3
Syt2	0.0	0.22	4.04	0.07	0.0	22.11	23.84	25.48
Tceal6	0.0	0.0	113.07	70.29	62.84	120.76	130.38	124.57
Tfdp2	0.0	0.0	20.39	13.66	0.08	17.23	15.54	16.2
Tha1	0.0	0.0	4.65	0.0	0.0	4.91	5.14	3.96
Tigd5	0.0	0.0	13.12	1.49	0.8	3.39	3.21	3.18
Tmem116	0.0	0.0	4.58	1.27	0.0	3.2	4.12	2.89
Tmem117	0.0	0.0	33.83	0.0	0.0	6.1	6.48	5.27
Tmem86b	0.0	0.0	5.53	0.0	0.0	9.2	8.74	9.75
Traf3ip2	0.0	0.0	1.15	0.0	0.0	3.29	3.42	4.08
Trp53i13	0.0	0.0	17.94	0.0	0.0	5.57	7.04	7.56
Ttll4	0.0	0.0	6.27	0.2	0.0	8.54	7.04	8.82
Uhmk1	0.0	0.0	10.07	0.0	0.0	88.22	83.8	88.49
Uprt	0.0	0.0	6.55	0.0	0.0	8.86	6.82	7.52
Usp27x	0.0	0.0	11.44	0.37	0.22	10.61	10.6	9.2
Vash2	0.0	0.0	6.36	0.0	0.0	1.99	2.45	2.13
Wrap53	0.0	0.0	39.61	0.0	0.0	10.63	11.84	12.59
Zbed4	0.0	0.0	28.17	0.0	0.0	7.2	7.37	6.51
Zbtb40	0.0	0.0	6.72	0.0	0.0	4.86	4.28	3.86
Zfp13	0.0	0.0	11.29	0.0	0.0	15.14	17.49	15.58
Zfp276	0.0	0.0	2.02	0.0	0.0	12.53	12.73	12.32
Zfp879	0.0	0.0	5.29	0.0	0.0	2.98	2.27	2.77
Zkscan5	0.0	0.0	14.14	0.12	0.0	9.52	9.67	9.31
c11_tRNA-Ser-TCG	0.0	0.0	13.57	0.0	0.0	2.03	5.73	0.0
c17_5S	0.0	0.0	27.15	0.0	0.0	7.08	4.15	4.67
cx_LSU-rRNA_Hsa	36.03	95.51	211.19	0.0	0.0	272.2	423.36	376.93
mt_AK131586	0.0	0.0	0.42	147.49	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	257.59	0.0	0.0	0.0	18796.57	17507.83	18655.33
