	Chrna2_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_92	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_68
Camk4	1.29	0.03	1.79	31.26	10.78	67.74	14.16	1.52	53.4	3.08	35.1	25.3	65.28	2.35	0.0	13.47	1.05	0.85	2.28	1.81	1.35	1.69	7.93
Camta1	96.54	141.26	9.14	0.0	137.12	139.91	69.15	0.03	0.05	0.05	2.95	3.37	60.77	0.25	0.0	10.14	99.21	71.1	35.5	50.97	65.83	50.57	71.14
Ccl27b	15.08	0.0	0.0	6.68	0.0	49.31	0.0	0.0	0.03	32.35	6.57	5.02	0.0	0.0	0.0	0.0	1.16	0.0	6.48	0.0	0.0	0.18	1.51
Ccng2	0.0	0.0	0.0	0.0	0.0	132.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.54	5.02	1.51	111.95	0.0	0.0	0.0	79.23
Cdc42se1	0.0	1.12	0.0	0.0	0.0	136.64	0.0	0.0	43.44	0.0	104.8	0.0	0.0	0.0	0.0	50.77	114.47	2.73	0.0	110.04	0.0	0.0	108.18
D330012F22Rik	1.03	0.0	2.44	0.13	0.85	4.91	0.36	0.59	0.93	0.14	2.07	0.67	0.0	1.31	0.0	0.91	1.23	0.22	0.85	0.44	0.69	2.09	2.48
Ddx17	40.42	0.0	77.11	0.0	0.17	128.7	0.0	39.15	0.19	78.79	35.31	18.36	133.33	2.12	0.0	50.84	0.0	45.14	0.0	0.0	3.37	157.79	75.72
Dhx9	0.0	0.0	84.48	0.0	7.57	99.43	0.05	17.53	0.0	0.0	44.52	0.0	0.0	50.44	0.0	24.87	56.29	18.84	8.85	11.99	5.13	15.77	103.26
Dync1h1	22.79	0.28	36.4	1.6	0.1	191.41	16.68	18.35	5.95	3.67	108.76	19.75	49.38	59.92	0.0	15.24	41.7	14.13	114.18	51.18	52.61	95.34	41.58
Egfr	2.95	0.0	0.14	0.24	0.83	160.89	2.78	17.42	1.23	136.7	155.08	0.28	0.0	0.0	0.0	0.32	0.24	0.04	0.54	0.12	0.59	2.83	101.66
Eif3b	50.02	0.0	3.33	0.0	11.02	150.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78	141.64	0.1	13.67	0.0	0.0	0.0	2.0
Fam135a	27.18	0.0	0.0	0.0	0.0	77.12	0.0	0.0	0.0	0.0	0.0	46.21	0.0	0.0	0.0	15.54	12.1	17.77	0.0	0.0	0.0	0.0	0.09
Fam177a	11.16	2.15	0.93	1.41	0.53	27.33	0.03	36.77	10.71	1.55	18.53	100.97	0.56	0.86	0.0	3.2	5.17	15.81	6.33	3.96	8.43	1.81	10.34
Gm13306	15.08	0.0	0.0	6.68	0.0	49.31	0.0	0.0	0.03	32.35	6.57	5.02	0.0	0.0	0.0	0.0	1.16	0.0	6.48	0.0	0.0	0.18	1.51
Gm14430	0.26	0.0	32.53	0.16	32.03	46.02	53.53	60.39	0.0	0.0	27.27	0.0	0.0	6.37	0.0	5.1	11.21	1.77	1.62	22.88	0.0	16.12	15.71
Gm14434	0.26	0.0	32.53	0.16	32.03	46.02	53.53	60.39	0.0	0.0	27.27	0.0	0.0	6.37	0.0	5.1	11.21	1.77	1.62	22.88	0.0	16.12	15.71
Gm14440	11.95	0.0	49.0	0.0	25.27	410.2	11.2	28.83	2.04	4.94	35.68	7.18	0.0	0.01	0.0	6.12	29.67	10.38	9.16	23.15	0.0	10.97	24.35
Gm15663	1.65	0.0	1.26	0.85	1.95	88.4	6.48	2.97	2.99	0.63	4.59	1.37	0.0	2.47	0.0	2.87	0.93	3.79	0.52	3.15	5.86	2.37	5.35
Gm2506	15.08	0.0	0.0	6.68	0.0	49.31	0.0	0.0	0.03	32.35	6.57	5.02	0.0	0.0	0.0	0.0	1.16	0.0	6.48	0.0	0.0	0.18	1.51
Gm4724	0.26	0.0	32.53	0.16	32.03	46.02	53.53	60.39	0.0	0.0	27.27	0.0	0.0	6.37	0.0	5.1	11.21	1.77	1.62	22.88	0.0	16.12	15.71
Gm5431	2.73	0.0	3.32	0.95	2.35	23.34	0.0	0.92	0.84	0.68	22.23	10.06	50.17	0.0	0.0	6.77	1.66	0.1	0.0	5.96	18.16	7.92	20.41
Grin1	3.73	0.0	91.73	5.63	0.0	81.51	0.0	69.93	1.57	0.13	66.81	44.47	3.88	43.82	0.0	7.2	3.87	0.15	1.73	72.63	0.36	0.25	35.95
Impact	6891.15	450.72	7007.16	6174.14	5966.4	3192.75	7392.12	6076.78	7253.7	5967.16	5764.63	6840.91	5861.39	6940.54	0.0	6020.42	6867.61	6279.58	6369.48	5980.71	7015.38	6662.18	4786.26
Itpkc	0.0	0.0	0.0	0.0	0.0	92.98	0.0	0.0	0.0	0.0	25.56	0.0	0.0	0.0	0.0	0.0	55.12	0.0	0.0	0.0	0.0	0.0	0.0
Khdrbs1	0.0	0.0	51.79	0.09	0.0	362.44	39.03	23.08	8.77	0.0	0.0	0.57	0.0	49.45	0.0	40.75	104.06	0.08	2.21	46.08	5.22	0.0	5.27
Kif14	0.0	0.0	0.19	0.06	0.0	0.35	0.0	0.11	0.0	0.1	0.19	0.09	0.0	0.08	0.0	0.13	0.15	0.03	0.06	0.07	0.16	0.07	0.4
Lancl1	0.0	0.0	1.54	0.0	5.87	196.02	283.41	0.0	48.68	83.1	240.13	116.15	0.0	97.9	0.0	57.24	4.33	39.83	0.0	1.29	158.73	6.52	226.43
March5	3.63	0.64	23.96	4.71	11.97	129.92	5.0	4.66	6.04	6.69	5.91	6.56	18.63	3.23	2.97	3.92	76.78	30.1	14.98	3.64	2.85	5.62	11.69
Pam	164.21	27.1	52.25	214.35	43.51	597.58	150.76	218.94	39.15	204.98	197.2	70.61	47.82	1.79	14.54	265.81	219.37	467.39	227.8	283.34	563.67	40.96	231.77
Pclo	27.98	0.0	43.44	1.0	0.1	70.12	51.77	10.35	22.97	0.31	42.42	3.44	32.42	5.71	0.0	25.12	52.36	31.36	31.23	26.17	0.8	22.14	47.6
Pdxp	0.0	0.0	63.51	2.29	0.0	184.21	0.0	125.34	0.0	0.0	114.89	0.0	168.07	2.99	0.0	2.75	38.64	102.65	107.85	66.39	69.49	0.25	224.82
Peli2	0.0	0.0	0.0	0.0	0.0	31.01	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	31.53	0.0	0.0	0.0	0.0	0.0	0.0
Ppm1e	0.1	0.0	0.64	8.96	0.0	203.84	76.97	82.46	0.12	272.61	207.01	0.0	0.0	58.23	0.0	0.48	4.52	0.0	3.83	13.24	60.87	29.34	44.53
Ppm1g	9.08	0.0	0.0	0.0	0.0	185.74	0.0	110.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.3	0.0	0.0	1.29	119.31	0.0	0.23	135.53
Ppp2r5d	0.92	0.0	0.0	0.24	0.0	239.31	2.11	0.96	177.45	0.87	180.5	0.34	0.0	6.72	0.0	5.49	0.75	71.51	0.0	7.87	0.32	0.34	157.01
Ppp4c	0.0	0.0	0.0	0.0	1.07	117.74	0.0	18.21	0.06	0.0	0.68	18.14	0.0	77.43	0.0	9.71	0.0	0.0	0.0	0.0	0.4	0.0	85.08
Prr5l	2.34	0.0	1.74	0.57	0.57	3.63	0.09	0.96	0.15	0.73	1.15	2.01	0.92	0.88	0.0	0.8	1.07	0.2	1.14	0.31	1.11	0.98	1.36
Prrc1	0.0	0.0	5.1	0.0	0.12	25.3	0.0	0.0	0.0	0.0	13.79	0.0	0.0	0.0	0.0	0.07	27.74	30.78	0.22	0.0	0.0	0.4	0.0
Ranbp3	0.0	0.0	0.0	0.0	135.92	151.91	0.0	0.0	0.0	0.0	37.04	0.0	0.0	0.63	0.0	0.0	120.97	2.22	0.0	128.19	127.8	164.33	119.27
Rock2	23.91	0.0	29.31	1.12	31.13	299.32	107.58	13.18	0.05	0.0	25.3	56.34	5.05	31.2	0.0	51.77	78.1	74.5	90.06	21.22	23.57	0.12	85.37
Sec63	0.0	0.0	0.0	0.0	100.72	112.16	0.26	0.0	0.07	0.0	0.15	0.0	0.31	28.56	0.0	0.0	0.14	0.0	81.45	0.0	76.71	0.0	82.06
Sfmbt1	0.67	0.0	0.0	0.0	0.0	15.58	0.0	2.63	47.92	6.25	0.0	5.23	0.0	1.65	0.0	0.0	38.16	0.0	0.0	1.89	0.0	0.0	61.14
Sfpq	50.48	0.0	308.28	22.92	46.66	115.64	92.52	71.18	157.38	48.85	74.52	41.78	206.58	35.99	13.13	67.48	80.72	126.68	72.4	54.08	187.12	93.15	210.22
Sh3gl1	0.0	0.0	0.0	0.0	0.0	141.32	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.04	0.0	0.0	0.0	0.98	0.0	15.71
Slc12a5	33.38	0.0	4.89	0.0	12.47	112.25	74.7	79.81	14.24	0.2	55.41	0.0	0.0	68.18	0.0	5.04	15.47	14.1	32.42	56.87	37.56	0.0	53.06
Sprr2a1	1.02	0.0	0.0	0.0	0.2	0.75	1.85	1.42	0.0	0.21	0.39	0.0	0.78	0.84	0.0	0.05	0.06	0.16	0.66	0.86	0.0	0.0	0.67
Sprr2a2	1.02	0.0	0.0	0.0	0.2	0.75	1.85	1.42	0.0	0.21	0.39	0.0	0.78	0.84	0.0	0.05	0.06	0.16	0.66	0.86	0.0	0.0	0.67
Strbp	96.71	0.0	148.03	2.32	362.68	235.7	134.87	79.74	127.79	60.62	229.28	132.66	86.15	98.4	0.0	60.79	95.46	89.87	199.76	38.16	252.19	21.23	275.93
Tada2b	0.0	0.0	0.0	0.0	0.0	75.55	0.0	0.0	0.0	0.0	110.87	4.53	0.0	0.0	0.0	35.04	0.0	0.0	0.0	96.69	0.0	0.0	40.57
Tbk1	0.0	0.0	70.84	73.15	9.41	273.41	0.0	157.87	59.95	40.0	11.62	2.91	5.53	85.77	0.0	59.72	72.5	5.43	147.46	0.0	63.11	77.39	149.62
Terf2ip	36.16	0.11	11.17	18.33	13.94	112.51	26.7	7.4	13.44	20.91	19.43	19.44	11.8	70.49	0.0	19.88	11.5	68.78	9.08	17.77	7.82	12.03	58.63
Tex9	1.95	0.0	2.88	0.18	28.18	117.74	2.42	40.42	1.53	12.02	36.0	1.6	1.05	15.06	1.01	9.62	65.02	21.16	1.08	0.16	0.11	2.39	24.47
Th1l	134.42	0.0	179.03	0.15	0.31	309.35	0.0	201.64	0.0	0.0	0.0	0.0	0.0	119.34	0.0	0.0	134.63	0.0	29.41	152.11	221.02	149.68	156.91
Tmem132b	0.24	0.0	0.0	0.0	0.0	129.35	64.39	0.0	2.41	0.0	143.65	0.0	0.0	0.07	0.0	80.4	161.35	45.4	0.62	0.38	0.83	0.0	15.63
Ttc7b	0.0	0.0	0.0	5.05	0.2	207.39	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.34	65.92	0.0	116.6
Vamp2	154.4	0.0	36.38	196.79	165.65	699.02	262.52	67.13	142.56	0.0	42.44	65.98	155.94	78.03	0.0	106.04	109.74	415.63	18.87	205.42	330.86	48.45	498.1
Zfyve27	0.22	0.0	68.98	1.04	0.3	235.13	0.06	87.08	16.5	0.57	93.68	18.12	0.46	0.61	0.0	29.89	167.6	29.13	124.0	57.74	0.16	113.52	1.65
