	Cux2_tdTnegative_cell_6	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_88	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ctsk	0.0	0.0	1.26	0.0	0.0	5.73	6.29	6.19
D730048J04Rik	0.0	0.0	0.35	0.0	0.0	0.76	0.5	0.31
Dapk3	0.0	0.0	14.49	0.0	0.0	40.51	47.94	44.81
Ddhd2	176.66	13.97	140.38	42.79	0.0	49.01	45.01	45.92
Disp1	0.0	0.0	7.48	1.88	0.0	3.94	3.58	2.84
Dlg1	0.0	5.41	22.63	0.9	0.0	109.25	98.77	107.43
Eaf1	0.26	1.0	39.12	0.57	4.89	14.04	14.76	13.68
Elovl2	0.0	0.49	0.36	0.0	0.0	13.35	12.02	13.14
Ephb3	0.0	0.0	19.08	0.12	0.0	17.06	16.35	13.95
Exosc10	0.0	0.17	3.28	0.24	0.0	37.38	38.25	39.08
Ezr	0.0	0.77	0.15	0.0	0.0	41.2	43.08	45.6
Fam185a	0.0	0.0	1.78	0.07	0.0	14.83	14.06	13.83
Fam26d	0.0	0.0	0.53	0.0	0.0	0.04	0.08	0.08
Fam89a	0.0	0.0	0.36	0.0	0.0	2.44	2.15	2.44
Fbln5	0.0	0.0	18.56	0.0	0.0	2.87	2.15	2.95
Fndc7	0.0	0.0	0.09	0.0	0.42	0.29	0.21	0.29
Foxp3	0.0	0.0	0.13	0.0	0.0	0.2	0.17	0.27
Fut1	0.0	0.0	0.17	0.0	0.0	0.08	0.14	0.08
G630071F17	1.75	1.06	2.46	0.62	0.0	0.03	0.0	0.0
Gadd45gip1	0.0	0.0	25.21	0.0	0.0	35.59	37.49	35.41
Gart	0.0	0.0	119.39	0.0	0.0	22.39	23.95	23.33
Ggnbp1	0.0	0.0	22.47	0.0	0.0	3.02	3.53	3.13
Gimap9	0.0	0.0	1.83	0.0	596.01	0.44	0.84	0.53
Gm12238	0.0	0.0	40.88	0.0	0.0	0.0	1.05	3.46
Gm13306	0.0	11.75	2.04	0.85	0.0	30.63	28.29	22.96
Gm17296	0.0	0.0	0.72	0.0	0.0	5.14	3.96	4.5
Gm2382	0.0	44.31	98.3	108.36	5.65	9.23	13.22	13.62
Gm2506	0.0	11.75	2.04	0.85	0.0	30.63	28.29	22.96
Gm608	0.0	0.19	21.68	1.47	0.0	21.07	18.69	21.54
Gm6682	0.0	0.0	1.36	0.0	0.0	1.29	0.54	0.22
Gngt1	0.87	0.0	1.9	1.71	0.0	0.58	0.32	0.43
Golga4	0.0	1.32	29.32	2.86	0.0	48.3	40.88	49.25
Gpc6	3.38	4.34	5.03	1.23	0.74	5.57	5.69	6.21
Gpn2	0.0	0.0	50.06	0.0	0.0	12.18	12.17	11.66
Grm6	0.0	0.11	0.0	0.13	0.0	0.07	0.11	0.04
Hes2	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.04
Hey1	0.0	0.43	27.76	0.0	0.0	63.38	62.86	55.62
Hnrnpu	139.69	95.87	119.96	165.46	427.78	301.12	288.67	297.97
Hsd17b11	0.0	12.5	22.67	0.0	0.0	44.69	45.82	43.89
Iars2	0.0	0.4	69.52	0.39	0.0	40.94	38.39	36.92
Ifitm1	0.0	0.0	0.73	0.0	0.0	4.66	6.52	4.15
Isg15	0.44	0.0	34.93	0.32	1.38	6.27	6.47	7.46
Itga6	0.0	0.45	7.56	0.0	27.05	13.86	11.73	14.14
Kcnj12	0.0	0.0	41.73	0.0	0.0	10.95	12.02	10.35
Kifc1	0.0	0.0	4.74	0.0	0.0	1.07	1.95	1.56
Lrrc50	0.0	0.0	0.81	0.0	0.0	0.41	0.34	0.43
Lyar	0.0	2.5	26.11	1.04	0.0	13.31	14.35	12.21
Mex3b	0.0	0.0	6.54	0.0	0.0	18.96	19.48	21.42
Mgst2	0.0	0.0	44.91	0.0	0.0	0.35	0.0	0.18
Mir1949	0.0	0.0	18.74	0.0	0.0	0.0	0.0	3.04
Mir680-2	0.0	0.0	12.24	0.0	0.0	5.31	8.34	7.14
Mll5	0.09	23.49	35.19	38.46	104.78	42.7	38.88	44.87
Morn5	0.0	0.0	52.48	0.0	0.0	0.6	0.98	1.38
Naprt1	0.0	0.0	46.24	0.0	0.0	4.62	4.74	6.45
Ndufaf1	0.0	0.0	158.28	2.72	0.0	26.5	25.74	28.0
Nlgn1	0.0	0.31	38.13	0.15	0.0	36.85	33.59	39.74
Oc90	0.0	0.0	0.51	0.0	0.0	0.22	0.16	0.06
Olfr77	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
Olig2	0.0	0.0	0.19	0.0	0.0	25.27	24.04	26.29
Olr1	0.0	0.0	0.0	0.03	0.0	0.07	0.16	0.2
Pfkl	0.0	15.83	144.27	0.85	0.55	117.65	123.77	116.74
Prr18	0.0	13.74	20.2	0.0	0.0	36.8	41.57	40.88
Prss22	0.0	0.0	0.71	0.0	0.0	1.99	1.85	2.68
Psmd10	0.0	56.69	244.27	9.79	0.0	18.81	19.09	16.18
Ptcd3	472.39	93.42	235.8	7.64	0.0	44.38	41.74	46.11
Ptchd2	0.0	0.27	16.33	0.05	0.0	12.18	13.0	15.12
Rab5a	0.0	41.3	7.19	47.92	0.0	136.28	136.51	137.41
Rapgef6	0.0	1.01	44.17	6.53	0.0	17.86	16.77	18.45
Rasa3	0.0	0.0	33.22	0.55	0.49	49.53	50.53	51.14
Rdh12	0.0	0.0	12.48	0.0	0.0	2.26	2.41	1.9
Reep6	0.0	0.0	0.95	0.0	0.0	12.3	13.34	11.63
Rhot2	0.0	0.17	15.97	0.0	0.0	61.7	63.32	63.1
Rnf112	0.0	0.96	7.55	0.46	0.0	274.94	298.54	287.09
Rpp40	0.51	0.53	15.3	1.38	1.27	4.94	4.17	4.1
Rtbdn	0.0	0.0	54.99	0.0	0.0	3.23	2.89	2.89
Secisbp2	0.0	0.0	56.35	2.11	0.0	13.44	14.92	15.37
Setd7	0.0	6.94	2.58	0.06	0.0	83.54	75.5	83.81
Slc15a3	0.0	0.0	0.2	0.0	0.0	1.41	1.53	1.5
Slc4a1ap	0.0	5.32	84.44	0.0	0.0	31.26	30.63	30.38
Snord92	0.0	0.0	14.32	0.0	0.0	0.0	0.0	0.0
Sod3	0.0	0.0	0.23	0.0	0.0	15.08	12.83	13.7
Tcf3	0.0	0.0	4.95	0.07	0.0	18.71	22.55	19.67
Tmem56	0.0	10.15	34.53	0.11	0.0	40.64	35.37	38.83
Tmem9b	0.0	36.97	46.55	0.41	1.23	128.28	132.47	131.39
Tonsl	0.0	0.56	11.99	0.11	0.0	3.59	3.72	4.43
Tram2	0.0	0.0	0.34	0.0	0.0	0.5	0.75	0.67
Trdmt1	0.0	0.0	48.3	0.0	0.0	4.27	4.27	6.28
Trnau1ap	0.0	0.0	59.78	34.48	0.0	23.42	24.08	23.63
Ttc5	4.65	0.86	49.67	5.1	2.17	50.91	54.03	52.47
Tub	0.08	17.93	25.08	0.3	0.0	106.14	109.45	103.21
Ube3a	0.0	8.53	111.92	158.79	0.0	41.17	32.36	40.67
Ubn2	0.0	1.2	19.48	5.99	12.17	16.76	13.28	16.9
Ulbp1	0.0	0.0	6.36	0.0	0.0	0.16	0.0	0.06
Usp21	0.0	0.66	33.98	0.42	0.0	38.45	43.74	37.92
Vars2	0.0	0.11	16.01	0.0	0.0	15.61	16.2	13.74
Xkr6	0.0	0.0	58.93	0.0	0.0	2.73	2.05	3.5
Xpnpep3	0.0	0.0	26.14	0.81	0.0	8.82	8.43	9.42
Zc3h11a	126.29	11.58	39.98	1.75	269.73	74.16	69.14	69.68
Zfp524	0.0	0.0	17.98	0.21	0.0	9.94	10.22	8.19
Zfx	0.0	0.0	38.9	0.36	0.0	9.35	9.45	10.37
mt_AF093677	0.0	0.0	304.49	0.0	0.0	0.0	0.0	0.0
mt_AJ409479	0.0	30.7	39.92	0.84	0.0	0.0	0.0	0.0
mt_AK131586	7.36	0.0	0.48	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	3.78	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
