	Ctgf_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_9	CAV_LP_Ipsi_tdTpos_cell_26	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Prcp	0.0	0.0	0.15	10.44	9.9	11.5
Psme1	0.0	0.0	0.0	55.5	58.92	53.34
Rapgef4	2.29	57.09	1.43	364.49	331.56	376.1
Rin1	0.57	1.06	17.61	40.41	39.93	40.75
Sesn3	0.0	0.0	0.21	66.26	57.32	62.37
Sf3b3	0.0	4.16	4.77	48.26	51.46	47.55
Shisa2	0.0	0.0	0.0	2.5	3.45	2.81
Slc4a3	0.0	0.14	0.0	97.14	100.66	102.08
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Trmt2b	0.0	0.09	0.0	8.54	11.71	9.89
Tsga13	0.0	0.0	0.0	0.09	0.09	0.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubr4	0.0	1.24	0.03	45.95	42.73	49.32
Ush1c	0.0	0.0	0.0	0.1	0.14	0.1
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vstm2l	0.0	0.0	0.0	89.77	107.87	106.01
Wipf2	2.29	10.03	22.34	28.65	28.68	27.32
Wnt5a	0.0	0.0	0.0	5.32	5.5	4.73
Xpot	0.0	0.0	26.8	50.89	49.48	48.72
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp46	0.0	0.0	0.09	30.73	34.85	34.98
Zfp572	0.0	0.0	0.0	0.09	0.09	0.19
Zfp90	0.0	0.0	0.0	11.2	12.26	11.73
Zfp941	0.8	0.0	0.12	21.75	19.86	21.36
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	0.0	0.1	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
