	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_11	Rbp4_tdTnegative_cell_4	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23
Cnr1	5009.66	712.02	788.29	631.53	14271.7	0.0	0.07	0.0	0.0	14712.45	18446.25	33283.94	19184.04	19801.43	16437.47	17862.67	19681.78	2642.59	17646.7	12520.63	22064.64	33041.05	0.0	0.0	0.0	12766.46	14288.55	25768.68	16287.97	23267.78
Commd9	0.17	364.2	428.18	212.27	74.29	0.0	0.0	0.0	0.0	0.0	183.73	110.06	293.07	99.06	184.48	0.0	0.0	0.39	124.89	161.65	243.91	32.58	0.0	0.0	0.0	7.06	0.0	356.57	0.0	273.64
Dido1	0.57	192.4	0.85	134.83	0.04	0.0	0.0	0.0	0.0	0.6	0.0	15.94	0.27	0.16	37.65	0.0	0.0	86.71	0.06	20.19	10.05	38.15	0.0	0.0	0.0	0.0	16.55	40.15	0.0	2.9
Dnajc18	177.88	256.31	279.02	406.36	42.91	0.58	0.35	0.0	0.28	118.67	117.09	131.21	224.8	218.04	301.88	178.46	416.05	303.41	305.49	135.68	241.21	138.33	0.0	0.0	0.07	145.43	157.93	90.77	209.65	133.66
Eif2b2	0.12	382.65	0.0	380.97	0.0	0.0	343.76	0.0	0.0	0.0	52.63	73.37	131.6	94.48	0.0	0.21	0.0	0.0	0.0	68.38	0.0	117.37	0.0	0.0	0.0	0.0	94.43	0.0	0.0	62.01
Faim2	0.37	239.34	156.73	307.99	58.39	0.15	0.06	0.0	0.0	62.88	39.48	4.26	148.91	40.95	189.58	148.09	122.14	165.05	8.51	37.74	92.54	31.54	0.0	0.0	0.0	244.6	81.31	156.94	0.12	20.62
Gmfb	0.14	337.72	176.55	460.92	215.34	0.0	0.0	0.0	0.0	0.88	249.42	88.48	288.75	456.09	363.2	29.01	0.31	115.44	33.42	297.41	57.26	98.85	0.0	0.0	33.86	0.0	94.21	80.29	167.64	84.72
Hpca	130.43	997.32	292.32	521.84	58.58	0.0	0.0	0.82	0.0	119.57	68.54	28.83	178.97	68.17	587.62	82.63	0.0	0.3	0.0	57.67	26.79	0.0	0.09	0.0	0.0	0.0	2.82	92.07	414.28	78.72
Idh3g	376.58	1448.66	279.24	1329.64	335.86	0.0	0.0	0.0	0.0	103.92	512.94	584.53	254.44	419.4	929.6	429.8	196.73	0.0	165.83	332.04	535.6	571.94	0.13	0.0	0.0	142.03	181.33	188.72	965.78	143.61
Kbtbd11	0.16	36.34	0.46	15.46	0.48	0.0	0.0	0.0	0.0	12.08	0.05	0.21	5.17	4.81	24.34	5.8	9.82	23.0	0.11	0.12	0.9	0.05	0.0	0.39	0.08	0.0	13.33	11.58	0.64	8.16
Lonrf2	34.19	80.41	114.37	104.57	57.37	0.0	0.0	0.0	0.0	41.38	80.12	15.44	10.46	57.7	32.18	0.13	0.0	174.0	7.07	60.06	8.39	61.14	0.0	0.0	0.0	57.61	22.86	31.13	0.08	136.06
Nob1	0.0	413.81	132.86	308.74	17.64	0.0	0.0	0.0	0.0	0.0	4.18	24.68	0.0	0.0	144.53	92.42	5.97	218.46	128.23	69.85	127.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pgbd5	66.86	133.18	229.93	364.39	149.18	0.0	0.0	0.0	0.0	0.0	183.5	78.6	222.39	82.08	230.72	0.0	0.0	90.2	76.54	176.87	123.96	34.57	0.0	0.0	0.0	95.41	70.32	43.22	0.0	76.36
Ppp1r9a	130.08	76.86	0.39	39.26	45.06	0.0	0.0	0.0	0.05	0.0	12.07	0.33	4.08	39.4	38.12	10.16	0.18	18.45	28.59	14.73	13.76	18.9	0.0	0.02	0.0	26.83	0.0	22.69	0.0	63.95
Sema4b	4.45	33.48	23.97	3.24	19.96	0.25	4.08	0.43	0.57	2.8	4.33	5.82	1.06	14.23	11.8	5.22	1.33	2.84	9.48	18.95	7.82	14.13	0.54	0.18	0.49	3.59	5.61	6.63	0.0	7.41
Sh3gl2	1.02	127.82	1.32	133.78	35.69	0.35	1.03	0.27	0.15	0.83	20.66	4.37	13.34	1.96	162.13	118.14	1.18	84.47	2.42	40.6	72.62	43.62	0.32	0.0	0.0	1.37	1.03	1.56	0.52	18.42
Slc35a4	0.0	412.96	119.09	368.59	0.0	0.0	0.0	0.15	0.0	253.07	0.69	41.9	43.31	0.0	51.15	96.84	0.0	226.78	141.93	101.33	11.31	69.3	0.0	0.0	0.28	320.28	0.0	138.95	2.9	131.63
Tbl3	0.08	441.49	0.0	275.75	57.57	0.0	0.0	0.16	0.0	0.0	26.59	0.0	0.0	0.0	0.53	0.0	0.18	43.06	150.46	57.22	0.0	106.49	0.0	0.0	0.0	0.0	0.0	150.99	255.44	0.0
Tspyl5	34.02	125.86	146.47	341.98	194.96	0.0	0.0	0.0	0.0	94.81	89.23	43.84	70.41	55.25	62.44	88.26	67.9	226.3	128.63	124.65	88.31	61.9	0.0	0.0	0.0	599.66	101.27	158.66	74.48	103.11
Uros	0.45	351.9	0.0	397.79	173.67	0.18	0.13	0.0	0.0	0.0	134.81	177.3	125.71	0.0	83.48	54.59	0.0	0.24	0.77	136.43	69.62	233.02	0.0	0.0	0.0	32.2	0.0	88.24	0.0	103.45
Wbp2	107.5	1098.74	79.38	1046.82	299.08	0.29	0.0	0.45	0.3	264.28	761.89	436.21	673.07	308.1	360.99	266.34	313.76	1.99	499.55	377.58	595.21	575.03	0.0	0.0	0.21	215.23	0.3	589.03	247.65	371.74
Xpnpep1	0.0	283.11	216.31	254.29	12.02	0.0	0.0	0.0	0.0	0.0	63.2	139.86	76.7	190.72	125.15	0.14	0.0	192.55	133.22	0.13	107.27	112.52	0.0	0.0	0.0	0.0	182.6	137.51	0.0	95.54
Zfp119a	1.3	412.55	304.04	316.21	0.15	0.0	0.0	0.0	0.0	0.0	2.5	0.48	1.91	3.71	3.46	4.19	0.0	4.57	0.0	0.0	78.61	23.17	0.0	0.0	0.0	0.0	1.07	0.26	0.0	1.17
Znhit3	0.4	422.42	322.95	222.11	335.61	0.0	0.0	0.0	0.0	12.5	172.19	82.44	295.28	367.81	326.91	137.34	0.0	302.82	388.39	353.79	254.56	203.88	0.0	0.0	0.0	263.53	8.93	473.13	0.0	218.8
