	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_5	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4
Sod1	836.19	1184.38	890.87	1089.13	431.54	1579.08	855.82	793.4	401.03	1723.99	1107.65	1614.22	2575.85	1678.64	1315.29	1723.6	797.77	2454.34	2392.94	1852.02	1229.04	2319.93	1851.56	490.21	271.57	209.94	0.0	60.79	539.1	43.61	1145.95	1194.94	1184.31	1331.74
Timm23	3.36	0.0	0.0	1.02	582.54	512.43	401.39	180.31	3.35	0.0	3.73	834.02	972.66	266.12	416.64	421.16	222.86	200.69	282.51	9.08	228.35	548.49	149.62	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.86	152.33	283.17
Tmem132c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.78	118.17	39.29	12.74	12.11	12.07	118.23	33.54	0.0	0.1	111.4	102.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	9.94
Ttpal	0.0	0.0	5.05	0.0	0.0	0.0	0.34	0.05	0.0	320.18	0.0	59.48	33.56	23.99	46.25	14.88	2.4	0.08	0.0	0.65	0.06	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	8.94	25.77	0.04	6.18
Ube2l6	0.0	0.0	0.0	8.62	2.76	181.32	16.24	0.5	0.99	0.65	21.55	4.06	6.22	3.45	43.5	22.2	1.6	1.35	7.52	0.93	1.13	4.3	13.54	52.13	0.0	9.82	0.0	0.0	0.0	0.0	43.96	0.82	7.33	4.9
Uqcrb	899.32	0.0	616.56	2882.01	1262.6	1572.73	1206.33	866.7	964.88	1167.6	11.57	2182.53	2022.11	1817.07	1784.91	1403.92	4394.41	1633.84	1331.79	4589.53	2271.65	3447.72	2330.39	52.41	977.02	1856.42	0.0	567.59	892.62	943.35	1069.92	793.63	994.5	872.98
Vdac3	0.0	0.0	783.62	462.0	0.68	410.78	396.04	9.86	840.16	24.9	15.09	1592.34	829.08	867.3	608.62	810.85	992.16	1028.09	573.39	1084.96	1250.33	847.99	1078.11	40.17	122.27	0.0	0.0	178.37	0.0	0.0	449.11	796.12	466.74	405.42
Vgf	0.0	0.0	0.0	3.57	0.0	13.56	0.0	1.77	0.0	0.0	0.0	19.93	1.3	13.64	1.87	4.66	4.06	0.14	25.09	12.86	0.1	4.78	22.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.09	8.39	2.53	0.33
mt_AJ409495	1685.33	248.91	1993.25	4236.72	3608.1	1493.86	1577.08	3062.57	1451.57	2113.24	1918.51	951.15	1482.69	2628.79	4138.35	3208.81	3523.31	3443.04	4109.97	1978.26	1257.03	1384.79	1051.98	4648.61	1196.5	504.82	89.05	510.85	729.71	745.29	1607.49	803.29	487.44	979.11
mt_AK131579	24282.08	32599.4	55662.18	73067.83	55281.42	56311.06	40069.68	94403.3	28243.96	41195.59	50469.69	23258.79	18702.67	32259.57	60705.47	30389.16	56120.42	45312.1	46620.23	59803.41	51796.42	39836.88	44271.34	50260.41	28574.82	20169.8	29300.66	25837.0	22676.34	24025.21	31236.77	30288.04	32711.03	27225.01
mt_AK136262	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	2.78	0.01	0.02	0.0	0.06	0.18	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.15	0.01
mt_AK139026	14.39	0.0	799.65	1239.59	0.16	160.37	229.99	0.1	0.03	0.01	0.51	1067.99	1348.13	1769.95	2256.68	1454.45	1792.54	1630.94	2397.93	1031.51	288.81	356.0	23.29	1762.23	73.56	5.46	0.0	0.0	0.04	0.0	816.15	721.51	668.06	910.63
mt_AK141702	5438.08	2415.6	7175.99	17697.18	12088.49	10769.96	9005.29	19571.14	4865.28	4122.64	10551.51	5675.06	5706.7	8896.43	16893.51	7647.64	12065.1	8795.94	10640.49	12145.84	13803.28	11205.34	9786.7	10282.89	7102.07	1150.48	1487.35	4544.36	3358.72	3008.48	7733.63	7893.08	8546.14	5958.02
mt_AK142003	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	2.78	0.01	0.02	0.0	0.06	0.18	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.15	0.01
mt_AK159262	1161.83	286.96	4064.08	6434.68	2194.02	3223.66	2148.72	3038.71	877.86	1079.29	4442.53	3592.81	1078.28	3849.93	7595.02	3732.75	3899.86	3447.49	5322.17	3509.81	3358.15	3136.71	4088.6	3089.12	688.61	1671.17	1047.51	658.95	1200.9	300.1	962.93	4915.93	4326.32	3380.78
mt_AK166798	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	2.78	0.01	0.02	0.0	0.06	0.18	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.15	0.01
mt_AK166978	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	2.78	0.01	0.02	0.0	0.06	0.18	0.0	1.25	1.74	0.22	223.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.15	0.01
mt_GU332589	6836.46	5325.98	9115.7	22738.66	26493.16	13741.48	13267.12	28909.02	6825.79	8097.57	12431.83	6640.36	6775.83	12449.98	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	19369.81	14379.47	14964.47	19212.31	5654.68	6037.86	7312.3	6856.76	3197.1	3723.78	7653.21	7119.49	6781.78	8834.73
