	Gad2_tdTpositive_cell_77	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Rbp4_tdTpositive_cell_175	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22
E330016A19Rik	0.1	1.87	1.47	0.17	0.89	3.08	1.61	0.24	0.0	0.15	0.0
Egfr	0.28	5.64	1.32	0.59	0.17	8.49	0.64	1.53	1.44	1.32	0.1
Eif2ak2	12.51	295.39	193.81	31.42	27.51	373.62	59.15	36.54	9.91	6.84	0.0
Esr2	2.54	10.08	1.08	1.22	4.07	15.51	1.91	0.53	0.32	0.0	2.14
Fabp12	0.17	2.78	0.0	3.11	0.13	9.2	0.0	0.0	0.0	0.0	0.0
Fam160b2	2.89	67.76	19.82	4.23	12.61	78.14	17.63	9.47	0.89	0.5	0.09
G630055G22Rik	5.36	115.24	34.29	3.55	17.55	193.21	22.74	12.5	5.88	7.16	1.07
Gata5	3.34	18.56	12.65	2.75	4.84	33.78	4.04	7.11	1.41	1.29	2.67
Gje1	0.94	12.04	5.42	2.14	0.88	12.29	9.7	0.0	0.63	0.0	1.36
Gm10408	2.42	106.94	21.3	0.84	7.68	261.85	4.72	6.08	1.34	1.0	0.0
Gm16702	61.25	462.86	375.0	90.06	113.06	820.18	86.15	86.35	35.85	18.47	38.87
Gm17821	148.96	1857.36	963.7	156.53	282.23	2668.83	466.63	224.25	94.62	86.44	29.62
Gm4791	15.3	429.41	141.78	14.73	13.16	545.57	34.97	15.42	0.71	3.89	0.0
Gm5607	5.14	59.54	33.9	4.83	5.08	83.02	8.0	5.42	1.31	5.98	0.0
Gm6300	62.08	589.92	343.93	70.05	153.64	1032.68	242.05	116.21	64.17	35.68	1.33
Gm6313	12.97	132.65	97.67	12.76	12.2	192.53	20.09	18.47	5.42	2.89	2.86
Gm9159	42.53	295.31	185.31	73.83	197.98	437.04	156.13	59.87	6.4	2.97	26.43
Gm9776	2.01	30.48	9.83	26.97	3.99	50.3	6.57	5.45	1.08	0.0	126.79
Grk4	217.27	3785.45	1872.0	208.76	438.9	4387.41	658.16	318.72	163.77	109.37	129.91
Grm1	0.37	4.3	1.85	0.0	0.19	15.5	0.08	0.0	0.1	0.19	0.0
H2-Q4	60.25	909.51	577.09	118.96	155.49	973.26	141.84	117.86	78.32	33.86	4.09
Hspa4	0.0	93.94	0.16	43.35	11.24	109.0	0.0	16.52	0.0	0.0	0.0
Igsf9	0.0	1.77	0.65	0.16	0.0	2.58	0.8	0.25	0.0	0.0	0.0
Insm1	0.0	1.08	0.8	0.0	0.11	2.17	0.0	0.0	0.0	0.0	0.0
Itga4	4.64	64.23	40.11	4.76	2.7	75.37	5.41	3.86	0.59	2.11	0.0
Kcnk6	0.58	7.48	4.61	0.49	0.48	7.09	2.01	1.22	0.38	0.13	0.31
Kcnq1ot1	33.97	430.78	257.44	47.0	68.61	644.25	118.1	59.42	23.93	16.64	4.8
Lepr	4.64	35.61	16.52	21.72	14.87	49.1	6.17	7.3	3.9	6.9	8.03
Lhx6	0.0	1.37	0.0	0.0	0.0	2.53	0.0	0.3	0.0	0.0	0.0
Lix1	2.28	17.45	12.94	2.1	1.88	21.59	1.75	0.11	1.6	1.49	0.11
Lrrc19	0.0	1.12	0.52	0.0	0.0	1.68	0.29	0.0	0.0	0.0	0.0
Mageb16-ps1	1.66	38.1	18.79	12.57	2.64	73.62	2.42	4.26	1.44	0.5	0.41
Mbp	18556.47	1.87	0.17	15651.49	24167.41	11.17	16916.82	24066.01	18000.91	17728.4	13768.44
Mfsd4	9.37	159.47	84.23	11.2	29.95	216.23	39.89	24.49	5.14	6.21	2.35
Miat	0.0	142.63	165.13	0.0	0.0	220.89	0.05	0.0	0.0	0.0	0.0
Mpzl2	0.0	0.56	0.24	0.0	0.1	0.54	0.29	0.0	0.0	0.0	0.11
Mrgprb1	1.29	5.76	1.37	2.59	0.99	8.55	1.06	0.23	0.68	0.65	0.0
Myo1e	3.5	36.2	18.3	4.44	5.54	57.64	7.75	9.99	4.27	19.31	1.49
Naip5	8.86	18.48	13.0	10.41	8.03	30.63	5.34	5.57	0.91	2.17	0.95
Neu3	28.38	167.87	103.13	38.0	27.94	240.86	46.96	17.77	10.54	48.24	8.8
Neurl3	3.13	55.19	23.5	7.66	12.17	114.31	11.25	10.9	3.36	1.21	0.6
Npy1r	2.66	28.5	19.87	8.02	6.58	49.54	8.38	7.77	3.21	4.2	1.15
Nsl1	5.27	73.65	32.38	5.32	5.28	67.67	10.7	5.43	3.06	2.86	0.13
Olfr613	44.05	560.75	479.67	118.07	139.74	679.38	143.73	66.01	80.32	31.35	5.72
Pcdhb5	0.0	6.58	0.89	0.22	0.27	8.46	4.19	2.28	0.0	0.59	0.0
Plag1	0.23	3.57	0.28	0.0	0.0	5.26	0.18	0.2	0.0	0.0	0.0
Prox2	0.0	3.95	3.81	0.25	0.0	6.45	0.55	0.36	0.0	0.16	0.0
Prr5	0.37	8.24	3.1	1.04	1.72	11.1	0.63	2.18	0.0	0.24	0.0
Psg19	0.0	1.62	0.44	0.0	0.0	2.96	0.0	0.0	0.0	0.0	0.0
Ptp4a3	3.17	63.51	14.13	10.95	4.65	166.85	15.55	12.99	0.27	4.8	0.0
Rbm26	17.21	368.64	286.43	54.07	171.48	589.07	187.98	48.02	84.91	0.1	0.0
Rdh1	18.02	346.4	177.99	31.91	25.3	392.21	38.54	29.14	1.0	7.55	0.0
Rdh9	2.18	97.94	31.57	0.0	1.61	91.21	55.69	28.32	0.0	0.0	0.0
Rgs9bp	0.06	2.35	0.58	0.0	0.13	4.04	0.0	0.15	0.21	0.07	0.0
Rpl22l1	240.25	531.69	172.83	0.0	132.45	558.47	192.16	202.95	0.0	0.0	0.0
Serpina1a	2.91	30.54	23.12	2.93	3.25	52.8	7.28	9.46	0.0	1.12	1.05
Sh2d2a	1.15	11.0	3.18	0.47	0.08	15.96	0.73	1.03	0.0	0.09	0.0
Sirt2	4504.61	0.0	0.0	10087.55	10009.68	0.0	15065.74	17617.51	3079.51	664.49	940.68
Skint4	5.17	47.94	53.02	6.2	7.75	101.87	12.42	4.36	0.36	0.31	0.0
Slc17a8	5.34	49.76	29.04	12.37	11.98	53.4	11.41	4.32	1.08	7.53	0.0
Slc5a12	0.26	3.91	1.66	0.38	0.91	4.07	1.1	0.24	0.67	0.11	0.21
Slc6a18	3.12	48.64	25.36	4.48	6.48	47.72	6.49	5.75	0.0	2.78	0.09
Slc8a1	0.02	40.11	53.5	0.0	0.0	134.14	0.05	0.0	0.0	0.0	0.02
Stxbp5l	0.07	184.06	99.31	0.28	0.2	181.84	0.21	0.08	0.0	0.0	0.03
Tfap2b	0.0	0.35	0.46	0.0	0.0	0.84	0.08	0.0	0.0	0.0	0.0
Tnfrsf10b	16.48	230.18	150.74	24.77	37.02	268.9	19.86	37.56	21.16	11.49	0.42
Trpm2	0.0	0.6	0.0	0.0	0.0	1.33	0.07	0.0	0.0	0.0	0.0
Ttc26	0.98	11.0	5.18	1.52	3.53	17.29	2.93	1.13	0.0	3.29	0.18
Tyms	22.45	604.82	406.57	54.47	92.61	599.79	98.42	48.39	49.5	10.49	2.49
Vmn1r58	77.93	1205.44	546.89	164.35	368.86	1844.19	492.73	131.56	44.14	40.52	36.0
Wfikkn2	0.0	4.46	0.27	0.19	0.1	4.61	1.43	0.0	0.0	0.0	0.0
Xcr1	2.92	17.0	12.28	1.94	1.3	23.55	6.12	2.58	3.26	0.23	0.22
Xrcc3	1.21	41.35	16.22	2.58	4.34	67.41	3.52	5.05	0.0	0.6	0.0
Zfc3h1	0.0	137.36	39.5	15.6	0.0	283.73	0.94	74.36	0.0	0.06	0.0
Zfp12	11.3	102.87	34.99	8.98	17.84	173.71	24.71	13.67	10.18	20.24	3.57
Zfp459	6.49	61.9	25.6	11.57	8.74	80.35	14.47	4.0	1.06	1.25	0.74
Zfp488	154.42	1550.99	1152.49	569.65	407.64	2415.74	492.94	287.14	195.33	84.15	8.56
