	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_24	Cux2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_2
Aacs	0.0	0.0	0.0	0.0	2.66	38.1	0.0	0.0	0.0	43.63	3.27	0.12	0.8	5.78	0.0	0.0	0.71	6.38	0.2	0.0	0.0	0.0	0.0	72.47	96.1	39.78
Aak1	0.02	0.03	0.0	0.0	80.85	86.29	0.07	0.0	23.85	8.17	18.53	12.58	6.06	19.32	17.8	18.3	13.16	11.31	11.74	0.21	3.6	0.0	0.1	8.74	2.39	72.23
Aebp2	0.0	0.0	106.2	0.0	54.59	81.34	0.0	0.0	9.18	0.0	34.25	1.35	32.24	19.46	9.33	67.37	23.36	23.23	0.0	77.64	0.26	0.0	0.0	28.02	0.07	50.5
Amy2a2	0.0	0.0	0.07	0.24	0.94	0.38	0.0	0.0	0.49	0.25	0.0	0.06	0.49	0.25	0.11	0.33	0.35	0.06	0.05	11.44	0.67	0.39	0.08	0.19	0.25	0.19
Amy2a3	0.0	0.0	0.07	0.24	0.94	0.38	0.0	0.0	0.49	0.25	0.0	0.06	0.49	0.25	0.11	0.33	0.35	0.06	0.05	11.44	0.67	0.39	0.08	0.19	0.25	0.19
Amy2a4	0.0	0.0	0.07	0.24	0.94	0.38	0.0	0.0	0.49	0.25	0.0	0.06	0.49	0.25	0.11	0.33	0.35	0.06	0.05	11.44	0.67	0.39	0.08	0.19	0.25	0.19
Anxa7	0.0	59.94	0.0	0.0	0.0	203.97	24.65	413.29	84.19	6.83	97.71	74.8	1.19	46.24	0.57	62.54	2.39	20.17	0.0	0.0	0.0	0.0	0.0	59.84	0.15	68.85
Arl6ip4	0.0	0.0	0.19	0.47	166.35	123.63	0.0	0.0	5.58	6.14	0.0	0.0	9.95	20.73	0.0	0.0	8.39	10.01	0.0	0.0	0.0	0.0	0.0	80.27	0.36	56.45
Asb13	0.44	0.71	0.0	0.48	187.36	307.0	0.33	1.16	14.57	62.07	194.31	1.1	17.9	36.69	15.66	23.62	30.2	7.39	1.16	2.89	5.4	1.88	6.88	77.28	1.21	53.1
Atat1	0.0	0.0	0.0	0.0	195.5	203.61	0.0	0.0	87.75	139.97	101.92	0.0	0.0	38.62	79.15	6.05	30.88	0.0	0.23	0.0	0.79	460.29	0.0	46.32	0.42	54.26
B430306N03Rik	0.15	0.0	0.0	0.0	0.12	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
BC068157	0.0	0.0	0.0	0.0	0.2	34.27	0.0	0.0	0.07	0.0	21.97	0.25	7.91	2.11	0.0	1.5	1.34	2.54	0.0	0.0	0.0	0.0	0.0	3.43	0.09	22.67
Cant1	0.0	0.0	0.0	0.0	0.0	30.6	0.0	4.55	39.93	0.62	0.0	0.0	22.27	5.48	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	41.27
Ccl27b	0.0	0.0	0.0	0.0	164.43	223.23	0.0	0.0	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	28.29
Cdh2	0.0	0.0	0.0	0.0	192.02	58.62	0.0	0.0	40.58	6.73	44.99	29.48	46.5	24.98	72.52	7.54	2.42	26.77	0.07	29.61	0.17	0.0	0.43	55.48	394.62	72.18
Chchd1	0.0	0.0	0.0	0.0	344.24	360.58	0.0	662.37	0.0	271.88	159.61	143.86	321.46	249.17	265.39	444.56	310.47	466.14	0.0	752.26	0.0	0.0	0.0	257.55	0.75	54.23
Ctxn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.29	26.15	0.0	0.0	135.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79
Cyhr1	0.0	0.0	0.0	0.84	270.48	305.84	0.0	0.0	108.71	2.87	59.39	34.51	33.9	69.83	154.49	0.89	116.02	72.88	0.28	1.29	0.29	0.0	0.53	83.1	0.73	128.56
Dgcr8	0.0	1.55	0.0	0.0	116.66	159.31	0.0	0.0	0.97	0.0	27.53	3.61	0.0	6.38	0.0	0.0	15.98	3.26	644.75	0.86	0.0	0.0	0.0	0.0	0.0	23.04
Dmap1	0.0	0.0	0.0	0.0	0.0	196.94	0.0	0.0	80.09	0.0	0.0	96.87	0.28	15.67	4.36	0.47	53.03	0.0	0.0	0.0	0.0	0.0	0.0	85.92	0.0	34.05
Dus4l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.97	0.0	0.0	0.0	3.15	0.74	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65
Eif2b1	3.74	2.43	1.4	4.18	162.19	3.62	2.68	0.44	85.7	89.34	90.4	70.73	80.05	59.4	22.78	4.18	38.7	188.17	6.81	13.59	10.52	0.0	8.84	45.13	9.34	26.49
Ercc1	1589.93	0.0	0.0	0.0	0.0	211.8	0.66	0.0	90.24	197.5	119.38	0.38	0.39	57.04	0.0	180.52	0.0	145.33	0.0	0.7	0.0	0.0	0.0	117.21	0.4	30.75
Ergic3	0.0	1449.03	6.81	0.0	560.56	318.6	0.0	0.0	221.07	222.85	428.12	96.29	261.38	188.26	193.34	29.7	159.46	167.72	1193.17	112.48	170.74	0.0	266.54	459.33	1.97	135.59
Ext1	0.0	0.0	0.0	0.0	131.48	93.53	0.0	0.0	26.63	32.6	32.28	20.57	20.8	9.38	1.4	17.62	8.14	33.94	0.0	7.35	0.0	4.1	0.0	36.15	0.0	30.9
Fam120c	0.0	0.0	0.0	0.0	60.96	1.61	0.0	0.0	0.0	14.88	0.0	0.0	12.08	5.97	36.13	0.36	1.67	0.0	0.0	0.0	0.0	0.0	0.0	24.67	0.0	29.06
Fbxw5	0.0	0.0	0.0	0.0	209.82	255.51	0.0	0.0	106.02	13.41	16.81	31.31	4.32	28.74	13.11	50.09	19.31	60.83	0.41	1013.99	0.33	0.0	0.0	40.19	0.18	85.26
Fgf10	0.33	0.45	0.14	0.0	2.09	0.65	0.44	0.0	4.99	4.7	35.04	0.21	0.6	15.35	0.42	0.18	11.7	0.53	0.85	1.02	0.56	1.26	0.37	0.52	0.52	4.31
Fnbp1l	0.1	0.0	0.0	0.0	214.27	59.52	0.0	0.0	43.13	17.72	81.28	46.02	11.66	37.61	65.89	69.11	30.84	19.76	32.03	0.14	0.0	0.27	0.0	40.13	0.08	59.91
Foxk2	0.0	0.0	0.0	0.0	70.38	70.97	0.0	0.0	0.07	0.0	38.75	0.0	8.75	2.55	0.0	0.0	1.68	0.87	0.0	0.0	0.3	0.0	62.72	0.42	2.57	56.88
Gemin6	0.0	0.0	0.0	0.0	239.22	187.8	0.0	0.0	0.0	0.0	66.63	110.83	2.82	18.47	214.44	0.0	0.0	80.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95
Glg1	0.0	0.0	0.0	0.0	76.38	71.79	0.0	0.0	8.15	34.69	1.1	0.0	15.33	4.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.86	0.0	104.06
Gm13306	0.0	0.0	0.0	0.0	164.43	223.23	0.0	0.0	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	28.29
Gm2506	0.0	0.0	0.0	0.0	164.43	223.23	0.0	0.0	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	28.29
Gmcl1	0.0	0.0	0.0	0.0	164.74	4.26	0.0	0.0	0.0	28.73	0.24	1.47	0.14	26.7	7.43	18.91	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.55	27.69
Gpr173	0.0	0.0	0.0	0.0	100.14	0.0	0.0	0.0	0.0	0.0	8.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	9.13
Gpr3	0.0	0.0	0.0	0.0	15.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.39	9.48	0.76	0.0	0.53	4.29	0.0	0.0	0.0	0.0	0.0	34.91	0.0	7.97
Gtf3c5	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	28.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	16.14
Hibadh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.8	8.24	0.0	0.0	1.98	13.9	0.95	0.0	74.53	125.03	0.0	0.0	0.45	0.0	0.0	0.0	0.0	62.78
Hnrnpr	0.0	0.0	0.0	0.0	165.48	251.67	0.0	0.0	3.53	66.88	61.39	21.85	16.62	47.65	6.07	128.21	1.06	35.81	0.48	462.14	22.6	0.53	0.45	36.82	0.0	78.1
Hspe1	0.0	1007.82	0.0	0.0	191.8	0.0	0.0	0.0	320.49	124.93	166.34	318.54	538.91	376.94	529.74	542.8	309.75	397.52	490.94	811.46	0.0	0.0	0.0	287.86	712.75	129.82
Kcnb1	0.0	0.0	0.0	0.0	35.97	186.81	0.0	0.0	27.94	30.44	19.48	0.08	22.44	21.99	30.71	20.05	33.59	15.99	0.1	0.06	0.0	0.0	0.0	58.24	0.04	75.26
Klhl18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	4.63	0.0	0.0	3.8	0.0	0.0	0.37	0.96	0.0	0.0	0.0	0.0	0.0	0.04	26.93	21.69
LOC434412	0.0	0.0	0.2	0.0	0.57	1.33	0.11	0.0	0.12	0.12	0.09	1.2	0.13	0.23	0.68	0.0	0.34	0.15	0.57	0.24	1.08	0.0	0.0	0.0	2.02	0.03
Mir690	18673.1	26828.41	11171.05	16968.11	11875.83	13684.55	18365.55	19376.41	30528.33	39867.27	42000.18	28765.87	28695.45	11744.41	37370.15	37614.4	23271.48	32522.04	27509.93	44948.68	42282.55	27759.51	35532.88	48007.3	26597.61	1.29
Mmp16	0.0	0.0	0.0	0.0	508.04	0.0	0.0	0.0	0.07	0.0	0.0	160.44	58.04	5.84	0.0	0.0	0.0	14.44	0.0	0.16	0.0	244.39	0.0	13.18	0.09	11.34
Mpped1	0.0	0.0	0.0	0.0	306.91	43.86	0.0	0.0	34.43	47.41	112.68	4.82	27.47	41.7	41.61	4.05	96.44	7.36	0.2	0.22	0.0	0.0	0.0	7.42	0.38	168.42
Mrpl4	0.0	0.0	0.0	0.0	182.88	238.65	0.0	0.0	119.44	263.59	25.94	77.06	20.55	139.31	109.72	67.64	91.66	0.0	0.26	957.76	0.61	111.12	7.14	211.09	678.18	54.94
Mtfp1	0.25	0.0	0.0	1.27	688.46	389.24	0.0	0.0	4.19	231.3	289.82	96.7	69.9	126.65	101.39	133.35	67.61	111.04	0.23	0.0	0.0	0.0	0.0	272.32	0.88	99.4
Nav1	4.69	0.06	0.0	0.13	86.17	27.93	193.77	0.16	48.04	32.25	31.04	0.22	11.88	22.31	25.96	35.84	49.17	1.63	0.36	109.66	1.27	144.96	0.29	13.77	0.23	34.59
Nbas	0.0	0.0	0.0	0.0	9.67	12.07	0.0	0.0	7.37	3.4	0.57	13.42	8.31	5.54	41.58	0.95	1.39	2.45	0.13	0.2	0.21	0.0	0.0	0.0	127.03	17.21
Ncapd3	0.0	0.0	0.0	0.0	66.34	68.68	623.41	0.0	0.61	18.96	42.01	0.0	8.98	4.66	0.15	0.5	0.1	6.08	0.06	0.13	2.92	0.0	0.0	0.0	0.0	14.43
Ndst3	0.09	0.05	0.07	0.0	115.4	0.04	0.51	0.12	75.47	31.07	37.84	5.52	1.12	15.83	0.44	0.13	28.37	0.07	0.7	0.89	0.59	0.0	0.0	0.33	0.27	14.36
Negr1	0.0	0.08	0.0	0.0	176.07	224.05	0.0	0.0	21.07	20.67	21.28	10.17	32.93	35.89	33.84	6.09	63.51	40.14	0.0	9.47	0.0	0.0	0.0	70.11	0.8	133.65
Neurod6	0.0	0.0	0.0	0.0	698.85	284.05	0.0	0.0	0.17	0.0	0.0	358.06	406.18	110.76	515.98	51.13	1.59	517.38	0.3	0.68	0.0	0.0	0.0	39.97	0.66	89.8
Nkain2	0.0	0.0	0.0	0.0	107.63	0.0	0.0	0.0	37.06	0.0	0.0	0.0	0.26	12.16	0.0	139.76	0.0	9.37	0.0	0.0	0.0	0.0	0.0	0.83	0.0	43.56
Obfc2a	0.0	0.0	0.0	0.0	0.0	84.94	0.0	0.0	41.49	3.48	41.74	9.84	0.89	10.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	8.67
Odf2l	0.0	0.0	0.0	0.0	0.0	115.1	0.0	0.0	0.15	71.05	24.07	0.0	34.5	27.45	15.28	18.32	66.99	1.63	0.0	0.64	118.26	0.0	0.0	0.0	0.0	10.58
Pak3	0.0	0.0	0.0	0.0	17.44	80.24	0.0	0.0	68.31	76.95	32.4	4.77	25.77	27.65	0.0	5.92	32.5	1.67	0.0	0.0	24.4	0.0	0.0	37.26	0.2	37.21
Pcsk2	0.0	0.0	0.0	0.0	203.35	139.92	0.0	0.02	65.78	48.41	95.25	95.04	168.55	81.78	120.04	65.38	66.98	126.99	0.07	16.79	0.0	0.0	0.0	143.26	0.7	241.91
Pgm2l1	344.82	0.04	0.0	0.0	294.44	173.73	0.0	0.04	178.57	121.73	163.32	157.55	82.11	157.78	153.9	51.88	44.49	65.94	0.29	0.41	0.09	63.34	0.0	111.08	0.34	129.14
Phactr1	0.0	0.0	0.0	0.0	340.63	398.8	0.13	0.1	58.57	141.23	129.64	152.7	142.46	79.77	43.93	33.58	38.13	87.99	0.28	0.28	0.15	0.37	0.16	61.34	0.49	240.7
Pitpnm1	0.0	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.08	1.26	0.08	0.0	1.75	3.96	1.77	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	14.04	0.1	116.33
Plxna1	0.0	0.0	0.0	0.0	0.0	28.8	0.0	0.0	0.0	0.05	4.23	0.99	0.6	4.64	0.0	0.53	2.85	0.09	0.0	0.0	0.0	0.0	0.05	0.0	0.0	37.83
Ppip5k1	0.0	0.0	0.0	0.0	49.28	43.15	0.0	0.0	1.23	17.84	13.66	4.93	0.77	7.34	2.03	11.72	23.96	3.08	0.0	0.13	0.0	0.0	0.0	22.6	0.07	64.87
Prdm9	0.19	0.24	0.09	0.0	1.53	5.79	0.11	0.63	2.57	8.43	0.0	2.49	0.12	1.2	2.02	3.45	3.71	0.16	1.08	14.27	0.46	0.42	0.44	0.67	0.0	3.04
Prickle2	0.0	0.0	0.0	0.0	42.56	149.24	0.0	0.0	16.32	24.05	45.08	12.67	8.04	26.76	62.79	15.1	16.21	25.19	0.04	0.35	0.0	0.0	0.0	50.74	0.1	84.5
Prpsap2	0.0	0.24	0.0	0.0	0.0	95.2	0.0	0.0	0.0	24.96	63.97	0.0	74.76	8.7	16.25	0.0	38.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	41.14
Psmd13	0.0	0.0	0.0	0.0	419.87	169.97	0.0	0.0	177.46	89.62	145.15	51.36	9.08	108.32	107.55	6.34	52.74	27.71	0.21	0.0	23.2	0.0	0.0	71.42	0.81	102.87
Pxk	92.1	0.0	0.0	0.0	58.66	21.7	0.0	0.11	7.81	19.77	17.77	0.28	24.72	7.1	13.27	0.0	17.37	0.0	0.0	0.0	0.0	61.92	0.0	0.0	0.15	27.75
Rab6b	0.0	0.0	0.0	0.0	149.97	387.04	0.0	0.0	148.03	124.59	71.58	54.47	73.8	70.56	128.23	36.48	45.66	14.61	0.0	0.76	0.16	0.0	0.13	34.61	0.61	534.18
Rapgefl1	0.07	0.0	0.15	0.0	134.42	267.15	0.0	0.0	15.68	15.46	33.38	0.11	14.93	7.55	9.32	2.75	30.13	3.48	0.0	0.36	1.06	0.0	0.0	51.77	0.2	104.49
Rbm34	6.57	13.71	11.47	5.54	19.28	140.93	7.67	8.89	3.94	5.8	20.43	56.65	36.9	20.13	15.32	44.24	8.56	82.63	6.02	17.01	15.28	3.18	18.7	5.89	15.72	16.14
Rere	0.0	0.0	55.89	0.97	37.61	59.84	0.0	0.0	11.44	0.12	17.61	0.0	0.0	12.3	18.35	5.35	2.18	0.36	0.04	238.45	0.41	0.0	0.0	14.62	0.27	55.48
Rnf8	286.53	0.0	0.0	0.0	0.0	165.5	0.0	0.0	0.0	3.27	0.0	14.06	1.68	9.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.13	0.0	35.78
Rprd2	0.0	0.0	0.0	0.0	9.26	11.25	0.0	0.0	9.02	7.04	0.0	0.0	3.32	1.46	6.99	0.0	0.2	0.0	0.0	7.96	0.0	0.0	0.0	2.23	0.1	15.23
Sema5a	0.0	0.0	0.0	0.0	51.23	0.0	0.0	0.0	0.0	0.0	0.03	8.25	0.0	2.55	0.0	0.0	0.0	0.04	0.0	0.09	0.07	36.05	0.12	0.0	0.04	14.68
Sim1	0.0	0.0	0.12	0.0	0.46	0.36	0.12	0.0	0.0	0.06	0.05	0.07	0.18	0.0	0.0	0.0	0.15	0.09	0.0	0.12	0.0	0.0	0.0	0.05	0.0	0.08
Slc1a2	0.0	96.76	0.16	0.1	736.06	543.29	0.26	0.03	24.33	14.82	0.12	106.58	79.48	46.09	161.61	63.28	37.56	59.67	0.3	10.46	280.92	0.23	1.48	176.04	1028.55	596.01
Slc24a2	0.0	0.0	0.0	0.0	93.88	103.79	0.0	0.0	159.64	63.94	28.13	21.37	32.33	59.28	80.67	3.11	53.07	62.17	0.06	0.21	0.07	0.0	0.0	32.71	0.31	165.34
Slc6a7	0.0	0.0	0.0	0.0	35.9	0.0	0.0	0.0	6.74	51.19	65.48	7.74	2.9	4.17	0.48	0.21	2.2	22.38	0.0	0.0	0.0	0.0	0.0	22.96	0.12	59.0
Smcr8	0.0	0.0	0.0	0.0	0.0	43.61	0.0	0.0	12.99	0.0	0.0	0.0	8.67	3.84	0.0	0.0	4.02	0.0	0.0	0.0	0.0	0.0	9.39	0.05	0.0	18.1
Sprr2a1	0.0	0.0	0.0	0.0	1.32	0.79	0.05	0.05	0.34	0.36	0.88	0.86	0.07	0.46	1.29	0.1	2.09	0.2	0.0	1.82	0.0	0.0	0.0	0.09	1.01	0.25
Sprr2a2	0.0	0.0	0.0	0.0	1.32	0.79	0.05	0.05	0.34	0.36	0.88	0.86	0.07	0.46	1.29	0.1	2.09	0.2	0.0	1.82	0.0	0.0	0.0	0.09	1.01	0.25
Stam2	0.0	0.0	0.0	0.0	146.62	107.24	0.0	0.0	6.02	46.91	0.0	0.0	0.0	37.59	24.41	44.63	19.68	0.98	0.08	0.35	0.0	28.15	0.0	100.2	0.1	20.01
Strbp	0.1	0.32	0.37	63.08	576.88	350.0	0.7	0.54	215.31	187.76	226.09	103.78	111.62	164.02	206.83	169.2	202.31	153.28	3.33	104.14	1.65	22.75	2.99	311.79	202.7	31.15
Sv2b	0.0	0.0	0.0	0.0	336.68	274.51	0.0	0.0	186.25	125.65	183.33	42.47	69.62	72.32	136.84	13.88	272.24	96.13	0.18	0.67	0.0	0.0	0.0	167.42	0.46	285.41
Syn2	0.0	0.0	0.0	0.0	134.48	336.03	0.0	0.0	40.87	21.48	41.39	61.21	77.04	59.02	43.95	43.85	90.5	56.76	0.08	0.19	0.2	0.0	0.0	82.83	0.23	397.76
Tanc2	0.1	0.61	0.0	0.0	54.49	125.27	0.08	0.5	39.31	13.21	25.96	11.33	42.9	10.97	43.93	6.17	22.14	2.08	14.23	59.36	0.52	0.0	66.17	14.28	0.1	54.13
Tex10	0.0	580.5	0.0	0.0	125.87	80.51	0.0	0.0	59.18	67.22	19.85	43.4	0.0	12.3	27.22	9.13	9.78	3.37	0.0	0.0	43.31	0.0	0.0	0.0	0.0	14.72
Tfdp2	0.0	0.0	0.0	0.0	0.0	12.98	0.0	0.0	1.07	20.39	10.39	0.06	13.66	2.01	0.0	20.89	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.06	15.54
Thoc5	0.0	0.0	0.0	0.0	184.53	117.51	0.0	0.0	20.19	46.75	21.51	0.88	61.28	6.17	110.47	34.46	10.97	75.44	0.58	1010.81	0.0	861.2	0.0	80.45	0.19	32.99
Tmem25	0.0	0.0	0.0	0.0	187.8	143.02	0.0	0.0	120.74	72.81	66.65	2.52	68.55	60.37	48.01	10.99	2.66	77.3	0.0	0.62	0.0	0.0	0.0	0.0	0.35	58.28
Tmem60	0.6	0.0	0.0	0.0	290.63	581.35	0.0	0.0	108.47	66.17	326.28	243.32	390.14	243.93	426.52	321.94	338.63	471.38	0.0	0.0	337.59	0.0	0.0	281.21	0.0	35.57
Tmsb15b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.91	0.0	0.0	0.0	43.16	27.02	0.0	0.0	69.68	86.21	0.0	0.0	0.0	68.1	0.0	59.64	0.0	10.23
Tnfrsf19	36.87	81.47	0.0	0.0	109.1	75.73	1523.58	0.0	0.0	0.23	1.78	0.0	0.0	6.34	0.2	0.0	37.57	0.0	0.0	78.03	0.0	0.0	0.0	34.05	25.88	40.1
Top1mt	0.0	0.0	0.0	0.0	209.13	0.0	0.0	0.0	55.74	0.0	0.92	76.95	0.0	1.93	0.0	0.0	0.0	0.18	14.23	0.0	0.0	0.0	0.0	0.0	0.0	16.83
Top2b	0.0	0.07	0.0	0.0	85.6	79.0	0.0	0.0	19.75	0.66	0.12	0.07	16.12	18.46	46.29	22.88	53.71	9.51	0.0	0.0	0.0	9.77	0.0	66.36	0.07	49.09
Trmt1	0.0	0.0	0.0	0.0	19.73	110.84	0.0	0.0	0.0	0.23	55.39	16.17	5.5	26.17	104.64	6.73	49.42	30.25	71.23	868.27	0.0	150.09	0.0	54.05	0.2	66.19
Uba5	0.0	0.0	0.0	0.0	104.39	107.83	0.0	0.0	0.0	0.0	59.75	32.03	43.34	30.64	65.08	104.42	28.42	0.0	0.27	0.0	0.22	0.0	0.0	8.18	15.28	45.04
Ubr3	0.0	0.0	0.0	0.0	69.03	83.31	20.82	0.0	27.94	23.2	39.05	15.15	24.0	23.8	24.38	46.52	14.91	6.95	0.0	86.5	16.34	0.0	0.0	55.1	2.58	83.88
Ulk1	0.0	0.0	0.0	0.0	93.26	63.44	0.0	0.0	24.72	0.18	0.73	0.0	70.39	8.0	11.28	8.9	34.93	0.19	0.0	0.0	0.0	0.0	0.0	18.77	0.0	46.37
Usp13	0.0	0.0	0.0	0.0	34.45	42.52	0.0	0.0	0.0	0.1	0.07	7.24	0.18	6.24	30.8	1.62	0.12	27.46	0.0	0.81	0.0	0.0	0.0	0.0	0.0	14.56
Utp20	0.0	0.0	0.0	0.0	14.1	15.75	0.0	0.0	0.15	0.0	0.0	0.0	6.38	3.94	0.72	0.0	10.7	0.0	5.43	0.0	55.42	0.0	0.0	5.06	0.0	9.18
Vhl	0.0	0.0	0.0	0.0	86.56	156.04	0.0	0.0	0.12	0.0	0.0	0.0	1.4	2.84	0.0	0.0	0.0	0.0	0.16	0.54	0.0	0.0	0.0	0.0	0.0	44.91
Wapal	24.52	0.0	0.0	0.0	29.92	31.11	0.0	0.0	0.0	34.59	2.1	0.0	0.0	5.71	0.53	9.8	18.04	0.44	0.0	0.0	0.0	0.0	0.0	5.52	0.9	19.7
Zkscan14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.37	48.85	0.0	0.0	0.0	3.37	0.0	101.05	0.0	10.67	0.0	0.0	0.39	0.0	0.0	0.0	0.0	11.46
mt_BC069931	5.8	3.77	0.0	0.0	11.08	7.94	0.0	0.0	11.42	0.0	28.25	0.0	26.28	3.44	0.0	18.55	7.19	5.1	0.0	0.0	0.0	0.0	0.0	5.27	0.0	0.0
