	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_2	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_5	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_29	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C230096C10Rik	0.2	1.88	1051.43	1.24	0.52	0.87	182.63	154.09	1.18	2.51	0.55	72.62	0.53	29.94	33.54	31.29
Capn2	21.3	0.13	504.13	10.25	0.0	12.25	52.8	48.46	0.7	8.57	0.0	0.0	0.0	61.25	63.62	61.62
Cast	7.04	0.0	815.28	0.0	545.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48	6.88	7.46
Cd40	0.0	0.0	1266.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.97	0.46
Cdkn2c	0.0	0.0	2206.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	3.77	3.29
Chst15	0.0	0.0	546.78	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	29.18	28.82	29.43
Col4a2	237.43	180.78	504.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.64	0.0	0.0	25.54	27.44	33.03
Ctbp1	0.0	0.0	407.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.89	189.26	178.52
Cxcl12	2681.26	0.0	1041.05	0.0	15.82	0.13	0.0	0.0	658.88	0.0	331.58	0.23	0.0	47.63	48.26	49.4
Cyp21a1	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.11
Cyp4v3	0.0	0.0	1037.63	23.11	0.0	0.0	0.0	0.0	92.55	0.0	0.0	0.0	0.0	5.18	6.97	5.11
D14Abb1e	315.73	2.91	485.38	23.34	10.78	56.53	0.22	166.6	1.39	223.86	0.1	1.06	1.08	22.11	20.03	20.63
D6Wsu163e	0.0	0.0	1323.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.98	36.28	32.6
Ddr2	0.07	0.18	142.86	0.0	0.73	0.05	0.0	0.19	0.03	0.16	0.15	0.46	0.05	4.64	3.87	4.57
Dmpk	0.0	0.0	80.14	0.0	0.0	0.0	78.14	0.0	0.57	0.0	0.0	0.27	0.0	13.4	14.25	12.51
Dnajb11	0.22	0.51	1396.97	0.0	0.0	1.13	0.77	0.0	0.0	4.0	0.45	2.8	0.3	58.65	55.63	56.06
E130102H24Rik	0.0	0.0	691.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.39	0.0	0.0	15.88	14.8	16.68
Ece1	1032.34	27.92	1457.95	0.24	1724.49	908.41	0.0	108.92	924.8	200.64	391.84	0.72	0.0	28.41	30.16	27.85
Errfi1	0.0	110.6	541.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	27.66	27.93	21.94
Etohi1	23.22	290.99	4143.22	2.71	15.61	0.0	5.45	0.12	101.07	4.7	71.2	10.74	17.19	66.92	56.85	73.72
Fam165b	0.0	0.0	1200.16	0.0	130.21	0.0	0.0	0.0	482.11	0.0	0.0	0.0	0.0	26.7	23.96	19.75
Fbxl14	0.15	0.0	45.55	0.0	0.92	0.75	0.73	0.34	0.64	0.17	0.0	0.77	0.0	15.44	17.6	15.44
Flot1	0.0	0.0	1109.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	137.1	148.3	139.89
Frk	0.0	0.0	674.08	0.0	0.0	0.0	0.0	0.0	364.71	0.0	0.0	0.0	0.0	0.17	0.26	0.37
Furin	0.0	0.0	76.81	0.0	5.83	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.09	20.87	17.74
Gfm1	0.0	0.0	940.67	0.0	0.0	0.0	66.91	0.0	0.0	0.0	0.0	0.55	0.0	41.47	39.7	39.58
Gm14288	0.15	0.0	121.12	0.05	0.0	0.0	0.0	0.37	0.04	0.0	0.6	0.86	0.0	19.46	11.18	19.65
Gm14325	18.14	75.41	471.88	0.0	1.96	0.64	0.0	2.91	0.0	0.0	0.0	3.33	217.47	17.73	12.0	18.31
Gm14391	5.39	2.89	1023.38	0.0	13.51	0.0	47.05	0.0	3.7	0.0	0.73	29.19	0.0	35.34	28.08	29.68
Gm5089	0.0	0.0	1060.22	27.69	0.0	0.0	0.0	0.3	0.0	0.0	0.0	11.54	0.0	8.42	5.96	6.27
Gnb4	0.21	1162.19	2036.12	0.0	2.71	515.9	0.0	0.0	0.01	0.0	603.89	0.0	0.0	33.1	34.22	31.21
Gpbp1l1	19.79	0.0	348.23	28.43	8.13	189.96	53.95	0.0	117.93	22.72	168.84	0.0	0.0	23.3	23.52	20.61
Gpx5	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-T24	9.25	3.76	1153.47	3.35	2.04	7.81	4.9	272.09	4.61	8.77	1.11	445.24	1.23	16.2	13.49	16.92
Hmbox1	0.0	0.0	608.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.51	23.7	33.14
Il11ra1	348.85	0.0	962.62	0.0	1.62	366.87	0.0	0.0	447.33	0.0	0.0	0.0	0.0	28.74	29.46	33.86
Inmt	0.0	0.42	4069.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	3.38	1.94
Ino80	0.0	6.09	30.46	0.0	5.84	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	16.41	15.65	16.79
Irak4	0.52	0.0	810.49	0.43	0.51	0.31	0.0	0.23	0.03	0.2	0.0	0.27	0.0	1.76	1.5	1.61
Izumo4	0.0	0.0	728.02	0.0	0.0	0.0	0.0	0.0	0.0	114.57	0.0	0.0	0.0	36.06	38.39	31.56
Kank2	1.02	0.0	145.42	0.0	1.05	1.13	0.37	0.0	0.08	0.0	0.41	0.15	0.0	5.72	7.31	6.18
L3mbtl3	0.0	0.0	224.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.39	15.64	15.93
Lama2	339.82	227.96	228.07	0.0	74.72	57.11	0.0	0.0	248.01	7.3	0.0	155.55	0.0	4.47	4.58	5.02
Lbp	0.0	0.0	1022.89	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	2.17	2.0
Lhfp	0.0	0.0	1953.07	0.0	203.77	726.87	0.0	0.0	1521.76	0.0	0.0	30.8	0.0	23.91	24.61	25.68
Loxl1	0.0	0.0	317.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	1.47	1.52
Lrrfip2	0.0	0.0	280.43	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5	24.87	24.53
Lrsam1	0.0	0.0	460.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	21.86	22.28	21.39
Lyrm1	0.0	0.0	1180.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.47	10.66	11.03
Lyrm2	0.0	1.41	1412.2	1.65	0.0	2.52	7.39	254.87	0.57	19.68	5.8	2.31	0.24	28.29	27.93	30.18
Map3k6	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	2.11	2.43
Mboat7	0.0	0.0	368.85	0.0	0.0	0.0	206.25	0.0	0.0	0.0	43.58	0.25	0.0	91.03	94.32	95.04
Mdfic	0.0	17.43	352.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	2.43	2.22
Med6	0.0	0.0	1967.0	0.0	1.46	517.18	16.83	0.0	0.0	0.0	0.69	0.0	0.0	27.88	29.01	26.18
Mettl10	0.0	0.0	1536.39	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	26.86	26.37	24.91
Mex3c	0.0	0.0	790.69	0.0	0.8	0.0	0.0	0.0	0.0	0.0	30.25	0.0	0.19	30.19	27.49	26.64
Mospd2	0.0	0.0	620.09	0.0	0.0	218.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.11	11.31	11.99
Musk	0.0	0.0	1222.93	0.0	0.0	0.0	0.0	0.0	108.57	0.0	0.0	0.0	0.0	1.04	1.4	1.04
Mut	0.44	0.0	1464.68	0.0	0.0	0.0	0.18	546.27	0.0	68.04	0.0	0.0	0.0	26.91	26.33	26.45
Ncl	16.46	239.04	466.49	0.26	107.45	46.05	2.43	28.54	52.61	56.6	325.76	1.17	115.02	80.64	76.16	77.22
Ncrna00086	0.0	0.0	1.37	0.02	0.0	0.03	0.0	0.0	0.73	0.0	0.22	0.46	0.0	19.62	20.09	19.86
Nmd3	0.32	0.0	1938.8	0.0	24.43	0.0	0.0	0.0	0.0	49.94	0.0	0.0	0.0	25.86	24.31	24.75
Nme3	0.0	0.0	1362.84	417.06	3.47	382.02	0.0	0.0	0.0	0.0	0.0	443.55	0.0	40.35	45.78	36.64
Nqo2	0.0	0.72	439.23	0.0	0.0	0.0	0.0	0.0	476.3	0.16	216.11	35.46	0.0	4.86	4.73	5.12
Nucb2	0.0	0.0	1580.61	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.34	17.9	18.55
Pdgfrl	616.33	0.27	1550.02	0.0	0.0	0.0	0.0	0.0	1607.74	0.0	0.0	0.0	0.0	1.37	1.16	0.67
Phax	0.0	0.0	1310.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.57	40.11	38.93
Pi4k2b	0.0	0.13	336.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42	1.97	2.56
Ptpn9	0.0	12.57	362.75	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.33	40.1	0.0	27.41	27.19	26.18
Rcn2	0.55	0.0	1756.91	1.13	0.0	0.0	678.99	18.23	14.46	0.0	0.33	0.0	0.0	141.56	145.16	138.67
Ror2	0.0	0.0	335.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.75	0.51
Sclt1	0.0	0.0	419.97	0.0	113.41	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	6.3	5.96	7.68
Sertad4	0.0	0.13	830.33	0.0	1.37	442.24	0.0	0.0	0.12	0.0	0.0	0.0	0.0	14.37	16.11	13.75
Sh3bp5	0.0	0.0	487.52	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	50.55	55.86	51.64
Slc22a8	3578.84	0.62	1462.02	0.0	184.52	819.68	0.47	0.0	27.23	0.0	0.0	0.87	0.0	14.22	14.6	13.72
Slc6a20a	1250.08	0.0	2469.65	0.0	963.0	51.87	0.0	0.0	2857.29	0.0	198.13	0.0	0.0	18.88	22.85	20.77
Slc7a6os	0.0	0.0	192.8	0.0	0.0	0.0	0.45	0.0	0.0	2.78	0.0	0.0	0.0	27.25	26.58	28.7
Smarca5	0.0	447.23	386.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.16	37.04	36.72
Snhg5	0.0	0.0	1661.62	0.0	517.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1	13.35	12.39
Snord55	0.0	0.0	224.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75	2.24	4.9
Srpx2	113.05	103.27	650.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	1.36	1.18
Ston1	0.0	0.0	571.7	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	3.37	2.93	2.74
Stxbp4	5.35	0.41	393.76	0.13	0.68	1.55	0.82	1.95	2.23	2.39	0.56	1.04	0.37	10.19	9.85	10.06
Suds3	0.0	0.0	176.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.23	92.43	94.15
Surf4	19.98	0.0	987.42	0.0	0.0	0.0	0.0	39.01	4.14	0.0	0.0	387.75	0.27	54.35	54.71	57.05
Taf12	0.0	0.0	937.2	0.44	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	18.37	19.19	16.52
Tef	26.99	0.0	660.84	11.27	0.0	0.0	0.16	0.0	0.0	0.0	0.0	69.06	0.0	235.69	246.71	214.72
Tgfbr2	0.0	0.0	670.76	0.0	199.01	56.39	0.0	0.0	0.16	0.0	0.0	0.0	0.0	10.17	10.18	11.21
Tgfbr3	374.67	347.26	411.52	0.0	443.21	147.19	0.0	0.0	531.81	0.0	212.53	0.0	0.0	5.67	6.28	5.26
Thbs1	0.0	0.07	470.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	2.0	1.2
Tmem220	0.0	0.0	396.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	1.07	2.16
Tmem45a	793.42	899.97	1411.68	0.0	0.0	0.0	0.0	0.0	11.42	0.0	0.0	0.0	0.0	0.62	0.48	0.49
Tmem53	0.0	0.0	1133.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	3.1	4.72
Tnfsf12	0.0	0.0	453.71	220.73	0.0	0.0	0.0	0.0	244.64	120.61	0.0	0.0	437.79	9.14	9.99	10.76
Tns1	92.79	0.12	250.9	0.0	0.05	2.42	0.0	0.0	180.76	0.0	217.67	0.0	0.0	12.3	13.19	13.04
Trim45	0.0	0.0	771.86	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54	6.69	6.48
Ubn2	0.13	0.03	220.51	0.16	0.2	0.15	0.11	0.5	11.2	1.62	0.13	13.32	127.24	16.76	13.28	16.9
Ubxn2b	0.0	0.06	518.71	0.06	0.49	0.0	0.0	0.0	0.21	0.0	0.0	0.16	0.0	23.69	19.84	22.76
Upf3a	0.0	0.0	466.05	0.15	302.52	0.0	0.0	0.0	0.0	0.0	286.53	0.0	0.0	49.66	47.79	44.94
Usp38	0.0	0.09	689.15	0.12	0.0	0.0	0.0	0.0	0.0	0.88	0.14	0.0	0.0	17.88	17.09	17.47
Vmn2r90	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps4a	0.0	0.0	1041.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.37	119.14	120.71	116.26
Vtn	25354.85	30753.11	7466.42	0.0	27542.39	8387.08	0.0	0.0	16112.27	0.0	10858.14	0.0	0.0	77.57	82.56	79.89
Xrcc4	0.0	0.0	1533.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.55	0.0	0.0	10.89	10.14	9.45
Zcchc11	0.0	0.0	336.71	0.65	0.0	0.0	0.0	0.0	0.0	0.1	0.0	13.37	0.0	17.97	13.78	18.58
Zfand2b	0.0	0.0	1136.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	22.59	28.03	29.21
Zfp217	0.0	0.0	204.81	0.0	0.0	0.0	0.0	23.28	0.0	18.58	0.0	0.0	0.0	2.02	2.12	2.21
Zic4	255.68	164.91	471.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	1.6	1.39
Zscan29	10.96	1.6	275.94	140.69	3.54	3.46	4.49	11.34	0.13	4.09	1.93	0.67	0.0	5.68	4.92	6.62
c19_SSU-rRNA_Hsa	0.0	0.0	26.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
