	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_57	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hdgfrp3	0.0	52.38	37.97	0.0	1.74	12.25	25.84	6.92	6.31	24.83	0.1	30.06	22.7	13.84	6.75	23.16	9.57	13.17	24.71	39.3	17.09	24.05	61.95	0.12	86.54	5.92	30.69	65.83	0.16	0.21	25.14	9.87	0.0	17.31	18.75	6.41	29.18	131.47	18.76	28.32	48.09	16.7	30.18	6.97	28.93	0.5	7.62	21.21	0.12	21.02	1.01	0.0	30.57	56.56	56.08	56.34
Hipk4	0.0	0.17	0.0	0.0	0.0	5.53	0.1	10.92	2.27	4.48	9.25	11.09	1.72	2.11	2.3	0.0	0.0	8.03	16.12	1.61	0.0	38.2	0.0	0.38	31.11	0.12	14.1	0.0	0.0	0.0	10.84	1.18	33.93	0.64	1.83	3.27	0.0	42.71	5.8	13.54	0.0	16.62	9.3	0.0	8.34	0.45	17.77	0.0	1.31	17.09	14.41	25.73	0.72	60.21	56.83	55.84
Hist1h2bq	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.19	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.18	0.1	0.1	0.0	0.0	0.1	0.09	0.0	0.14	0.11	0.0	0.0	0.0	0.0	0.18	0.19	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.19	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.18	0.1	0.1	0.0	0.0	0.1	0.09	0.0	0.14	0.11	0.0	0.0	0.0	0.0	0.18	0.19	0.38	0.28	0.38
Hspb7	0.0	0.42	0.3	0.05	0.43	0.17	0.05	0.35	0.38	1.05	0.51	0.0	0.64	0.48	0.3	0.0	0.0	0.48	0.0	0.22	0.17	0.54	0.29	0.31	0.37	0.3	0.21	0.0	0.23	0.14	0.15	0.17	0.29	0.28	0.28	0.27	0.8	1.66	0.19	0.28	0.17	0.17	0.32	0.14	0.34	0.52	0.11	0.2	0.0	0.19	0.0	0.15	0.37	0.54	0.31	0.5
Ivd	0.0	0.0	2.45	22.76	41.58	26.29	0.0	19.09	5.49	16.89	50.6	35.57	73.33	6.19	0.38	48.11	34.32	0.0	37.81	14.27	0.58	30.05	0.75	1.34	140.25	0.0	2.03	0.0	2.23	21.45	0.0	5.34	75.83	24.82	13.5	29.61	10.83	66.3	33.03	27.73	15.1	2.76	66.87	13.38	0.0	0.0	22.95	65.1	4.62	30.2	8.12	81.93	31.65	64.73	70.15	68.85
Josd2	0.0	0.0	0.0	0.0	3.29	3.11	0.0	0.0	3.41	0.0	22.41	0.0	11.52	0.0	4.39	4.39	10.54	0.77	3.52	0.0	9.66	29.88	0.0	0.0	70.93	0.0	0.0	0.0	0.0	0.0	0.43	3.75	12.15	0.0	4.54	0.0	0.0	75.6	0.0	0.87	0.0	0.0	0.0	0.0	0.0	41.57	0.0	0.0	27.6	21.96	0.0	0.0	15.88	56.0	64.65	61.11
Kif3b	0.0	4.26	37.72	0.0	9.28	21.42	3.41	0.0	16.56	57.38	1.8	9.09	19.73	13.95	12.21	15.82	16.47	21.41	10.85	24.85	0.1	3.76	0.41	23.28	33.51	0.0	13.75	0.0	2.33	0.0	39.39	0.36	7.94	13.74	0.13	8.16	13.27	31.65	0.0	28.49	6.76	11.7	41.15	15.67	9.88	3.13	13.26	37.17	31.66	13.05	30.53	2.26	25.38	47.95	45.71	48.37
Kifc2	0.0	1.8	38.99	0.0	54.16	2.45	2.76	2.73	40.73	3.91	2.72	14.05	72.28	11.9	13.29	11.88	3.06	2.54	14.37	28.93	18.54	9.68	15.42	47.87	74.41	0.09	11.14	0.73	21.2	0.36	4.49	32.98	70.41	76.34	8.17	6.35	17.98	46.37	23.47	82.7	47.91	11.47	24.34	17.82	10.13	37.64	10.52	15.57	20.35	0.51	56.94	38.82	31.63	427.54	441.98	465.18
Klc1	0.0	15.34	34.46	0.0	19.48	52.56	20.66	78.73	15.82	1.96	0.0	28.23	51.43	10.44	26.97	42.52	19.0	50.51	7.34	45.44	26.94	50.54	16.25	70.37	13.13	12.26	2.09	0.73	7.24	9.59	24.31	9.24	33.23	66.15	51.3	18.67	18.56	56.28	6.71	16.41	46.98	12.66	38.26	31.71	6.93	15.98	7.9	53.54	21.27	40.29	51.46	34.74	63.64	706.38	755.05	722.85
Ldhb	2593.67	5768.08	8752.31	4338.23	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	6807.49	7074.56	8223.21	8574.79	10165.1	9166.61	9602.81	7343.35	5915.04	7785.08	6241.53	7061.15	7167.6	11261.44	7829.53	8285.69	10004.69	7259.91	9074.03	13571.31	7093.74	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	7724.63	10182.84	6673.69	8351.44	11746.38	2035.78	737.58	774.98	752.92
Lrrc3	0.0	1.01	1.37	1.5	3.94	1.62	0.07	0.95	2.08	2.38	0.66	1.87	3.24	1.44	1.42	1.91	1.06	1.95	1.1	4.07	1.44	0.87	3.2	1.78	3.51	2.21	1.88	1.4	1.3	2.56	1.16	2.22	1.61	1.53	0.16	1.5	1.37	2.52	2.14	2.7	2.0	2.88	2.4	3.84	2.38	1.85	1.95	1.22	1.67	2.34	1.19	1.88	2.99	9.65	8.87	9.62
Mcoln1	0.0	78.43	0.0	0.0	42.97	3.18	0.0	0.0	0.0	0.0	2.87	0.0	1.67	7.04	0.0	5.19	0.0	0.0	0.0	0.0	26.17	21.66	0.0	0.0	107.68	0.0	43.36	0.0	0.0	0.0	13.51	45.17	0.0	0.0	1.11	0.0	0.0	59.95	0.0	0.38	40.03	0.0	8.56	0.0	0.0	54.57	0.0	12.08	0.23	4.3	0.57	0.0	4.43	73.08	72.26	71.39
Mllt4	0.0	0.49	3.13	0.0	0.08	0.19	0.0	0.0	12.64	1.34	0.08	0.8	21.44	0.0	1.79	0.14	0.07	0.62	0.42	2.66	16.85	0.78	0.0	2.45	3.19	0.0	1.88	0.0	5.71	0.0	5.18	2.06	0.0	0.49	1.93	0.0	0.0	4.86	0.0	20.17	1.2	0.17	0.39	0.53	0.0	1.37	1.41	25.8	10.87	13.07	0.0	14.69	7.05	42.53	41.5	42.39
Nln	0.0	0.0	0.0	0.0	9.51	18.6	0.0	0.0	0.09	0.0	0.0	0.14	27.33	0.0	8.52	23.97	12.26	5.08	10.83	10.03	6.76	0.0	0.0	0.0	0.0	0.0	0.96	3.02	0.0	10.58	0.0	0.0	0.0	0.0	26.71	8.09	29.95	73.61	3.22	16.25	9.47	0.0	8.51	18.53	0.0	3.4	0.0	23.81	0.0	4.92	13.54	6.39	10.9	26.99	24.5	24.11
Nmt1	0.0	8.01	60.42	0.0	67.45	105.59	173.57	54.65	137.55	108.41	63.39	32.65	74.97	52.43	41.28	81.75	6.41	78.38	45.28	145.2	15.44	73.53	44.54	7.06	217.11	12.99	120.12	6.96	109.98	177.6	9.84	78.85	66.79	95.52	90.24	45.21	7.18	279.75	10.33	96.38	8.25	95.29	11.63	211.92	36.12	42.4	70.84	104.05	45.96	19.1	37.31	127.94	64.62	129.24	120.66	118.5
Pde2a	0.0	27.55	9.15	0.0	40.66	37.6	20.01	4.33	32.89	7.55	0.14	49.78	56.02	20.24	0.19	0.53	0.0	16.97	57.05	0.0	0.59	45.34	0.57	0.0	37.76	0.07	1.58	30.51	0.3	0.37	0.09	76.19	0.13	12.48	52.41	45.55	187.24	100.03	0.8	69.01	23.28	0.0	4.37	77.27	0.0	40.04	10.95	73.37	0.44	6.68	24.66	77.51	39.21	301.14	298.57	313.65
Plxdc2	0.0	0.0	0.0	0.0	0.0	0.44	5.58	0.0	1.59	0.0	0.0	0.0	1.81	0.0	20.39	7.76	10.85	0.03	5.66	18.73	3.16	0.0	0.0	0.14	0.09	0.0	0.0	0.0	0.0	0.0	39.65	3.79	0.0	10.5	15.72	51.82	0.0	124.34	12.2	0.58	11.2	0.0	58.29	0.0	6.81	3.52	32.75	19.68	14.75	0.17	0.0	0.0	5.07	21.14	17.63	22.23
Pnp2	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	1.24	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38	0.0	0.0	0.0	0.0	4.46	0.0	0.0	0.0	0.0	0.0	1.2	1.98	3.61	0.0	0.0	0.0	2.93	0.0	2.3	4.21	0.91	1.21	0.0	0.0	0.77	0.0	1.31	0.47	6.39	7.59	4.28
Prrg3	0.0	0.0	13.91	0.07	0.0	15.65	0.0	0.21	0.0	13.69	0.0	0.09	19.79	0.0	15.49	14.05	4.46	0.0	0.0	0.09	0.45	0.0	0.0	19.47	0.0	0.05	0.06	0.11	0.07	16.08	10.69	0.05	1.5	0.0	2.64	12.63	0.05	45.15	0.13	0.0	0.16	12.44	0.07	0.07	0.66	2.87	0.01	0.64	0.0	0.18	0.46	0.15	7.63	27.62	23.07	24.23
Rhoh	0.0	0.16	0.0	0.83	0.12	0.44	0.0	0.29	0.27	0.15	0.46	0.11	0.33	0.7	0.0	0.64	0.11	0.0	0.16	0.43	0.36	0.13	0.09	0.0	0.83	0.06	0.26	0.0	0.04	0.08	0.27	0.0	0.09	0.12	0.14	0.24	0.06	0.92	0.33	0.17	0.0	0.21	0.42	0.21	0.1	0.11	0.19	0.77	0.18	0.34	0.24	0.27	0.5	0.59	0.42	0.41
Rnf26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	36.83	0.0	0.0	30.12	0.0	0.0	10.13	0.24	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.29	0.0	0.0	34.85	0.0	0.0	0.0	0.0	9.77	0.0	0.98	0.0	0.0	66.34	0.0	0.17	0.0	0.0	45.11	0.0	0.0	2.85	0.0	9.17	0.0	21.74	0.0	23.91	3.55	29.58	32.83	33.78
Scai	0.0	1.04	6.29	0.0	4.58	11.86	0.02	6.94	1.35	0.64	6.46	3.06	3.98	0.0	5.45	0.85	0.75	0.67	14.78	0.86	0.99	1.61	16.45	1.69	38.94	8.14	6.24	1.0	3.24	2.27	0.89	0.52	21.13	1.35	12.29	7.95	8.82	22.75	4.58	10.4	1.29	5.38	1.03	9.52	0.76	0.9	7.25	5.52	6.77	1.42	1.74	0.05	25.75	26.9	23.82	26.95
Scamp5	0.0	83.67	7.99	0.0	14.81	49.49	1.94	112.13	34.82	1.2	33.02	33.14	4.37	7.15	12.34	6.44	42.6	11.85	99.21	49.72	34.17	35.7	5.54	9.31	77.1	1.17	80.21	32.63	104.74	9.25	55.32	25.62	38.93	92.41	61.0	26.36	18.14	144.7	63.31	41.67	20.93	4.76	15.03	62.81	1.57	2.36	25.98	103.43	15.1	73.12	4.58	51.13	14.49	323.92	334.22	327.86
Setx	0.0	3.34	0.04	0.0	7.92	0.0	0.0	4.97	12.25	4.42	0.0	6.84	13.43	1.42	0.35	8.13	0.45	7.71	9.59	0.0	11.79	8.85	0.0	0.74	23.85	0.28	13.39	2.06	2.01	0.0	20.1	0.0	0.52	14.15	28.07	1.06	5.28	34.06	0.04	7.66	5.25	6.17	0.07	2.61	21.82	14.71	11.3	1.66	0.08	12.94	0.0	0.33	4.11	22.16	18.26	22.55
Sf3b1	0.0	62.87	23.83	0.0	48.16	51.64	53.54	24.71	109.29	92.84	8.2	86.7	92.94	69.17	126.96	98.26	20.39	40.08	69.24	36.43	68.77	95.86	52.2	121.29	58.67	91.76	54.65	25.83	13.64	71.1	90.89	50.22	125.21	70.73	74.73	90.04	51.61	234.99	55.81	36.59	53.15	1.18	116.48	47.25	62.41	70.43	81.34	36.88	57.97	56.29	67.56	72.92	92.97	115.29	116.29	113.78
Snap91	0.0	57.49	59.82	0.0	81.9	47.03	38.92	29.29	53.6	97.31	101.75	76.04	120.3	171.15	22.27	109.6	55.03	58.36	71.13	4.38	75.75	187.3	30.73	84.01	223.54	82.28	107.27	22.19	8.7	24.23	89.56	35.27	109.41	41.69	99.73	86.96	106.17	88.64	40.36	83.01	29.36	43.82	93.22	41.75	40.51	31.63	131.62	120.09	73.47	74.45	33.91	84.31	91.8	254.03	253.8	241.24
Spen	0.0	0.0	0.07	0.0	0.0	6.33	0.0	0.0	2.73	0.0	0.14	2.05	0.0	0.86	1.14	0.0	0.0	0.75	0.0	1.32	5.74	0.0	5.98	0.04	7.48	0.0	7.87	0.0	7.53	0.97	0.59	3.67	0.0	0.0	0.08	2.63	0.42	8.47	4.38	1.86	1.6	0.33	0.99	1.62	0.0	7.98	4.65	1.74	0.43	2.82	0.0	0.02	1.62	19.23	19.39	20.09
