	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aspscr1	0.0	57.6	0.0	0.0	0.0	0.0	0.35	0.65	5.15	0.0	0.0	0.0	63.74	0.0	0.1	3.67	0.0	0.0	0.07	0.0	23.18	14.85	4.9	3.73	1.97	0.0	53.22	0.0	0.0	0.0	0.0	0.0	0.0	0.17	3.44	0.0	0.0	0.0	28.78	0.0	0.0	0.0	0.0	0.0	0.0	83.43	0.0	0.0	0.0	1.25	7.8	4.88	0.0	4.53	1.51	2.18	39.68	43.11	40.47
B4galt2	3.53	3.0	0.85	1.31	0.0	0.0	37.7	0.12	0.0	0.0	0.0	0.0	0.0	29.93	0.07	0.05	0.0	24.01	16.01	34.8	19.56	0.0	24.71	0.13	0.0	0.0	0.41	25.31	0.96	43.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.44	0.0	0.0	70.92	73.88	0.24	35.07	0.0	2.78	2.65	0.0	10.46	13.05	8.02	83.29	92.69	90.06
Bcl2l13	0.32	0.0	0.0	0.0	0.0	0.05	3.41	1.69	0.0	0.36	0.85	0.0	0.0	0.0	0.0	0.06	4.03	0.01	0.03	0.03	0.28	3.53	1.44	0.03	0.0	0.0	0.0	0.14	0.15	14.0	0.0	31.84	0.03	2.45	0.04	0.74	1.61	0.04	17.89	0.0	5.7	0.0	0.0	1.07	0.06	35.64	0.14	13.26	0.13	0.45	6.37	3.37	12.13	4.12	2.35	1.33	22.49	21.08	23.5
C5ar1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.49	0.41
Ccl27b	3.68	0.0	0.0	22.17	0.0	28.87	8.68	11.67	0.0	0.0	17.1	31.22	0.0	1.46	0.03	0.0	1.74	0.0	0.0	7.16	0.0	0.0	5.37	0.0	1.98	0.0	0.0	4.8	0.0	0.77	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	1.3	0.0	4.89	0.08	1.61	0.0	33.56	38.65	3.25	0.0	7.83	1.88	164.03	125.27	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Col5a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	3.02	4.32	4.24	0.59	2.02	1.43	12.37	11.78	14.13
Cpe	150.87	168.55	399.04	450.28	60.68	147.11	552.99	324.7	396.97	730.28	612.1	744.55	0.0	311.95	385.68	505.07	590.04	397.64	419.04	303.54	373.95	158.86	541.36	359.52	553.4	472.71	608.18	622.63	483.94	386.75	461.05	524.47	297.69	672.73	617.78	702.14	697.21	314.71	735.8	1173.47	361.42	387.09	583.03	1758.77	838.83	1192.03	697.17	844.29	413.14	454.39	1283.45	1397.16	1505.22	1309.18	1147.33	1093.73	2585.49	2745.14	2616.63
Crh	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.76	31.83	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	7.93	9.71
Ctbp1	0.0	0.0	64.29	1.33	0.0	37.06	0.47	12.44	64.02	0.0	0.0	0.0	0.0	9.64	0.03	36.91	0.37	91.84	33.69	25.95	0.48	0.0	7.83	0.28	1.14	6.3	0.0	0.0	12.37	0.0	0.0	0.0	6.71	0.0	0.64	0.0	0.0	0.0	0.0	1.65	32.93	0.21	9.41	39.86	0.0	138.6	16.29	0.5	17.59	0.04	0.31	6.97	10.07	7.72	6.5	6.86	170.89	189.26	178.52
D430020J02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.0	0.0	0.63	0.09	0.08	2.06	0.0	0.15	0.5	11.04	0.0	0.98	0.32	0.0	0.0	0.43	0.0	0.0	40.12	0.0	0.0	0.0	0.0	0.2	0.0	0.09	0.0	0.34	0.0	38.01	44.75	0.0	27.88	0.0	45.37	0.17	0.0	0.0	0.0	0.86	2.92	2.58	6.9	0.71	2.52	3.14	2.86	3.34
D730048J04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.5	0.31
Dct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.48	0.37	0.32
Drd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.79	40.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.34	34.14	32.83
E130003G02Rik	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.0	0.0	0.0	0.22	0.0	0.0	0.0	6.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.23	0.0	10.8	0.0	0.0	0.0	0.0	0.0	0.43	1.72	0.0	0.12	0.0	17.1	18.6	20.92
Efna3	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	0.0	0.0	0.0	0.0	5.36	0.0	0.0	0.25	0.0	3.49	71.12	76.72	69.78
Egr1	40.42	0.47	3.11	0.0	0.0	0.0	54.72	0.0	24.34	0.0	0.0	1.88	0.0	0.05	1.8	1.94	0.32	0.33	6.52	0.0	13.69	55.92	0.0	0.0	0.0	0.09	0.0	44.27	0.0	0.0	0.0	1.11	0.0	1.8	0.0	0.18	4.01	0.0	30.78	29.61	108.72	28.04	0.1	92.36	1.06	147.43	7.52	22.71	2.66	5.1	179.35	176.4	233.19	136.69	143.93	168.7	374.95	320.45	189.48
Eif5a	118.9	186.62	44.51	85.06	133.22	93.38	2.4	102.25	0.0	46.31	55.73	39.48	0.0	94.24	174.61	25.3	124.48	141.58	238.02	175.89	182.77	307.41	187.06	253.21	229.13	136.52	166.25	180.42	56.19	139.58	68.06	104.28	15.51	173.04	149.4	206.92	186.51	129.56	127.57	201.73	163.12	150.84	440.29	90.73	157.2	359.74	284.5	155.06	239.61	142.5	144.4	281.76	270.82	274.55	413.29	390.76	438.76	458.46	438.37
Elfn2	22.45	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.26	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	1.0	0.0	0.06	2.77	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	4.88	0.0	3.87	0.0	0.0	0.07	8.91	0.79	0.12	0.11	0.0	18.97	0.15	0.0	12.35	0.0	1.66	1.58	0.0	1.34	1.68	0.78	58.94	59.02	55.68
Etv6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	1.51	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.4	0.0	0.0	0.04	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	9.37	0.0	0.0	0.06	0.0	0.57	0.12	3.28	0.59	0.0	1.12	10.51	8.95	9.76
Fahd1	0.0	0.0	0.0	1.21	174.93	0.0	0.0	0.0	0.0	0.0	85.1	0.0	0.0	0.0	43.76	0.09	0.12	0.07	18.91	38.49	0.0	41.36	0.0	0.0	109.05	1.84	0.0	86.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.74	0.0	187.18	0.0	31.82	0.0	43.18	94.19	0.0	256.59	90.08	54.04	0.0	0.0	54.63	36.05	59.14	55.87	57.17	44.09	21.67	22.55	23.46
Fam100b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0	3.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.82	0.0	0.0	0.0	0.0	0.0	1.82	0.0	1.6	0.0	3.74	11.23	11.08	14.35
Fam109b	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.12	0.0	0.42	0.0	0.5	0.0	0.83	0.81	0.67
Fam111a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	3.88	0.0	0.0	0.0	0.0	0.44	0.74	0.54	4.46	2.9	1.73	1.45	1.28	1.96
Fam132b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.74	1.95	2.71	0.88	0.73	0.76
Fam184b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03	0.0	0.0	0.0	59.32	0.0	0.0	0.0	0.0	4.44	4.39	1.38	1.36	1.33	1.17	7.31	7.85	7.45
Fam18a	97.42	0.0	0.41	0.0	0.0	0.0	25.75	0.0	52.5	0.0	3.8	11.01	2.27	0.67	0.02	0.04	0.1	49.51	20.0	11.01	0.0	43.43	79.58	2.16	22.74	44.24	0.0	0.0	0.0	0.0	2.83	48.36	41.33	0.84	0.0	6.52	65.41	26.54	47.73	0.0	7.04	0.11	3.76	101.98	0.0	102.44	64.27	48.52	4.58	48.13	30.21	10.59	12.01	12.92	12.91	13.96	28.17	30.48	28.58
Fam53b	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	5.57	4.05	0.0	23.05	0.0	0.0	0.0	7.36	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	1.32	1.06	3.19	1.52	1.41	0.75	15.85	17.32	18.24
Far2	16.27	0.0	0.0	46.17	9.99	0.0	27.47	0.0	0.0	0.0	0.0	38.45	0.0	38.33	8.24	0.0	67.45	32.49	2.3	52.01	77.45	0.0	2.44	7.07	43.34	49.67	24.78	0.0	0.0	0.0	45.33	2.96	0.0	29.09	20.18	5.43	29.35	18.28	64.88	39.45	9.0	30.74	47.88	57.52	35.75	80.79	57.3	1.84	16.38	0.0	32.03	20.71	62.52	86.84	79.56	65.05	16.08	14.01	15.48
Gm13306	3.68	0.0	0.0	22.17	0.0	28.87	8.68	11.67	0.0	0.0	17.1	31.22	0.0	1.46	0.03	0.0	1.74	0.0	0.0	7.16	0.0	0.0	5.37	0.0	1.98	0.0	0.0	4.8	0.0	0.77	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	1.3	0.0	4.89	0.08	1.61	0.0	33.56	38.65	3.25	0.0	7.83	1.88	164.03	125.27	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Gm2002	0.05	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.64	0.0	0.0	0.1	0.0	0.0	0.0	0.06	0.0	0.61	5.81	3.62	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	3.68	0.0	0.0	22.17	0.0	28.87	8.68	11.67	0.0	0.0	17.1	31.22	0.0	1.46	0.03	0.0	1.74	0.0	0.0	7.16	0.0	0.0	5.37	0.0	1.98	0.0	0.0	4.8	0.0	0.77	0.0	3.46	0.29	1.65	1.9	0.13	4.31	0.0	1.3	0.0	4.89	0.08	1.61	0.0	33.56	38.65	3.25	0.0	7.83	1.88	164.03	125.27	103.08	61.27	76.52	71.98	30.63	28.29	22.96
Gpr20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.39	0.05
Hpcal4	36.41	111.76	1.31	52.38	0.09	0.0	0.0	0.0	71.8	54.03	29.07	2.18	0.0	31.37	0.72	4.15	8.72	26.64	26.96	17.82	29.95	15.21	62.13	65.12	39.13	23.26	26.05	26.6	13.09	5.7	2.32	12.75	0.0	41.05	40.78	23.79	39.32	39.8	79.37	29.83	7.46	12.06	7.63	69.38	75.16	84.41	1.75	24.21	11.0	0.02	145.97	153.66	115.99	152.55	113.48	132.8	617.1	589.7	600.85
Hsph1	0.22	102.03	81.55	10.38	34.32	2.82	29.03	66.56	70.07	111.36	31.12	142.72	0.0	24.98	48.8	76.29	41.2	8.35	54.55	114.17	61.36	89.15	127.85	109.12	0.0	76.48	84.93	86.63	72.28	46.07	118.19	97.31	3.84	55.6	31.53	179.71	100.05	54.03	128.94	107.01	53.82	180.67	6.38	104.62	188.32	121.99	41.43	29.83	0.26	23.92	209.38	210.34	315.47	213.44	193.74	203.15	238.03	226.06	225.17
Il11ra2	0.05	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.64	0.0	0.0	0.1	0.0	0.0	0.0	0.06	0.0	0.61	5.81	3.62	1.27	4.28	1.89	1.73	1.86	1.4
Itgb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.05	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.42	0.0	29.46	28.45	30.72
Itpk1	0.0	0.0	0.0	0.0	3.22	0.51	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.09	0.0	1.63	0.0	2.68	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.16	0.0	25.45	0.67	0.0	3.51	0.0	2.27	0.0	30.24	9.32	0.0	0.0	123.26	46.67	0.0	21.78	2.24	5.71	8.63	0.6	1.04	1.81	1.94	38.87	41.54	45.24
Kcnh3	0.14	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.3	0.94	0.24	0.41	0.57	0.58	113.3	118.14	114.28
Kdelc2	2.65	3.54	1.36	0.65	0.18	2.2	1.42	4.13	4.25	4.2	1.98	2.77	2.18	1.61	1.53	6.59	0.97	1.71	1.52	1.46	1.25	1.15	20.83	2.78	2.52	3.04	2.05	2.62	3.01	21.53	2.75	1.87	2.72	2.14	3.14	2.41	3.4	2.01	2.07	2.23	22.42	22.43	1.47	34.3	3.67	36.24	1.76	2.29	20.69	0.64	3.67	3.35	4.26	2.95	3.35	4.59	6.58	6.75	5.72
