	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_12	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_184	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
Pak3	0.0	0.0	0.0	13.81	66.95	18.69	0.54	123.42	60.87	7.37	25.81	0.06	0.1	0.0	14.32	22.31	10.53	25.91
Plxna2	0.05	0.0	0.0	1.58	38.96	26.22	3.91	37.39	31.74	8.84	3.44	0.0	54.88	19.7	1.35	30.64	2.4	28.88
Ptcd2	0.0	0.0	0.0	0.0	236.75	0.0	0.5	346.36	170.93	301.97	60.15	0.0	0.16	1.07	0.62	61.92	0.17	121.97
Reep1	0.0	0.0	0.0	55.07	110.36	42.53	0.11	100.11	56.48	3.79	75.63	0.0	70.63	0.0	92.38	64.74	43.63	102.51
Rfesd	0.0	0.0	0.0	0.0	96.43	0.0	0.0	103.73	0.6	77.58	71.04	0.0	0.15	0.0	0.0	9.41	17.49	35.04
Rpa3	0.0	0.0	0.0	0.0	74.43	0.0	0.0	248.43	90.03	27.71	44.4	0.0	3.77	0.0	10.69	34.91	50.1	47.36
Scoc	0.0	0.0	40.19	131.31	771.9	244.58	213.84	960.54	709.17	367.97	587.8	75.66	169.59	35.89	375.18	170.11	155.11	522.13
Slc18a2	0.0	0.0	0.0	0.0	55.22	10.88	0.0	191.05	152.22	184.49	5.72	0.0	0.07	0.0	13.22	0.02	27.1	30.69
Slmo1	0.7	0.0	0.22	0.32	248.94	151.22	12.69	159.57	4.44	2.03	0.52	1.27	14.54	7.78	57.46	5.07	90.39	1.48
Smyd3	0.35	0.22	0.25	7.69	2.79	0.52	0.91	130.06	0.97	21.84	0.5	0.0	25.79	1.77	24.23	0.04	21.43	8.25
Tial1	0.0	4.94	0.0	1.68	183.69	30.81	0.1	333.98	278.3	82.88	198.89	0.0	64.52	51.05	68.53	30.94	41.26	32.43
Trim44	0.0	0.14	0.0	0.0	117.37	9.17	56.83	103.84	25.83	0.57	15.25	0.0	63.28	19.22	67.22	9.27	34.0	43.44
Vps53	0.0	0.87	0.0	0.0	125.32	1.01	0.0	85.76	4.43	62.22	65.6	0.0	44.89	3.76	0.1	120.45	44.78	50.59
c17_SSU-rRNA_Hsa	1718.16	2412.47	731.66	5735.38	4104.84	32310.68	18100.4	11644.04	12294.5	15042.54	8008.26	7960.93	62935.79	39573.42	22437.39	28697.02	28103.63	31264.04
c1_tRNA-Ser-TCA(m)	0.0	0.0	0.0	0.0	46.91	0.0	0.0	49.59	0.0	7.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3
c2_tRNA-Ser-TCA(m)	0.0	0.0	0.0	0.0	46.91	0.0	0.0	49.59	0.0	7.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3
cm_tRNA-Ser-TCA(m)	0.0	0.0	0.0	0.0	46.91	0.0	0.0	49.59	0.0	7.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3
l7Rn6	0.0	0.0	0.0	0.0	200.46	0.0	0.0	301.1	279.69	150.26	239.95	0.0	0.0	1.75	0.15	32.54	203.27	161.43
