	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_68	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hspa4l	0.0	0.0	60.05	261.79	53.02	19.89	86.15	73.8	86.7
Jph4	0.0	0.0	0.94	13.99	3.16	0.0	201.25	207.8	201.7
Klhdc10	0.0	0.0	7.3	34.9	1.07	0.0	59.96	58.26	59.26
Lamc1	0.0	0.0	0.0	18.58	0.0	0.0	13.63	13.99	15.23
Lig1	0.0	0.0	0.0	55.34	8.53	0.0	7.87	8.63	7.18
Lime1	0.0	0.0	12.83	91.39	0.61	0.0	57.7	56.82	56.73
Lrrk2	0.0	0.0	1.33	29.2	0.0	0.08	22.78	19.27	21.71
Mapkapk2	0.0	0.0	0.0	38.93	0.0	0.0	23.43	25.16	25.56
Mrps15	0.0	0.0	33.5	143.34	0.0	0.0	51.5	50.25	48.73
Neto1	0.0	0.0	15.24	52.77	0.0	0.1	60.57	55.61	64.06
Opa1	0.0	0.11	43.88	120.86	40.62	4.58	91.34	81.74	84.07
Otud7b	0.44	0.13	29.38	30.02	2.1	0.21	19.77	19.36	19.81
Parp6	0.0	0.0	98.27	206.44	7.55	0.0	110.81	103.98	113.03
Phldb1	0.0	0.0	0.0	0.73	0.0	0.0	56.96	58.98	68.3
Pigq	0.0	0.0	5.65	66.39	9.07	0.0	79.81	85.55	87.13
Pnma3	0.0	0.0	0.0	6.68	0.0	0.1	20.07	21.28	18.21
Prkab2	0.0	0.0	3.46	63.03	0.19	0.0	31.73	29.61	32.56
Psen1	0.0	0.0	24.68	114.88	29.65	0.12	49.29	47.72	47.82
Ptpn11	0.0	5.68	5.24	32.49	7.86	4.62	96.6	96.33	99.54
Rab3ip	0.0	0.0	0.39	70.73	0.0	0.0	30.77	29.14	28.1
Rap2b	40.19	0.0	0.0	16.72	10.15	0.08	40.22	41.06	42.79
Rbm14	0.0	0.0	0.0	49.0	0.0	0.0	25.84	24.81	25.44
Scn1b	0.0	0.0	34.9	43.54	2.94	1.87	508.98	541.93	555.14
Slc25a21	0.0	0.0	0.0	0.37	0.0	0.0	0.39	0.35	0.85
Smndc1	0.0	0.0	6.78	76.38	48.74	0.0	31.34	30.61	28.92
Sobp	0.0	0.0	6.01	33.25	13.12	0.0	43.99	46.81	48.08
Sowahb	0.0	0.0	0.0	38.75	0.1	0.0	16.21	13.31	14.23
Spats2l	0.0	0.0	0.0	57.82	0.95	0.0	15.46	15.95	14.34
Stxbp5l	0.0	0.07	19.0	39.94	26.55	0.08	41.93	33.64	44.5
Trib1	0.0	0.0	0.39	31.34	0.0	0.0	20.64	15.7	8.79
Tspan13	0.0	0.0	70.11	282.02	16.77	0.18	232.21	236.24	228.37
Usp31	0.0	0.0	23.29	38.33	22.98	5.55	37.05	34.03	36.71
Vegfb	0.0	0.0	21.25	63.54	47.07	11.23	69.79	81.7	75.72
Wdr6	0.0	0.0	34.86	142.36	0.0	0.34	94.7	113.38	94.73
Wipf2	2.09	2.29	19.93	43.34	3.5	0.5	28.65	28.68	27.32
Zfp92	0.0	0.0	0.63	0.79	0.6	0.08	1.6	1.56	1.68
c4_tRNA-Ala-GCY_	0.0	0.0	29.65	43.27	0.0	0.0	38.66	35.44	53.91
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
