	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_9
Idi1	0.57	0.0	0.18	0.16	0.11	0.0	1.35	88.48	17.54	48.17	52.8	151.61	418.17	13.85	0.0	0.9	6.49	0.08	0.0	0.81	0.45	0.0	66.3	772.83	0.0
Lpgat1	0.0	0.0	0.0	0.0	23.15	0.0	176.99	25.19	57.55	42.88	24.43	65.91	120.53	0.91	83.01	50.42	22.0	0.14	0.51	0.11	0.09	0.0	48.47	0.29	0.0
Lysmd2	0.0	177.26	0.0	3.63	134.39	0.0	27.69	68.47	218.78	119.68	0.0	77.7	445.34	116.02	4.18	138.84	337.81	0.0	0.62	0.0	0.55	0.0	39.22	0.36	0.0
Mapk10	0.0	0.0	0.0	0.0	111.74	0.0	74.2	119.61	124.01	110.51	105.32	205.67	302.69	62.02	83.82	82.92	35.75	0.12	0.96	15.62	0.37	0.08	149.15	2.36	0.0
Mapk8	0.07	0.0	0.0	0.0	22.67	0.0	0.0	33.9	7.04	21.33	49.09	101.97	62.98	62.17	36.47	6.97	51.93	0.0	0.13	0.13	0.0	0.0	7.19	0.14	0.0
Mir690	26828.41	14983.6	16968.11	8581.37	25738.25	8538.99	30464.78	30528.33	39867.27	42000.18	28695.45	18562.5	14448.88	37370.15	37614.4	24336.09	32522.04	27509.93	44948.68	42282.55	24726.6	35532.88	48007.3	26597.61	19407.6
Mpped1	0.0	0.0	0.0	0.0	11.64	0.0	2.38	34.43	47.41	112.68	27.47	95.62	38.66	41.61	4.05	153.37	7.36	0.2	0.22	0.0	0.0	0.0	7.42	0.38	0.0
Nin	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.55	9.82	5.46	0.0	0.93	36.62	2.03	32.28	0.08	8.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nova2	0.0	7.0	0.0	0.0	0.04	0.0	0.31	25.13	4.55	8.59	0.2	0.14	36.02	0.0	0.0	2.32	9.97	0.0	0.0	0.19	0.0	0.08	6.46	0.05	0.0
Prickle2	0.0	0.0	0.0	0.0	2.86	0.0	0.33	16.32	24.05	45.08	8.04	39.37	78.88	62.79	15.1	6.19	25.19	0.04	0.35	0.0	0.08	0.0	50.74	0.1	0.0
Psip1	0.13	0.0	0.0	0.0	133.82	0.0	23.96	47.15	76.81	44.99	40.59	182.34	235.31	0.0	6.99	10.62	85.63	0.0	0.46	0.0	0.0	0.38	4.16	0.0	0.0
Ptk2b	0.0	0.0	0.27	0.0	69.56	0.0	56.99	65.95	131.41	80.21	114.62	46.77	70.53	53.65	10.04	39.99	50.87	0.08	0.38	0.0	0.0	0.0	11.23	0.53	0.0
Rpl26	0.0	0.0	0.0	0.0	154.23	0.0	330.91	173.63	282.01	164.65	252.21	250.11	126.64	414.44	96.73	189.19	100.88	0.0	0.0	0.0	109.17	0.0	261.59	17.7	0.0
Rsph3a	0.0	0.0	0.0	0.0	37.89	0.0	0.0	43.39	0.0	41.08	16.27	22.39	127.19	0.0	0.0	0.0	48.71	0.0	652.01	0.0	0.0	0.0	5.63	0.0	0.0
Scamp1	0.0	0.0	0.0	0.0	80.83	0.13	117.47	73.59	343.39	64.59	42.13	203.8	261.64	255.09	184.74	187.11	217.69	0.59	0.41	0.43	0.0	0.0	109.31	1.04	0.0
Slc25a17	0.0	0.0	0.0	0.29	49.75	0.0	254.48	108.98	150.22	99.72	80.82	0.14	275.17	195.29	122.02	100.28	211.28	0.0	0.89	0.47	0.0	57.88	71.56	856.43	273.09
Slc35a3	64.02	0.0	0.0	0.0	0.04	0.0	0.0	4.66	0.0	0.0	0.0	71.96	74.4	2.0	0.0	2.61	0.0	0.0	0.18	0.54	0.0	0.0	0.04	0.33	0.73
Slmo1	0.0	0.0	0.0	0.0	0.95	0.22	1.87	0.31	0.0	1.7	1.62	149.6	139.95	12.09	12.99	39.38	14.46	0.25	642.04	0.37	0.32	0.0	0.83	0.19	0.46
Snord116	0.0	0.0	0.0	0.0	8.03	0.0	35.0	5.77	12.39	3.1	19.25	18.99	22.92	21.53	0.0	4.89	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	8.03	0.0	35.0	5.77	12.39	3.1	19.25	18.99	22.92	21.53	0.0	4.89	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	8.03	0.0	35.0	5.77	12.39	3.1	19.25	18.99	22.92	21.53	0.0	4.89	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0
Sprr2a1	0.0	0.0	0.0	0.0	0.77	0.09	0.0	0.34	0.36	0.88	0.07	0.2	0.06	1.29	0.1	2.56	0.2	0.0	1.82	0.0	0.25	0.0	0.09	1.01	0.0
Sprr2a2	0.0	0.0	0.0	0.0	0.77	0.09	0.0	0.34	0.36	0.88	0.07	0.2	0.06	1.29	0.1	2.56	0.2	0.0	1.82	0.0	0.25	0.0	0.09	1.01	0.0
Sv2b	0.0	0.0	0.0	0.0	250.41	0.0	1.21	186.25	125.65	183.33	69.62	133.32	261.45	136.84	13.88	158.8	96.13	0.18	0.67	0.0	0.48	0.0	167.42	0.46	0.0
Tufm	0.0	0.0	0.0	0.0	7.24	0.0	184.21	118.36	78.14	65.31	83.29	121.31	223.95	91.95	1.67	4.0	4.06	0.58	1.31	0.0	0.39	0.0	8.76	0.75	0.0
Zfp871	0.11	277.0	0.0	0.0	70.17	0.08	47.14	1.08	14.1	49.12	0.56	29.51	84.9	39.36	34.64	33.94	22.48	353.83	0.42	316.41	3.1	0.0	12.36	0.16	0.31
c8_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.44	0.0	11.13	56.67	49.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
