	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5430411K18Rik	15.81	0.04	0.52	0.46	0.0	17.93	0.79	3.58	0.07	0.18	0.16	0.15	0.1	0.37	0.16	0.17	0.04	0.24	17.28	0.63	3.72	0.79	0.11	0.17	10.65	0.13	3.2	37.23	0.2	0.09	0.32	0.13	0.26	0.3	3.32	2.77	0.9	0.46	1.76	1.29	2.56	4.08	1.41	3.36	0.24	10.53	0.28	0.26	5.79	1.2	20.29	18.73	19.51
6330403A02Rik	2.6	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.64	8.93	9.97	0.0	3.92	4.68	6.23	0.0	0.12	13.97	20.93	3.22	20.48	11.06	0.0	0.0	0.0	1.62	0.0	0.05	0.0	0.06	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.61	129.26	131.62
9030224M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.1	0.0	82.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.49	0.0	0.0	0.0	0.0	141.05	0.0	4.49	0.0	13.01	3.6	17.34	30.91	4.37	9.84	8.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	1.6	2.69
A230108P19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	1.87	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.0
A530054K11Rik	0.26	0.0	0.08	0.17	4.83	0.14	0.0	0.2	0.09	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.23	0.0	0.6	0.12	0.54	0.0	0.06	3.77	0.56	0.09	1.15	7.74	0.0	0.13	0.1	0.0	0.22	0.09	1.19	1.87	1.43	9.36	12.91	0.09	4.82	4.96	5.02	0.0	0.0	0.07	0.0	0.13	0.09	0.0	6.52	4.64	6.71
AI854517	0.0	0.0	0.0	0.0	0.18	0.0	6.38	0.0	0.4	0.0	0.0	0.0	33.92	0.0	0.0	0.0	0.0	1.21	0.06	2.43	72.72	0.0	0.0	0.0	0.84	0.0	0.0	137.84	32.46	0.0	0.07	0.0	23.9	0.0	7.7	11.89	8.09	11.51	8.53	4.32	8.69	7.33	6.71	14.76	39.84	0.0	0.0	6.82	0.0	2.05	22.64	22.37	22.72
Adam11	2.23	0.0	55.8	6.11	26.37	0.38	0.1	0.0	0.23	0.48	0.0	0.07	0.06	0.0	0.0	2.51	0.0	34.94	45.44	5.92	2.18	0.47	0.54	0.0	26.29	4.17	0.1	65.59	0.0	5.81	13.36	39.68	43.54	0.37	22.98	1.77	5.43	6.81	10.93	0.12	4.8	6.01	5.44	5.54	0.06	0.52	72.13	0.0	0.0	0.33	100.2	105.1	100.46
Ahcyl2	6.68	0.0	26.07	38.34	0.0	42.41	24.55	0.0	8.95	0.0	16.1	0.0	0.0	21.63	0.05	3.52	0.28	5.22	10.88	0.0	0.0	6.16	0.0	17.07	61.94	0.0	0.64	36.02	3.69	0.0	0.0	0.0	71.17	0.0	8.5	9.66	12.27	10.48	7.01	0.22	4.45	10.88	10.35	18.72	0.0	0.0	0.0	0.85	0.0	30.64	82.33	79.45	81.05
Aldh9a1	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	38.2	0.0	0.0	0.0	0.0	0.0	1.36	5.71	0.0	0.08	0.0	0.0	57.34	0.11	0.0	0.0	0.0	0.0	72.14	0.0	2.16	73.07	0.0	0.0	0.0	3.0	1.52	5.78	0.0	7.83	3.83	1.68	2.53	6.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.88	24.6	24.66
Amotl1	0.0	0.0	0.79	0.1	1.8	0.19	0.32	65.84	0.1	0.0	0.0	0.07	0.0	0.11	0.0	0.0	0.01	0.02	0.21	0.15	0.06	0.03	0.0	0.0	0.05	0.04	3.29	0.05	0.0	0.3	0.07	0.0	3.89	0.7	4.81	5.12	3.21	7.99	0.96	2.92	1.11	2.5	0.96	0.04	0.0	0.12	0.0	0.1	0.0	0.05	9.3	9.24	10.01
Aoc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.03	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.03	0.0	0.25	0.56	0.31
Arfip2	6.51	5.52	40.1	47.3	80.24	18.4	0.14	95.65	0.0	0.0	0.2	0.0	0.0	0.0	4.34	0.0	0.0	0.0	0.95	15.92	0.0	0.0	0.0	8.07	0.0	56.77	0.0	88.17	0.0	41.13	36.89	0.0	0.0	13.96	15.32	14.91	41.18	17.26	10.12	15.26	18.32	17.89	14.57	40.04	0.0	39.49	181.89	12.39	75.35	1.14	65.0	68.22	65.46
Arrdc3	0.0	0.0	0.0	0.0	57.55	3.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.68	0.05	35.66	0.0	0.0	0.0	0.0	21.82	46.95	68.26	243.34	0.0	0.0	66.25	13.25	0.0	0.0	13.7	8.95	3.35	13.61	12.59	11.22	27.08	14.29	16.78	0.0	0.0	0.0	109.63	0.0	0.0	0.0	29.72	31.68	29.86
Atp11a	0.09	0.0	0.0	0.0	15.88	16.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.57	0.0	0.13	0.03	5.28	0.0	15.44	0.0	0.0	0.0	0.0	0.0	39.32	0.0	0.04	0.0	0.0	0.0	0.0	3.39	2.85	2.06	3.09	1.43	2.54	2.25	1.87	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.68	25.8	28.44
Atp6v1c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98	0.0	20.12	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	2.88	1.64
BC055324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.9	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.35	0.96
Bglap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.58	0.36
C1ql3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	3.34	2.33	0.0	71.85	0.0	1.48	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.21	0.0	0.0	0.0	0.0	0.0	25.71	0.0	0.0	0.0	0.0	0.0	35.98	117.91	110.24	121.65
Cadm2	25.9	51.88	16.12	0.2	51.41	27.45	102.07	74.61	5.97	0.17	60.27	0.28	23.33	0.05	26.95	26.34	33.8	16.66	3.18	58.81	29.43	79.4	38.86	2.87	32.58	52.8	112.78	161.71	5.41	15.24	19.62	10.74	85.53	413.12	48.36	41.68	53.0	34.24	38.7	46.52	54.68	35.36	37.39	14.6	61.61	11.18	0.09	63.82	40.15	18.64	83.14	65.9	81.87
Capn2	0.0	0.0	18.64	0.0	0.0	2.02	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.45	0.0	0.14	0.0	0.0	21.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	4.93	9.81	6.03	10.18	6.49	2.9	3.66	5.0	0.0	0.0	0.15	0.0	0.0	0.0	36.69	61.25	63.62	61.62
Cbr4	0.0	0.0	0.0	0.0	0.0	0.0	53.45	0.0	0.0	0.0	0.3	536.09	0.0	0.0	0.0	22.79	0.0	0.0	0.21	57.31	1.22	72.28	0.0	0.0	2.98	0.0	38.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.41	9.95	5.86	49.14	98.71	35.52	40.36	36.32	25.08	304.69	0.0	0.0	0.0	0.0	0.0	238.85	18.33	16.59	17.71
Cct8l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.29	0.21
Cd101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.17	0.16
Clcn2	0.94	0.12	0.0	0.0	2.73	2.74	0.25	14.51	0.1	0.68	0.27	28.52	0.07	0.0	0.0	0.0	0.19	0.0	68.63	4.42	24.92	11.85	0.0	0.41	27.18	11.18	17.43	21.68	0.0	0.08	16.6	0.0	27.33	0.0	10.38	0.0	1.96	0.74	6.24	0.05	2.85	3.96	0.95	17.47	0.0	0.13	0.0	0.0	0.0	25.97	45.55	48.57	47.78
Cntnap1	9.31	1.36	5.05	0.0	10.48	2.97	4.74	32.75	0.45	0.07	2.24	0.0	0.0	18.39	0.0	16.67	0.65	13.52	26.08	1.82	0.12	14.63	0.0	15.09	2.66	4.56	1.68	39.17	0.17	19.62	4.31	0.48	0.71	8.4	4.26	2.18	7.43	11.16	8.1	1.71	7.76	6.74	6.09	8.16	0.0	0.09	0.08	0.0	0.1	9.99	146.45	139.24	144.43
Col4a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.26	0.14
Cstl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.03	0.0	0.0	0.0	0.0	23.01	0.0	0.0	0.0	1.53	0.0	0.0	0.0	1.59	0.0	0.0	0.0	0.0	35.01	0.0	0.0	0.0	0.0	0.68	0.8	0.53
Cxxc5	44.87	70.76	9.36	0.0	17.93	13.77	0.81	0.0	58.58	130.05	0.0	197.23	0.0	0.0	3.57	15.16	1.09	0.0	24.64	37.7	33.9	38.15	3.95	20.56	28.35	0.0	24.19	177.86	0.0	0.13	28.8	3.21	23.5	0.0	12.4	15.04	17.28	14.04	3.88	17.48	18.6	8.67	9.48	30.96	0.0	0.0	0.0	0.13	162.53	29.87	78.58	82.01	79.57
D030045P18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.17	0.0	0.0	0.0	0.13	0.0	0.21	0.33	0.0	0.0	0.08	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0
Dcp1a	0.0	0.0	0.11	0.0	0.0	0.0	51.56	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	42.04	1.42	0.0	0.0	0.0	0.0	0.0	0.09	0.0	32.78	68.58	0.08	0.0	0.0	0.0	9.57	0.0	5.56	3.72	1.21	1.31	3.95	1.64	3.99	4.12	3.55	0.0	0.0	0.0	0.0	0.0	0.0	3.3	13.96	13.69	12.3
Ddr1	0.19	0.0	8.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3	0.0	0.0	0.07	0.0	0.0	0.0	0.0	7.06	0.0	1.48	1.77	0.6	0.9	0.28	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.01	57.35	57.3
Dennd4c	3.06	0.0	2.13	0.0	9.39	0.0	44.34	0.0	0.18	0.0	0.05	9.3	0.0	0.0	0.0	2.09	0.18	0.0	0.16	0.06	0.31	1.26	0.0	0.0	0.91	0.05	0.07	19.59	1.81	0.31	11.44	3.95	0.1	0.0	1.26	3.38	3.51	2.73	1.45	0.45	1.96	2.37	1.89	1.86	25.41	24.65	0.0	3.42	0.0	0.03	9.12	8.66	10.1
Dhcr7	61.52	0.0	40.11	0.0	29.22	86.04	0.0	120.9	0.0	0.0	0.0	0.0	57.03	0.0	0.0	0.0	52.81	0.0	0.0	0.0	60.2	0.0	0.0	14.08	54.03	0.0	0.0	119.83	0.17	0.0	0.0	0.0	0.0	0.0	34.14	4.45	1.12	24.8	37.82	37.17	22.76	28.46	17.99	90.13	0.0	0.09	31.56	18.34	0.0	0.89	27.41	29.23	29.58
Dhrs11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.91	5.83	6.1
Dirc2	5.55	0.39	27.09	0.41	30.89	1.02	10.57	0.22	0.87	0.24	0.0	0.0	0.01	0.21	1.03	0.63	0.51	1.32	1.08	17.88	51.73	1.74	0.33	1.0	1.17	4.29	1.96	8.77	1.03	0.5	1.7	0.46	20.35	1.5	4.33	11.04	1.04	2.73	2.0	4.95	5.09	10.13	8.35	0.89	0.14	0.49	1.14	2.88	0.0	34.61	38.97	41.16	39.36
Dlg4	0.62	1.58	4.38	4.92	18.92	2.37	10.18	0.0	9.16	0.0	0.18	0.2	1.05	0.67	0.57	6.73	0.42	1.38	1.48	0.1	0.4	35.8	0.0	0.18	3.57	3.3	2.38	0.3	0.42	0.79	0.8	7.32	0.35	0.27	5.1	3.11	0.69	3.65	8.81	7.75	3.76	3.92	3.13	0.29	0.85	0.11	1.21	0.37	1.36	0.3	535.98	535.3	542.17
Dnm3os	0.0	0.45	0.0	0.0	5.82	0.0	2.74	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	23.91	0.0	0.0	0.0	0.0	0.0	0.0	4.15	1.69	0.07	1.3	0.0	0.05	1.52	1.37	1.43	12.16	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.01
E130308A19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	0.0	29.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.07	0.0	3.08	0.07	0.55	1.89	0.12	2.11	0.0	0.0	0.0	0.0	11.83	0.0	0.0	5.83	6.61	7.05
Eif3b	0.23	0.07	84.47	26.39	3.79	0.0	0.46	0.0	8.38	174.77	100.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.15	0.0	0.11	45.19	0.0	0.0	20.0	1.45	0.13	105.68	0.0	0.3	0.82	0.0	61.34	11.25	0.96	18.92	14.71	8.64	11.2	13.77	11.65	9.74	9.47	55.29	83.29	0.0	67.41	0.1	0.16	0.0	73.74	78.47	72.41
Fam134b	59.72	32.16	5.17	0.0	113.1	0.0	5.54	6.82	178.71	0.22	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.15	26.6	42.85	118.97	0.0	22.87	15.44	113.22	13.34	181.64	0.0	22.23	54.7	44.47	21.17	0.0	31.47	60.63	52.73	63.27	48.74	45.49	58.73	38.67	33.4	103.84	0.09	84.48	0.0	43.5	54.81	4.01	34.92	35.63	37.51
Fasn	18.0	0.04	0.3	0.0	13.23	0.0	0.0	1.63	0.0	0.0	3.65	0.0	0.0	0.0	0.0	0.23	0.0	0.03	5.44	0.13	0.0	11.22	0.0	0.0	5.4	1.83	0.0	16.33	4.94	0.03	1.81	0.0	6.54	0.0	2.36	3.97	1.74	3.25	6.01	3.54	2.75	2.63	5.61	1.18	10.36	0.0	0.0	0.0	0.64	0.17	77.8	80.97	82.98
Fbxl14	1.3	0.0	0.46	0.44	10.82	1.47	0.57	0.07	0.27	0.12	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.07	1.46	0.77	2.2	0.0	0.0	0.23	0.65	0.65	0.33	2.55	0.19	0.53	0.67	0.77	0.84	1.52	2.04	1.53	1.55	3.9	1.61	0.09	1.11	1.61	1.6	0.29	0.01	0.0	0.1	0.17	0.85	0.68	15.44	17.6	15.44
Fgf18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	3.15	1.82
Flnb	19.07	13.69	0.29	22.82	0.68	1.15	1.47	0.03	0.0	6.23	0.0	0.04	0.12	0.23	0.0	0.04	0.0	15.36	9.73	17.19	0.69	0.0	4.43	0.0	5.3	0.17	0.0	0.0	0.39	17.31	4.65	0.0	0.0	0.15	0.12	7.31	3.88	2.02	0.11	5.54	3.37	0.45	1.85	0.0	0.0	0.0	0.19	0.3	0.0	7.23	31.47	27.21	33.32
