	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_73	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_103	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_14	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_27	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gstp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	2.26	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.77	0.64	2.8
Hcn1	0.0	0.0	0.04	12.59	0.24	0.0	0.0	0.15	0.02	0.0	0.03	0.15	12.88	4.69	0.0	0.24	0.63	0.09	0.11	7.63	3.4	17.92	14.06	0.0	0.0	1.2	0.0	0.14	0.0	0.0	0.0	0.41	0.11	0.0	28.29	25.28	29.23
Il11ra2	0.24	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.12	0.0	0.0	0.0	0.05	0.0	1.61	0.04	0.0	2.02	0.05	0.26	0.09	18.78	0.53	8.6	0.0	0.11	0.0	0.0	22.17	0.0	0.14	0.17	1.73	1.86	1.4
Kif16b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	23.21	0.0	0.0	35.92	0.0	0.0	16.86	27.86	6.12	32.12	0.0	0.0	0.0	0.0	0.0	8.75	0.0	0.16	0.0	0.0	0.0	8.55	8.36	8.31
Kl	0.0	0.0	0.18	0.08	0.0	0.0	0.17	0.1	0.1	0.04	0.42	0.08	0.0	0.16	0.13	0.0	0.48	0.15	0.09	0.33	0.39	0.43	0.75	0.16	0.13	0.18	0.13	0.13	0.0	0.0	0.17	0.0	0.04	0.13	2.87	2.67	2.39
Loxl4	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	0.0	0.24	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.17
Lpin1	8.97	0.0	0.0	0.0	66.35	0.0	0.0	0.09	1.15	0.03	23.71	0.0	0.0	2.9	0.0	0.0	2.77	0.04	36.13	42.03	63.25	0.0	59.42	0.0	0.0	53.96	0.0	0.0	0.0	77.77	32.04	0.0	0.12	0.0	13.97	14.19	13.13
Lsm12	0.0	53.73	0.08	15.8	0.0	0.0	0.0	0.0	81.98	95.45	0.17	0.0	55.46	25.18	0.0	0.0	31.05	0.09	0.0	79.76	45.16	55.15	55.91	6.4	1.63	12.91	0.0	0.0	0.0	0.0	2.16	0.46	0.0	2.24	30.75	28.34	27.77
Pabpc1	0.69	0.46	11.67	7.24	39.49	0.9	58.22	99.88	7.47	24.9	70.37	8.27	36.61	3.3	5.44	13.43	72.38	71.73	5.65	77.43	41.39	19.14	72.31	47.31	25.01	98.75	3.69	3.78	1.95	8.95	9.42	8.0	4.8	71.07	117.21	122.41	111.85
Palm2	0.0	59.71	0.06	52.77	0.99	6.91	0.0	2.88	47.74	47.42	41.6	4.13	0.53	10.59	14.51	82.92	0.07	61.39	38.68	36.64	42.97	0.04	107.97	4.95	40.74	40.29	0.0	0.15	6.78	0.0	49.86	0.26	25.24	0.0	21.01	17.83	20.89
Ppargc1a	0.2	0.09	0.07	0.27	10.62	0.0	0.0	14.75	0.09	4.9	8.55	0.0	0.0	5.31	0.0	0.0	41.77	0.02	35.57	2.62	27.98	5.99	10.46	0.1	0.0	38.87	0.0	0.0	0.07	0.0	6.41	0.42	0.15	0.0	22.55	21.23	22.42
Rassf2	0.13	0.25	0.22	3.43	0.82	0.27	2.27	0.0	19.37	2.1	4.28	2.94	0.25	0.17	0.12	3.14	15.5	1.59	0.68	82.76	0.39	18.09	71.21	1.3	0.34	82.87	0.0	1.68	0.17	0.16	0.18	15.42	10.65	0.0	29.35	29.69	31.74
Rgs4	3228.45	4969.56	4793.66	5481.44	5464.61	3996.83	1297.65	4201.26	5873.8	5539.67	4276.53	4053.59	3788.71	3698.23	3806.0	4166.93	3408.95	5219.32	5037.98	628.47	5187.94	4470.78	4495.9	3593.95	3617.88	6274.8	5381.62	3292.99	2719.87	5420.33	5598.27	3769.97	3843.25	6781.39	495.03	470.64	483.11
Sec24c	3.8	0.27	9.08	0.0	23.62	44.24	0.0	30.46	0.29	28.5	0.09	0.37	0.0	0.6	0.0	0.0	1.5	32.37	17.65	57.42	12.77	0.0	102.65	17.06	44.94	83.55	0.0	2.9	19.49	0.15	0.57	2.95	7.26	7.2	54.15	52.33	54.16
Sms	0.0	9.25	1.03	0.0	0.28	0.0	0.0	61.99	1.75	51.08	243.1	38.9	0.0	50.52	0.0	0.0	114.48	120.8	40.45	145.75	40.21	128.22	89.3	140.41	5.38	143.6	0.0	0.0	0.0	0.0	0.25	0.32	18.8	16.88	86.08	86.61	80.41
Taf1b	2.37	0.0	112.88	14.9	0.0	0.0	0.0	60.89	172.26	3.13	154.57	0.21	0.0	9.16	42.68	0.0	77.91	147.14	202.87	315.06	193.41	1.17	302.67	10.02	0.0	297.78	28.03	43.31	0.0	0.0	0.0	0.27	0.69	3.15	23.28	25.5	24.56
Tanc1	0.0	0.07	29.51	17.49	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.1	15.16	0.11	0.0	0.0	10.54	0.01	0.0	23.79	0.73	54.88	39.17	0.11	1.38	37.62	0.0	0.98	0.0	0.0	0.0	0.27	53.44	2.75	13.46	13.48	14.58
Ttyh3	0.0	0.0	0.06	0.0	2.12	8.69	0.0	0.0	2.24	10.77	0.8	0.0	0.4	0.45	0.05	0.0	6.53	0.0	0.0	7.79	2.34	8.59	12.37	3.43	5.94	0.99	0.0	0.0	0.0	0.0	0.0	3.24	1.32	10.21	133.49	133.67	145.53
Zfp810	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.96	46.42	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	103.54	0.03	121.91	0.05	0.0	139.51	0.0	0.2	0.0	0.0	0.17	0.0	0.0	0.0	70.47	0.0	0.0	13.14	12.89	13.37
