	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_61	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_30
A630089N07Rik	320.2	256.77	208.79	59.76	0.0	765.34	343.67	442.74	813.72	421.92	128.35	250.09	249.28	277.12	132.98	312.13	201.77	307.14	260.74	369.88	238.37	225.76	280.09	228.81	320.41	315.65	259.78	243.08	261.79	255.2	206.36	347.86	232.85	387.18	216.27	727.24	224.28	278.7	238.13	252.1	283.84	604.07	607.34	551.68	1124.24	514.5	171.31	65.9	158.33	223.88	396.46	210.6	145.81	165.04	80.65	122.79	569.33
A930011O12Rik	0.94	70.02	0.07	0.0	0.0	295.51	170.76	88.3	206.8	110.67	0.0	22.81	0.21	29.95	0.11	7.37	26.68	35.11	0.66	2.81	0.07	0.0	0.1	3.56	0.48	1.83	113.36	0.0	2.5	29.53	0.26	0.0	1.38	0.07	26.68	14.84	23.78	39.66	38.61	1.02	0.0	56.87	54.86	3.05	121.33	1.06	0.0	0.18	0.0	54.19	11.18	0.0	16.2	1.57	2.29	0.0	553.37
AU019990	0.0	0.33	0.0	0.97	0.0	0.85	0.18	0.53	0.0	0.25	0.0	0.0	0.09	0.36	0.0	0.12	0.24	0.0	0.0	0.25	0.13	0.51	0.4	0.18	0.0	0.12	0.15	0.0	0.0	0.0	0.0	0.56	0.8	0.14	0.0	0.37	0.29	0.18	0.0	0.25	0.32	1.48	0.98	0.47	0.75	0.26	0.11	0.0	0.0	0.25	1.0	0.0	0.11	0.15	0.05	0.0	1.71
Amy2a2	0.3	0.17	0.0	0.0	0.0	0.49	0.15	0.09	0.49	0.51	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.31	0.08	0.31	0.17	0.09	0.22	0.55	0.25	0.31	1.4	0.21	0.0	0.0	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.17
Amy2a3	0.3	0.17	0.0	0.0	0.0	0.49	0.15	0.09	0.49	0.51	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.31	0.08	0.31	0.17	0.09	0.22	0.55	0.25	0.31	1.4	0.21	0.0	0.0	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.17
Amy2a4	0.3	0.17	0.0	0.0	0.0	0.49	0.15	0.09	0.49	0.51	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.31	0.08	0.31	0.17	0.09	0.22	0.55	0.25	0.31	1.4	0.21	0.0	0.0	0.02	0.0	0.06	0.09	0.08	0.12	0.13	0.0	0.17
Atp11b	5.22	0.0	0.32	0.0	0.0	0.03	14.08	0.0	66.33	22.15	0.0	9.11	0.02	23.09	0.03	1.06	21.47	0.05	13.06	8.46	24.38	7.51	0.0	5.84	5.04	14.53	1.58	0.0	4.14	18.55	24.64	7.84	0.72	0.0	13.51	67.44	0.0	1.01	1.73	19.4	22.61	71.94	26.27	4.65	77.11	27.3	0.0	0.0	22.99	20.08	0.62	0.0	0.13	12.99	0.0	0.0	66.5
Cd200r2	2.62	7.8	3.81	0.7	0.0	17.35	2.36	12.2	9.41	6.12	0.0	5.08	3.83	4.83	2.09	6.08	1.95	5.17	5.32	4.62	4.15	2.99	5.55	1.7	6.01	4.31	7.51	2.96	5.15	3.62	2.62	5.76	4.38	3.9	5.39	10.11	5.64	5.54	3.59	4.85	6.9	17.04	12.03	7.92	16.45	9.87	0.0	0.0	3.02	5.82	4.69	2.28	2.54	1.35	1.86	0.0	12.7
Chd1	2.47	1.28	0.0	0.0	0.0	3.36	0.0	14.39	2.34	0.0	5.61	2.49	0.01	3.43	6.86	0.53	0.91	1.12	4.47	1.74	0.31	13.14	0.0	10.9	1.82	0.62	1.76	0.04	0.8	0.75	1.7	4.8	6.01	2.44	0.44	4.09	0.62	1.53	0.0	0.12	2.37	24.58	9.39	2.5	11.11	7.68	0.0	0.22	1.18	17.64	3.95	0.37	4.98	0.23	1.45	0.0	29.4
Coq9	0.0	11.06	185.84	0.0	0.0	0.07	202.97	153.79	263.04	101.55	0.0	0.1	0.09	0.0	0.1	0.4	59.07	98.83	34.64	0.0	82.47	16.25	0.0	44.81	0.0	168.77	160.87	100.84	0.0	0.0	6.39	291.67	145.2	0.0	48.82	137.9	0.0	0.0	95.97	41.5	0.0	186.92	71.12	138.06	0.1	204.26	0.0	0.0	0.0	15.48	83.05	209.88	19.98	0.0	0.11	0.22	405.81
Csf2rb2	2.0	3.1	4.1	0.0	0.0	11.9	4.7	6.58	2.85	6.1	0.0	2.15	1.27	1.55	0.95	3.55	2.44	2.2	1.67	4.01	3.48	3.97	2.35	2.06	4.47	2.78	4.05	5.72	2.31	2.84	2.21	3.73	3.5	6.68	3.5	8.26	1.22	3.31	1.55	1.43	4.28	11.43	7.58	5.63	11.36	4.92	0.0	0.0	3.02	2.13	5.57	3.99	2.9	1.79	2.04	0.0	4.58
D19Bwg1357e	41.61	26.38	40.77	0.0	0.0	12.16	17.43	45.31	136.2	49.94	0.0	19.01	20.4	37.08	50.16	0.15	58.64	3.81	10.26	0.0	20.57	5.69	6.08	0.0	59.37	27.76	0.0	36.15	55.85	25.3	0.73	15.49	0.0	2.34	0.06	0.16	0.0	45.47	0.0	0.14	0.03	33.36	35.5	24.7	11.48	55.13	0.0	0.0	0.0	34.01	0.1	29.78	1.57	2.45	71.18	2.26	175.34
D830005E20Rik	24.56	46.12	34.7	0.51	0.0	102.78	34.18	77.9	81.76	45.27	8.22	43.2	38.87	39.94	22.8	42.79	27.24	31.72	39.1	51.0	36.78	38.37	43.6	36.18	35.41	46.38	33.51	28.42	21.2	28.14	30.94	41.54	24.37	38.6	25.88	102.41	25.88	44.86	36.63	24.85	26.53	105.97	82.94	52.92	116.21	66.25	0.0	16.24	22.11	35.17	48.22	46.6	33.34	16.3	12.18	0.12	67.53
Ddhd1	5.31	4.73	0.05	0.0	0.07	56.65	0.04	6.09	0.0	0.0	0.0	12.18	5.17	2.5	0.03	19.18	0.0	0.07	0.76	8.94	0.98	0.08	1.2	0.72	0.17	2.21	14.5	0.23	2.21	10.78	6.58	15.41	0.0	2.06	0.0	1.28	0.0	0.0	0.05	0.12	0.0	26.38	10.59	45.14	0.22	1.99	0.0	0.0	0.4	0.86	8.71	20.42	0.0	0.0	0.0	0.0	81.83
Ddx46	0.11	1.67	7.04	0.08	0.0	0.0	28.23	84.37	8.51	11.32	0.0	23.4	6.41	0.02	0.09	5.55	54.07	1.78	7.23	15.96	16.2	28.31	35.72	11.15	7.45	29.24	6.98	5.1	3.54	11.58	0.97	4.6	2.13	4.4	3.02	11.92	0.29	13.7	7.24	9.76	12.82	9.1	32.33	11.48	17.08	24.72	0.0	0.0	4.24	6.18	5.46	0.0	4.55	0.11	10.74	0.0	51.75
Dip2b	20.67	54.91	36.34	0.0	0.0	102.41	52.72	68.64	135.37	0.06	0.0	74.3	59.14	25.49	38.86	0.21	17.25	51.18	0.12	0.08	42.57	91.72	0.34	48.83	13.38	46.16	51.28	31.32	55.19	18.15	31.41	30.65	0.12	24.76	37.31	137.16	0.12	28.39	33.07	32.57	32.54	161.2	54.98	117.97	178.88	191.76	285.24	120.37	30.2	49.43	56.52	20.97	45.87	32.68	36.81	0.05	134.28
Eif2ak2	15.23	20.32	12.47	15.54	0.13	56.4	25.8	39.04	68.87	21.98	0.0	10.67	15.4	20.0	8.9	17.16	12.79	21.23	15.35	22.2	15.13	17.43	22.93	14.71	22.3	10.78	24.01	15.68	14.96	13.67	20.36	29.86	19.52	22.68	16.71	61.7	18.91	15.03	12.96	18.42	17.03	48.34	49.14	40.92	89.81	45.45	8.75	0.0	17.72	18.42	25.36	22.67	14.06	15.05	10.0	0.08	55.12
F830016B08Rik	18.08	14.56	9.07	0.46	0.0	65.06	26.35	29.41	52.16	16.82	0.0	8.32	10.69	9.26	2.41	21.39	2.0	15.28	9.83	24.37	15.52	18.39	13.18	17.55	10.67	8.51	18.88	4.88	13.82	14.05	6.14	19.28	17.17	17.49	26.6	28.92	12.72	23.33	9.54	7.1	20.94	21.19	24.43	36.94	22.13	34.57	0.35	0.42	8.71	15.39	19.35	7.7	9.88	18.63	1.29	0.36	37.31
Fgf5	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.05	0.0	0.13	0.0	0.0	0.0	0.0	0.18	0.09	0.0	0.0	0.0	0.07	0.0	0.24	0.0	0.14	0.0	0.63	0.0	0.0	0.0	0.23	0.1	0.08	0.11	0.35	0.13	45.71	0.0	0.16	0.0	0.0	0.14	0.0	0.08	0.0	0.0	0.0	0.58
Galntl6	0.0	16.36	0.26	0.0	0.22	160.47	132.93	18.09	406.76	61.53	0.0	0.11	0.25	0.46	0.22	69.29	0.34	0.38	0.27	0.21	0.36	0.23	20.27	0.18	0.22	0.09	25.11	0.1	0.15	0.14	0.13	49.2	0.38	26.37	0.04	0.9	0.37	0.34	0.16	0.18	0.42	47.13	20.21	123.95	1.36	133.5	1.89	0.21	0.0	0.14	110.57	0.29	0.6	2.05	0.04	561.93	217.67
Gm11127	13.63	21.84	11.65	0.36	0.0	72.64	25.63	39.47	48.92	38.55	0.0	13.55	20.49	13.79	6.89	35.21	4.98	9.19	12.41	35.18	21.92	17.88	5.03	11.15	17.68	37.11	42.92	27.56	14.59	14.83	25.53	3.65	23.73	15.2	18.99	21.06	15.97	26.28	18.04	16.98	25.76	49.01	31.23	83.07	125.4	53.64	0.0	0.0	11.06	15.52	24.54	21.82	8.75	10.28	1.58	0.0	88.55
Gm17821	159.2	144.83	109.53	73.59	0.1	373.77	152.27	212.78	392.7	204.39	61.65	108.53	139.94	149.2	83.86	160.33	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	138.45	152.69	111.04	147.65	141.67	132.54	99.22	162.69	155.3	179.51	109.01	346.81	105.43	150.54	115.41	117.21	136.93	326.66	293.73	258.19	540.23	277.53	149.06	29.62	95.33	105.99	202.83	117.85	86.22	102.26	55.36	24.98	235.19
Gm5860	0.0	1.79	5.14	1.71	0.0	11.98	0.67	7.78	6.84	0.56	0.0	1.48	5.44	3.97	0.16	0.0	2.14	2.22	0.0	2.53	2.16	4.69	2.44	0.0	1.27	0.46	0.0	6.94	5.14	0.38	3.74	0.0	3.44	1.27	1.57	5.24	0.0	1.88	8.76	5.06	1.53	15.35	5.19	6.74	5.88	3.62	0.0	0.0	2.06	0.86	3.34	3.46	0.35	1.11	4.98	0.04	21.36
Gm6602	4.77	12.5	7.68	0.52	0.0	24.44	15.91	21.84	36.43	13.79	0.0	7.56	6.07	11.66	6.01	5.63	3.38	9.9	4.91	11.81	5.48	8.78	10.67	6.99	3.86	6.04	7.61	7.64	7.87	7.79	4.6	17.8	10.18	7.96	10.96	21.59	12.53	9.4	3.91	8.37	8.31	20.59	19.55	23.17	28.92	33.83	0.86	0.0	6.74	9.16	10.16	7.54	7.86	4.48	4.04	0.0	15.68
Grk4	275.35	249.85	231.81	117.51	0.0	647.38	336.76	417.05	787.67	399.75	150.12	236.99	245.04	240.48	102.42	241.45	169.68	283.81	240.39	306.53	210.57	195.29	285.03	180.95	275.11	257.46	241.86	250.51	228.18	197.09	147.67	310.08	214.23	294.46	180.43	621.87	163.58	259.05	198.1	194.5	226.99	585.18	499.88	364.34	938.33	495.75	214.73	129.91	179.18	198.88	371.08	169.99	151.93	154.37	84.18	32.88	428.72
Iars	1.3	6.04	9.91	0.0	0.0	97.87	3.19	84.65	138.3	72.74	0.0	7.78	112.86	145.93	3.5	4.54	87.05	2.03	6.91	0.34	15.22	59.26	0.27	19.22	0.06	0.0	7.94	3.17	0.96	7.74	0.0	10.12	0.0	136.16	0.0	0.14	0.79	0.26	76.72	11.76	2.78	33.1	10.46	115.47	0.55	9.74	0.11	0.0	26.25	17.76	0.0	121.87	0.04	30.77	15.98	0.0	281.91
Ipw	251.9	100.88	314.76	0.0	0.0	220.39	0.28	14.62	47.17	505.67	0.0	73.6	371.7	773.0	53.74	388.44	529.02	470.99	160.77	180.7	725.45	175.05	633.37	141.22	300.74	829.93	78.07	374.89	14.97	79.95	81.69	460.6	83.43	791.7	282.62	391.07	25.37	217.45	136.59	132.64	88.29	1118.89	402.88	551.74	376.04	932.79	0.0	0.0	340.61	499.95	790.03	14.42	403.66	200.67	181.26	0.55	1361.06
Kcnj15	0.0	0.0	0.21	0.19	0.0	0.81	0.14	0.68	0.4	0.18	0.0	0.2	0.1	0.05	0.13	0.08	0.09	0.04	0.28	0.06	0.19	0.18	0.08	0.23	0.14	0.16	0.11	0.23	0.42	0.4	0.0	0.42	0.49	0.25	0.12	0.48	0.16	0.1	0.18	0.13	0.2	0.34	0.1	0.41	0.25	0.12	0.1	0.0	0.17	0.1	0.18	0.06	0.37	0.0	0.12	0.0	0.97
Kcnq1ot1	41.78	32.9	28.19	28.7	0.45	100.48	38.16	63.66	106.03	54.93	16.2	26.73	38.23	36.61	16.83	40.13	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.87	41.06	30.82	41.47	37.15	37.47	23.92	41.51	27.93	46.41	28.37	110.66	27.34	45.75	27.36	29.48	32.11	94.3	73.75	66.39	154.05	70.09	41.22	4.8	29.47	30.75	45.81	27.94	17.87	24.37	13.18	6.01	61.97
Ldlrad2	2.86	8.35	2.19	3.18	0.0	10.75	1.87	5.22	9.43	6.72	0.0	3.06	2.92	3.73	2.24	3.57	2.65	3.03	2.96	3.85	2.14	3.48	6.7	2.2	2.45	6.98	4.31	3.12	4.25	2.25	3.38	4.99	1.61	2.6	3.16	9.73	2.97	2.84	8.74	2.05	3.54	6.48	6.38	8.57	4.42	11.38	1.7	0.0	1.62	3.45	4.39	1.83	3.0	3.44	0.6	0.87	20.78
Nars	364.74	365.75	277.6	623.06	0.0	1118.13	854.69	380.39	982.9	409.53	0.0	827.18	200.38	349.94	456.98	599.8	607.84	399.68	366.72	309.16	261.35	380.41	183.99	443.64	396.13	390.2	459.87	249.51	598.33	268.5	229.94	480.35	274.92	367.6	297.51	693.1	495.37	508.24	374.51	290.55	440.29	387.8	301.36	685.24	528.84	827.46	235.57	977.89	201.82	242.62	839.91	456.53	280.6	211.26	370.12	0.0	1313.47
Npy	138375.8	173305.25	115124.65	0.0	0.0	43922.94	108594.8	67463.47	65548.38	125016.83	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	4.74	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	985.16	0.93	18.21	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	137580.94	120620.2	1.5	68416.93
Nudt10	0.0	0.0	25.6	0.0	0.0	117.39	21.99	244.51	0.0	35.21	0.0	23.48	46.59	97.14	0.0	0.0	74.99	0.06	6.97	24.01	23.74	52.69	46.59	11.69	81.17	37.51	104.23	9.98	22.02	23.43	0.0	51.48	1.09	0.29	91.76	208.56	0.32	63.52	43.49	14.9	62.64	124.31	90.08	65.19	169.83	152.48	0.0	0.0	37.1	0.0	34.54	33.91	0.13	39.69	51.8	0.0	184.42
Phf20l1	0.0	0.0	0.04	0.0	0.0	49.82	31.92	27.36	0.09	0.45	0.0	0.0	2.76	0.02	3.99	4.06	0.05	0.15	0.04	6.1	0.04	2.12	19.55	1.16	16.74	18.8	10.29	0.09	35.14	9.8	3.06	9.4	0.0	9.05	4.88	0.97	0.12	9.01	0.04	1.28	0.0	25.72	22.97	0.28	98.77	2.22	0.0	0.0	0.21	14.1	0.0	0.04	4.94	0.0	0.0	0.0	89.58
Pi15	10.02	13.78	13.93	0.75	0.1	29.66	15.27	23.68	44.52	19.76	0.0	10.3	9.19	16.19	10.17	8.75	7.13	15.06	9.99	22.41	8.81	10.06	16.11	9.94	10.43	12.49	10.69	8.52	10.7	10.32	10.66	19.22	12.48	11.34	13.95	31.95	10.51	13.46	8.3	7.87	9.91	28.09	23.57	32.2	31.58	22.04	5.52	0.16	7.66	11.28	14.01	8.97	8.6	7.11	6.46	3.61	28.66
Psg28	8.4	10.26	6.94	7.17	0.0	19.74	10.81	18.24	16.15	11.37	0.0	8.32	8.17	8.35	5.86	8.56	5.9	9.43	5.35	11.47	5.93	5.47	8.49	4.44	7.51	10.4	7.04	8.89	7.05	9.98	5.67	10.24	6.03	13.98	7.09	22.93	2.08	9.8	8.46	10.37	5.74	18.44	19.17	10.64	37.54	21.12	4.42	1.14	4.26	5.76	11.35	4.51	3.04	6.29	3.69	2.78	13.62
Rdh1	13.02	17.69	17.75	6.15	3.52	59.56	21.98	29.2	55.74	20.35	0.0	13.27	11.26	33.67	10.78	14.62	17.45	24.34	14.97	29.68	11.95	15.61	26.52	14.37	18.44	19.37	15.06	17.26	20.17	15.02	14.22	25.62	22.24	17.23	12.32	61.57	14.85	18.21	14.15	11.6	14.7	45.87	36.4	54.85	63.93	41.33	14.27	0.0	15.94	18.15	22.06	15.77	12.21	8.58	11.72	3.65	37.2
Shank1	4.16	5.96	1.48	0.0	0.0	4.1	5.06	4.88	6.17	0.85	0.0	1.8	4.77	2.11	6.09	4.41	5.85	1.83	4.13	2.7	2.68	3.07	1.32	4.41	6.65	2.39	5.39	5.05	3.69	6.91	8.25	4.6	1.9	4.2	3.57	15.28	3.64	1.75	7.89	3.94	4.23	4.17	12.75	3.3	3.95	12.24	0.0	0.0	1.41	1.22	5.96	0.18	3.85	0.51	0.67	14.48	9.45
Spcs3	52.86	135.07	84.82	0.0	0.0	594.89	438.28	167.84	110.16	147.91	0.0	92.47	36.38	2.19	160.8	136.98	170.86	57.03	125.08	79.86	84.85	0.11	35.01	72.59	83.62	0.0	260.63	113.04	34.1	80.98	62.4	263.88	4.19	64.77	70.86	219.01	12.53	171.87	207.46	36.98	52.09	690.35	284.05	441.81	1103.77	692.4	0.0	0.0	204.38	26.42	305.72	213.17	52.57	199.42	0.47	0.11	385.53
Spns1	7.16	33.02	0.0	0.0	0.0	84.42	65.14	89.24	0.0	39.87	0.0	0.62	14.29	59.33	0.5	1.34	0.0	34.51	0.0	43.36	52.11	127.6	28.92	30.6	32.9	49.48	0.22	0.76	0.12	22.0	45.96	1.57	0.09	57.03	16.9	73.03	0.0	0.11	44.04	26.0	35.34	0.0	18.99	115.22	16.87	132.66	0.0	0.0	0.0	33.44	0.0	40.39	0.08	0.0	0.17	0.0	141.71
