	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_71	Cux2_tdTpositive_cell_39	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_77	Nos1_tdTpositive_cell_5	Rorb_tdTpositive_cell_25	Scnn1a.Tg3_tdTpositive_cell_12	Scnn1a.Tg3_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ppp2r2c	0.0	13.66	0.0	0.0	0.0	0.09	0.75	82.9	123.1	0.0	0.0	0.0	90.83	14.59	12.12	32.85	0.0	317.29	31.75	60.95	15.85	24.16	0.09	0.98	0.0	142.32	0.0	0.57	0.21	39.64	58.05	265.72	0.09	446.28	420.01	458.99
Rab6b	224.06	235.47	14.29	171.11	21.26	8.04	0.26	457.51	483.41	0.0	37.77	0.15	672.82	319.2	243.65	355.31	4.87	0.08	20.1	72.5	0.0	174.55	29.02	104.26	3.89	0.19	299.05	5.33	39.25	308.29	631.97	413.91	44.11	557.19	534.18	552.91
Rfk	12.83	4.09	190.7	50.51	16.25	6.37	56.92	1.54	93.68	0.14	64.62	4.37	233.26	73.6	92.48	0.0	17.44	0.0	5.43	16.99	64.22	14.42	7.11	3.86	0.0	3.68	83.58	67.85	2.05	42.63	163.79	129.74	0.3	52.91	55.76	55.39
Rpp40	0.36	6.06	0.83	2.31	0.01	0.34	6.11	3.17	7.83	0.0	0.0	0.75	3.86	3.09	1.76	1.91	0.83	0.45	0.6	0.48	4.7	1.6	0.17	0.45	0.17	1.38	0.93	2.55	0.51	4.78	3.34	5.6	0.0	4.94	4.17	4.1
Sema3a	0.0	0.32	0.1	0.49	0.07	0.11	0.21	0.75	6.77	0.0	0.0	0.0	0.69	0.63	0.2	0.11	0.0	0.0	0.0	0.0	0.14	0.11	0.17	0.06	0.0	0.0	0.29	0.19	0.0	94.96	19.67	1.27	0.0	10.14	9.95	10.44
Shisa3	0.0	0.16	0.27	0.35	0.0	0.0	0.36	88.79	1.34	0.0	0.0	0.16	0.8	0.37	0.88	0.62	0.63	0.31	0.1	0.91	0.0	0.16	0.29	0.0	0.28	0.75	0.31	0.54	0.24	52.88	44.45	23.24	0.0	1.13	1.59	1.33
Slc35e1	2.44	0.88	0.64	1.91	1.26	0.47	5.63	60.19	16.93	0.05	0.0	0.75	7.86	3.32	2.11	1.24	0.56	84.62	1.64	6.85	0.87	2.24	0.16	1.41	0.39	2.41	4.79	2.39	0.71	11.17	4.1	28.73	0.0	32.57	31.4	29.98
Sorl1	0.0	66.07	67.78	0.0	0.0	0.0	0.0	134.0	15.02	0.0	0.04	0.15	174.7	0.11	11.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	22.03	18.16	1.6	56.49	127.21	0.0	108.6	99.88	115.58
Tnfrsf11a	0.43	1.46	5.69	0.81	0.71	1.14	5.01	9.35	8.15	0.0	0.14	1.16	7.63	11.95	9.06	2.9	8.29	3.6	4.46	1.84	1.18	2.5	0.82	2.71	3.32	3.57	4.07	3.57	2.35	15.5	13.19	43.36	0.0	4.06	2.73	4.13
Tomm20	11.07	15.97	26.0	12.5	0.0	82.99	40.72	61.46	109.54	0.0	0.0	4.44	190.39	126.6	44.23	0.0	0.87	0.0	0.0	157.98	0.0	3.44	31.55	0.0	0.0	0.0	0.0	91.3	91.23	22.87	238.23	262.74	0.0	188.56	189.45	185.85
Tpr	4.66	66.92	0.0	0.0	18.6	35.32	81.54	19.05	97.02	0.0	0.0	0.0	100.55	64.6	42.55	0.0	15.96	0.0	0.0	6.08	0.0	5.04	49.08	43.97	0.06	7.82	16.89	79.17	24.74	25.61	92.28	72.17	0.0	36.35	26.68	38.19
Tpt1	172.78	0.7	287.3	184.52	280.9	651.44	200.85	1816.08	1318.74	0.0	582.99	182.54	950.61	594.99	261.59	400.73	193.38	729.01	44.09	157.42	150.28	410.11	219.44	673.11	1.98	297.21	287.43	200.26	228.69	801.34	1674.52	1291.24	0.0	843.01	849.81	829.06
Vip	26849.21	24688.7	27223.39	32658.1	48402.26	35690.76	26835.38	0.0	0.61	0.0	24307.74	42738.55	19221.37	20043.81	18726.8	25538.7	39789.49	29215.94	34420.5	22353.39	53179.5	32676.37	46837.05	23764.13	32241.62	26385.26	23865.54	22500.8	24233.05	0.0	0.0	0.0	6881.82	44.81	42.4	44.71
Xrcc3	2.5	6.24	2.48	2.52	3.35	3.29	8.56	9.43	6.97	0.0	0.0	3.15	8.06	4.69	6.47	2.4	3.25	5.32	0.88	3.44	2.22	1.21	1.13	214.82	2.74	4.8	4.36	3.79	2.49	7.67	9.57	18.49	0.0	11.57	11.59	11.99
Xrn2	0.43	1.59	0.0	2.27	1.69	0.0	74.49	168.69	7.54	0.0	0.09	7.13	368.57	164.57	22.21	0.0	1.56	0.0	0.0	0.0	0.0	45.71	11.17	10.36	89.08	0.0	50.78	27.26	3.26	16.91	11.11	224.61	0.0	41.36	41.16	39.8
Zfp148	54.49	0.0	0.0	24.49	6.77	0.0	0.51	88.28	86.11	0.0	51.72	48.74	119.18	1.82	80.26	16.75	0.05	0.0	0.0	3.93	53.37	33.11	0.6	0.04	0.0	0.0	1.99	0.0	37.78	23.39	39.79	78.69	0.0	32.48	30.04	32.73
Zfp607	3.29	4.31	3.52	4.68	9.5	2.8	2.93	5.44	15.26	2.64	0.0	3.02	18.23	3.76	10.92	3.19	3.14	6.43	7.57	4.55	7.87	3.86	0.47	2.67	1.72	5.22	7.18	6.39	2.59	5.52	15.6	11.55	0.1	4.73	3.62	5.29
Zfp839	1.94	2.69	1.83	1.91	0.62	0.6	3.81	3.34	5.76	0.0	0.0	0.67	2.97	3.27	1.56	0.85	0.75	2.0	1.52	1.78	2.41	0.57	0.79	1.28	0.81	1.08	2.74	3.42	1.71	3.15	1.86	60.88	0.0	8.11	8.6	8.5
c10_tRNA-Ala-GCY_	0.0	70.22	0.0	53.33	0.0	87.29	0.0	59.44	282.63	0.0	0.0	0.0	230.61	123.12	24.46	0.0	0.0	0.0	0.0	81.37	0.0	15.06	20.73	0.0	0.0	46.14	158.67	0.0	15.39	0.0	15.5	60.87	0.0	29.3	60.81	43.36
