	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5
Banp	0.09	0.0	0.0	11.08	0.0	0.0	10.27	20.98	0.0	0.0	0.0	0.0	5.74	17.98	1.39	1.82	0.1	1.93	16.98	4.11	37.7	0.33	23.17	28.98	27.59	0.0	0.0	0.0	13.89	16.79	0.06	0.0
Bcl7a	0.0	0.0	0.0	4.12	0.0	0.0	9.85	2.63	8.64	0.75	2.71	0.0	0.72	44.23	12.14	1.68	0.72	1.56	19.15	1.01	0.0	9.42	34.5	14.29	15.04	5.81	0.1	2.49	10.97	14.85	0.0	0.0
Chga	0.0	0.0	0.0	67.39	0.0	0.0	70.89	44.52	18.97	55.13	95.45	1.24	141.5	54.0	225.97	137.36	98.17	109.14	88.83	157.47	73.79	22.79	298.72	231.27	159.21	156.48	146.38	0.0	154.26	207.9	0.0	0.4
Cirbp	0.0	28.89	0.0	166.47	0.0	0.0	136.34	123.44	141.51	42.94	88.02	0.0	53.94	155.59	140.42	95.22	88.06	51.71	99.73	248.96	37.87	23.99	396.31	407.84	104.94	56.41	1.27	6.28	50.0	291.35	0.29	120.22
Cplx1	0.0	0.0	0.0	838.45	0.13	0.0	1211.51	918.29	690.08	958.97	1025.48	924.93	990.97	632.95	1585.92	878.94	910.66	1322.39	2098.74	1330.63	767.51	1045.33	1286.96	1223.44	1760.34	1314.2	920.94	976.75	1068.01	1054.91	0.48	1.35
Cxx1a	0.0	0.0	0.0	5.61	0.0	0.0	12.81	11.67	8.21	10.67	6.3	6.69	11.89	6.32	10.28	13.36	0.0	5.25	7.69	5.54	2.83	0.0	41.19	0.0	1.2	0.81	4.56	4.07	9.97	2.22	0.0	0.0
Dcaf11	0.0	0.0	0.0	14.42	0.11	0.0	148.05	0.71	49.38	60.35	38.02	93.21	0.0	28.22	196.48	186.4	96.94	61.8	75.7	47.43	0.0	127.19	63.32	46.98	0.58	156.92	0.46	0.0	123.34	80.4	0.0	0.0
Diras1	0.0	0.0	0.0	0.11	0.0	0.0	0.72	11.15	1.87	0.0	9.99	26.91	15.68	8.04	17.21	14.43	14.35	26.68	15.63	20.4	7.2	0.46	43.21	73.45	36.43	21.25	6.91	2.88	33.22	9.43	0.0	0.0
Dnajc11	0.0	0.16	0.16	0.0	0.0	0.0	26.6	88.65	38.59	15.07	54.39	54.16	0.0	0.0	114.68	53.83	0.0	33.66	188.51	106.78	0.0	53.48	162.87	112.02	72.83	12.19	0.0	0.12	129.42	161.67	0.0	0.13
Dnajc24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.16	0.0	0.0	0.0	100.32	0.0	0.0	3.3	0.0	5.98	0.0	42.76	40.74	0.0	0.0	47.69	81.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam173a	0.0	0.0	0.0	148.26	0.0	0.0	150.59	208.03	184.33	171.53	193.72	227.32	133.25	238.2	157.88	196.59	182.33	395.98	247.71	281.66	109.14	217.52	337.08	385.28	222.15	384.49	148.72	151.65	128.55	239.15	0.0	0.48
Fdx1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.96	0.0	0.0	0.0	0.0	128.87	0.5	10.79	0.0	0.0	0.0	40.83	0.0	16.88	0.0	93.07	80.09	4.05	64.93	4.08	0.0	27.57	18.36	0.0	0.0
Gaa	0.43	0.0	1.46	1.75	1.34	0.83	8.85	131.66	16.7	73.06	36.8	34.52	82.91	124.07	18.84	86.64	120.05	77.71	81.23	25.45	23.52	46.55	161.33	110.17	80.71	15.94	0.72	17.34	100.25	95.89	0.0	2.76
Gfpt1	0.0	0.15	0.09	0.1	0.04	0.0	0.67	27.28	1.62	13.98	0.82	7.45	1.38	8.7	5.53	5.99	1.41	0.78	11.22	7.92	0.24	11.29	30.68	33.69	39.9	6.12	34.37	0.0	10.35	4.63	0.0	0.0
Gm13889	0.0	0.0	0.0	0.0	0.22	0.0	5.99	18.34	9.68	0.0	27.31	3.67	34.94	0.0	1.22	6.24	16.98	0.0	20.81	0.0	29.53	10.31	33.23	32.23	16.86	0.31	6.17	0.0	9.78	10.95	0.0	0.0
Gm14430	0.0	0.07	0.0	7.02	0.0	0.0	3.32	31.03	0.0	14.72	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	4.61	8.31	13.81	40.89	23.53	0.0	25.3	2.38	0.12	0.0
Gm14434	0.0	0.07	0.0	7.02	0.0	0.0	3.32	31.03	0.0	14.72	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	4.61	8.31	13.81	40.89	23.53	0.0	25.3	2.38	0.12	0.0
Gm4724	0.0	0.07	0.0	7.02	0.0	0.0	3.32	31.03	0.0	14.72	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	4.61	8.31	13.81	40.89	23.53	0.0	25.3	2.38	0.12	0.0
Hccs	0.0	0.0	0.0	0.0	0.0	0.0	15.72	0.0	27.47	9.06	3.01	89.67	1.7	0.0	28.7	6.02	15.44	6.19	0.32	44.01	59.73	5.52	62.51	137.73	1.37	0.14	51.71	0.0	25.63	53.56	0.0	0.0
Klc1	0.0	0.0	0.0	30.56	0.0	0.0	34.46	19.48	20.66	78.73	50.54	16.25	70.37	24.31	66.15	18.67	18.56	6.71	16.41	12.66	15.98	21.27	244.59	148.49	62.4	15.15	58.99	2.38	65.55	34.74	0.0	0.59
Krt222	4.62	0.34	0.67	9.97	0.51	0.03	130.11	125.39	39.87	62.24	58.08	193.71	38.9	178.85	239.12	113.24	45.05	73.64	34.05	74.14	38.29	63.4	183.3	131.65	162.38	162.02	143.73	0.61	202.13	71.13	4.37	3.79
Ldhb	7486.96	3517.81	5274.92	8550.52	5876.73	5600.23	8752.31	8798.32	10118.08	10894.4	10165.1	9166.61	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	10182.84	6851.78	7124.4	9082.37	7928.56	7910.47	7322.67	7830.1	11746.38	2798.49	5873.38
Med31	0.0	0.0	0.0	0.0	0.0	0.0	122.05	77.28	246.58	0.0	58.74	0.0	76.31	48.28	24.51	92.57	32.12	110.14	55.16	60.26	34.91	144.61	90.51	39.01	24.61	47.38	29.65	20.14	0.32	78.07	0.62	0.65
Mid2	0.0	0.0	0.0	0.0	0.0	0.0	6.45	12.78	0.0	0.0	0.0	0.0	6.82	14.83	9.18	0.12	3.71	15.15	19.09	0.0	0.0	5.59	13.53	22.53	11.24	2.42	0.78	0.0	0.3	8.36	0.0	0.06
Mrpl41	0.0	0.0	0.0	70.3	0.0	0.0	223.35	165.33	115.18	51.22	56.96	75.35	122.4	78.72	105.17	113.63	149.0	89.42	147.07	159.95	92.51	139.86	212.6	126.1	110.03	172.2	45.99	97.01	77.68	201.87	0.15	1.53
Mrps9	0.0	0.0	0.0	105.45	63.76	0.0	1.51	170.03	99.0	86.93	94.29	93.2	68.58	30.82	2.65	1.54	81.11	46.69	102.6	1.57	92.66	54.9	85.24	105.55	23.37	160.44	124.05	46.86	94.82	129.96	0.0	0.53
P2rx3	0.0	0.0	0.0	0.07	0.0	0.0	0.1	0.14	0.77	0.11	0.0	0.0	0.22	0.0	0.29	0.17	0.07	0.0	0.18	0.0	0.0	0.0	1.53	0.0	0.0	0.19	0.09	0.0	0.08	0.47	0.0	13.18
Pam16	0.0	9.38	0.0	131.83	0.55	0.0	157.08	127.83	69.51	329.17	219.65	1.53	157.02	267.11	283.41	179.91	102.89	114.62	238.73	106.0	269.81	238.88	280.84	248.34	113.76	424.51	210.95	100.74	98.15	293.56	0.0	1.46
Pigk	0.0	0.0	0.0	41.54	0.0	0.0	13.2	79.92	87.23	21.57	35.62	4.37	26.46	90.24	49.79	58.35	38.0	27.68	78.81	44.67	6.22	35.45	64.83	38.21	42.34	120.37	34.1	25.47	84.48	45.14	0.08	0.23
Pkd1	0.0	0.0	0.0	0.26	0.0	0.0	0.1	0.41	0.0	0.41	5.58	0.0	3.05	6.84	10.9	2.89	0.09	0.32	3.98	0.06	5.83	2.36	12.71	5.41	6.38	3.6	3.05	0.0	0.0	3.73	0.0	0.03
Plekhj1	0.0	8.6	0.0	0.26	0.45	0.0	28.0	16.14	0.2	45.52	6.87	0.0	17.92	1.21	27.99	3.49	30.31	7.65	7.01	53.69	0.88	20.97	63.07	42.77	54.33	5.09	9.81	0.3	0.0	8.23	0.29	0.0
Pop5	0.0	0.0	0.0	0.0	0.0	0.0	33.5	36.12	6.28	0.0	0.0	0.0	1.98	13.32	2.26	48.86	9.93	0.43	28.73	16.02	1.7	4.75	46.06	19.19	0.0	0.0	8.99	0.0	12.18	13.67	0.0	0.0
Ppp1cb	0.0	54.16	0.12	329.85	0.0	0.0	117.01	224.85	71.83	143.54	248.53	131.03	221.46	158.69	165.29	214.05	195.2	172.13	224.61	244.71	358.95	135.36	241.28	295.27	85.83	193.61	190.84	359.34	211.93	153.29	0.52	53.41
Pvalb	0.0	0.0	0.0	2914.72	0.0	0.0	3332.67	1987.37	1319.97	2144.98	1316.24	1251.83	1724.33	1740.57	1769.21	1815.89	1408.27	1731.8	1698.2	1974.07	1295.74	1914.29	1166.7	1457.87	1681.17	2567.22	1689.22	894.38	1823.48	3516.69	0.0	0.43
Rab4b	0.0	0.0	0.0	0.28	0.0	0.0	159.43	71.96	75.82	76.11	62.83	91.67	89.58	301.44	159.66	105.68	49.16	86.96	239.92	75.42	47.92	128.43	167.34	89.85	172.44	333.18	151.49	68.63	66.3	163.47	0.62	0.32
Rad23b	0.0	0.0	0.0	0.0	0.0	0.0	2.52	17.47	3.38	22.31	3.39	47.68	49.07	15.84	10.46	6.34	13.69	0.0	0.49	0.91	0.42	11.9	44.99	6.99	19.43	12.03	0.1	5.83	19.85	26.78	0.0	0.19
Reps2	0.0	0.0	0.41	25.7	0.05	0.0	29.06	77.68	4.65	49.06	56.66	41.68	23.03	35.5	69.7	26.65	30.75	62.74	20.07	7.26	37.18	58.15	84.0	55.72	81.16	77.45	28.6	26.65	55.16	98.47	0.0	0.1
Rtn2	0.0	0.0	0.0	0.0	0.0	0.0	0.42	19.97	0.0	0.0	10.94	45.13	32.28	0.0	0.0	80.06	72.17	0.0	85.02	0.0	0.0	0.0	64.39	56.9	0.0	0.77	0.0	0.0	4.67	0.19	0.0	0.0
Sgtb	0.0	0.0	0.0	10.57	0.0	0.0	11.01	23.01	0.0	52.83	70.58	37.94	4.24	7.44	48.23	39.13	24.04	21.05	37.53	80.03	12.56	71.0	137.29	26.41	8.69	12.28	9.34	4.33	33.5	98.88	0.13	0.55
Slc25a22	0.0	0.0	0.0	1.36	0.0	0.0	9.4	40.57	23.31	17.1	37.03	22.18	119.61	0.59	61.94	100.43	41.31	28.76	65.86	48.99	24.19	31.99	152.98	54.51	24.78	11.53	1.07	1.15	118.47	25.05	0.14	0.73
Src	0.12	0.0	0.0	0.0	0.0	0.0	10.02	0.0	0.0	0.0	4.0	0.0	0.0	16.61	0.0	7.69	0.0	0.1	9.04	0.0	0.14	0.12	23.52	38.74	8.86	0.1	0.2	0.0	0.28	2.0	0.0	0.0
Srpk2	0.0	0.0	0.0	93.84	0.04	0.0	92.48	67.33	71.92	83.45	107.58	33.75	94.88	76.21	135.31	122.5	75.64	125.13	108.45	141.02	105.9	109.71	208.12	122.56	105.59	143.08	90.8	60.27	249.22	133.68	0.22	0.78
Ssu72	0.0	0.0	318.47	11.03	0.0	0.0	254.59	446.33	307.16	192.37	241.71	9.21	168.17	131.98	143.84	128.11	157.71	244.45	76.83	246.55	178.79	294.87	281.75	421.4	204.09	193.54	165.71	88.23	181.53	285.9	0.0	2.07
Syt17	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.46	0.0	0.0	20.38	0.0	0.0	8.66	4.62	0.0	0.0	0.0	29.86	0.0	0.0	0.0	37.33	27.6	0.0	0.0	17.32	0.0	0.0	9.16	0.0	0.46
Taf1a	0.0	0.67	0.0	1.44	281.4	0.0	31.44	17.98	0.1	1.79	0.0	72.47	1.65	93.83	0.55	0.31	38.33	16.67	17.9	56.1	0.45	1.46	66.7	108.62	43.53	43.5	34.4	0.62	0.46	0.61	0.0	0.83
Thbs2	0.0	0.0	0.0	0.0	0.0	0.0	29.19	0.89	18.49	24.17	0.0	0.0	0.0	0.06	0.0	0.0	0.05	29.32	17.45	17.37	0.0	0.08	22.4	25.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tomm40l	0.0	0.0	0.0	0.0	2.85	0.0	33.37	64.26	12.01	21.56	41.25	277.02	53.8	71.9	70.74	55.51	23.27	33.53	72.49	82.21	5.72	25.5	150.14	28.28	0.55	24.99	67.11	0.75	59.37	33.46	0.0	0.13
Tsg101	3.13	0.0	10.32	32.4	666.37	0.0	23.37	102.37	188.17	124.7	83.09	95.77	100.19	62.31	136.99	56.02	5.75	51.6	102.07	61.02	66.64	153.94	161.2	6.99	68.96	92.71	30.87	61.41	80.36	49.53	0.39	1.22
Ube2e3	0.0	0.0	0.0	0.42	0.0	0.0	265.24	37.99	10.04	100.42	43.76	418.43	9.46	303.52	167.95	164.89	35.25	90.95	0.0	148.47	85.72	105.39	238.27	0.0	6.28	0.0	64.71	0.48	96.33	100.43	106.85	0.49
Ube3a	25.4	0.0	0.09	44.86	0.06	0.0	56.89	94.87	37.57	39.79	56.68	62.66	34.14	111.02	124.46	28.0	98.21	25.18	167.34	87.85	62.99	52.68	139.67	32.7	99.21	91.84	67.04	54.16	70.46	107.67	0.1	0.47
Vax2	0.39	0.0	0.0	0.27	0.39	0.0	0.0	0.48	0.16	0.0	0.91	1.16	0.0	0.48	0.89	1.14	0.84	0.0	0.32	0.69	0.0	0.38	1.69	0.0	0.34	0.36	0.3	0.0	0.0	0.2	0.0	0.26
Zbtb45	0.0	0.0	0.0	3.73	0.0	0.0	0.0	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.14	8.4	0.0	12.67	0.0	0.0	0.0	1.91	34.39	0.0	0.0	0.0	4.93	0.0	0.68	0.09	0.0	0.0
Zfand2b	0.0	0.0	0.0	0.27	0.24	0.0	39.89	72.54	5.75	49.97	65.63	94.96	3.14	0.0	146.4	26.28	34.91	104.54	57.61	48.37	88.01	0.0	120.8	109.53	0.0	68.79	45.5	1.57	12.42	0.0	0.0	0.0
