	Calb2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Nxph1	0.0	169.25	361.81	90.23	0.0	0.0	0.0	0.0	0.0	444.24	0.0	240.13	231.34	89.9	328.36	166.46	105.98	252.75	193.07	349.4	428.71	242.49	238.09	376.22	359.21	204.9	120.91	142.54	227.96	151.88	198.67	115.38	34.17	175.97	230.53	249.58	237.86	334.99	153.91	268.86	227.69	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.2	0.0	172.15	197.46	171.16	296.04	401.24	250.12	254.39
Pnma2	0.0	43.0	0.0	48.24	0.0	0.0	0.0	0.0	27.06	55.1	0.0	45.37	39.12	0.03	4.35	20.78	11.91	21.82	46.07	31.09	66.23	43.25	80.53	1.06	21.98	0.0	9.71	0.13	52.0	41.51	37.42	138.74	19.24	69.13	15.38	8.17	22.7	36.45	45.2	146.7	4.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.74	20.29	4.59	32.47	5.0	11.13	22.58
Ppp2r4	0.0	61.2	104.25	61.55	0.0	0.0	0.0	0.0	2.55	70.48	0.0	2.14	35.28	10.25	58.78	73.97	2.23	2.63	62.21	41.19	64.14	28.48	39.65	1.06	39.03	61.52	68.17	21.25	20.33	19.29	44.54	0.0	0.0	1.98	49.68	16.3	25.32	112.8	19.67	50.61	16.3	0.0	0.0	0.0	0.0	25.12	0.0	0.0	0.0	0.0	41.14	24.09	69.27	1.14	1.8	30.68	62.52
Prepl	0.0	202.35	240.8	169.97	0.0	0.0	0.0	0.41	216.47	536.88	0.0	398.69	216.56	74.19	393.64	193.51	221.97	87.75	188.8	460.26	384.04	338.92	219.4	226.76	307.12	66.58	257.01	179.08	159.93	226.61	190.94	148.19	97.49	130.68	316.94	267.22	287.47	247.64	303.64	406.72	362.43	5.15	0.0	0.0	0.15	0.91	0.0	0.0	0.0	0.0	201.18	123.46	78.82	248.65	304.27	207.38	321.38
Rlim	0.0	13.68	42.7	40.27	0.0	0.0	0.0	0.0	7.85	82.59	0.0	16.04	107.23	27.66	0.18	92.68	42.76	17.96	16.99	34.22	29.85	13.33	85.24	18.15	26.95	51.01	0.0	62.07	16.26	9.7	62.45	23.14	11.86	1.86	52.06	26.07	32.41	58.22	64.09	2.53	35.65	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.04	17.76	12.41	18.23	23.64	66.29	36.31
Rpn2	0.0	174.7	113.92	262.37	0.0	16.84	0.15	0.0	124.82	289.35	0.0	130.22	279.08	262.83	131.41	222.9	8.64	127.34	186.55	335.75	157.4	114.98	247.2	267.89	267.08	90.74	145.93	153.88	122.38	187.65	169.68	75.29	162.71	286.56	173.44	153.59	70.48	208.13	140.01	271.09	131.86	0.0	0.0	683.16	59.01	0.26	0.0	0.0	0.13	0.0	139.26	104.23	100.95	271.42	162.87	83.21	258.41
Rwdd2a	0.0	636.33	332.33	473.57	0.0	0.0	0.0	0.0	157.03	149.0	0.0	377.17	542.49	166.23	329.41	507.64	495.6	190.51	534.2	432.23	296.62	209.71	258.18	487.44	453.68	320.21	91.97	247.36	381.87	329.6	282.19	110.56	467.01	544.14	441.31	318.84	237.19	242.08	373.65	861.37	409.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.47	305.64	214.05	335.35	279.8	305.21	669.58
Smc6	0.0	22.0	19.7	8.44	19.76	0.0	0.0	0.0	0.0	49.11	0.0	15.76	9.73	49.69	0.06	1.13	6.74	0.63	20.3	1.37	9.25	11.3	13.73	4.26	26.77	19.65	1.7	8.93	0.51	0.47	34.47	21.97	0.0	29.19	10.9	10.11	7.27	15.36	0.44	12.01	17.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.06	28.81	1.4	8.04	3.87
Snord116	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	8.56	0.0	0.0	3.94	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21	5.74
Snord116l1	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	8.56	0.0	0.0	3.94	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21	5.74
Snord116l2	0.0	0.0	6.02	14.63	0.0	0.0	0.0	0.0	8.56	0.0	0.0	3.94	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	0.0	7.38	5.66	0.0	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.66	12.13	14.21	5.74
Snx19	0.0	23.66	5.01	0.85	0.0	0.0	0.0	0.0	0.0	75.0	0.11	12.1	0.01	19.82	0.0	31.3	0.68	0.65	0.13	22.58	7.72	0.62	6.44	24.29	4.27	0.0	0.64	11.79	0.46	0.04	4.42	0.05	0.0	13.74	3.43	3.18	27.44	0.2	0.03	2.9	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	7.7	10.93	9.76	5.25
Spock2	0.93	24.04	5.41	16.8	0.0	0.0	0.0	0.0	27.38	29.57	1.41	34.41	26.43	2.64	41.03	17.77	5.49	9.07	41.48	22.03	32.56	24.44	19.77	17.35	19.29	1.2	22.31	19.88	27.19	27.85	22.31	16.17	2.5	1.28	2.18	1.3	23.58	7.14	7.47	3.53	33.48	0.0	0.45	0.03	0.0	0.06	0.25	0.0	0.0	0.0	6.32	13.93	5.87	1.48	40.11	10.82	11.35
Stx12	0.0	155.68	59.82	89.13	0.0	0.29	0.17	0.0	0.41	462.12	0.0	239.42	402.26	303.95	302.71	179.14	120.94	211.72	587.85	277.35	204.64	216.5	184.87	140.38	369.85	165.1	5.77	408.59	219.18	440.08	205.42	178.67	172.97	195.5	256.49	200.57	273.1	354.33	284.42	0.1	286.22	0.0	0.0	0.0	0.2	0.0	0.0	0.29	0.0	368.24	243.97	160.09	43.97	145.1	212.8	282.58	292.59
Tagap1	0.26	39.56	57.81	101.74	0.0	0.0	0.0	0.0	412.5	523.97	0.0	209.37	192.16	147.81	174.21	163.7	213.05	236.39	100.67	170.14	181.25	146.32	168.18	66.48	169.49	198.65	170.65	71.9	220.94	119.46	57.58	113.31	74.6	52.83	152.5	72.08	0.84	126.57	103.84	222.13	23.73	0.0	0.0	0.46	0.2	0.31	0.0	95.44	0.0	0.0	121.26	50.89	236.94	45.71	108.62	1.24	162.38
Tmem130	0.44	323.74	309.18	794.17	0.0	0.0	0.0	0.0	312.79	538.07	0.0	938.96	709.37	553.83	632.71	629.49	552.18	720.98	475.03	912.21	965.84	857.63	940.47	1047.55	658.59	933.67	326.07	655.5	546.77	1679.24	932.12	270.0	300.62	838.25	1058.53	771.81	1127.08	1074.2	1031.61	1370.27	763.83	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	788.22	837.3	331.73	555.92	665.87	660.17	792.51
Trip12	0.0	4.19	26.88	17.33	3.16	0.0	6.93	0.0	1.64	59.97	0.0	28.19	31.95	1.92	13.42	13.81	22.27	28.15	14.64	12.3	10.73	0.12	8.24	9.47	32.41	26.56	1.81	0.27	27.24	11.21	18.39	1.07	26.62	0.44	7.83	14.26	20.49	1.62	14.21	6.27	31.25	11.12	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.76	13.29	16.05	42.23	17.72	8.79	30.19
Tuba4a	0.0	459.11	473.36	338.25	0.0	0.65	0.0	0.23	604.61	575.91	0.0	714.07	513.85	221.55	551.93	628.48	305.31	430.64	456.05	758.1	393.75	404.52	470.57	329.96	695.41	431.97	794.52	810.98	533.3	759.94	743.89	910.89	267.2	544.71	509.82	499.6	698.71	291.38	352.1	430.17	572.08	0.0	0.0	0.0	0.23	0.7	0.0	0.0	0.0	0.0	395.56	339.58	229.84	418.86	546.94	597.35	920.22
Wac	0.0	81.31	57.52	31.39	0.0	0.0	0.0	0.0	9.56	98.85	0.0	43.15	58.16	15.89	46.6	96.56	38.59	38.62	41.41	14.42	0.61	37.35	34.57	27.95	19.34	3.37	13.08	0.06	41.22	18.08	0.26	44.04	3.24	85.78	13.08	16.41	79.36	24.23	38.84	33.28	45.16	0.16	0.0	2.18	0.0	0.29	0.0	0.14	42.22	0.0	12.05	45.03	34.14	42.08	37.09	2.33	39.41
Zcchc8	0.0	14.67	5.86	2.4	0.0	0.0	0.0	0.0	1.79	12.81	0.0	1.27	2.75	20.45	0.0	18.98	12.78	21.41	0.0	25.33	5.23	0.0	9.66	1.33	11.4	3.51	0.0	1.49	0.0	12.38	16.7	2.36	0.0	0.0	0.78	24.13	0.07	25.27	10.68	0.05	12.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	1.96	2.27	1.77	0.0	29.68	5.79
