	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arhgef25	2.82	0.73	0.0	0.0	1.31	0.0	0.0	8.53	0.0	0.0	29.32	0.0	9.04	49.34	0.0	2.94	3.69	0.99	0.2	58.81	8.49	39.76	44.02	16.05	162.76	176.05	166.66
Awat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.18	0.0	3.29	0.13	0.24	0.13
B3gat1	25.86	15.83	5.25	19.78	52.43	0.0	0.0	27.09	27.79	8.65	32.17	35.16	18.65	19.5	1.2	12.31	27.01	16.21	19.48	16.07	20.0	71.16	60.28	14.4	160.08	155.74	161.44
BB031773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.58	0.0	0.0	0.94	0.5	0.99
Basp1	13.42	26.42	13.74	38.26	57.64	0.54	2.31	33.43	24.71	31.88	12.6	35.64	12.06	12.06	1.69	32.76	39.72	18.42	28.61	80.38	16.82	61.35	57.91	88.09	481.54	530.49	509.16
Bhlha9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.17	2.83	2.35	3.61
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cited4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	11.65	0.0	11.56	14.79	13.99
Col4a4	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58	0.0	0.0	0.0	0.0	0.0	0.0	21.76	0.0	0.0	0.23	0.26	0.14
Col8a1	0.27	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.08	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	6.13	0.0	0.0	1.77	1.64	1.41
Ctsw	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.33	0.0	0.0	0.41	0.23	0.5
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dapk3	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.33	0.47	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	40.49	0.0	0.21	40.51	47.94	44.81
Dnahc17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	0.0	0.42	0.53	0.37
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ebf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	2.73	2.57	2.41
Ehd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	4.36	0.11	4.19	5.73	4.23
Epdr1	0.0	37.34	0.32	11.83	0.0	0.0	0.0	4.69	0.0	34.39	8.41	7.64	29.83	0.21	0.0	0.12	82.45	0.0	21.44	0.0	16.44	94.52	67.66	46.57	132.1	135.64	127.67
Ezh2	6.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	41.63	0.0	1.57	4.76	4.28	4.59
Fam167a	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	22.9	0.0	0.0	1.11	1.25	0.79
Fam83b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.07	0.0	0.0	0.06	0.18	0.06
Fancb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	36.95	0.0	3.49	2.93	2.32	2.66
Fbxo2	6.26	0.0	4.07	2.78	0.0	0.0	0.0	5.46	0.0	0.55	6.42	0.0	15.49	0.83	0.0	0.0	0.0	0.0	5.51	0.0	0.0	0.0	8.85	2.58	107.01	122.26	111.07
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Foxp2	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.05	0.04	0.01	0.0	0.0	0.0	0.05	59.52	8.14	6.45	7.72
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Glod5	0.0	0.0	0.0	9.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.23	0.0	0.0	0.31	0.58	0.95
Gm221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.32	0.35	0.52
Gm9895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.28	0.0	0.0	0.31	0.58	0.8
Gpt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.94	0.0	0.0	0.0	0.0	0.0	33.79	0.0	0.0	14.83	16.11	14.72
Has3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	2.0	2.01	1.52
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	6.69	1.37	17.26	19.01	18.77
Hyi	37.5	0.0	0.0	0.0	0.0	0.0	0.0	19.41	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97	0.0	41.77	0.0	0.0	13.37	11.03	13.15
Il1rapl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	66.85	0.0	0.14	3.13	2.3	3.38
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Ipo13	0.84	0.0	0.57	3.67	21.83	0.27	0.0	0.02	0.03	0.34	23.8	0.0	0.65	0.34	0.0	0.0	7.69	0.27	0.0	0.24	1.46	31.29	12.55	11.83	61.91	67.32	63.81
Kcne4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	2.37	2.08	0.91
Kcnh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.9	18.61	18.14	18.15
Kcnh8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.55	0.0	0.0	0.24	0.39	0.42
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klf17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.11	0.08	0.17
Klhl20	7.21	0.13	0.0	0.1	0.0	0.0	0.0	0.02	0.54	4.78	4.57	0.07	0.1	0.06	0.0	7.83	17.22	15.69	0.05	15.64	0.02	44.16	0.07	6.93	16.69	14.67	15.55
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lhfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	3.32	23.91	24.61	25.68
Lhx9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.33	1.29	1.61	1.31
Lmtk3	0.0	0.0	0.0	0.91	0.59	0.0	0.0	0.0	0.07	0.03	0.15	0.0	1.83	0.0	0.0	0.0	0.0	0.05	0.0	0.06	0.56	8.14	0.0	0.14	112.57	125.74	129.11
Lrrc32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.57	0.0	0.0	2.76	3.49	3.0
Mab21l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.37	1.17	1.71	1.69
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Msr1	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.19	0.05	0.17
Nefl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	22.47	17.07	0.0	0.0	0.0	10.75	22.72	0.6	0.0	0.0	0.0	46.99	49.58	205.76	385.15	425.16	402.43
Notch4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	2.58	3.06	2.82
Npy	173305.25	115124.65	108594.8	96206.73	82245.2	14635.6	77711.12	149629.49	134232.96	130357.56	122165.94	122154.33	122963.43	173863.58	73168.9	126989.03	166048.87	115420.41	191162.16	145032.54	180453.32	95298.15	137580.94	0.0	214.21	196.57	200.76
Nthl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.76	0.0	71.12	0.0	1.98	4.01	4.4	4.05
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Parp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.78	11.04	0.31	2.24	1.97	2.25
Pcsk2	221.77	128.1	35.17	48.56	53.84	0.0	82.98	100.0	57.13	132.07	130.88	234.47	48.61	48.65	6.69	188.94	162.06	211.69	89.7	107.49	128.49	179.01	136.13	174.86	244.72	241.91	241.58
Plcd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	43.3	0.71	0.61	10.42	9.9	12.1
Pnrc1	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.87	2.0	6.89	0.25	0.0	1.22	0.0	0.0	36.61	57.69	0.0	1.23	0.45	0.0	24.2	36.63	9.38	40.06	47.4	38.48
Pou4f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.27	0.08	0.05	0.05
Rab38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.51	0.42	0.26
Rarg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	5.31	0.0	0.67	8.96	10.44	8.04
Rassf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	5.13	0.0	0.0	3.87	3.75	3.09
Rhbdl3	26.3	0.0	0.05	0.0	0.0	0.0	0.08	0.02	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.62	0.0	0.0	14.12	14.55	14.45
Rps12	141.65	161.19	63.23	244.56	104.92	0.0	0.91	230.59	98.94	226.98	38.48	130.56	25.0	171.08	103.36	161.29	221.51	120.17	145.17	132.92	92.98	346.72	256.83	169.74	404.75	455.87	432.36
Sbf1	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.13	0.0	7.35	0.06	5.59	0.0	0.0	14.88	0.08	0.07	2.01	0.0	14.68	0.0	4.61	87.42	87.58	93.92
Slc15a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	1.95	1.41	1.53	1.5
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Srpx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	126.59	0.0	0.0	0.69	1.36	1.18
St3gal3	0.0	0.0	0.0	0.0	3.87	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.29	0.62	41.35	41.45	41.69
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tmem150b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.0	1.08	0.8	1.42
Tspo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.55	0.0	38.48	0.0	0.0	5.7	6.83	6.75
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Usp27x	0.0	0.0	0.0	0.0	1.54	0.0	0.07	0.73	0.0	0.02	0.0	2.46	0.08	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.13	44.14	0.0	2.22	10.61	10.6	9.2
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Zbtb22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	25.82	3.5	0.4	31.62	34.2	31.51
c16_SSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.16	0.0	0.0	0.0	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1942.94	347.03	0.0	27.19	95.3	23.29
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26	0.0	9.79	0.0	0.0	26.99	0.0	9032.87	8417.95	8583.15
