	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_10	Sst_tdTpositive_cell_19	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mpeg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.27	0.24	0.0	0.0	0.0	15.96	16.02	16.24
Mpped1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	41.7	0.0	0.22	153.92	0.0	0.0	0.19	162.63	168.42	172.83
Nckap5	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	22.32	0.0	0.0	0.0	25.09	1.54	1.5	2.22
Ngfr	0.06	0.0	0.18	0.22	0.0	0.14	0.17	0.05	0.08	0.11	0.24	0.18	0.25	0.93	0.15	0.0	0.18	2.13	2.73	1.77
Nkx2-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.22	0.48	0.41	0.9
Nrd1	25.94	0.0	0.14	0.0	13.84	0.0	13.17	0.19	0.0	4.18	43.94	9.48	97.63	81.75	0.0	0.0	14.49	95.97	89.11	99.9
Nrp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.81	0.08	0.12	5.42	0.0	0.0	0.11	19.07	17.16	18.39
Nrsn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.78	0.0	0.18	103.56	0.0	0.0	0.47	100.45	110.14	105.25
Numbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	8.82	3.8	3.56	0.64	0.0	0.0	2.07	88.92	93.6	88.07
Plp1	38762.16	20966.2	37183.63	39260.88	37184.31	20586.09	39094.25	44134.5	30053.88	25576.26	0.75	22913.02	24374.43	14.21	33133.41	22475.59	36841.4	1007.22	894.47	1205.0
Ppapdc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.66	0.0	0.16	0.24	0.0	0.0	0.22	30.77	30.03	28.08
Ppfia4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.04	0.15	18.79	0.04	0.0	0.0	38.1	37.91	38.84
Ppp1r26	0.52	0.09	0.2	0.12	0.57	0.18	0.32	0.54	0.1	0.0	2.9	0.63	0.62	22.06	0.49	0.0	1.7	14.64	14.13	14.44
Prg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	17.58	0.0	0.0	0.0	0.0	3.94	4.13	1.75
Rad54b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.17	0.08	0.0	0.38	0.24	0.22	0.23	0.08	1.01	1.05	1.48
Rps15a	0.49	0.0	0.22	22.5	0.0	1.91	14.06	12.74	0.0	0.0	28.9	1.48	48.98	51.55	0.0	23.36	14.57	51.8	52.3	52.1
Rps15a-ps4	0.0	0.0	0.0	19.6	0.0	0.0	19.35	5.08	0.0	0.0	22.9	0.0	53.57	6.86	0.0	18.02	19.93	23.06	19.89	20.9
Smyd5	0.06	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	10.62	0.0	0.38	136.15	0.0	0.0	0.51	42.46	44.54	43.41
Srsf9	0.0	0.0	0.0	1.7	0.46	0.0	1.03	0.36	0.0	0.0	132.38	0.42	86.7	331.86	0.0	0.0	64.42	62.37	61.58	62.86
Ssx2ip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.26	0.0	0.07	149.31	0.0	0.0	0.09	72.81	76.62	71.07
Tmem164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.2	0.0	0.0	0.18	16.24	15.44	16.72
Tmem44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.06	0.08	81.33	0.0	0.0	0.15	51.46	50.41	52.58
Tnfaip8	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.41	0.19	0.81	0.69	0.0	0.0	0.37	3.8	4.31	3.57
Trim43c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.61	0.33	0.0	0.0	0.0	0.18	0.33	0.57
Ugp2	0.0	0.0	0.0	31.06	167.8	0.8	0.0	0.13	97.43	0.0	23.72	0.0	224.04	41.99	0.0	0.0	183.27	64.0	58.96	62.3
