	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_97	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg2_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_60	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ccdc73	2.9	0.05	0.0	0.0	0.0	0.0	0.0	0.1	51.81	0.0	0.0	0.03	0.0	1.88	0.0	0.0	0.0	28.81	0.0	0.0	0.0	1.74	1.18	2.1	2.43	2.01
Ephb2	0.28	1.49	1.19	0.47	1.76	0.53	1.28	0.82	7.58	0.51	0.25	0.36	0.93	0.97	0.26	0.79	1.4	0.59	0.54	1.86	1.46	2.14	2.73	1.67	2.4	2.04
Fam171a1	0.0	0.24	0.03	0.08	0.41	17.84	17.41	0.0	195.08	0.12	26.95	0.0	0.24	91.37	35.06	0.0	0.0	0.0	0.0	31.87	0.0	4.74	5.5	14.71	5.11	10.64
Foxk1	0.0	7.69	0.02	0.0	0.0	0.0	0.28	0.0	10.91	0.0	0.0	0.01	2.46	0.0	0.0	0.0	0.03	0.04	0.0	0.16	0.05	1.63	0.07	0.67	0.64	0.6
Fpgt	0.0	0.16	0.0	0.0	0.0	0.81	54.63	0.11	55.78	0.0	0.12	0.03	0.19	199.39	0.0	285.81	0.0	2.23	7.11	0.0	0.0	25.22	13.44	27.21	17.75	15.14
Gm14403	3.65	6.01	20.67	3.14	10.58	31.96	11.18	1.68	44.21	4.44	1.99	5.54	9.58	3.51	11.2	1.63	60.9	2.1	1.05	6.79	5.55	4.01	3.19	10.97	6.15	9.67
Gm6787	0.78	0.06	0.27	0.0	0.0	0.0	0.13	0.0	1.26	0.0	0.0	0.0	0.46	0.0	0.28	1.77	0.34	0.13	0.1	0.37	0.2	0.35	0.0	5.03	2.9	0.0
Gm8909	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0
H2-Q2	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.33
Ilf2	684.84	399.48	495.85	100.55	128.17	76.48	248.99	634.55	504.1	266.8	103.5	468.85	405.14	147.67	29.53	56.75	164.98	296.67	446.12	148.88	91.41	256.86	195.01	217.93	244.16	206.48
Ino80	0.36	0.4	0.0	0.0	0.0	3.12	0.0	0.0	60.05	0.0	1.47	3.84	14.5	0.0	0.71	1.49	1.03	0.27	0.0	0.67	0.19	3.11	0.27	2.44	3.29	2.02
Ireb2	0.0	62.09	2.33	0.0	0.0	0.0	4.28	90.01	63.89	0.34	6.89	1.35	14.05	2.27	13.49	0.81	0.33	36.59	6.36	50.86	1.69	24.96	15.0	17.47	13.77	15.25
Map1lc3b	1015.89	1923.34	2012.2	1272.18	1332.02	843.08	2612.3	399.24	2110.33	1035.82	1177.47	1593.57	2320.88	1837.83	984.17	1985.82	2119.43	1175.42	882.86	2083.72	668.65	1734.47	1522.21	1926.28	1884.16	1910.98
Megf11	0.0	0.03	25.13	0.0	0.0	0.0	14.88	10.39	93.15	0.0	0.0	5.07	6.5	11.98	22.7	0.0	0.04	11.79	0.0	13.68	13.0	3.99	2.55	6.51	5.93	4.62
Mrrf	0.0	0.0	148.23	0.0	0.0	0.0	0.08	0.0	180.64	0.0	0.0	5.86	3.93	0.0	0.0	0.0	0.11	64.1	32.95	91.16	0.0	31.09	17.17	27.69	33.08	21.38
Nr6a1	15.99	1.48	56.64	0.0	1.75	0.0	0.0	0.0	62.43	0.0	0.65	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	1.41	1.41	0.58	0.82
Nutf2-ps1	147.22	483.82	259.29	4.54	0.0	0.0	275.76	77.29	407.43	56.13	0.0	119.82	153.04	228.35	82.64	3.4	296.67	0.0	0.0	0.0	26.92	153.53	166.23	191.22	204.76	202.07
Oxa1l	0.0	78.81	80.66	0.0	391.54	49.7	0.07	0.0	159.85	0.0	0.34	25.76	48.01	66.71	0.0	0.0	0.1	68.16	15.46	0.0	0.51	49.52	32.01	19.7	26.25	19.63
Pdgfa	0.0	4.68	0.0	0.0	0.0	0.0	0.0	0.0	116.11	0.0	0.0	0.0	0.0	0.0	28.99	0.0	3.71	79.81	0.0	0.0	0.0	8.88	21.15	8.52	8.07	8.5
Pepd	216.8	197.58	178.73	0.0	0.0	0.0	0.21	122.71	172.11	174.37	0.46	60.38	0.0	0.0	0.0	0.0	0.4	0.16	0.0	142.04	0.0	103.88	87.77	62.64	66.99	70.81
Ralgds	0.0	3.26	0.03	0.0	0.0	0.0	0.0	0.0	105.82	0.0	0.0	0.51	0.45	0.0	0.0	8.63	0.0	0.0	0.0	28.38	0.0	5.07	2.87	5.87	7.06	6.95
Rnf182	80.35	0.0	0.0	0.0	0.0	0.0	0.0	0.11	59.98	0.0	0.12	0.0	0.05	0.0	22.13	0.0	0.0	0.0	0.0	0.0	0.0	17.02	2.35	3.27	7.93	3.6
Rnf219	0.25	151.84	0.12	0.21	0.0	0.0	0.72	0.12	68.98	0.0	0.11	0.05	0.19	20.88	0.08	0.0	6.89	18.66	0.18	19.4	0.0	24.96	9.2	20.05	20.53	20.7
Rufy2	3.19	5.8	36.91	0.49	4.93	1.49	1.38	4.47	45.58	4.16	2.02	3.63	42.73	5.1	4.97	0.29	1.44	6.44	9.53	17.85	3.9	14.93	12.12	13.73	8.69	10.79
Scaf8	0.0	47.92	5.1	0.0	0.0	0.0	0.72	0.0	62.13	0.9	0.0	0.02	8.36	0.0	1.78	0.19	3.31	0.0	0.0	16.29	2.35	11.03	4.03	10.37	8.61	9.18
Sema6d	0.0	5.73	0.02	0.03	0.52	0.09	0.09	0.06	45.92	0.45	0.14	0.06	0.33	0.3	0.05	0.49	0.22	0.05	0.0	12.53	0.0	0.47	1.49	4.47	5.92	5.08
Serpinb6a	0.0	207.61	29.0	5.33	59.68	0.0	0.0	17.18	202.03	3.85	0.0	190.65	0.35	41.07	0.0	0.0	5.57	0.21	0.0	0.0	0.0	80.16	80.56	82.06	76.65	85.03
Sirt3	97.22	280.15	360.5	21.53	267.37	148.12	142.39	143.42	415.6	237.4	0.31	248.52	348.33	385.57	0.0	286.28	46.16	114.47	199.53	0.0	249.05	168.95	141.49	204.51	230.9	215.96
Slc20a1	0.0	3.26	300.24	0.0	269.66	8.11	182.51	0.0	233.59	31.76	110.82	172.6	404.39	0.0	3.56	319.31	84.59	158.77	60.71	290.2	0.0	93.18	51.82	76.45	51.35	54.4
Slc31a2	0.0	0.06	0.13	0.0	0.0	0.0	0.42	0.0	118.8	0.0	0.0	0.3	166.3	0.0	0.15	4.74	0.0	0.13	0.0	0.29	0.0	18.13	8.48	10.09	6.11	7.55
Snap25	26182.83	19986.44	24880.43	23752.44	25194.29	22198.58	24000.2	24648.02	19682.76	19552.31	22891.51	21740.03	21459.53	23051.34	19790.53	25542.47	21280.34	20618.04	17702.97	19905.31	16121.53	17485.78	16180.38	20846.74	19146.26	18964.09
Tbca	132.93	217.7	455.7	217.93	112.03	0.0	407.89	0.87	334.42	0.0	231.09	254.13	0.0	147.89	109.77	293.27	388.31	122.16	3.74	185.25	166.54	349.69	327.36	269.6	327.46	280.94
Tmem180	0.0	0.33	0.13	0.0	0.0	7.02	0.0	0.0	91.35	18.42	0.0	0.13	4.45	0.0	97.54	0.0	6.53	2.05	0.0	0.0	0.0	20.22	13.37	1.05	3.33	7.19
Tmem67	19.43	0.0	0.0	0.0	17.51	15.41	0.0	3.02	162.41	0.0	0.0	68.23	105.54	9.04	0.0	33.86	0.0	0.0	1.63	33.33	0.0	8.04	2.99	5.59	8.03	10.21
Tmem8b	118.51	0.82	1.18	1.21	3.62	2.43	0.87	4.72	55.69	3.36	2.3	1.17	4.91	1.31	0.6	2.98	0.64	0.35	1.95	3.23	2.24	10.74	10.41	10.89	6.41	10.33
Trappc8	102.98	0.0	0.02	0.87	0.0	0.0	0.0	0.0	89.46	2.54	10.84	28.42	0.09	0.0	0.17	0.0	6.98	0.0	0.11	1.83	0.0	2.96	9.56	12.85	9.54	7.9
Trp53rk	1.52	2.29	1.71	0.47	1.69	0.7	1.02	1.91	1.93	1.47	0.62	0.72	1.86	0.65	0.43	0.9	1.28	0.3	0.82	1.24	0.48	1.01	0.89	0.48	0.99	0.32
Trub2	0.0	100.75	95.33	0.0	0.0	0.0	0.51	0.0	26.92	0.0	0.17	0.04	169.98	0.0	0.0	7.93	0.29	0.35	0.0	0.63	0.0	21.1	2.75	24.81	19.32	17.59
Ttc15	4.61	92.13	165.06	0.0	0.0	0.54	22.17	0.0	264.21	0.0	0.27	1.33	124.99	26.67	0.0	0.3	2.77	1.1	0.0	7.26	1.08	50.41	33.5	32.7	33.38	28.14
Ubl5	73.75	80.01	143.55	31.92	86.89	89.41	84.15	154.18	187.35	137.47	58.98	56.3	62.38	41.61	46.43	68.04	47.83	63.26	69.14	54.95	47.07	103.4	94.53	71.26	94.63	75.69
Zfp317	0.17	40.94	0.42	0.36	0.01	0.0	118.37	1.2	139.29	0.37	94.02	34.06	73.47	0.51	38.21	176.25	0.14	40.86	70.14	184.64	46.21	59.11	28.64	57.64	44.67	37.04
Zfp330	0.0	0.58	277.85	0.0	0.0	0.0	28.52	0.0	362.25	0.0	0.26	94.57	0.1	152.82	0.0	89.57	126.12	0.0	0.0	0.0	0.0	49.32	117.78	106.77	76.97	93.76
Zfp39	0.0	5.68	49.74	0.31	0.0	0.0	0.1	0.0	245.82	0.16	0.21	21.54	0.15	0.25	1.32	185.15	0.46	25.53	0.16	1.31	0.07	13.69	10.56	22.31	16.37	11.36
Zfp551	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	209.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	6.32	0.85	10.52	9.32	10.15
Zranb2	419.5	523.62	299.31	60.99	299.79	181.54	304.96	710.97	387.15	116.38	115.58	366.64	287.78	168.39	92.72	621.17	232.86	284.07	127.55	195.26	176.31	231.16	195.89	265.99	232.02	215.12
