	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11	CAV_VISp_Contra_tdTpos_cell_1
Adam15	0.0	0.0	1.56	3.53	0.0	16.83	12.02	0.68	0.0	0.33	31.19	0.0	0.0	0.3	0.0	0.0	0.0	0.0	5.28	1.2	3.45	4.18	0.0	89.85
Agbl4	0.0	0.0	52.61	0.0	0.0	0.0	83.89	0.0	18.38	11.94	29.51	0.0	47.64	0.1	0.0	0.0	11.59	0.0	4.0	10.84	17.8	14.45	94.31	172.66
Ak5	0.0	0.14	43.88	0.0	0.0	0.0	45.62	73.79	0.0	5.09	18.52	0.0	23.74	27.01	0.0	80.64	95.05	0.0	17.79	25.12	19.69	19.53	0.0	246.5
Aldoa	10293.64	13597.95	11706.21	8847.23	8914.99	12694.2	10127.43	12406.05	12801.23	13515.12	14715.13	13848.9	11472.28	11924.07	7349.77	12605.63	11548.81	11283.91	9670.1	8338.87	10997.44	10660.26	12521.72	7950.73
Aqr	0.0	3.1	1.54	0.0	0.0	2.42	1.01	0.0	0.0	2.18	8.84	0.0	0.07	10.37	0.0	3.0	0.0	0.0	8.01	14.03	11.16	12.88	1.45	40.33
B4galt2	0.0	0.0	9.9	0.0	0.0	0.0	33.81	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.9	10.46	13.05	8.02	0.0	74.02
Bag2	0.0	0.0	104.72	0.0	0.0	0.0	6.63	3.65	0.0	0.0	0.0	0.0	0.0	121.06	0.0	0.0	0.0	0.0	14.2	2.49	7.86	8.7	0.0	354.91
C630020P19Rik	0.0	0.0	8.13	0.0	0.0	0.0	0.22	9.99	0.0	1.23	0.06	0.0	0.0	0.0	0.0	0.0	45.79	0.13	15.29	5.86	6.56	2.94	9.95	60.3
Ccdc113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.1	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	8.46	6.74	1.39	1.96	0.0	276.72
Ccdc157	0.31	0.61	1.6	0.79	1.64	1.73	0.69	0.31	22.39	0.66	0.52	0.67	0.61	44.2	1.83	0.67	0.74	0.39	3.62	0.95	1.92	1.19	0.55	55.88
Cct2	0.0	179.63	125.06	0.2	0.0	661.65	150.45	162.8	91.38	277.99	96.53	84.44	131.96	301.15	0.0	1.23	108.57	0.0	94.6	190.51	161.15	133.34	248.55	265.9
Clstn1	0.0	39.56	54.82	0.0	0.0	21.04	33.65	12.83	45.01	27.09	0.24	8.12	21.28	65.59	0.0	41.02	14.58	11.75	46.68	45.4	47.83	50.34	23.11	54.45
Cntln	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.62	0.0	24.84	0.06	0.0	19.15	0.0	0.0	3.8	4.02	1.42	3.31	0.0	30.15
Cyp46a1	0.0	1.07	103.09	0.0	5.12	89.25	0.0	0.18	7.61	0.0	0.0	9.59	0.0	0.74	0.0	0.68	3.15	0.0	13.26	7.66	5.89	3.46	6.48	95.2
Dolpp1	0.0	94.53	3.81	0.0	0.0	0.0	38.13	0.0	0.0	0.0	0.0	0.0	0.0	0.08	4.35	0.0	0.0	0.0	26.6	18.71	6.31	12.06	0.0	147.84
Dtl	0.07	0.53	0.15	0.06	0.0	0.0	113.41	0.09	0.0	0.0	0.0	0.17	0.0	0.04	0.0	46.28	0.0	0.04	15.64	14.8	14.97	15.6	83.6	93.04
Etohi1	9.98	62.28	63.42	65.54	6.49	77.52	239.93	144.41	102.7	61.11	136.26	57.07	1.4	29.59	0.79	161.6	181.84	12.97	100.81	107.46	100.08	96.79	178.03	663.75
Fam160a2	0.0	0.21	33.18	0.0	0.0	2.36	9.09	44.52	0.0	0.03	1.32	0.2	1.32	16.72	0.05	27.3	10.48	0.14	1.27	5.33	5.03	6.6	20.62	9.88
Fndc3a	136.26	3.26	52.98	16.49	0.0	0.05	34.92	25.8	12.95	40.31	8.93	7.5	0.0	105.37	0.0	5.7	0.7	0.08	8.15	16.09	11.09	12.75	32.72	56.62
Gm10865	0.0	0.0	0.0	0.0	0.46	0.0	0.39	0.0	0.0	0.77	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.22	1.37
Gm14430	0.21	3.35	0.0	0.11	0.0	0.0	25.26	17.58	0.0	9.33	0.22	0.0	0.0	0.02	0.0	0.36	0.22	0.23	3.28	4.14	5.97	4.22	0.74	10.03
Gm14434	0.21	3.35	0.0	0.11	0.0	0.0	25.26	17.58	0.0	9.33	0.22	0.0	0.0	0.02	0.0	0.36	0.22	0.23	3.28	4.14	5.97	4.22	0.74	10.03
Gm16793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.4	0.61	0.0	109.11
Gm4724	0.21	3.35	0.0	0.11	0.0	0.0	25.26	17.58	0.0	9.33	0.22	0.0	0.0	0.02	0.0	0.36	0.22	0.23	3.28	4.14	5.97	4.22	0.74	10.03
Gnb1l	0.0	0.0	0.0	0.0	0.0	0.0	20.67	0.11	33.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	2.5	3.84	3.87	0.0	73.18
Gpd1l	0.0	15.23	55.88	0.09	0.0	6.31	34.2	79.39	6.28	3.01	19.47	0.23	0.07	0.35	0.0	0.0	0.17	0.0	17.04	19.33	12.04	20.7	0.22	136.05
Grip2	58.04	0.0	0.0	0.0	18.84	0.0	0.0	10.75	0.0	0.0	25.75	0.0	0.0	9.88	0.0	0.0	0.0	0.0	1.9	2.53	6.1	1.47	0.0	39.49
Grm3	0.0	4.17	12.72	0.0	0.0	119.14	8.93	74.36	5.61	132.42	60.85	3.18	110.59	28.32	109.37	56.75	0.0	0.0	41.37	63.88	47.07	68.6	24.24	127.84
Gstz1	0.0	2.57	0.0	0.0	0.0	2.54	28.99	0.0	0.15	0.17	1.75	0.22	45.67	0.15	0.0	0.24	10.75	0.0	42.05	68.26	52.54	59.76	199.44	267.01
Hhex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28
Hivep1	8.27	0.0	2.7	0.0	0.0	14.96	20.62	5.64	8.2	15.7	0.06	4.62	0.04	0.74	5.68	12.27	12.84	21.19	3.65	6.08	3.91	4.77	0.07	38.87
Hjurp	0.25	11.54	0.0	0.0	0.0	1.07	0.0	0.08	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	1.08	0.72	0.42	0.33	0.47	0.0	3.18
Ifngr2	1.05	2.5	1.65	3.96	0.93	28.42	45.05	72.19	30.57	30.11	3.39	5.97	0.55	16.5	0.61	35.86	0.41	2.29	11.37	36.0	33.42	30.93	73.52	82.23
Irf8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	40.69
Kcnh1	96.24	4.77	4.33	91.55	0.0	0.0	19.69	19.37	1.69	23.85	0.0	34.57	5.4	0.0	0.0	7.21	0.0	0.07	0.22	7.42	5.29	12.44	7.86	83.79
Kdm5a	0.0	6.89	11.06	0.0	0.0	0.21	1.85	11.46	0.07	0.14	5.32	5.02	0.18	40.41	0.05	0.0	0.27	0.09	10.69	29.62	21.03	20.94	1.4	35.56
Klf6	0.19	51.2	0.0	0.0	0.0	0.77	46.78	17.86	35.52	99.57	154.55	0.32	0.0	0.62	0.0	0.34	0.87	0.0	44.64	31.8	31.02	34.13	68.49	234.57
Lhfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.35	0.0	0.0	0.0	0.0	0.0	0.0	6.22	1.06	0.0	1.91	2.59	3.32	5.02	106.64	151.57
Lman1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	7.73
Lrpprc	0.0	14.66	34.67	0.09	0.41	6.83	22.04	43.84	0.18	22.6	60.88	29.35	15.92	0.8	0.12	0.14	0.0	0.41	28.06	54.81	33.15	30.76	1.26	77.87
Map2k7	0.0	0.13	0.0	0.0	0.0	0.0	16.65	37.37	1.93	32.8	0.0	0.0	0.19	0.2	0.0	0.0	5.22	0.0	1.52	9.25	10.48	11.56	2.88	70.35
Men1	0.0	0.0	0.0	252.66	0.0	0.0	47.69	0.0	0.0	0.0	0.0	0.0	0.12	0.07	0.0	0.0	0.28	28.81	7.03	4.18	6.38	4.47	65.19	91.06
Mocs1	0.0	0.17	0.12	0.0	0.0	0.0	0.21	1.32	0.0	0.0	0.19	19.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.4	0.0	0.02	0.59
Mpped1	0.0	65.5	0.0	0.0	0.0	3.09	54.98	82.19	4.7	54.68	21.35	33.85	27.44	1.42	0.0	67.45	1.58	0.15	42.63	39.09	51.21	51.99	32.44	185.2
Nudt10	0.0	44.95	117.08	0.0	0.0	6.36	159.64	212.06	87.09	32.78	9.8	35.8	14.23	49.58	0.0	40.33	0.0	0.29	31.88	229.98	106.6	128.25	131.31	162.94
Papd5	0.0	0.0	0.0	0.0	0.0	0.91	4.92	0.0	0.0	4.95	0.0	0.0	0.0	0.0	0.0	0.11	3.24	0.0	6.2	12.8	7.29	10.42	44.16	86.65
Paxip1	1.02	1.19	46.35	2.23	1.94	1.57	33.84	1.76	4.92	1.45	8.07	0.27	1.37	7.29	0.27	1.31	5.93	1.74	0.85	4.76	3.64	4.17	0.99	28.26
Pddc1	0.5	1.57	154.23	1.68	0.0	14.65	53.83	16.15	6.13	138.71	126.86	9.34	17.32	8.85	0.0	1.23	23.5	0.47	166.66	94.32	103.26	94.04	136.53	441.15
Pdlim7	277.28	3.86	97.44	0.0	0.0	118.33	128.53	195.06	0.0	0.37	276.12	78.19	80.37	87.23	0.0	209.86	1.7	0.58	38.09	51.43	29.48	37.93	173.12	299.97
Peli2	0.0	0.0	14.48	0.0	0.0	35.78	0.0	0.0	0.77	0.0	0.0	16.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.12	0.0	0.0	17.45
Pigc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.76	27.79	19.23	9.97	9.68	0.0	77.03
Pldn	0.0	44.87	3.74	0.13	17.12	158.21	3.7	95.23	26.66	5.09	0.63	66.78	2.13	0.74	1.42	42.42	56.92	163.98	31.51	33.74	31.11	28.49	3.18	118.2
Plekho1	0.0	0.0	44.69	0.0	0.0	0.0	9.68	0.0	0.49	11.65	0.0	0.0	0.0	0.13	0.0	0.0	1.1	49.32	14.39	16.58	10.33	7.56	0.0	90.31
Pqlc2	0.0	0.0	3.42	0.0	0.0	134.37	33.69	71.09	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	9.14	3.38	7.44	5.81	0.0	121.86
Psmg3	0.0	0.0	0.0	0.0	0.0	75.2	101.94	58.96	0.0	0.0	121.76	95.57	0.0	80.26	0.0	163.96	74.69	0.0	33.22	39.3	39.23	50.47	0.41	265.36
Rad50	0.0	0.0	25.68	0.0	0.0	78.07	0.0	74.87	4.21	35.22	26.13	0.13	0.0	0.0	0.0	116.51	19.09	0.0	10.44	9.4	9.12	6.2	18.35	60.78
Rfesd	200.15	0.0	3.69	22.31	0.0	71.39	9.55	0.0	0.0	0.0	102.38	0.0	33.33	0.38	0.0	74.53	0.0	0.0	13.71	20.32	17.97	14.5	0.0	78.08
Ric8	0.0	0.0	106.85	0.0	0.16	204.57	0.0	0.13	0.0	0.0	9.24	0.0	0.25	87.43	0.0	71.43	49.02	0.0	2.13	30.43	16.21	20.33	70.85	125.11
Rnf146	5.34	54.85	0.0	0.0	0.0	0.0	38.12	136.93	106.07	1.67	1.34	160.47	0.0	12.21	0.0	44.31	0.34	0.0	45.46	73.62	41.92	39.29	0.28	286.33
Sdc3	0.0	36.44	46.38	0.0	0.0	0.0	0.0	0.77	0.26	0.0	0.05	0.0	0.0	0.03	0.0	13.04	0.0	0.0	0.04	1.66	1.03	2.21	0.0	90.95
Sdccag3	0.0	3.45	0.64	0.39	0.25	0.88	2.19	0.0	0.17	0.0	34.92	0.87	20.11	92.07	0.0	0.98	0.75	0.26	19.97	11.12	19.49	20.73	0.99	80.73
Sik2	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.08	0.12	0.16	0.0	13.14
Slc25a25	0.0	13.25	0.0	0.0	0.0	49.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	57.46	0.22	0.0	15.3	5.75	3.42	6.02	64.53	92.07
Slc31a2	0.0	109.11	0.0	0.0	0.0	0.0	51.72	0.0	0.0	92.69	0.0	117.6	0.0	0.0	0.0	0.0	1.22	0.28	8.22	10.09	6.11	7.55	0.0	144.39
Slc35f5	0.0	151.95	0.0	0.0	0.0	0.0	87.71	0.15	0.0	0.0	9.65	155.89	0.13	159.93	0.0	1.84	0.85	0.0	10.82	13.23	15.65	16.87	65.14	73.95
Snora2b	0.0	0.0	45.29	0.0	0.0	0.0	23.94	28.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52	0.0	0.0	0.0	50.98
Spcs1	528.35	371.21	530.22	205.3	350.39	391.14	406.96	591.06	390.27	282.55	824.78	448.13	930.16	451.49	261.54	538.35	216.52	377.94	558.16	453.08	489.46	445.57	358.57	867.61
Sprr2a1	0.11	0.0	0.19	0.0	0.0	0.0	0.14	0.0	0.15	0.15	0.61	0.09	0.91	0.0	0.0	0.2	0.1	0.0	0.06	0.08	0.05	0.1	0.0	0.8
Sprr2a2	0.11	0.0	0.19	0.0	0.0	0.0	0.14	0.0	0.15	0.15	0.61	0.09	0.91	0.0	0.0	0.2	0.1	0.0	0.06	0.08	0.05	0.1	0.0	0.8
Stx17	0.08	1.38	0.05	0.1	1.71	0.07	7.78	0.0	13.03	0.0	0.0	36.3	21.64	0.0	0.11	34.47	0.24	0.0	4.81	5.62	2.42	4.4	0.06	15.89
Supv3l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.01	2.33	0.0	114.32
Tbc1d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	29.2	0.0	2.35	0.0	0.0	2.41	0.38	1.07	0.89	0.0	62.11
Tmed3	0.32	107.36	169.26	0.0	0.37	0.0	84.62	155.23	0.25	0.0	180.39	141.5	1.01	29.82	30.16	240.42	1.71	0.0	120.3	64.15	71.02	89.12	210.49	412.74
Tmem167	0.04	12.66	8.08	1.21	0.48	43.37	42.09	36.28	24.73	15.82	35.8	15.26	21.25	1.54	0.5	46.99	32.68	1.38	47.99	38.76	40.51	40.34	16.1	55.3
Tmem184b	0.0	0.0	5.9	102.71	0.0	0.48	2.85	0.0	0.0	0.0	0.0	0.12	19.81	0.0	0.2	0.0	0.0	0.0	11.03	0.93	2.48	1.32	40.79	47.96
Tmem8b	0.12	36.72	2.48	0.61	1.56	53.35	1.41	1.43	2.2	1.61	0.26	1.87	3.31	1.5	1.94	1.65	6.16	2.34	5.74	10.89	6.41	10.33	43.52	38.6
Tnfrsf11a	0.71	3.11	8.67	2.0	8.2	6.33	8.51	8.08	3.12	3.86	1.04	9.97	49.11	3.73	1.45	4.06	4.37	5.55	1.03	3.76	3.95	4.77	2.33	19.25
Trit1	0.0	74.31	81.96	0.0	0.0	0.0	0.49	4.71	0.0	0.0	0.0	0.17	0.0	0.08	0.0	90.21	0.0	0.0	16.53	17.51	19.36	13.08	75.26	208.99
Ttc35	0.0	348.71	88.55	149.97	0.0	113.34	212.41	277.2	130.97	348.17	283.45	8.46	2.71	708.74	0.0	151.24	388.31	220.03	279.96	290.69	268.67	281.72	233.3	666.97
Twistnb	0.0	0.0	0.0	0.0	0.0	0.0	31.42	0.0	0.0	0.0	73.11	0.0	0.14	6.84	0.0	0.0	0.0	0.0	0.34	9.79	3.86	4.05	0.0	245.11
Unc119b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75	1.3	2.82	0.85	0.0	63.17
Vps26a	109.02	93.07	173.83	0.0	0.0	135.3	51.17	136.07	57.12	97.03	85.61	46.2	113.33	222.93	0.0	221.76	178.79	319.57	92.58	177.77	127.46	124.09	24.82	380.68
Zbtb43	97.18	0.0	0.0	0.03	0.03	0.0	0.0	0.0	0.06	0.0	0.0	0.07	0.07	0.0	0.0	17.2	0.0	0.1	5.59	10.29	10.28	4.34	5.19	58.67
