	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_74	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_21	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12
Entpd7	0.0	0.0	0.0	6.22	0.0	5.98	8.93	94.7	29.08	58.12	9.97	84.95	19.31	27.9	85.56	35.39	74.26	0.27	8.77	84.0	31.8	51.92	87.82	32.25	25.69	9.16	21.46	38.34	34.03	13.59	28.01	38.69	34.89	78.84	78.37	38.67	0.0	0.2	0.12
Fam125a	0.0	0.0	0.0	0.0	0.0	0.0	34.0	15.01	13.27	16.4	0.0	15.81	0.0	0.45	2.18	0.0	61.04	0.0	0.0	0.7	45.76	4.38	33.22	0.85	54.0	0.0	30.47	33.89	0.0	0.89	48.47	69.44	26.28	40.59	41.58	69.85	0.0	0.0	0.0
Fam193b	0.0	0.0	0.0	0.0	0.0	0.0	0.15	23.31	3.06	1.35	10.19	0.0	0.0	27.04	1.16	0.0	0.19	1.55	0.0	0.0	12.91	19.24	21.03	0.14	0.2	2.33	0.68	24.41	0.85	0.43	1.09	22.81	14.57	27.81	22.11	33.91	0.0	0.26	0.0
Gm14430	0.0	0.0	0.0	0.32	0.0	0.0	14.72	1.87	26.14	13.5	30.51	13.46	3.22	12.83	3.07	2.82	11.03	9.95	10.87	18.55	13.57	4.08	11.25	0.32	1.49	9.13	0.54	0.0	8.34	13.98	13.81	30.75	23.59	25.3	15.88	2.38	0.0	0.24	0.0
Gm14434	0.0	0.0	0.0	0.32	0.0	0.0	14.72	1.87	26.14	13.5	30.51	13.46	3.22	12.83	3.07	2.82	11.03	9.95	10.87	18.55	13.57	4.08	11.25	0.32	1.49	9.13	0.54	0.0	8.34	13.98	13.81	30.75	23.59	25.3	15.88	2.38	0.0	0.24	0.0
Gm4724	0.0	0.0	0.0	0.32	0.0	0.0	14.72	1.87	26.14	13.5	30.51	13.46	3.22	12.83	3.07	2.82	11.03	9.95	10.87	18.55	13.57	4.08	11.25	0.32	1.49	9.13	0.54	0.0	8.34	13.98	13.81	30.75	23.59	25.3	15.88	2.38	0.0	0.24	0.0
Haghl	0.0	32.24	425.58	0.0	0.0	0.0	337.26	307.61	109.38	260.0	249.87	156.94	212.99	260.0	61.2	324.08	393.64	166.41	296.27	304.63	345.54	280.41	367.01	254.56	356.05	244.61	138.63	186.15	344.48	222.55	138.5	79.85	153.05	569.31	480.41	581.72	0.0	0.0	0.0
Hspa12a	0.0	0.0	0.0	0.0	0.0	38.65	22.26	59.54	13.34	26.1	0.0	103.38	0.13	0.16	45.01	24.58	40.33	40.29	29.04	39.09	34.4	21.1	34.63	26.89	21.94	18.81	64.2	38.35	40.13	45.18	23.85	34.47	103.62	103.88	89.3	12.33	0.03	0.0	0.0
Iqsec3	0.0	0.23	0.34	15.5	0.38	0.0	6.91	21.21	3.38	16.13	0.74	22.19	47.49	0.0	0.76	22.55	27.64	0.42	25.01	0.1	16.16	0.54	3.96	55.59	0.01	49.18	42.24	3.68	30.0	11.65	21.93	0.35	9.81	47.74	49.83	29.94	0.05	0.0	0.0
Kcna1	0.0	0.0	0.05	2.79	0.97	67.88	155.4	258.51	120.88	281.96	53.8	455.33	33.81	151.11	159.56	28.07	158.39	138.68	12.5	254.23	229.92	186.92	175.67	275.53	103.18	173.91	140.07	175.06	83.12	92.79	139.69	267.03	261.1	221.93	155.8	247.3	0.02	0.0	0.0
Kcnab2	0.0	0.2	0.0	2.69	0.0	47.5	45.26	87.19	102.87	58.4	5.19	89.61	36.84	4.56	34.78	77.57	88.78	15.08	45.03	53.29	113.61	33.32	77.34	49.89	14.09	26.18	64.08	44.07	35.72	25.17	57.48	47.5	133.47	126.13	79.62	98.54	0.0	0.0	0.0
Kcnc3	0.0	0.0	0.0	0.0	0.0	1.96	7.5	15.58	5.98	2.87	0.0	8.77	1.36	0.0	6.75	1.34	15.04	2.73	1.07	5.05	18.42	9.2	19.58	7.27	0.0	0.89	19.57	4.5	2.21	4.95	1.07	8.27	12.9	19.09	2.49	8.74	0.0	0.0	0.0
Kcnj9	0.0	0.07	0.0	0.0	0.0	0.0	53.01	1.41	35.86	28.03	1.17	30.07	81.81	0.0	1.36	0.32	8.51	0.0	46.46	28.33	50.29	37.49	6.16	21.14	12.59	1.26	0.0	0.0	24.64	4.19	38.93	1.26	54.79	94.98	35.46	66.25	0.0	0.0	0.0
Ldhb	7486.96	8970.97	5274.92	8204.16	4622.23	10118.08	10894.4	8892.3	8217.62	9343.6	8620.64	10165.1	9166.61	9602.81	11261.44	8285.69	10004.69	7834.03	8757.21	9074.03	13571.31	12546.17	9106.97	9755.78	7095.61	8904.1	11010.48	8671.45	10182.84	7750.55	9082.37	8351.44	7175.32	7830.1	8111.86	11746.38	2749.36	5217.81	5577.5
Lpcat4	0.0	0.13	0.0	0.0	0.0	0.26	0.0	74.81	82.99	14.4	8.16	52.72	63.47	8.0	0.0	43.54	39.91	0.29	40.1	36.05	27.28	0.22	4.77	5.94	25.23	9.23	20.04	0.0	0.0	0.24	0.8	9.4	55.23	75.38	40.99	70.38	0.0	0.0	0.0
Megf11	0.0	6.77	0.0	0.0	0.0	2.0	15.7	13.16	7.13	10.33	0.21	5.12	11.15	23.22	14.02	9.93	12.55	1.59	5.73	14.68	10.95	2.75	11.2	5.58	0.0	1.5	5.23	26.01	9.35	8.36	14.41	27.49	33.93	30.6	9.27	16.36	0.0	0.07	0.0
Mtmr2	6.89	1.78	0.0	4.53	0.83	29.73	50.59	47.14	30.64	53.12	34.31	104.17	87.52	45.81	78.55	67.49	58.17	22.34	38.1	28.86	90.7	30.13	72.97	103.67	21.36	25.25	51.38	55.47	30.79	16.83	32.42	76.94	61.44	149.04	71.74	74.31	0.0	0.14	0.23
Nacc2	5.21	0.68	0.5	37.19	2.75	36.86	26.61	47.78	26.82	43.19	33.64	47.35	19.61	41.17	22.86	68.07	63.42	0.14	34.21	15.49	75.82	45.2	54.54	41.02	32.04	23.29	0.53	20.57	31.4	33.37	67.16	41.19	101.94	76.32	84.6	25.37	2.63	5.71	0.06
Nat8l	0.0	0.0	0.0	0.0	0.19	41.62	51.18	32.88	48.27	52.29	21.6	50.39	43.52	36.63	9.99	35.16	50.04	11.59	6.77	62.19	51.88	39.07	34.49	41.38	31.56	55.65	24.73	62.8	119.04	16.52	64.41	49.12	69.77	161.43	68.83	101.06	0.0	0.06	0.0
Nefh	0.0	14.03	0.0	0.0	0.0	8.49	90.01	48.3	82.42	70.19	22.14	90.31	0.39	32.52	16.51	34.28	44.52	28.1	38.72	145.17	233.76	107.74	99.21	28.61	29.69	21.77	61.11	75.57	133.09	12.2	51.63	62.19	122.53	100.1	103.28	116.26	0.0	0.0	0.0
Ppm1h	0.24	106.77	43.28	114.87	1.95	118.74	163.8	278.37	208.3	158.31	232.62	196.34	212.12	215.49	124.19	180.29	119.55	164.92	147.06	178.48	158.11	184.75	114.36	155.86	144.93	119.28	235.36	175.99	168.4	142.59	234.59	167.29	173.35	229.57	199.72	194.81	86.72	1.16	172.84
Pvalb	0.0	0.0	0.0	207.61	0.0	1319.97	2144.98	1711.38	1185.42	1199.86	862.9	1316.24	1251.83	1724.33	1740.57	1202.67	1769.21	807.27	1277.26	1815.89	1408.27	1731.8	1698.2	1974.07	1010.05	1237.21	1295.74	1759.25	1914.29	760.46	1681.17	1830.01	1571.08	1823.48	1749.01	3516.69	0.0	0.0	0.0
Rab11a	0.0	0.21	0.0	0.0	0.0	3.96	116.93	23.46	75.01	94.54	118.17	177.37	0.0	89.18	168.71	43.66	19.28	173.17	3.53	50.14	104.92	115.98	38.03	92.17	72.04	45.31	85.82	112.21	10.31	67.26	202.21	0.0	127.29	137.35	119.7	134.18	0.0	0.0	0.0
Rims1	0.0	13.05	0.0	0.0	0.0	9.93	28.13	0.0	27.35	30.03	34.29	54.16	0.37	58.62	7.62	87.3	1.06	0.15	3.78	23.5	84.84	43.49	33.7	14.03	141.54	1.23	51.4	31.08	33.93	1.45	70.57	43.43	146.86	127.44	73.43	63.72	0.0	0.0	0.0
Slc24a2	0.0	78.59	0.0	25.71	0.83	170.46	264.55	263.46	233.37	244.33	190.72	283.6	307.31	223.98	341.43	159.47	304.97	171.31	127.86	202.85	214.57	191.88	226.68	170.1	216.92	227.92	161.6	200.53	247.62	168.29	190.94	356.83	443.24	293.84	263.01	269.92	0.0	0.31	0.0
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	8.69	13.81	0.0	10.13	11.66	0.0	21.33	8.33	3.39	4.84	5.67	20.18	3.11	13.15	7.64	3.68	3.4	3.94	0.0	0.0	9.68	11.28	0.0	0.0	13.5	17.03	1.73	0.0	12.73	1.69	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	8.69	13.81	0.0	10.13	11.66	0.0	21.33	8.33	3.39	4.84	5.67	20.18	3.11	13.15	7.64	3.68	3.4	3.94	0.0	0.0	9.68	11.28	0.0	0.0	13.5	17.03	1.73	0.0	12.73	1.69	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	8.69	13.81	0.0	10.13	11.66	0.0	21.33	8.33	3.39	4.84	5.67	20.18	3.11	13.15	7.64	3.68	3.4	3.94	0.0	0.0	9.68	11.28	0.0	0.0	13.5	17.03	1.73	0.0	12.73	1.69	0.0	0.0	0.0
Stk39	0.0	0.0	0.0	38.33	0.0	4.21	29.38	40.67	26.42	30.31	0.0	5.78	10.42	7.74	12.47	0.0	36.98	0.0	0.0	31.82	55.25	30.09	11.27	49.86	0.0	37.67	28.64	40.41	28.06	6.49	69.06	26.5	66.16	139.49	65.16	52.17	0.06	0.0	0.0
Vamp1	38.87	0.0	0.0	0.0	0.0	61.88	88.18	75.53	95.96	105.26	94.09	223.98	153.6	62.72	121.86	62.52	126.35	42.4	51.39	152.03	189.43	130.96	241.04	99.48	53.07	29.18	80.25	154.48	107.42	26.73	54.88	184.84	187.73	199.29	157.74	136.71	0.0	0.0	0.0
Zfp536	0.0	0.0	0.0	0.0	0.0	0.95	2.58	4.33	0.49	6.95	0.0	0.0	0.69	7.12	18.36	8.63	12.21	1.8	0.0	10.77	0.0	0.0	17.87	1.29	7.52	8.67	0.49	1.96	0.0	0.21	0.51	1.87	18.79	37.25	18.56	0.0	0.0	0.0	0.0
