	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Cmas	0.0	0.0	310.15	26.75	102.13	0.0	0.0	1.58	96.98	0.94	0.0	0.0	30.72	19.1	70.58	9.44	3.45	30.95	190.85	7.39	0.0	0.0	0.0	53.81	0.0	0.0	88.36	0.0
Cspp1	89.18	13.46	7.61	7.6	73.15	4.14	1.23	20.79	0.11	22.08	0.0	0.0	6.03	4.57	24.36	0.07	261.16	55.66	0.0	13.46	0.0	0.0	0.86	11.4	30.03	3.58	0.0	0.33
D730040F13Rik	1.0	0.17	2.23	35.85	22.78	0.94	0.59	35.96	0.94	1.42	0.36	0.05	4.66	0.63	37.84	0.36	2.65	0.37	1.24	0.49	0.48	0.04	0.8	0.1	0.37	0.49	0.17	0.25
Dis3l2	0.0	16.98	1.64	1.24	89.45	28.87	0.0	0.0	0.0	0.34	0.0	0.0	3.0	0.0	52.71	36.15	49.25	79.29	108.81	46.19	30.74	0.13	0.0	0.54	0.0	0.0	0.1	0.0
Dpp10	203.25	50.52	5.39	156.31	92.04	126.84	46.62	15.79	36.39	13.29	0.0	0.0	58.86	81.2	135.85	0.4	71.31	148.34	330.2	130.9	54.28	0.0	0.0	0.06	91.06	57.32	36.31	30.64
Esrrg	0.0	0.0	0.0	0.0	103.01	77.29	0.0	0.11	0.0	143.26	0.0	0.0	0.04	4.92	0.0	4.69	0.0	112.33	134.24	5.51	0.0	0.0	40.76	0.0	0.0	0.0	0.0	0.0
Gm13306	6.45	19.36	9.53	0.69	24.48	22.24	136.5	328.63	352.63	190.26	0.0	0.0	0.0	1.96	63.9	0.0	279.74	2.1	364.23	147.96	0.0	0.0	30.14	319.12	235.31	83.58	97.07	149.77
Gm20300	439.15	193.28	100.12	284.11	248.12	177.74	197.01	152.7	233.25	545.85	538.27	28.24	255.58	467.53	532.07	13.44	560.65	629.48	460.06	233.1	299.81	391.23	85.13	64.1	7.83	43.2	12.72	58.8
Gm20362	0.0	0.0	51.28	11.8	28.61	6.76	2.27	1.34	4.09	53.44	0.0	0.0	18.23	7.05	26.82	0.0	18.33	11.36	11.44	7.26	0.0	0.0	28.83	3.45	5.14	10.02	1.16	0.0
Gm2506	6.45	19.36	9.53	0.69	24.48	22.24	136.5	328.63	352.63	190.26	0.0	0.0	0.0	1.96	63.9	0.0	279.74	2.1	364.23	147.96	0.0	0.0	30.14	319.12	235.31	83.58	97.07	149.77
Gsk3b	434.18	141.62	268.13	346.42	332.64	275.17	439.41	279.43	533.96	627.3	38.56	75.7	237.79	529.33	435.68	255.18	674.96	565.42	551.38	219.88	274.72	39.96	421.9	122.97	36.18	179.81	38.51	61.55
Ift46	2.3	129.42	151.65	109.57	262.99	187.78	37.61	73.38	2.76	4.19	0.57	3.83	39.17	32.31	40.43	19.92	61.78	35.86	1.67	61.46	2.97	5.37	1.53	0.83	64.6	2.04	45.41	40.44
Myt1l	22.61	50.75	0.0	59.1	189.21	74.01	41.82	0.72	67.56	213.06	0.08	0.0	194.05	50.17	54.32	35.62	133.24	204.68	136.73	81.29	33.43	0.0	4.74	45.62	98.16	110.67	50.28	28.35
Naa20	275.84	625.67	0.46	399.92	742.36	214.47	333.13	428.12	495.49	12.78	536.24	0.0	102.03	680.78	575.1	480.88	493.91	699.97	475.19	206.61	0.0	0.0	330.56	257.18	594.45	270.76	43.82	257.49
Ncs1	0.0	163.87	174.92	250.2	439.26	349.46	137.18	94.1	359.37	100.36	0.0	0.19	249.58	117.89	353.11	0.77	750.03	303.35	188.67	30.89	121.89	0.0	370.29	58.08	14.68	23.32	19.15	11.29
Nono	673.05	195.71	61.74	329.47	384.63	277.24	0.32	284.79	5.13	80.58	0.0	335.64	300.67	323.55	119.26	0.0	674.04	341.6	440.84	46.12	0.0	0.0	576.91	379.27	83.42	130.56	29.76	101.83
Otud6b	0.0	51.09	195.25	232.61	215.58	75.15	1.2	117.09	6.11	373.8	0.0	0.12	1.03	0.0	147.98	1.25	2.18	93.46	203.48	35.64	194.86	32.9	169.37	7.7	34.93	97.72	13.91	28.41
Pfkp	290.29	235.05	103.66	508.97	517.03	589.51	107.39	255.99	178.35	144.72	0.0	0.1	225.15	230.43	218.18	1.35	214.38	501.1	144.04	282.92	135.45	0.0	128.71	258.67	222.75	214.8	205.68	40.92
Ppm1b	0.0	45.06	88.6	2.04	106.38	19.42	0.0	0.0	0.0	0.17	0.0	0.0	0.0	4.86	42.38	0.0	4.56	53.25	0.12	0.67	0.0	0.0	88.44	0.0	0.0	0.0	17.37	31.29
Rabgap1	116.78	52.82	0.0	16.77	91.31	57.19	140.99	169.03	19.52	76.65	0.05	0.08	1.16	19.46	23.81	0.25	30.23	165.23	39.74	10.67	22.91	0.0	82.59	24.16	27.94	61.55	114.17	16.49
Serbp1	11.79	16.39	0.08	39.21	66.71	11.07	50.94	26.3	25.49	49.78	0.04	0.11	26.23	160.2	7.45	7.43	164.62	58.56	172.59	50.71	12.57	0.0	203.17	24.84	25.4	39.09	19.4	8.75
Slc35f5	0.0	0.0	0.0	0.0	88.54	0.29	0.0	0.0	0.0	0.42	0.0	0.0	0.09	124.07	0.67	0.0	126.82	69.59	0.0	0.0	0.0	0.0	0.0	83.64	0.0	0.0	0.0	0.0
Snord116	0.0	7.4	0.0	0.0	17.67	3.47	0.0	5.3	6.48	14.79	0.0	0.0	9.5	7.97	0.0	0.0	3.43	10.57	6.89	8.45	0.0	0.0	0.0	0.0	4.47	2.75	0.0	0.0
Snord116l1	0.0	7.4	0.0	0.0	17.67	3.47	0.0	5.3	6.48	14.79	0.0	0.0	9.5	7.97	0.0	0.0	3.43	10.57	6.89	8.45	0.0	0.0	0.0	0.0	4.47	2.75	0.0	0.0
Snord116l2	0.0	7.4	0.0	0.0	17.67	3.47	0.0	5.3	6.48	14.79	0.0	0.0	9.5	7.97	0.0	0.0	3.43	10.57	6.89	8.45	0.0	0.0	0.0	0.0	4.47	2.75	0.0	0.0
Stmn1	10776.66	10587.49	11391.73	10862.63	7638.5	8959.67	9729.87	9070.67	12096.72	9462.09	5921.51	10015.46	9224.38	10267.64	9644.83	8003.8	13005.25	5600.87	11961.92	10665.83	7623.58	5307.39	10788.95	10789.21	12161.23	10051.01	11287.74	9866.46
Tkt	0.0	0.46	127.54	105.48	229.28	76.16	0.0	59.08	0.0	6.6	0.09	0.0	85.78	187.17	117.3	16.65	0.0	190.61	88.71	4.51	0.0	0.0	146.0	0.0	0.0	113.91	0.09	2.91
Tpr	4.76	19.27	28.32	8.4	84.65	29.63	2.97	39.49	27.2	3.77	0.07	0.0	71.33	47.39	44.22	0.04	112.4	65.41	120.9	3.07	5.61	0.0	76.38	0.0	40.35	75.64	19.58	0.0
Ttc1	184.78	185.25	40.25	187.71	417.41	322.73	111.38	154.4	242.01	358.69	623.71	0.27	318.48	165.63	219.54	252.83	358.44	250.98	302.4	0.19	0.0	169.15	510.83	427.49	325.97	421.26	28.81	125.57
Ube2l6	0.0	0.31	25.24	8.72	29.59	3.02	0.0	4.09	3.52	26.04	0.0	0.0	11.41	3.84	20.66	0.0	8.36	22.29	17.07	7.8	0.0	0.0	0.0	2.52	6.16	11.03	2.33	3.54
Ypel5	0.2	160.48	74.03	299.48	573.63	466.94	17.32	31.09	138.33	475.62	27.67	0.0	541.31	245.82	168.81	96.45	228.45	303.39	838.86	83.05	45.26	53.57	353.79	686.84	267.25	558.09	185.05	205.59
Zbtb44	3.28	0.49	18.48	17.28	32.02	25.59	4.75	17.07	3.45	6.43	0.46	0.62	4.96	1.3	2.1	0.2	0.44	58.13	0.36	6.29	1.65	0.57	39.23	6.46	0.19	29.77	0.09	0.14
