	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_53	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Capns2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8	5.98	2.84	1.09	0.84	1.85
Cbfa2t3	0.0	0.0	0.0	0.0	0.0	32.08	0.0	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.09	0.0	7.71	2.66	99.82	0.04	7.8	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	7.5	0.0	0.0	0.05	0.0	0.0	8.73	0.0	0.0	0.0	0.0	0.16	14.81	6.82	6.44	6.41	10.01	9.85	9.29
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	27.72	149.26	40.26	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	42.6	0.11	0.0	0.0	9.5	0.23	14.7	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Cdk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.0	0.0	11.33	0.0	0.0	0.0	0.0	0.0	0.0	27.44	19.35	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	2.77	2.57	2.24
Crim1	7.82	0.56	0.0	9.36	0.12	0.0	0.0	0.0	0.0	0.0	0.08	0.0	3.46	8.1	0.0	4.99	6.39	5.62	29.47	12.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.34	13.83	5.12	0.37	0.51	0.1	34.08	6.35	0.0	9.49	0.0	0.0	0.0	0.0	1.33	1.04	1.2	32.44	32.38	31.12
Csrnp3	0.0	0.06	0.0	0.12	0.0	0.05	0.0	0.05	0.0	0.0	0.14	0.06	0.0	0.0	0.02	0.33	45.84	11.32	0.15	0.18	19.16	0.0	0.09	0.1	0.02	0.06	1.0	0.11	0.47	71.48	0.12	0.03	0.21	0.1	0.03	58.56	0.0	0.1	0.0	0.0	0.0	0.0	16.24	15.36	15.84	29.79	27.04	28.47
Cst3	8973.79	28136.64	23155.8	18662.8	66199.78	54799.87	54350.96	6434.77	61505.62	13132.13	11009.47	32676.97	32715.27	26357.07	64380.72	32254.6	548.17	471.62	59768.12	79037.77	649.65	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	33256.36	8480.73	957.59	35150.87	14121.09	28488.27	33151.51	24558.57	145.91	80478.24	68326.69	95318.24	75159.39	84616.84	72517.08	353.49	361.27	348.24	1961.51	2186.93	2204.12
Ctage5	0.0	0.0	127.97	0.0	0.0	0.0	0.0	5.02	0.0	0.0	0.0	0.21	0.0	0.0	7.66	32.93	85.33	18.95	410.35	0.11	7.87	0.0	9.78	0.12	0.0	16.14	53.74	20.74	0.0	0.09	3.03	0.0	17.59	0.0	0.0	0.0	86.08	0.0	231.92	15.17	0.0	22.31	18.22	16.28	14.75	37.73	35.59	38.45
Cyfip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.11	0.0	271.75	73.96	0.32	0.1	314.18	0.0	0.1	0.27	0.0	0.0	0.0	0.22	0.52	239.41	0.3	0.2	0.52	0.0	0.19	141.33	0.0	0.0	0.0	0.0	0.0	0.0	125.07	100.47	126.43	420.97	405.91	440.68
Dhx9	0.0	0.0	0.0	45.95	0.08	0.0	0.0	0.0	15.87	0.0	0.0	0.0	38.77	0.0	4.23	0.0	7.22	3.95	73.82	114.98	5.99	0.0	0.0	0.0	0.0	3.49	0.0	0.0	0.09	0.05	0.04	53.05	0.0	0.0	0.0	27.24	42.39	0.0	0.0	0.0	0.0	0.0	4.36	5.55	6.04	81.38	76.79	79.75
Dusp1	192.26	0.0	0.0	59.74	0.0	0.0	0.0	0.0	0.0	154.19	608.0	1556.47	0.0	0.0	0.0	0.0	480.16	45.98	3736.86	1.0	74.69	1197.08	124.82	166.99	2.6	0.0	552.06	13.75	0.22	0.26	0.0	0.0	0.0	1.48	0.21	229.85	543.99	0.0	12.74	0.0	859.44	424.41	16.74	23.24	36.44	96.01	80.71	40.55
Erbb2ip	1.24	0.0	0.0	0.0	0.0	23.93	113.82	0.0	0.0	0.0	0.0	3.25	0.0	0.0	60.16	49.18	0.0	0.36	287.8	0.0	0.05	0.0	0.2	0.05	0.81	0.0	0.0	0.0	216.74	0.04	0.03	0.04	0.17	0.0	2.15	0.0	0.0	0.0	0.0	0.09	79.32	0.0	1.52	0.0	1.83	36.17	29.44	40.48
Fam46a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.88	0.0	0.0	0.0	0.0	0.0	224.1	0.48	0.0	17.02	434.83	591.13	0.32	0.0	0.0	0.0	6.48	0.0	0.0	0.0	0.0	0.18	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.4	0.0	0.0	0.25	2.91	3.18	2.5
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	27.72	149.26	40.26	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	42.6	0.11	0.0	0.0	9.5	0.23	14.7	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Gm14137	0.24	0.53	0.0	0.14	0.0	0.07	0.0	0.44	0.0	0.64	0.15	0.0	0.13	0.14	0.19	0.0	0.2	0.0	1.74	0.13	0.14	0.0	0.21	0.24	0.0	0.0	1.02	0.0	0.21	0.1	0.54	0.85	0.28	0.07	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.45	0.1	0.0	0.0	2.8	2.66	2.95
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	27.72	149.26	40.26	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	42.6	0.11	0.0	0.0	9.5	0.23	14.7	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Irf1	0.3	0.68	0.0	0.22	0.0	318.7	0.0	0.0	0.21	0.0	0.51	0.29	0.21	0.0	0.32	0.0	0.0	0.0	2172.36	0.58	0.32	0.08	0.0	0.0	0.0	0.61	0.64	0.17	0.43	0.0	0.25	0.11	0.0	0.0	0.0	0.32	0.0	0.72	849.6	0.49	0.0	0.0	1.29	2.65	1.17	6.84	8.4	7.35
Junb	0.0	0.0	0.0	0.0	43.63	0.51	1.52	0.0	13.36	0.0	0.0	186.6	0.0	0.0	46.58	0.0	25.99	9.38	603.37	8.84	1.72	15.23	83.79	0.0	93.84	2.42	299.1	1.37	0.23	12.27	3.41	0.0	0.0	0.0	0.0	4.63	255.07	0.0	50.76	31.45	17.99	107.93	0.66	2.51	1.14	196.13	175.03	93.13
Kbtbd2	3.03	1.97	0.91	0.71	53.91	1.4	1.17	1.96	59.39	1.89	1.16	1.68	1.39	1.35	3.87	2.05	67.36	9.45	975.08	2.16	125.85	1.58	2.54	0.42	66.48	18.45	103.88	2.6	38.13	88.25	0.27	2.89	3.93	1.56	1.67	118.47	1.15	0.1	580.86	1.25	0.06	6.28	72.79	56.38	58.79	39.61	38.27	32.53
Lipe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.66	2.98	19.03	13.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.37	7.21	7.22	7.48
Lpgat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	78.59	27.75	108.04	0.14	81.37	0.0	0.09	0.05	0.0	0.0	0.0	0.1	0.29	120.84	0.27	0.14	0.21	0.04	0.11	89.29	0.0	0.0	0.0	2.12	80.44	0.0	155.56	109.32	103.82	138.31	127.47	133.8
Mef2c	0.11	0.0	0.0	0.0	213.02	0.59	525.31	0.11	209.85	0.0	0.0	66.79	0.0	162.51	704.45	0.69	625.42	297.86	691.45	12.03	998.85	121.95	112.86	143.45	0.1	134.26	619.34	1.57	1.53	592.86	0.98	0.51	1.38	0.17	0.38	435.66	4.75	351.07	359.59	0.09	150.07	433.49	325.07	320.06	336.42	269.78	247.15	258.84
Mtmr12	0.0	0.0	0.0	0.0	0.15	0.0	0.1	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	85.28	17.11	2.69	3.64	18.78	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.06	0.47	0.11	0.0	0.0	0.0	38.2	0.0	0.0	0.0	0.0	0.0	0.0	11.98	24.09	12.27	28.16	27.53	27.0
Nrm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	35.17	1.44	1362.99	1188.3	0.73	0.0	0.0	0.0	321.11	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.26	0.0	0.0	52.18	0.0	0.53	775.12	0.0	0.0	0.0	4.99	3.83	5.56	3.96	4.05	4.65
Nsf	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	225.4	0.0	0.0	0.36	0.23	392.54	214.08	84.4	0.43	662.31	18.17	0.34	0.37	0.17	77.97	29.97	1.59	1.54	649.58	403.44	1.35	6.04	0.08	0.54	283.42	0.0	0.0	0.0	0.0	0.0	0.0	265.86	280.95	247.75	637.47	644.67	625.39
Nup210l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.67	12.39	0.0	0.0	0.0	20.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.12	0.0	0.22	0.23	0.36
Ptprj	0.0	0.0	0.0	0.0	0.0	2.16	0.0	0.0	107.9	0.0	0.06	0.32	0.0	0.0	147.75	0.0	35.36	5.08	138.9	21.54	57.59	0.0	0.33	0.36	0.0	0.04	35.97	0.0	0.12	27.01	0.02	0.0	0.14	0.0	0.0	0.14	18.92	0.0	0.26	0.0	0.0	4.75	7.63	5.6	4.88	51.0	50.87	55.26
Ptprq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.08	0.1
Rnaset2a	0.0	0.0	0.0	0.0	0.0	0.0	284.76	0.0	0.0	0.0	0.0	548.03	0.0	0.47	0.73	162.51	0.0	10.64	1218.73	3.82	0.0	0.0	1.39	0.38	0.0	28.98	1118.43	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	256.34	0.0	7.96	0.0	246.24	0.0	0.0	0.0	0.0	42.96	41.77	40.36
Rnf141	0.0	213.01	10.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	11.8	336.16	0.0	0.0	0.0	0.0	0.77	0.0	0.0	311.74	0.0	0.45	68.59	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.02	28.62	32.31	52.12	46.2	57.54
Rpl29	250.32	502.59	372.09	0.0	31.58	439.36	0.7	1.02	719.33	0.0	0.0	2.76	288.45	331.47	0.0	301.72	378.64	615.68	2297.4	798.51	235.67	0.0	2.89	818.61	126.46	310.82	1098.1	1.06	0.62	174.67	1.06	78.66	621.33	261.61	5.51	776.69	176.79	554.88	0.0	0.0	753.03	513.54	381.82	493.29	454.84	348.81	375.25	347.99
Sla	0.0	0.0	0.0	0.0	0.0	38.44	69.44	0.0	415.25	0.0	0.0	357.2	0.0	0.0	135.87	0.34	0.0	0.49	1397.86	5.28	0.13	0.0	0.0	0.0	17.86	23.49	1937.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.17	1193.67	0.0	0.0	0.0	0.0	90.45	85.66	62.89	9.77	9.81	9.02
Slc22a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	4.78	5.29	3.85
Snora81	0.0	0.0	0.0	0.0	0.0	273.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	16.51	1524.57	0.0	15.66	0.0	0.0	0.0	0.0	761.35	1514.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	14.62	0.0	0.0	0.0	0.0	0.0	0.0	19.48	6.33	9.6	13.8	8.66	15.03
Snord47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.21	0.0	0.0	0.0	0.0	169.15	0.0	0.0	0.0	0.0	127.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	6.55	17.94
Srsf11	0.56	0.0	0.0	0.0	0.0	0.0	0.0	332.35	201.31	0.0	182.87	0.0	0.0	460.19	507.75	0.58	47.48	55.61	715.91	757.82	204.18	17.23	0.84	19.77	32.63	7.41	129.8	0.0	429.77	51.22	298.87	0.08	0.72	0.1	0.13	344.51	0.16	63.86	0.0	0.0	0.0	23.85	81.61	70.73	74.6	103.34	100.44	104.69
Strn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	120.41	16.04	897.86	20.97	48.39	0.0	0.37	0.0	8.79	0.0	0.0	0.3	0.12	0.79	0.0	0.0	0.1	0.0	0.0	183.47	0.0	0.0	0.0	0.0	0.0	0.0	16.14	19.38	20.92	158.54	169.33	162.89
Tgfb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.93	5.75	4.74
Tlr7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.09	0.0	0.0	150.28	0.0	0.0	0.0	973.05	90.28	0.28	0.0	0.0	0.09	140.9	0.0	370.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.45	0.0	71.51	0.0	0.09	0.0	2.39	2.35	2.25
Tnfrsf11a	4.62	4.23	0.6	2.89	1.12	57.49	0.0	5.36	61.93	0.21	11.78	4.9	5.01	3.72	0.22	44.42	5.29	4.15	137.06	0.37	7.79	1.36	1.25	0.0	1.26	0.59	158.69	0.72	2.04	2.23	3.4	3.72	12.53	2.55	2.67	65.67	0.0	0.65	0.0	0.0	0.12	1.49	3.76	3.95	4.77	4.06	2.73	4.13
Ttc7	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.94	3.74	264.65	324.59	6.77	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.42	0.79	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	52.73	0.96	0.74	0.45	6.53	5.61	7.2
Unc80	0.0	0.0	0.0	0.0	88.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	96.23	29.59	171.85	0.07	127.86	0.0	0.05	0.05	0.0	0.01	0.07	9.72	0.09	13.23	0.05	0.09	0.08	0.0	0.03	26.94	0.0	0.0	0.0	0.0	0.0	0.0	26.78	23.98	25.88	84.37	69.19	87.32
Zdhhc13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	14.13	43.62	0.0	0.15	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	0.0	0.0	0.0	21.76	23.52	35.3	22.75	23.14	22.85
Zfp365	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.11	0.0	0.0	0.14	0.0	0.0	0.16	0.0	85.14	86.58	6.85	0.1	256.13	0.0	0.0	0.25	0.0	0.0	0.0	0.22	0.19	214.02	0.17	0.06	0.59	0.0	0.0	302.24	0.0	0.0	0.0	0.0	0.04	0.0	70.41	65.07	72.49	392.06	380.15	382.53
c16_LSU-rRNA_Hsa	77.38	68.99	82.4	83.48	62.0	358.17	216.65	151.21	426.34	89.64	104.39	438.99	124.66	298.9	270.49	478.27	623.06	614.08	456.72	365.72	753.47	272.94	495.97	219.07	162.28	299.1	452.57	347.09	257.8	294.54	249.67	371.39	203.34	281.94	247.89	7390.0	134.16	96.91	216.65	455.77	284.75	359.65	4078.37	3436.41	3239.78	922.7	980.77	1029.35
c9_LSU-rRNA_Hsa	102.81	86.03	64.5	85.74	110.28	368.75	573.71	254.53	204.63	48.7	212.62	456.86	153.83	121.56	278.25	337.67	542.68	649.08	742.92	601.47	578.52	2864.29	191.8	1279.66	323.43	241.1	393.01	279.64	289.4	331.91	281.9	403.39	304.16	290.34	279.67	5576.72	192.05	118.88	234.52	254.8	478.16	431.04	3836.05	3013.32	3066.88	591.27	523.27	614.46
