	Cux2_tdTpositive_cell_70	Cux2_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nmnat2	141.31	0.2	0.31	102.25	46.79	135.86	112.75	0.0	0.14	0.0	0.26	0.43	0.16	0.0	0.0	0.44	0.31	0.65	0.16	177.33	0.0	0.0	0.0	0.0	0.0	0.0	85.38	83.8	85.87
Nsf	823.97	0.12	0.36	264.53	214.08	323.92	175.47	84.4	0.43	0.0	18.17	0.34	0.37	0.17	77.97	29.97	1.59	6.04	0.54	1163.22	0.0	0.0	0.0	0.0	0.0	0.0	637.47	644.67	625.39
Ppm1e	228.91	0.0	0.0	49.95	69.35	85.2	41.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9	0.0	0.06	0.35	0.0	207.79	0.54	0.0	0.0	0.0	0.0	0.0	127.2	120.08	127.03
Ppp2r1b	102.81	2.53	0.19	3.36	0.14	0.04	5.18	6.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	167.44	0.0	0.0	0.0	0.0	0.0	0.0	16.87	17.39	14.87
Prpf6	122.04	0.0	0.0	17.84	5.07	93.28	2.15	0.0	581.46	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.24	0.4	263.25	0.0	0.0	0.0	0.0	0.0	0.0	49.2	50.83	45.58
Prr16	118.96	0.0	0.0	7.76	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.81	0.0	0.0	0.0	0.0	0.0	0.0	9.3	10.52	10.11
Ptprd	393.41	0.0	0.0	37.97	46.15	185.35	48.06	0.17	0.17	0.0	0.0	0.15	0.23	0.0	0.0	0.05	0.0	0.44	0.05	437.14	0.0	0.0	0.0	0.16	0.0	0.33	94.17	76.39	92.81
Rapgef1	54.27	0.0	0.0	3.58	4.15	0.12	37.27	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.19	0.08	0.0	7.51	0.0	100.28	0.0	0.0	0.0	0.0	0.0	18.65	59.62	59.34	62.33
Rapgefl1	267.15	0.0	0.0	18.05	7.55	2.85	30.3	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.07	1.66	0.41	0.89	0.0	665.73	0.0	0.0	0.0	0.17	0.0	0.0	101.3	104.49	107.12
Rfwd2	105.35	0.0	0.0	16.04	5.27	51.61	5.72	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.14	0.0	255.58	0.0	0.0	0.0	0.0	0.0	0.0	30.23	30.96	31.39
Scn2a1	240.16	0.06	0.08	95.61	104.16	16.37	118.42	0.49	0.07	0.04	0.0	0.0	0.0	0.08	0.15	0.07	0.45	0.72	0.14	328.23	0.0	0.0	0.0	0.0	0.0	0.0	128.76	111.81	126.47
Sec16a	17.43	0.0	24.93	0.74	0.26	10.68	3.28	0.0	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	2.08	0.0	56.69	0.06	0.0	0.0	0.0	0.0	0.0	24.56	22.49	24.35
Sept3	116.08	0.0	0.15	52.48	35.96	55.29	28.6	1.48	1.07	0.61	0.45	1.12	0.34	0.38	0.7	0.36	21.74	1.08	0.09	81.81	0.11	0.19	0.0	0.0	0.0	0.06	270.67	257.5	265.53
Slc25a25	50.74	0.0	0.0	7.75	3.43	21.58	34.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.05	0.0	0.0	152.61	0.0	0.0	0.0	0.0	0.0	0.0	46.38	46.66	37.47
Slc9a8	34.61	0.0	0.0	4.26	0.93	0.0	0.03	6.32	0.0	0.0	13.31	0.0	0.0	0.0	0.0	4.65	0.0	0.25	0.0	60.15	0.0	0.0	0.0	0.0	0.0	0.0	23.52	25.29	23.82
Spock1	173.4	0.0	0.29	20.92	85.67	85.23	102.27	0.21	0.07	0.0	0.0	0.2	0.15	0.0	0.0	0.0	0.23	0.94	0.28	390.11	0.0	0.0	0.22	0.0	0.0	0.0	143.7	145.55	144.61
Spred2	96.81	0.0	0.0	2.91	10.72	0.51	16.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	0.12	0.0	0.0	288.63	0.0	0.0	0.0	0.0	0.0	0.0	61.42	58.66	58.3
Sprr2a1	0.79	0.0	0.0	0.06	0.46	0.73	0.06	0.29	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.37	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.25	0.13
Sprr2a2	0.79	0.0	0.0	0.06	0.46	0.73	0.06	0.29	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.37	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.25	0.13
Stxbp5l	56.2	0.08	0.0	14.63	17.95	7.69	29.5	0.39	0.34	0.34	0.55	0.42	0.11	0.4	0.37	1.13	0.24	0.22	0.17	82.95	0.07	0.13	0.0	0.17	0.29	0.11	41.93	33.64	44.5
Syn2	336.03	0.0	0.0	64.09	59.02	100.89	32.54	0.2	0.08	0.0	0.0	0.5	0.0	0.0	0.0	0.14	0.27	1.54	0.0	376.78	0.0	0.0	0.0	0.0	0.0	0.0	385.63	397.76	386.53
Thsd4	0.09	0.12	0.0	3.43	0.0	0.2	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.13	0.0	0.28	0.0	0.0	0.0	0.06	0.0	0.0	5.71	5.9	4.72
Trmu	226.71	0.0	0.0	34.49	5.89	1.08	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	183.07	0.0	0.51	0.0	0.0	0.0	0.0	16.82	17.41	17.76
cx_tRNA-Ala-GCY_	57.91	0.0	0.0	0.0	25.22	6.84	5.73	22.48	0.0	0.0	65.39	0.0	0.0	0.0	0.0	0.0	213.99	0.0	0.0	184.9	0.0	0.0	0.0	0.0	0.0	0.0	32.9	42.31	23.21
