	Pvalb_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_52	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rbm42	0.0	0.0	0.0	60.46	68.37	64.48
Rgs9	0.0	0.0	0.0	95.2	92.99	88.16
Rtbdn	0.0	0.0	0.0	3.23	2.89	2.89
Safb2	1.43	7.44	0.0	55.44	61.77	56.06
Slc15a3	0.0	0.0	0.0	1.41	1.53	1.5
Slc41a2	0.0	0.0	0.0	13.14	11.95	12.8
Slc4a2	0.0	0.0	0.0	19.7	21.94	24.19
Sorcs2	0.0	0.0	0.0	26.44	26.95	30.37
Sun1	0.08	15.28	0.0	77.42	79.01	78.25
Syap1	0.12	0.46	0.0	34.59	32.47	30.63
Syk	0.0	0.0	0.0	2.33	2.35	2.39
Synpo	0.0	0.0	0.0	115.12	119.16	107.25
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d1	0.0	0.0	0.0	12.2	12.12	11.44
Tbc1d8	0.0	1.59	0.0	20.16	19.89	20.27
Tfap4	0.0	0.0	0.0	2.63	2.34	2.37
Tfpt	0.52	0.0	0.0	26.76	32.96	29.27
Thop1	0.0	0.0	0.0	36.1	39.69	37.66
Tnfrsf21	35.39	12.95	0.0	63.85	66.15	66.05
Tph2	0.0	0.0	0.0	1.2	1.1	1.44
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp8	18.91	36.0	0.27	49.09	43.37	48.27
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb7b	0.0	0.0	0.0	10.02	10.89	9.43
Zfp238	25.4	0.0	0.0	221.06	223.84	211.8
Zfp946	0.29	0.0	0.0	8.91	7.01	9.79
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c1_tRNA-Thr-ACA	0.0	0.0	0.0	9.84	13.11	2.84
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
