	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_50	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm8898	1.11	7.16	3.04	28.53	0.99	13.21	1.64	0.0	0.0	1.31	1.02	0.0	2.71	0.0	0.26	35.56	46.38	0.96	0.2	0.16	0.43	0.0	1.11	0.7	2.13	0.0	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Grhl3	0.0	28.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.07	0.77
Grin1	6.83	141.33	13.78	4.06	8.87	0.0	19.36	0.0	0.19	4.32	0.14	10.34	22.13	0.1	20.29	9.67	16.92	32.81	11.34	11.83	1.69	11.0	25.28	0.0	0.08	18.64	0.0	1.05	82.28	0.0	0.15	0.12	7.08	389.58	403.6	404.44
Gsdma	0.0	0.48	0.39	0.16	0.12	0.0	0.0	0.0	0.12	0.0	0.1	0.0	0.0	0.0	0.12	0.08	0.05	0.0	0.11	0.23	0.18	0.27	0.0	1.47	0.12	0.31	0.1	0.0	0.0	0.19	0.0	0.0	0.0	0.3	0.17	0.11
Il23r	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Itga2	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.02	0.02
Kank2	0.0	0.42	0.28	0.0	0.13	0.05	0.05	0.0	0.06	0.16	0.0	0.24	0.04	0.07	0.0	0.14	0.0	0.19	0.0	0.13	0.13	0.59	0.0	0.0	0.0	0.13	0.15	0.0	0.0	0.0	0.0	0.05	0.0	5.72	7.31	6.18
Kcnh2	0.0	4.39	0.0	0.0	0.0	5.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.62	22.17	23.49
Kcnj1	0.0	0.45	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.2	0.52	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.03	0.09	0.11
Kcnj5	0.0	20.68	0.0	0.0	0.13	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.11	0.19	0.0	0.07	0.01	0.0	0.0	0.0	0.58	0.0	0.0	0.03	0.0	0.0	0.1	0.0	0.0	0.0	0.53	0.69	0.74
Kif1a	76.06	91.76	102.68	35.62	30.92	84.2	35.63	0.04	24.65	4.04	171.3	44.36	65.97	23.11	18.09	22.14	51.72	94.89	63.31	37.21	84.2	67.13	66.7	150.28	97.3	52.02	33.95	111.9	91.06	86.05	44.12	106.02	64.23	383.45	381.16	420.26
LOC100503496	0.0	7.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.0	0.0	3.1	2.41	3.07
Lace1	26.8	46.82	0.0	0.0	6.53	0.0	5.02	0.0	0.26	0.0	5.03	82.23	0.0	2.23	0.0	0.0	0.0	7.46	0.0	0.0	14.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	2.98	0.0	0.0	0.0	14.35	14.66	14.53
Ly6g6f	0.0	34.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.53	0.39
Mbd3	0.0	40.19	11.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.5	0.25	40.68	0.21	0.22	0.57	0.0	0.0	0.0	0.0	0.0	0.0	78.78	0.0	16.5	0.0	0.0	47.61	0.0	0.0	0.0	0.0	0.0	113.1	126.54	122.32
Mbtps1	0.0	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.44	4.15	37.42	15.7	83.75	0.29	0.0	0.03	0.75	0.0	0.73	12.44	0.0	0.0	0.0	0.0	0.15	0.0	2.88	5.5	4.14	0.36	23.86	0.0	53.53	54.98	52.0
Mgl2	0.0	1.83	0.0	0.3	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.21	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.77	1.08
Mir5133	0.0	24.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.73	4.58	10.05
Mmrn1	0.0	12.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.04
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mup19	0.0	72.08	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup2	0.0	153.7	99.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0
Mvk	0.0	65.46	0.0	0.0	40.28	0.0	0.0	0.0	0.0	101.65	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.88	26.51	24.72
Myb	0.0	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.6	0.48
Myo1e	2.5	9.09	7.11	5.24	4.16	1.91	3.36	1.1	1.23	3.06	1.92	2.77	1.65	1.93	2.2	3.92	3.55	4.25	3.07	3.12	4.12	4.27	2.99	5.97	7.66	2.93	1.35	1.09	3.19	3.17	0.96	1.69	3.01	8.54	10.22	10.21
Nanos3	0.0	3.02	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.53	1.16
Nckap1l	0.0	27.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.45	7.17	7.94
Nfya	0.0	48.69	0.31	0.0	11.45	0.0	0.0	0.0	0.0	1.08	0.15	0.19	3.96	0.0	0.05	0.0	0.0	0.0	0.0	0.26	0.44	0.0	0.0	0.26	0.0	0.0	0.0	0.07	0.08	0.0	6.59	0.0	0.0	16.66	14.68	18.19
Nkx2-9	0.0	0.8	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.41	0.9
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nrp2	0.36	1.57	7.56	0.67	0.97	0.37	0.27	0.37	0.14	0.3	0.17	0.27	0.59	1.33	0.38	0.89	0.31	0.25	0.05	0.36	0.49	1.92	0.82	0.31	0.52	0.72	0.35	0.13	0.6	0.27	0.46	0.31	0.59	20.63	19.11	20.72
Nxn	0.0	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	8.59	6.65
Olfr701	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Oplah	11.05	61.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.52	14.71	15.13
Pcnt	0.46	27.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	1.67	8.42	0.0	0.0	0.0	0.0	33.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.47	12.09	11.23
Pcp4	5117.81	3360.37	4639.95	1913.19	5293.38	3369.7	4518.09	7467.74	5853.47	5178.03	6240.76	6808.32	7407.1	6583.41	5251.38	3276.12	3496.16	4770.47	3581.8	1764.77	3039.34	3923.3	7030.52	5492.66	7638.97	5106.23	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49	788.83	807.59	741.11
Pigz	11.2	196.57	29.5	0.0	5.62	2.75	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.29	8.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.69	0.2	0.0	0.0	0.0	11.92	12.43	13.53
