	PvalbF.Gad2_tdTpositive_cell_77	Sst_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hephl1	0.0	0.0	0.0	0.02	0.04	0.04
Hes1	2.12	0.0	0.0	13.56	16.16	12.86
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Il13	0.0	0.0	0.0	0.08	0.16	0.09
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Irx6	0.0	0.0	0.0	0.08	0.16	0.17
Iws1	11.21	0.04	0.0	15.3	13.19	16.01
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khdc1b	0.0	0.0	0.0	0.04	0.04	0.16
Kif18b	0.0	0.0	0.0	0.21	0.42	0.4
Kif2c	0.0	0.0	0.0	0.28	0.28	0.42
Klhl38	0.0	0.0	0.0	1.16	1.43	1.29
Klk10	0.0	0.0	0.0	0.07	0.14	0.23
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lbp	0.0	0.0	0.0	2.33	2.17	2.0
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Map2k5	0.0	0.31	0.0	31.86	34.97	30.94
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nfic	0.07	0.0	0.0	48.31	45.12	48.02
Nkx3-1	0.0	0.0	0.0	1.44	0.8	1.62
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrp5	0.0	0.0	0.0	0.06	0.06	0.07
Notch1	0.0	0.0	0.0	9.17	9.32	10.62
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nxf2	0.0	0.0	0.0	0.04	0.08	0.22
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Ppfibp1	0.0	0.0	0.0	22.21	22.49	23.71
Pygb	1.56	52.9	0.0	122.1	133.81	129.61
Ralgps2	13.83	0.2	0.0	17.2	17.01	16.87
Rassf3	0.0	0.0	0.11	36.48	37.41	36.43
Riok1	0.0	0.0	0.0	12.73	12.29	12.43
Slc12a1	0.0	0.0	0.0	0.04	0.08	0.15
Slc30a1	0.0	0.0	0.0	24.51	25.28	23.17
Slc33a1	0.48	0.0	0.0	27.44	29.07	27.57
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Spesp1	0.0	0.0	0.0	0.03	0.03	0.07
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tln1	0.0	0.0	0.0	14.41	15.58	15.89
Tmem120b	0.0	0.0	0.0	8.86	9.15	7.94
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Trpm5	0.0	0.0	0.0	0.02	0.04	0.05
Tsga13	0.0	0.0	0.0	0.09	0.09	0.36
Tsr1	0.67	0.1	0.0	34.46	31.44	33.88
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnt9b	0.0	0.0	0.0	0.02	0.04	0.07
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp651	1.64	0.0	0.0	37.72	38.58	36.99
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	26.94	0.0	18796.57	17507.83	18655.33
