	Chrna2_tdTpositive_cell_63	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_75	Rbp4_tdTpositive_cell_143	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_39	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_18
Gcnt4	0.0	0.09	0.0	79.22	1.33	0.0	0.0	0.05	0.0	0.23
Gm10069	0.0	0.53	0.0	42.7	2.29	2.94	1.59	70.44	0.23	7.1
Gm14151	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
Gm6307	0.86	1.25	3.74	5.49	2.77	2.45	2.67	5.5	2.78	3.75
Gpr135	0.0	0.0	0.0	37.34	0.0	0.0	0.0	0.0	0.0	0.0
Gpr137c	0.0	0.0	0.0	53.66	46.38	0.0	0.13	76.77	0.0	0.0
Hspa4l	1.19	0.47	48.82	118.06	61.98	54.39	32.07	7.04	11.55	34.11
Hspa9	27.29	33.2	4.7	144.32	43.22	31.67	67.92	114.88	250.59	16.17
Iws1	0.37	0.18	0.4	12.2	0.49	0.15	0.5	3.05	28.82	2.22
Larp7	61.41	35.51	0.21	120.65	3.68	28.65	35.12	124.98	75.23	43.62
Lats2	0.0	0.0	0.0	7.18	0.0	0.0	0.0	0.0	0.0	0.0
Lnx1	4.82	0.0	0.0	120.94	37.68	21.14	16.09	157.61	0.0	0.0
Mid1ip1	0.0	0.0	0.21	81.23	0.0	0.0	0.0	50.56	0.0	0.0
Mrps5	18.11	61.84	138.01	330.34	19.45	104.83	37.93	257.38	88.11	190.97
Mtif3	0.0	1.3	0.0	74.2	18.88	20.57	0.0	0.0	0.0	14.2
Mybpc2	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0
Narf	0.0	0.08	5.68	177.63	39.88	0.0	0.8	149.02	0.0	0.0
Ngdn	2.91	83.09	0.37	235.53	0.0	77.18	283.96	111.74	0.0	0.0
Nrn1	3340.55	2694.0	4039.33	1245.34	2548.21	2946.84	3259.87	987.29	5153.74	4928.08
Nt5dc3	0.7	2.59	7.59	40.14	6.82	7.26	3.47	21.53	4.14	36.81
Osbpl3	0.0	0.0	0.33	134.52	0.0	21.36	0.0	81.07	100.08	31.4
Pigk	7.21	0.09	18.94	134.13	12.91	20.84	53.68	22.31	24.78	51.74
Ppp5c	75.6	80.33	0.0	225.08	0.0	0.0	0.0	109.19	26.53	117.39
Ptgfrn	10.15	0.0	0.0	19.53	0.0	28.43	0.0	30.38	0.0	0.0
Rbak	0.71	0.24	32.51	104.11	0.79	1.03	0.42	99.28	0.17	2.41
Rnf166	0.0	0.0	0.25	42.73	0.0	0.0	0.0	0.0	0.94	0.0
Sbno2	0.0	0.0	16.99	28.37	0.48	0.0	0.0	14.77	0.0	0.0
Snrnp48	0.24	0.0	53.51	57.15	0.0	8.22	0.0	65.44	55.57	0.0
Taf1a	0.0	0.51	1.45	108.26	0.73	44.61	1.53	71.21	9.71	2.5
Tbck	0.0	0.0	2.8	134.25	0.0	0.0	0.0	48.82	0.0	0.41
Tbp	93.13	129.6	153.17	268.57	0.0	11.3	0.0	141.43	0.45	0.0
Tle2	0.0	0.0	0.0	23.55	0.31	0.0	0.0	16.28	0.0	0.0
Tox2	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim66	0.0	0.0	7.41	44.91	1.67	0.48	24.07	26.28	0.98	19.93
Tsc2	19.03	0.23	1.7	64.16	34.38	1.66	0.49	0.52	2.58	15.32
Usp37	25.32	34.77	66.98	182.64	20.01	64.62	132.8	74.47	133.54	191.18
Vps13c	4.53	0.07	0.04	29.22	1.32	0.0	10.87	19.86	0.0	1.76
