	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cog1	0.0	0.0	4.08	0.0	49.99	0.0	0.06	0.0	0.0	21.02	0.0	4.71	3.98	0.0	8.76	4.08	13.03	22.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.18	0.0	0.0	2.02	11.82	0.0	3.75	0.0	0.0	0.0	9.91	0.0	63.21	0.0	0.0	0.1	0.0	18.28	0.0	0.48	0.0	7.05	0.0	0.0	0.03	2.51	15.01	5.25	1.84	5.47	2.93	1.97	4.84	5.94	6.43	3.22	1.6	41.23	43.13	39.66
Coro2a	0.0	0.05	0.0	0.1	38.2	18.25	0.0	0.0	19.81	0.3	7.56	28.12	0.0	0.26	0.03	0.14	0.66	15.16	1.98	4.35	0.0	0.0	0.16	0.08	4.6	21.82	0.0	0.18	0.0	0.0	23.6	16.5	0.09	0.0	2.7	5.13	0.35	60.19	0.0	0.0	0.0	0.0	15.99	0.0	0.0	0.0	0.89	23.66	0.0	1.39	3.93	6.67	2.42	7.34	7.79	8.76	2.77	2.46	1.87	6.27	8.89	4.35	24.12	25.94	24.68
Crb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.35	0.0	2.37	0.0	0.05	1.07	0.52	2.19	2.67	2.67
Dclk1	82.45	18.65	125.48	63.68	50.59	150.0	24.32	237.69	43.0	88.44	72.51	138.79	121.18	14.22	68.43	73.95	44.76	121.6	30.51	84.21	45.01	88.36	92.3	21.0	125.15	83.25	66.95	51.39	66.36	83.18	120.74	19.14	85.02	54.54	71.84	44.06	115.1	135.37	76.9	71.31	33.08	22.44	34.37	67.33	163.33	94.25	64.95	113.98	95.42	53.69	243.6	318.17	233.7	236.91	206.95	187.58	146.37	172.21	160.47	248.84	210.66	215.96	367.79	342.85	374.41
Egr1	0.0	0.0	0.0	3.11	0.0	0.37	0.06	5.52	0.05	1.8	1.94	0.32	0.65	0.33	6.52	0.0	0.1	13.69	55.92	0.0	0.09	0.0	0.0	0.0	0.23	0.0	1.11	0.0	0.0	0.0	1.8	0.0	0.18	53.25	4.01	0.0	108.72	58.55	28.04	3.92	0.1	92.36	20.46	0.0	147.43	71.79	2.66	19.54	3.55	5.1	296.9	295.38	258.98	176.4	108.61	233.19	153.16	125.77	189.89	136.69	143.93	168.7	374.95	320.45	189.48
Espnl	0.08	0.0	0.07	0.11	0.0	0.0	0.03	0.05	0.0	0.0	0.04	0.0	0.0	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.05	0.0	0.11	0.0	0.19	0.05	0.04	0.6	0.06	0.58	0.36	0.44	0.33
Fmnl1	0.0	1.12	1.54	0.0	7.17	0.75	0.0	0.0	0.48	0.02	0.03	0.0	20.01	0.0	23.55	0.0	18.53	0.07	0.0	11.74	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	6.15	0.07	0.08	28.5	16.01	8.48	0.0	0.0	28.5	4.18	0.0	0.15	0.0	22.52	0.0	0.0	0.0	0.0	0.0	17.3	14.24	98.64	83.04	55.98	51.37	32.46	41.54	23.93	23.15	48.29	25.61	34.35	41.32	75.04	73.44	69.71
Foxr2	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.04	0.05	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.77	0.64	0.6
Gabpa	0.0	0.0	0.51	0.0	0.0	0.0	0.0	1.19	0.03	0.08	0.0	0.0	0.03	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.11	0.05	0.0	0.32	0.14	0.0	45.68	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	22.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.02	8.1	6.71	4.34	2.62	2.92	7.63	4.2	8.43	1.92	4.86	4.1	3.45	12.75	12.03	13.9
Gclm	3.11	0.0	13.38	10.43	0.0	0.0	0.0	0.0	0.0	0.0	6.86	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.28	19.11	6.89	0.0	6.71	0.0	0.0	7.1	0.0	0.0	0.0	0.0	0.0	0.0	1.94	20.87	0.0	0.0	36.73	0.74	0.31	20.31	0.0	23.75	0.0	11.38	8.1	6.32	15.5	0.0	0.06	10.18	3.48	8.17	0.94	9.57	0.6	3.4	2.91	8.91	8.14	1.67	7.46	39.26	42.49	40.25
Gm13306	0.0	0.41	0.14	0.0	22.17	0.83	0.0	21.49	1.46	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	46.94	0.08	0.0	1.61	0.0	0.0	0.0	38.65	4.36	7.83	3.13	4.62	1.88	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.64	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	1.32	0.0	0.0	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	0.0	0.41	0.14	0.0	22.17	0.83	0.0	21.49	1.46	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	46.94	0.08	0.0	1.61	0.0	0.0	0.0	38.65	4.36	7.83	3.13	4.62	1.88	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gpr160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	1.0	1.16
Gpr37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	27.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.37	0.0	0.27	0.0	0.0	0.0	5.38	0.0	0.0	0.65	0.64	13.5	45.23	46.7	49.6
Ifrd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	28.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.02	10.4	5.86	0.0	1.07	4.53	0.0	3.39	0.1	6.23	3.68	6.54	8.27	8.54	8.12
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.64	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	1.32	0.0	0.0	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	1.73	1.86	1.4
Il13ra1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.2	0.0	5.43	8.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.0	0.0	0.0	4.94	4.1	4.6
Ipcef1	1.47	0.47	7.84	0.0	2.74	0.0	0.0	0.39	0.1	0.01	0.04	0.19	0.2	0.13	0.02	0.0	0.0	0.06	0.36	16.93	0.0	0.04	0.18	0.2	0.45	0.33	0.44	0.29	0.62	0.04	0.47	0.08	0.22	0.28	0.0	0.35	0.04	29.0	0.08	0.0	0.17	0.0	0.33	0.0	0.0	0.0	0.09	0.3	5.57	0.0	73.61	97.45	73.93	80.62	67.64	100.4	48.24	56.94	57.92	115.53	75.37	71.52	48.31	43.08	50.27
Klc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	3.12	1.76
Klf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.05	0.08	0.0	0.0	6.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.2	0.0	0.0	6.12	5.73	4.28
Laptm4a	51.39	27.72	37.19	65.01	41.46	0.27	6.23	2.47	23.92	30.87	43.54	7.31	46.17	61.98	125.92	6.47	6.39	30.47	74.65	80.77	25.13	64.73	34.83	0.0	22.22	14.6	29.35	19.24	24.21	30.46	57.79	42.67	1.29	52.01	17.26	25.18	0.0	107.37	76.52	42.9	20.66	0.0	36.14	48.95	0.0	26.82	26.13	0.44	39.74	95.24	41.96	40.49	54.91	52.08	41.12	51.12	46.58	51.34	38.67	38.07	44.07	40.7	193.36	200.91	180.4
Ldb2	12.39	0.0	0.0	0.0	10.43	0.0	0.0	103.55	0.0	0.16	0.0	0.07	0.05	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.07	0.0	9.2	0.0	0.08	0.0	0.0	0.0	1.08	10.35	0.0	2.58	47.52	0.0	0.0	0.0	0.0	1.78	44.77	0.0	0.0	0.0	0.38	0.18	0.04	72.87	120.06	130.71	88.25	117.55	181.18	181.29	141.19	192.47	177.23	171.89	202.17	50.55	48.2	45.35
Map3k8	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	10.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	7.89	3.79	0.0	9.23	0.0	0.0	0.0	0.47	3.7	2.06	2.22	1.69	2.12	1.63
March2	11.08	0.0	0.23	0.0	0.18	3.53	0.24	0.0	1.8	37.07	21.06	0.13	23.33	40.52	17.6	0.11	0.15	46.18	57.87	0.33	14.52	0.1	0.0	0.32	0.37	27.87	0.23	58.37	0.0	0.33	0.07	40.66	0.56	0.13	63.1	0.23	0.0	64.68	0.19	15.5	0.16	0.48	67.94	2.34	24.73	2.03	0.12	0.57	0.54	0.66	8.52	12.5	16.71	11.25	9.15	6.86	14.5	0.2	1.81	14.29	13.14	8.81	77.96	80.77	81.53
Mlycd	1.23	0.0	0.0	43.95	0.0	0.0	1.17	0.0	0.0	0.53	0.0	0.0	0.0	0.0	13.46	0.46	0.0	0.0	0.37	0.0	0.0	0.0	0.14	1.7	0.0	52.7	0.0	0.0	1.71	0.0	0.0	0.0	0.0	18.53	0.0	0.0	0.0	52.75	0.17	0.0	0.0	0.77	25.32	0.0	0.0	0.0	0.0	27.72	0.0	0.0	3.43	3.05	10.2	11.01	0.72	0.0	0.12	1.09	3.32	4.43	6.27	2.16	24.25	28.0	28.09
Msrb2	0.0	118.56	72.63	0.0	18.77	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	53.12	50.2	23.12	0.0	0.0	118.23	0.0	151.69	170.78	86.42	17.01	106.74	137.82	0.0	144.89	0.0	46.48	102.73	50.99	0.0	83.23	0.0	0.0	0.0	118.06	23.35	45.27	0.0	100.12	53.65	0.0	0.0	0.0	212.09	97.92	84.76	0.08	56.62	0.58	50.2	63.07	145.71	65.71	148.69	90.16	26.13	88.97	74.6	62.99	29.67	27.89	29.52
Mtap6	61.92	92.37	26.54	1.47	0.03	64.81	0.0	11.88	0.0	8.91	0.62	0.07	11.74	0.18	1.89	0.0	0.0	31.45	0.17	1.04	0.0	32.16	17.23	0.0	32.78	2.02	0.0	0.1	0.0	0.0	11.35	0.0	25.29	1.22	0.0	0.0	0.34	113.23	22.8	0.0	64.98	69.71	74.53	0.62	0.47	40.25	15.21	0.2	0.0	0.0	4.84	33.64	14.96	22.23	17.48	17.22	44.26	25.56	21.24	27.13	15.55	16.27	99.94	103.63	104.04
Neurod6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.31	0.01	0.0	0.05	0.0	0.14	0.13	0.0	0.0	0.13	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.1	0.13	0.0	0.13	0.15	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	205.19	335.65	175.46	299.16	384.39	394.1	350.69	380.34	344.27	433.75	400.09	430.72	88.63	89.8	90.04
Npy	138375.8	56190.59	64781.64	173305.25	40775.82	12448.57	108594.8	13383.72	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	145032.54	180453.32	92572.95	48343.46	38762.64	128781.07	23340.13	137945.15	48908.54	35571.91	32250.58	137580.94	65503.76	65353.97	120620.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.6	0.0	0.7	214.21	196.57	200.76
Palm	0.0	0.12	0.0	0.0	0.11	0.0	0.45	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.1	0.0	1.75	0.0	0.0	0.0	0.0	25.0	0.0	11.06	0.0	0.0	0.0	0.0	0.0	1.11	0.12	0.22	0.0	0.0	0.0	24.3	40.55	0.0	0.06	26.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42	3.33	3.43	0.54	3.46	0.8	0.21	2.95	1.18	6.29	3.15	4.89	185.83	203.34	190.96
Pex5l	0.0	0.0	0.0	0.0	0.0	2.15	0.76	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.94	0.0	0.0	0.0	2.21	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	9.88	6.83	6.44	5.59	8.79	11.48	4.87	5.84	3.45	3.84	7.28	8.46	160.07	158.61	182.2
Plcxd3	0.0	187.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.42	122.96	18.57	0.0	120.93	46.59	46.38	121.04	52.85	33.98	24.08	0.0	2.92	20.78	53.97	49.08	123.3	0.0	0.0	0.0	36.33	173.83	0.0	0.0	97.16	53.53	0.0	153.29	102.98	0.0	0.0	0.0	0.0	0.0	120.95	0.0	0.0	56.97	16.3	0.0	0.0	132.95	114.63	210.17	74.55	124.38	81.1	110.02	105.39	119.02	69.51	83.47	79.96	10.9	9.64	13.34
Plk3	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	16.28	7.95	0.0	0.0	0.0	31.3	10.64	0.0	0.0	36.32	0.0	65.67	42.26	0.0	0.0	0.0	9.11	38.87	0.99	0.0	0.0	0.0	0.0	20.56	40.21	0.0	0.0	28.36	0.0	0.0	0.0	0.0	0.0	37.86	0.0	28.59	2.37	9.71	5.96	15.48	5.73	11.19	5.11	15.86	10.05	7.12	7.59	13.71	12.51	18.67	16.21	11.82
